frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.3186285197734833,0.7610074877738953,-5.1994515359865545e-08,0.31125885248184204,0.6987212896347046,0.005021447781473398,0.32342302799224854,0.6512176394462585,0.0009014394017867744,0.34557801485061646,0.6341460347175598,-0.004672000650316477,0.36565354466438293,0.6391834020614624,-0.010348999872803688,0.3347000777721405,0.615165650844574,-0.012895070016384125,0.3560228645801544,0.5527507066726685,-0.02194328047335148,0.3691145181655884,0.5130220651626587,-0.027727747336030006,0.37679770588874817,0.4818534255027771,-0.0321112759411335,0.3506796061992645,0.6338999271392822,-0.019357627257704735,0.3873540759086609,0.6213169693946838,-0.023870039731264114,0.3854866325855255,0.6511313319206238,-0.020879404619336128,0.37506812810897827,0.6644479632377625,-0.019039278849959373,0.3646029531955719,0.6636366844177246,-0.024659251794219017,0.40074843168258667,0.657235324382782,-0.026719646528363228,0.394824743270874,0.6811243891716003,-0.01790272258222103,0.38178348541259766,0.691138744354248,-0.012959967367351055,0.37542277574539185,0.6961768865585327,-0.02976849116384983,0.4040011465549469,0.7003524303436279,-0.029930025339126587,0.39675942063331604,0.7188221216201782,-0.021904317662119865,0.38443422317504883,0.725681483745575,-0.016121789813041687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.30750787258148193,0.7739519476890564,-1.083870238005602e-08,0.30269864201545715,0.7094732522964478,0.010472539812326431,0.31730780005455017,0.6606577634811401,0.009994648396968842,0.3411436378955841,0.6461430191993713,0.006483756937086582,0.3624457120895386,0.6540880799293518,0.0016792475944384933,0.33190733194351196,0.6203942894935608,-0.00480827409774065,0.3586740493774414,0.5602439045906067,-0.009504505433142185,0.3744543790817261,0.5231125354766846,-0.01244786474853754,0.38556545972824097,0.4943280816078186,-0.015263285487890244,0.3492271900177002,0.6345123052597046,-0.013787498697638512,0.3861479163169861,0.6249641180038452,-0.016286825761198997,0.38330304622650146,0.6535754203796387,-0.012995613738894463,0.3720487058162689,0.6677349209785461,-0.010990832932293415,0.36558449268341064,0.665183961391449,-0.02110249362885952,0.3994579315185547,0.6610555052757263,-0.020761366933584213,0.39238232374191284,0.6839855313301086,-0.01221256610006094,0.37946829199790955,0.6956261396408081,-0.007779666688293219,0.3777809739112854,0.7012524008750916,-0.027993205934762955,0.4015372395515442,0.7027596831321716,-0.024373367428779602,0.39321810007095337,0.7218835949897766,-0.015245857648551464,0.3816507160663605,0.731255829334259,-0.009094132110476494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3039531111717224,0.7759802937507629,-3.988526842135798e-08,0.3029573857784271,0.707945704460144,0.010905985720455647,0.3195466697216034,0.6593335866928101,0.010378951206803322,0.3432151675224304,0.6451212167739868,0.006717163138091564,0.3647061288356781,0.6568581461906433,0.0020281882025301456,0.3339288532733917,0.6201741695404053,-0.0039678397588431835,0.3622416853904724,0.5616702437400818,-0.006442626006901264,0.37832948565483093,0.5258743762969971,-0.007797155063599348,0.38976961374282837,0.49772369861602783,-0.009968533180654049,0.35165074467658997,0.6346712708473206,-0.013082798570394516,0.3868183493614197,0.6348394155502319,-0.01376261841505766,0.3818533718585968,0.6624849438667297,-0.010473069734871387,0.370124876499176,0.6741474866867065,-0.009002595208585262,0.3683265149593353,0.6656573414802551,-0.02025158703327179,0.3989744484424591,0.6703246831893921,-0.017213497310876846,0.39072784781455994,0.6917973756790161,-0.008774212561547756,0.3781931698322296,0.7011073231697083,-0.005401463247835636,0.381252646446228,0.7007963061332703,-0.027150833979249,0.40124231576919556,0.7083821296691895,-0.02131134644150734,0.3917554020881653,0.725776195526123,-0.012234172783792019,0.38044264912605286,0.7334829568862915,-0.006656748708337545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.30456119775772095,0.7769079208374023,-4.5849901653127745e-08,0.3039340376853943,0.7056889533996582,0.011510959826409817,0.3212655782699585,0.6579110026359558,0.010686924681067467,0.34435325860977173,0.6431365013122559,0.00682445103302598,0.36506229639053345,0.654901921749115,0.0017876075580716133,0.3367348313331604,0.6199667453765869,-0.005731674376875162,0.3638928234577179,0.5601887702941895,-0.008698281832039356,0.3796032667160034,0.5234462022781372,-0.010418404825031757,0.39131051301956177,0.49428123235702515,-0.012693728320300579,0.3545936644077301,0.6351487040519714,-0.014749478548765182,0.388712078332901,0.6381446719169617,-0.014264017343521118,0.3832125663757324,0.665286660194397,-0.010037613101303577,0.371735155582428,0.677082359790802,-0.00828305073082447,0.37051811814308167,0.6679068207740784,-0.021661246195435524,0.3984683156013489,0.6772239208221436,-0.01697053760290146,0.3902556002140045,0.6965360641479492,-0.00809442438185215,0.3781971335411072,0.7052696347236633,-0.004931680392473936,0.38290366530418396,0.7036226987838745,-0.028280828148126602,0.40136852860450745,0.7130866050720215,-0.020639095455408096,0.39201682806015015,0.7290354371070862,-0.010866465047001839,0.3810209035873413,0.7363197207450867,-0.005161315202713013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.30484867095947266,0.7794353365898132,-5.725564022895924e-08,0.3041885495185852,0.7069567441940308,0.011635953560471535,0.3226567208766937,0.6581745147705078,0.0117755476385355,0.34645217657089233,0.6450414657592773,0.00895488541573286,0.3665386438369751,0.6585081815719604,0.004980632569640875,0.33850157260894775,0.6199309825897217,-0.004001464694738388,0.36579447984695435,0.5596024990081787,-0.005453287623822689,0.38127341866493225,0.5228428244590759,-0.006189830135554075,0.39261069893836975,0.4940301775932312,-0.007883846759796143,0.3568628132343292,0.6350312232971191,-0.012561812065541744,0.38984230160713196,0.6418113708496094,-0.01072866190224886,0.38398003578186035,0.6689407825469971,-0.006404126062989235,0.3725999891757965,0.67988520860672,-0.004747144877910614,0.37265345454216003,0.6680678129196167,-0.018987199291586876,0.3993397057056427,0.6806277632713318,-0.01351218856871128,0.39061877131462097,0.6995728611946106,-0.005311775486916304,0.3784198760986328,0.7073544859886169,-0.0027375537902116776,0.38454386591911316,0.7037886381149292,-0.02506915107369423,0.40196165442466736,0.7163647413253784,-0.016843879595398903,0.3921588659286499,0.7323966026306152,-0.007312572095543146,0.38074034452438354,0.7392796874046326,-0.0018365499563515186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3039286136627197,0.7820234298706055,-7.077294128521316e-08,0.3042374551296234,0.7095091938972473,0.01302044652402401,0.3232789933681488,0.6601603627204895,0.013710077852010727,0.34711313247680664,0.6462341547012329,0.011178649961948395,0.3676939904689789,0.6590080857276917,0.0074654510244727135,0.3384881317615509,0.6206281781196594,-0.0028084851801395416,0.36692216992378235,0.5611790418624878,-0.00378548470325768,0.38242337107658386,0.5246025919914246,-0.0042443107813596725,0.3936224579811096,0.49562057852745056,-0.005843780003488064,0.35666245222091675,0.6354929208755493,-0.012087634764611721,0.3909534811973572,0.643517792224884,-0.009568484500050545,0.38513609766960144,0.6716820001602173,-0.0050226906314492226,0.3736518919467926,0.6820827126502991,-0.0034747261088341475,0.37249279022216797,0.6686897873878479,-0.01909959688782692,0.4003436267375946,0.6818532347679138,-0.01277086604386568,0.39137282967567444,0.7018789052963257,-0.0041014282032847404,0.378959059715271,0.7092314958572388,-0.0016028748359531164,0.3843705654144287,0.7048496603965759,-0.02568729966878891,0.4029124081134796,0.717910647392273,-0.01668681763112545,0.39276278018951416,0.7349477410316467,-0.0066704945638775826,0.3809608221054077,0.7417773604393005,-0.0011118380352854729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.30224645137786865,0.7820666432380676,-7.164210558130435e-08,0.30450761318206787,0.710213840007782,0.01338532380759716,0.32406121492385864,0.6610333919525146,0.013867426663637161,0.34762507677078247,0.6473053097724915,0.01096864603459835,0.36823776364326477,0.659454882144928,0.006829810328781605,0.3383251130580902,0.6211119890213013,-0.003386689582839608,0.3676002025604248,0.5631308555603027,-0.005314183887094259,0.3834904432296753,0.5266456604003906,-0.006489505060017109,0.39472657442092896,0.49727338552474976,-0.008564493618905544,0.35560378432273865,0.6360812783241272,-0.013317779637873173,0.39122048020362854,0.645410418510437,-0.012046661227941513,0.38513699173927307,0.6741816997528076,-0.007951688952744007,0.3730793595314026,0.683738112449646,-0.006589803844690323,0.37092339992523193,0.669758141040802,-0.02093701809644699,0.4005420207977295,0.6834485530853271,-0.015642911195755005,0.3912156820297241,0.7046607732772827,-0.0066060759127140045,0.37848249077796936,0.7113490104675293,-0.0037257960066199303,0.38247767090797424,0.7068948745727539,-0.028106587007641792,0.4025869369506836,0.7208026647567749,-0.019701484590768814,0.39171281456947327,0.7387745380401611,-0.009299946948885918,0.3794780969619751,0.7451422810554504,-0.003438822226598859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.2996686100959778,0.7817628383636475,-6.57669261272531e-08,0.30334365367889404,0.7106809616088867,0.014260009862482548,0.32354429364204407,0.6618078947067261,0.014807076193392277,0.347186803817749,0.6483510732650757,0.011552692390978336,0.3684546947479248,0.6597346663475037,0.007061090786010027,0.3378039598464966,0.6208045482635498,-0.0018754807533696294,0.3676140010356903,0.5642059445381165,-0.004397787619382143,0.3840664029121399,0.5280376672744751,-0.0061160544864833355,0.3955998420715332,0.4987407922744751,-0.008517252281308174,0.3537696599960327,0.6358834505081177,-0.012697448953986168,0.39198145270347595,0.6476781964302063,-0.012395873665809631,0.3861066401004791,0.6772051453590393,-0.008688337169587612,0.37360095977783203,0.6854245662689209,-0.007413474377244711,0.3680870234966278,0.669627845287323,-0.02128526195883751,0.4002620577812195,0.6853316426277161,-0.016947655007243156,0.39074018597602844,0.7076618075370789,-0.007732309401035309,0.3776242434978485,0.7130991816520691,-0.004544649738818407,0.37889909744262695,0.7072528600692749,-0.02937633916735649,0.40154707431793213,0.7227470874786377,-0.02140156179666519,0.3900553584098816,0.7415640354156494,-0.010731874965131283,0.3771398067474365,0.7469030618667603,-0.00466821389272809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.2907012701034546,0.7782718539237976,-3.705592277469805e-08,0.298575222492218,0.7061783075332642,0.013431726954877377,0.32313022017478943,0.6580273509025574,0.013691541738808155,0.34886839985847473,0.6507717967033386,0.009657341055572033,0.37050437927246094,0.6674229502677917,0.004722831770777702,0.3346811532974243,0.6161524057388306,0.0020925060380250216,0.36590269207954407,0.5642213821411133,-0.0007486375980079174,0.38378703594207764,0.5294762253761292,-0.0028704439755529165,0.39615339040756226,0.4998971223831177,-0.005658726207911968,0.34929001331329346,0.630364716053009,-0.009441426023840904,0.39096006751060486,0.647723376750946,-0.011356426402926445,0.38478922843933105,0.679276168346405,-0.009332849644124508,0.3709382116794586,0.6849730014801025,-0.008366335183382034,0.3629703223705292,0.6635650396347046,-0.019156910479068756,0.398698627948761,0.6863635182380676,-0.01679650880396366,0.3887422978878021,0.7106019258499146,-0.008641182444989681,0.37476107478141785,0.7127726078033447,-0.005307834595441818,0.3735741674900055,0.7021607160568237,-0.02859322354197502,0.3986596465110779,0.7236425876617432,-0.021485522389411926,0.3871871531009674,0.7426316738128662,-0.011407093144953251,0.37371349334716797,0.7450149655342102,-0.005460924934595823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.2759197950363159,0.7671569585800171,2.5717893592513974e-08,0.2861536145210266,0.6955801844596863,0.01039376575499773,0.3131594955921173,0.6470540165901184,0.009401785209774971,0.33938169479370117,0.6383423209190369,0.004136562347412109,0.36148327589035034,0.65272057056427,-0.0016213699709624052,0.3271024525165558,0.6051180958747864,0.003687259741127491,0.3590269088745117,0.5601652264595032,-0.0010612781625241041,0.37985455989837646,0.5288378596305847,-0.004462217912077904,0.39392685890197754,0.5020946860313416,-0.00790860690176487,0.3390978276729584,0.6201115846633911,-0.00823219958692789,0.3871287405490875,0.6383945941925049,-0.015373158268630505,0.3811432123184204,0.6709738969802856,-0.0159856379032135,0.36572694778442383,0.6767919063568115,-0.01511158887296915,0.34985336661338806,0.6513800024986267,-0.019032344222068787,0.3914654850959778,0.6757431030273438,-0.022825827822089195,0.38168153166770935,0.7025185227394104,-0.016357192769646645,0.36672133207321167,0.7042078971862793,-0.011982844211161137,0.35790690779685974,0.6896290183067322,-0.029716258868575096,0.3896695375442505,0.7122851610183716,-0.027388524264097214,0.37877699732780457,0.7343424558639526,-0.018455753102898598,0.36415645480155945,0.7376244068145752,-0.012167736887931824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
