frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.36892855167388916,0.5281388163566589,-6.960725329463457e-08,0.3599243760108948,0.486183762550354,-0.001230317517183721,0.362893670797348,0.43945854902267456,-0.006089287344366312,0.3681637942790985,0.4028012454509735,-0.011638414114713669,0.36515098810195923,0.37625494599342346,-0.01744171977043152,0.3985240161418915,0.4250718355178833,-0.011954772286117077,0.42750078439712524,0.3978644013404846,-0.01768586039543152,0.44473060965538025,0.38291382789611816,-0.020950837060809135,0.458690345287323,0.37237128615379333,-0.023551153019070625,0.4096124470233917,0.4427849352359772,-0.014949498698115349,0.43031883239746094,0.46028465032577515,-0.021671177819371223,0.42042529582977295,0.4771033227443695,-0.021106159314513206,0.40922048687934875,0.48316627740859985,-0.020342079922556877,0.41736987233161926,0.46964436769485474,-0.01735476404428482,0.4330016076564789,0.48532116413116455,-0.023012954741716385,0.4247862994670868,0.4972527325153351,-0.01867719180881977,0.41442131996154785,0.5015887022018433,-0.015574001707136631,0.42368727922439575,0.4968332350254059,-0.019765520468354225,0.4353344440460205,0.5076698064804077,-0.021566687151789665,0.426591694355011,0.5178126096725464,-0.01641119457781315,0.4172162115573883,0.5206426978111267,-0.012228976003825665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.36693274974823,0.5248160362243652,-2.6157966459550153e-08,0.3586995005607605,0.482462614774704,-0.002065175212919712,0.3624251186847687,0.4358125925064087,-0.006883054971694946,0.36736980080604553,0.3982686400413513,-0.012198349460959435,0.36348551511764526,0.37070634961128235,-0.017753416672348976,0.3983756899833679,0.42128950357437134,-0.010985574685037136,0.42632800340652466,0.3937516212463379,-0.015919163823127747,0.4443362355232239,0.378468781709671,-0.01899394392967224,0.4582076668739319,0.367931604385376,-0.021605122834444046,0.40892165899276733,0.43851619958877563,-0.013559228740632534,0.428308367729187,0.4557666778564453,-0.019459618255496025,0.4193049371242523,0.47116854786872864,-0.019583076238632202,0.4090934097766876,0.47548383474349976,-0.019674833863973618,0.4165043532848358,0.46482330560684204,-0.015559149906039238,0.43104004859924316,0.47980591654777527,-0.02057897113263607,0.4231221675872803,0.49112850427627563,-0.016547109931707382,0.41363149881362915,0.49433043599128723,-0.013921068049967289,0.4223049283027649,0.491019070148468,-0.01767103746533394,0.4349530041217804,0.5004103183746338,-0.01961144059896469,0.4267869293689728,0.5107870101928711,-0.014569909311830997,0.41781845688819885,0.5140895843505859,-0.010399343445897102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3658874034881592,0.5238103866577148,-2.4414244848003364e-08,0.35774075984954834,0.48112261295318604,-0.0022734436206519604,0.361544132232666,0.4342226982116699,-0.007296415511518717,0.36663928627967834,0.3960627317428589,-0.012786095961928368,0.3637405335903168,0.3675764203071594,-0.018576666712760925,0.3978365957736969,0.4195711016654968,-0.011405850760638714,0.42642301321029663,0.39301201701164246,-0.01622331701219082,0.44449299573898315,0.3783426582813263,-0.019222212955355644,0.458407998085022,0.3678332269191742,-0.021852126345038414,0.4082455337047577,0.437227338552475,-0.013930591754615307,0.4279818832874298,0.45482465624809265,-0.019413158297538757,0.41890665888786316,0.47014689445495605,-0.019318487495183945,0.40857088565826416,0.4741269648075104,-0.01947518065571785,0.41567927598953247,0.46425315737724304,-0.015887171030044556,0.43071413040161133,0.47898995876312256,-0.020667318254709244,0.4224373698234558,0.4900948703289032,-0.016377611085772514,0.4125552475452423,0.49302852153778076,-0.01375484000891447,0.4213748574256897,0.49120280146598816,-0.01797391287982464,0.43440955877304077,0.49996551871299744,-0.019765524193644524,0.4258025586605072,0.5101948976516724,-0.01452514436095953,0.4165574312210083,0.5134202837944031,-0.010327467694878578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3645975589752197,0.5250086784362793,-2.8046340361242983e-08,0.35718077421188354,0.48174604773521423,-0.0023287073709070683,0.36139681935310364,0.4339694380760193,-0.007437729276716709,0.3667108416557312,0.3951824903488159,-0.013026004657149315,0.3640930950641632,0.3663833439350128,-0.01891724206507206,0.39770007133483887,0.41976362466812134,-0.011418566107749939,0.42628005146980286,0.3938394784927368,-0.01677083596587181,0.4444795846939087,0.3792210817337036,-0.02019403502345085,0.45839256048202515,0.3686341941356659,-0.023100556805729866,0.40805360674858093,0.43791645765304565,-0.014140147715806961,0.4278021454811096,0.45537427067756653,-0.020218543708324432,0.4183594882488251,0.47067761421203613,-0.020264767110347748,0.4076492190361023,0.47446784377098083,-0.020384512841701508,0.4154086709022522,0.4653388261795044,-0.01635429449379444,0.43036124110221863,0.48010265827178955,-0.021303357556462288,0.4216918349266052,0.49097245931625366,-0.016684891656041145,0.41147157549858093,0.49361056089401245,-0.013837292790412903,0.42092016339302063,0.49311187863349915,-0.01877119205892086,0.43319791555404663,0.5020983219146729,-0.02060241438448429,0.4240296483039856,0.5119030475616455,-0.015222128480672836,0.41467976570129395,0.5147078037261963,-0.010925298556685448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.36318132281303406,0.528179407119751,-3.046837804276947e-08,0.356730580329895,0.4828943908214569,-0.0015648121479898691,0.36169108748435974,0.4349885582923889,-0.006151331588625908,0.3669265806674957,0.39646920561790466,-0.011296771466732025,0.36447879672050476,0.3680593967437744,-0.016785116866230965,0.39740118384361267,0.4217776358127594,-0.010508469305932522,0.426272451877594,0.396768718957901,-0.015259484760463238,0.4445081651210785,0.38270917534828186,-0.018340665847063065,0.4583902060985565,0.37215951085090637,-0.021101366728544235,0.4076525568962097,0.4403792917728424,-0.013432277366518974,0.4275331199169159,0.4563191831111908,-0.01870390959084034,0.4184286594390869,0.4714321792125702,-0.01850471831858158,0.4076857268810272,0.47523295879364014,-0.018620533868670464,0.4148111343383789,0.4683244526386261,-0.01577569916844368,0.42990240454673767,0.48140594363212585,-0.019776176661252975,0.4215364158153534,0.4921005070209503,-0.015058758668601513,0.41134113073349,0.4947824478149414,-0.012401835061609745,0.41984400153160095,0.49669158458709717,-0.018305135890841484,0.43250057101249695,0.5046268701553345,-0.01957639493048191,0.42361360788345337,0.513927161693573,-0.014241746626794338,0.41415631771087646,0.516913890838623,-0.010137996636331081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.36175671219825745,0.5311174392700195,-3.225612488222396e-08,0.3555002808570862,0.4854152798652649,-0.0013523232191801071,0.3606370687484741,0.4375881850719452,-0.005978252738714218,0.3663516342639923,0.39889463782310486,-0.01117086410522461,0.36409398913383484,0.3704162836074829,-0.016729768365621567,0.39650198817253113,0.42499595880508423,-0.010902094654738903,0.4259241819381714,0.3999515175819397,-0.015946825966238976,0.4444253146648407,0.38573598861694336,-0.019160207360982895,0.4586765766143799,0.37514758110046387,-0.02196413464844227,0.40688663721084595,0.4439329504966736,-0.013855597004294395,0.4272845685482025,0.4596051573753357,-0.01910836063325405,0.4178040623664856,0.4743749797344208,-0.018543493002653122,0.4066995680332184,0.47813257575035095,-0.01840839721262455,0.41397950053215027,0.4723261594772339,-0.016210870817303658,0.42911404371261597,0.48520976305007935,-0.020256783813238144,0.4205472469329834,0.4958221912384033,-0.015245242975652218,0.4101575016975403,0.4986412525177002,-0.012381681241095066,0.4189549684524536,0.5010629892349243,-0.01871347427368164,0.4312705397605896,0.5086961388587952,-0.019960928708314896,0.4221244156360626,0.5181993246078491,-0.014387029223144054,0.41258302330970764,0.5213673114776611,-0.010121873579919338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3601405918598175,0.5344159603118896,-3.517385493978509e-08,0.3539581000804901,0.488026887178421,-0.0014656113926321268,0.3592759370803833,0.43924492597579956,-0.0063045998103916645,0.3651149868965149,0.3994893431663513,-0.011693308129906654,0.3630252480506897,0.36984872817993164,-0.017467806115746498,0.39509856700897217,0.4275623857975006,-0.011312575079500675,0.4250936508178711,0.40297946333885193,-0.016386820003390312,0.44382765889167786,0.3894258439540863,-0.019576000049710274,0.4583454132080078,0.3792746961116791,-0.022388193756341934,0.4055418074131012,0.4465816020965576,-0.01428193598985672,0.42575135827064514,0.4626447260379791,-0.019366823136806488,0.4159122109413147,0.477379709482193,-0.01858706772327423,0.4045851528644562,0.4810497760772705,-0.018429338932037354,0.41256245970726013,0.475391685962677,-0.01665506511926651,0.4273403286933899,0.4883183240890503,-0.02052907831966877,0.4185888171195984,0.49893322587013245,-0.015300767496228218,0.40806370973587036,0.5017591714859009,-0.012424860149621964,0.4173493981361389,0.5045276284217834,-0.019189264625310898,0.42949023842811584,0.5118672251701355,-0.0202974621206522,0.4202440083026886,0.5213971138000488,-0.014546632766723633,0.41058018803596497,0.5246474146842957,-0.010232781991362572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.35853394865989685,0.5371881723403931,-3.704885997990459e-08,0.3517987132072449,0.487617552280426,-0.0010118884965777397,0.3569590449333191,0.44004127383232117,-0.00584659818559885,0.3629165291786194,0.4011038541793823,-0.011197539046406746,0.3613830804824829,0.3719445466995239,-0.016980284824967384,0.3937767744064331,0.43013641238212585,-0.011184302158653736,0.42417192459106445,0.4063248038291931,-0.016049010679125786,0.4428708851337433,0.3939305543899536,-0.01913108490407467,0.4574589431285858,0.38512077927589417,-0.021823078393936157,0.4047921597957611,0.45128172636032104,-0.014036057516932487,0.42423418164253235,0.463792622089386,-0.01814224012196064,0.4139142334461212,0.47694480419158936,-0.016658073291182518,0.40246066451072693,0.48138856887817383,-0.016244657337665558,0.41176044940948486,0.4812203049659729,-0.016261115670204163,0.42599785327911377,0.49023669958114624,-0.0189516618847847,0.4170665740966797,0.49972957372665405,-0.01317793782800436,0.4064413905143738,0.5034286379814148,-0.010255742818117142,0.41628000140190125,0.5109925270080566,-0.01862507313489914,0.4267304539680481,0.5155454874038696,-0.018679415807127953,0.4175030291080475,0.5238767862319946,-0.01247545424848795,0.4081185758113861,0.5273398756980896,-0.00806150957942009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3554418683052063,0.5396989583969116,-4.3441936270482984e-08,0.34903332591056824,0.48938530683517456,-0.00038145255530253053,0.35472023487091064,0.44020238518714905,-0.004954972770065069,0.3610368072986603,0.40017032623291016,-0.010125850327312946,0.359321266412735,0.37032216787338257,-0.015723779797554016,0.3909572958946228,0.4307529330253601,-0.01043123472481966,0.4215463101863861,0.40789926052093506,-0.015204978175461292,0.4402829110622406,0.3973076343536377,-0.018162574619054794,0.45511481165885925,0.390483558177948,-0.020711300894618034,0.40174415707588196,0.45264238119125366,-0.013445704244077206,0.42237523198127747,0.4641486406326294,-0.01738535612821579,0.4115731716156006,0.4776129126548767,-0.015648270025849342,0.3995545506477356,0.482504665851593,-0.01494603417813778,0.4086458086967468,0.4832191467285156,-0.015819253399968147,0.42405372858047485,0.4914534091949463,-0.018383661285042763,0.41478604078292847,0.5014116168022156,-0.012491792440414429,0.40375834703445435,0.5055493116378784,-0.009404512122273445,0.4132072329521179,0.513752818107605,-0.018236201256513596,0.42484864592552185,0.5171511769294739,-0.01815539225935936,0.41539686918258667,0.525588870048523,-0.011845867149531841,0.4057609736919403,0.5293667912483215,-0.007351937238126993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.35252583026885986,0.5426198244094849,-1.3683624899840652e-08,0.34640154242515564,0.48960888385772705,-0.0005752458819188178,0.3520503342151642,0.4384235143661499,-0.005409883800894022,0.3579227030277252,0.3985005021095276,-0.01071847416460514,0.3568342328071594,0.36912304162979126,-0.016358040273189545,0.38620877265930176,0.43041905760765076,-0.01105543039739132,0.4194675385951996,0.4104060232639313,-0.016684871166944504,0.4399315118789673,0.40366071462631226,-0.020187022164463997,0.4559428095817566,0.400163471698761,-0.02293965220451355,0.3969935476779938,0.4547988176345825,-0.014042398892343044,0.4204239845275879,0.46259963512420654,-0.01829870603978634,0.4106447398662567,0.47704872488975525,-0.016168752685189247,0.3991186320781708,0.48291653394699097,-0.015232603065669537,0.4044787287712097,0.48614752292633057,-0.01652725413441658,0.423033207654953,0.4905041456222534,-0.01900181919336319,0.4143642485141754,0.5013735294342041,-0.012265797704458237,0.4032839834690094,0.5063924193382263,-0.008718892931938171,0.409533828496933,0.5173795223236084,-0.01911589875817299,0.42366617918014526,0.5170760750770569,-0.01902434043586254,0.41434791684150696,0.5257197618484497,-0.012302792631089687,0.4043286442756653,0.5300065279006958,-0.0076134041883051395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
