frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642236590385437,0.5063062310218811,-3.358697711064451e-07,0.6275466680526733,0.4482502043247223,0.004843325819820166,0.614759087562561,0.39672476053237915,0.0014772632857784629,0.6063089370727539,0.3582577407360077,-0.004061875399202108,0.6039186120033264,0.3261694014072418,-0.009707512333989143,0.6179747581481934,0.3584536015987396,-0.004526724107563496,0.5815891623497009,0.3560759425163269,-0.014294479042291641,0.5614932179450989,0.37133699655532837,-0.021319856867194176,0.547944962978363,0.3858290910720825,-0.02585732191801071,0.6186949610710144,0.3754681646823883,-0.012274300679564476,0.5746273994445801,0.38731828331947327,-0.020026374608278275,0.5748250484466553,0.40698865056037903,-0.021866919472813606,0.5809942483901978,0.4168912172317505,-0.024457590654492378,0.6179474592208862,0.40124794840812683,-0.019766852259635925,0.5766169428825378,0.41446250677108765,-0.02488544024527073,0.5850370526313782,0.4325958788394928,-0.020560666918754578,0.5967799425125122,0.4356113076210022,-0.01915959268808365,0.617214560508728,0.43115875124931335,-0.02734871581196785,0.5866335034370422,0.4377240538597107,-0.030801337212324142,0.5923372507095337,0.448105126619339,-0.027527829632163048,0.6008901596069336,0.44901564717292786,-0.025492224842309952
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6457214951515198,0.48211541771888733,-2.1850658527000633e-07,0.6388043761253357,0.4322235882282257,0.0016996382037177682,0.6297219395637512,0.38436341285705566,-0.0025461537297815084,0.6206768155097961,0.34743404388427734,-0.007457214407622814,0.6155465245246887,0.3135099709033966,-0.012042826972901821,0.6307518482208252,0.35144901275634766,-0.008665488101541996,0.5956438779830933,0.34158697724342346,-0.017166465520858765,0.5767387747764587,0.34981364011764526,-0.02109663002192974,0.5638940334320068,0.3585296869277954,-0.023494526743888855,0.6308436393737793,0.36468759179115295,-0.013506119139492512,0.5882624387741089,0.3703860342502594,-0.020608730614185333,0.5911592841148376,0.3903859257698059,-0.019669458270072937,0.6003361344337463,0.39861974120140076,-0.02011270821094513,0.628470778465271,0.38624122738838196,-0.018307067453861237,0.5895242691040039,0.39369213581085205,-0.02320905029773712,0.5957321524620056,0.41238659620285034,-0.01731274649500847,0.6057766675949097,0.41656437516212463,-0.014737430959939957,0.6253163814544678,0.4117124378681183,-0.02327532134950161,0.5957040786743164,0.41790494322776794,-0.02722003124654293,0.600167989730835,0.4293716847896576,-0.024933896958827972,0.6079304218292236,0.42931750416755676,-0.023751065135002136
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6457589864730835,0.47393369674682617,-1.8779938670832053e-07,0.6388145089149475,0.4301050007343292,0.0008688144735060632,0.6292315721511841,0.3838174343109131,-0.0028778838459402323,0.6221234202384949,0.3478654623031616,-0.007199379149824381,0.6186290979385376,0.3161156177520752,-0.011206956580281258,0.6312575340270996,0.346223920583725,-0.006804753560572863,0.5959423184394836,0.33985862135887146,-0.016124414280056953,0.575484037399292,0.34258654713630676,-0.021925684064626694,0.5608550906181335,0.34708526730537415,-0.025645319372415543,0.6309951543807983,0.3597122132778168,-0.011450910940766335,0.5893973112106323,0.3655518889427185,-0.019487963989377022,0.5935118794441223,0.3842841684818268,-0.01953461579978466,0.6033733487129211,0.39137306809425354,-0.020038634538650513,0.6287977695465088,0.38130706548690796,-0.016377413645386696,0.5904222130775452,0.3885801136493683,-0.02348587103188038,0.5969823598861694,0.4069876968860626,-0.018443046137690544,0.6071570515632629,0.4103650748729706,-0.015267551876604557,0.6266998648643494,0.4074575901031494,-0.021490678191184998,0.5976153016090393,0.4127676486968994,-0.027036461979150772,0.6023979187011719,0.42516252398490906,-0.02474973164498806,0.610320508480072,0.426783949136734,-0.02278691902756691
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6407171487808228,0.47582828998565674,-2.0379154364036367e-07,0.6329769492149353,0.43214181065559387,0.0017072610789909959,0.6225960850715637,0.38594457507133484,-0.0017165533499792218,0.6141193509101868,0.3510421812534332,-0.005754354875534773,0.6106197237968445,0.3188894987106323,-0.009796795435249805,0.6213499903678894,0.349447101354599,-0.007275729440152645,0.5866255760192871,0.34593889117240906,-0.016539162024855614,0.5662726759910583,0.3506302237510681,-0.022821364924311638,0.5512508153915405,0.35660451650619507,-0.026994425803422928,0.6223050355911255,0.3635809123516083,-0.01225754339247942,0.5814903974533081,0.37742602825164795,-0.019434209913015366,0.5867931246757507,0.3958074450492859,-0.0198511965572834,0.5969699621200562,0.40141522884368896,-0.02119491994380951,0.6213104724884033,0.38597995042800903,-0.017357027158141136,0.5835517644882202,0.39908066391944885,-0.02344380132853985,0.5913320779800415,0.41577571630477905,-0.018835367634892464,0.6017295718193054,0.4178251028060913,-0.01653726026415825,0.6203488707542419,0.4122067987918854,-0.02260449528694153,0.591011106967926,0.42035526037216187,-0.02809504233300686,0.5965149402618408,0.4317784011363983,-0.026228349655866623,0.6044735908508301,0.4326125979423523,-0.024743767455220222
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6407853960990906,0.4743618965148926,-1.8629673093073507e-07,0.6335446834564209,0.4319238066673279,0.0010906087700277567,0.6224796772003174,0.3858921229839325,-0.0023261751048266888,0.6148267984390259,0.3508775532245636,-0.006265147123485804,0.6112766861915588,0.31990212202072144,-0.010163220576941967,0.621732234954834,0.3488721549510956,-0.006689965724945068,0.5862091183662415,0.34756574034690857,-0.01622885838150978,0.5653352737426758,0.35047686100006104,-0.022867005318403244,0.5499310493469238,0.35425445437431335,-0.02735753357410431,0.6223882436752319,0.3639245927333832,-0.011537402868270874,0.5814001560211182,0.37698501348495483,-0.01976235955953598,0.5872471332550049,0.3945252001285553,-0.020500358194112778,0.5978184342384338,0.3997179865837097,-0.021600477397441864,0.6210484504699707,0.3867938816547394,-0.016634810715913773,0.5836967825889587,0.39979785680770874,-0.024238238111138344,0.5915021300315857,0.41636428236961365,-0.019468005746603012,0.6015791296958923,0.4181981682777405,-0.016378726810216904,0.6197804808616638,0.4133942425251007,-0.021861623972654343,0.5913337469100952,0.42064860463142395,-0.027969174087047577,0.5970935821533203,0.4325491786003113,-0.025523051619529724,0.6050153970718384,0.43398937582969666,-0.023302622139453888
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6351010799407959,0.4797537922859192,-2.057392265442104e-07,0.6267052292823792,0.43786129355430603,0.0012102510081604123,0.6131178736686707,0.3932845890522003,-0.0020897751674056053,0.6025377511978149,0.35920417308807373,-0.005718071945011616,0.598551332950592,0.3272238075733185,-0.009451794438064098,0.6099114418029785,0.35811689496040344,-0.008085017092525959,0.5756092071533203,0.3585887551307678,-0.016713641583919525,0.5552228093147278,0.36716607213020325,-0.022227708250284195,0.5401644706726074,0.37669599056243896,-0.025775078684091568,0.6109017729759216,0.3734254837036133,-0.012380922213196754,0.5718843936920166,0.3883732855319977,-0.018969936296343803,0.5745109915733337,0.4070861339569092,-0.019308101385831833,0.5822318196296692,0.41380035877227783,-0.02054804190993309,0.6101269721984863,0.3965196907520294,-0.01660209707915783,0.5743106603622437,0.4126241207122803,-0.022387279197573662,0.5817046761512756,0.42971640825271606,-0.018080297857522964,0.5914795994758606,0.430935263633728,-0.015925945714116096,0.6092281341552734,0.42321866750717163,-0.020862339064478874,0.5821462869644165,0.43383046984672546,-0.026106761768460274,0.5881050825119019,0.44502779841423035,-0.024036316201090813,0.595931887626648,0.44444024562835693,-0.022359728813171387
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6290988922119141,0.48661497235298157,-1.857959830431355e-07,0.6203083992004395,0.4437417685985565,0.0010759835131466389,0.6050774455070496,0.39971962571144104,-0.0023708203807473183,0.593072772026062,0.36652475595474243,-0.006205798592418432,0.5872226357460022,0.3350909948348999,-0.010198840871453285,0.5992061495780945,0.36980172991752625,-0.00753249553963542,0.5654205083847046,0.37645137310028076,-0.015751969069242477,0.5465998649597168,0.3875618278980255,-0.02166445180773735,0.5330437421798706,0.3975805938243866,-0.025775408372282982,0.5996974110603333,0.38572677969932556,-0.011450295336544514,0.5628513097763062,0.404485821723938,-0.017645133659243584,0.567686915397644,0.4188558757305145,-0.018153909593820572,0.5762010216712952,0.42171257734298706,-0.019831381738185883,0.5995690226554871,0.40874430537223816,-0.015261843800544739,0.5651333332061768,0.4259830713272095,-0.020610501989722252,0.5735419988632202,0.4397251307964325,-0.01600470580160618,0.5835654735565186,0.4398130774497986,-0.0138656385242939,0.5997896194458008,0.4347628057003021,-0.019171511754393578,0.5737780928611755,0.4455064535140991,-0.02423495054244995,0.5805280804634094,0.45453280210494995,-0.022104160860180855,0.5886993408203125,0.4531385898590088,-0.02048303186893463
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6280104517936707,0.4860275983810425,-1.8065894380470127e-07,0.6185645461082458,0.44371917843818665,0.0016640538815408945,0.6021373867988586,0.4024185538291931,-0.0019130657892674208,0.5899520516395569,0.37043386697769165,-0.005872639361768961,0.5857135653495789,0.34016153216362,-0.01004286389797926,0.5942736864089966,0.3776654005050659,-0.009020809084177017,0.5611153244972229,0.3876049518585205,-0.0169768575578928,0.5434743165969849,0.40220171213150024,-0.022116025909781456,0.531460165977478,0.41556668281555176,-0.02562333270907402,0.5947957634925842,0.3943893313407898,-0.01315851416438818,0.5584684610366821,0.4159776270389557,-0.018736466765403748,0.5643394589424133,0.430067777633667,-0.018236299976706505,0.5733044147491455,0.4312053620815277,-0.01932120881974697,0.5953735113143921,0.4170345366001129,-0.017064949497580528,0.5615636706352234,0.43721118569374084,-0.021664761006832123,0.5701472759246826,0.44958481192588806,-0.016990305855870247,0.5798929929733276,0.4472893178462982,-0.015033431351184845,0.5965672135353088,0.44256722927093506,-0.020981302484869957,0.569997251033783,0.456052303314209,-0.0253595020622015,0.5765361189842224,0.46319741010665894,-0.023203717544674873,0.584455132484436,0.4604622423648834,-0.02177456207573414
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6264172792434692,0.4850635528564453,-1.8366868914654333e-07,0.6183871030807495,0.4442020654678345,0.0016208045417442918,0.6023362874984741,0.4040653705596924,-0.0011791104916483164,0.5895379185676575,0.37450137734413147,-0.0043115695007145405,0.5833206176757812,0.3470247685909271,-0.007506989873945713,0.5939246416091919,0.37541893124580383,-0.008611634373664856,0.5594034194946289,0.3868931829929352,-0.015846358612179756,0.5421789288520813,0.401872456073761,-0.020122315734624863,0.5308107733726501,0.41372185945510864,-0.023118803277611732,0.5944347381591797,0.3905292749404907,-0.012843700125813484,0.5570303797721863,0.41297054290771484,-0.018699420616030693,0.5631696581840515,0.42910754680633545,-0.017958639189600945,0.5729814767837524,0.4316537082195282,-0.018381595611572266,0.594690203666687,0.4129043221473694,-0.016859285533428192,0.5600950121879578,0.4322523772716522,-0.022213080897927284,0.5686018466949463,0.4469417929649353,-0.017652742564678192,0.5786885023117065,0.44672876596450806,-0.015250379219651222,0.5956112742424011,0.4389871060848236,-0.02082773856818676,0.5698451995849609,0.45351192355155945,-0.02607543021440506,0.5764361023902893,0.462024450302124,-0.02427131123840809,0.5848549008369446,0.4602542221546173,-0.022746054455637932
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6299062371253967,0.4866998493671417,-1.7940021734830225e-07,0.6203124523162842,0.4449295997619629,0.0020528098102658987,0.604529619216919,0.4057699739933014,-0.00025720629491843283,0.5919091701507568,0.3767607808113098,-0.00327413622289896,0.5863431692123413,0.35369008779525757,-0.0057530952617526054,0.5954559445381165,0.38185855746269226,-0.006100453436374664,0.5616545677185059,0.3989757001399994,-0.01318046823143959,0.5632144808769226,0.4164081811904907,-0.01582612656056881,0.5702282190322876,0.4198872148990631,-0.016997389495372772,0.5957494974136353,0.39639076590538025,-0.01014955434948206,0.5585679411888123,0.4207899570465088,-0.016132118180394173,0.5651824474334717,0.4352778494358063,-0.014937149360775948,0.5744034647941589,0.433472603559494,-0.014501187019050121,0.5959400534629822,0.4165496826171875,-0.014209996908903122,0.5622038245201111,0.43874016404151917,-0.019728483632206917,0.5704637169837952,0.45138081908226013,-0.015989454463124275,0.5797099471092224,0.4493147134780884,-0.013728859834372997,0.5963892340660095,0.44022926688194275,-0.018153727054595947,0.573643684387207,0.45785993337631226,-0.022830110043287277,0.5806142687797546,0.46610692143440247,-0.02187400870025158,0.5885753035545349,0.46288004517555237,-0.02074700966477394
