frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.4118870496749878,0.4769323766231537,-1.0613456424835022e-07,0.41732561588287354,0.4323940575122833,0.008184532634913921,0.4359491467475891,0.3990994393825531,0.008555584587156773,0.4531693160533905,0.3736051917076111,0.006979014258831739,0.4583256244659424,0.3478785455226898,0.0049978322349488735,0.45172539353370667,0.3776223063468933,-0.0028118253685534,0.48597538471221924,0.37657779455184937,-0.0056459615007042885,0.5013090968132019,0.38419488072395325,-0.0060141803696751595,0.5115576386451721,0.38985270261764526,-0.006514419335871935,0.45734691619873047,0.395927369594574,-0.009952104650437832,0.48769399523735046,0.41895076632499695,-0.01271296851336956,0.4791353940963745,0.43441781401634216,-0.010355530306696892,0.4691055417060852,0.4342416822910309,-0.009129728190600872,0.4605337381362915,0.4220997989177704,-0.015859883278608322,0.48589062690734863,0.4456777274608612,-0.01686144433915615,0.4755261242389679,0.4572288691997528,-0.01174145843833685,0.4660927653312683,0.45424243807792664,-0.0093919038772583,0.4622786343097687,0.44850584864616394,-0.021211795508861542,0.47673270106315613,0.47125551104545593,-0.018927069380879402,0.4668342173099518,0.47901517152786255,-0.014061829075217247,0.4582550823688507,0.47275495529174805,-0.011258884333074093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.41209304332733154,0.4770003855228424,-1.4649669033417467e-08,0.41761985421180725,0.4302358627319336,0.00793449580669403,0.43618911504745483,0.39791861176490784,0.008030407130718231,0.45336881279945374,0.37387269735336304,0.006463807076215744,0.4584738612174988,0.3498830795288086,0.004239638801664114,0.45037636160850525,0.3787764310836792,-0.004843175411224365,0.48296108841896057,0.37848225235939026,-0.007645220495760441,0.4998614192008972,0.38437536358833313,-0.008176976814866066,0.5121345520019531,0.38845595717430115,-0.008738536387681961,0.4562525749206543,0.39614245295524597,-0.01118713803589344,0.4861520826816559,0.41831812262535095,-0.012210817076265812,0.4790842533111572,0.43390029668807983,-0.008693947456777096,0.4703276753425598,0.43425652384757996,-0.00705349026247859,0.4595738351345062,0.4228074252605438,-0.01613776758313179,0.48456910252571106,0.44342660903930664,-0.014951424673199654,0.4763510823249817,0.45492252707481384,-0.008332062512636185,0.4671841263771057,0.45435965061187744,-0.005436120089143515,0.4608384370803833,0.45016756653785706,-0.02068951353430748,0.47674882411956787,0.46951034665107727,-0.01697194017469883,0.46916210651397705,0.47751569747924805,-0.011146030388772488,0.4610898196697235,0.47472211718559265,-0.007848693989217281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4100409150123596,0.4738425612449646,-3.2909571956452055e-08,0.4155067205429077,0.4267551600933075,0.008315645158290863,0.43424710631370544,0.3927820324897766,0.009778382256627083,0.4502069354057312,0.3679993152618408,0.009591752663254738,0.454844206571579,0.34494826197624207,0.009016085416078568,0.4480026662349701,0.37434840202331543,-0.002041551284492016,0.4792165756225586,0.37879469990730286,-0.004412281326949596,0.494032084941864,0.3903801441192627,-0.004894766956567764,0.5036317706108093,0.39987340569496155,-0.005384492687880993,0.4539382755756378,0.3925522267818451,-0.008367063477635384,0.48209673166275024,0.41559791564941406,-0.008875771425664425,0.47535765171051025,0.43085113167762756,-0.006070725154131651,0.4668363928794861,0.4317556619644165,-0.005083555355668068,0.4572768211364746,0.4192911684513092,-0.013447440229356289,0.4807784855365753,0.44051605463027954,-0.01226172037422657,0.4724399745464325,0.45185184478759766,-0.006597092840820551,0.46359026432037354,0.4507090449333191,-0.004362337291240692,0.4586712419986725,0.44668322801589966,-0.018104063346982002,0.47345098853111267,0.46668604016304016,-0.014596383087337017,0.4652397036552429,0.47415030002593994,-0.009359986521303654,0.45686793327331543,0.470395565032959,-0.006509508937597275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.40626370906829834,0.47254306077957153,-3.7276315367762436e-08,0.4114059507846832,0.4264439344406128,0.004545725882053375,0.429596871137619,0.3907776176929474,0.004429124295711517,0.4448222517967224,0.3639199137687683,0.002961937105283141,0.44887053966522217,0.33832111954689026,0.0015821711858734488,0.4453973174095154,0.3746233582496643,-0.002416828414425254,0.4759730398654938,0.38222596049308777,-0.00564943440258503,0.4865580201148987,0.39821818470954895,-0.006683508399873972,0.4911079704761505,0.41146332025527954,-0.007351398933678865,0.45106011629104614,0.39171621203422546,-0.007470439188182354,0.4776122272014618,0.4181337058544159,-0.008312137797474861,0.4712313413619995,0.43343445658683777,-0.006318195722997189,0.4635210335254669,0.43517011404037476,-0.005920387804508209,0.45394888520240784,0.41723623871803284,-0.011913299560546875,0.4762967824935913,0.4413968026638031,-0.01137376669794321,0.4676583409309387,0.45220860838890076,-0.006466480903327465,0.459217369556427,0.45096325874328613,-0.004631837829947472,0.45541611313819885,0.44423431158065796,-0.016362478956580162,0.4692946672439575,0.46595528721809387,-0.013789720833301544,0.4609394073486328,0.4730730354785919,-0.00908595509827137,0.45318812131881714,0.46935343742370605,-0.0064145042560994625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3999362885951996,0.4710730314254761,-1.272291001441772e-07,0.40482768416404724,0.4256393611431122,0.0011973808286711574,0.42278942465782166,0.38647201657295227,0.00025249511236324906,0.43741193413734436,0.3578576445579529,-0.00125437683891505,0.4402526617050171,0.33110418915748596,-0.0018734122859314084,0.4403245747089386,0.3720756769180298,-0.003082429524511099,0.4681072533130646,0.3859642446041107,-0.0072373272851109505,0.4663010537624359,0.4053661525249481,-0.009387320838868618,0.4595559239387512,0.4133554995059967,-0.010632222518324852,0.4469124674797058,0.39215606451034546,-0.006709924433380365,0.4704608917236328,0.4175567030906677,-0.007077176123857498,0.46459099650382996,0.43237200379371643,-0.006197218783199787,0.4565572440624237,0.4332340955734253,-0.0068367887288331985,0.4504840672016144,0.4181646704673767,-0.010285922326147556,0.4698387384414673,0.4420888423919678,-0.00971422903239727,0.4621742069721222,0.45195066928863525,-0.006113477051258087,0.45389825105667114,0.44999396800994873,-0.0052613792940974236,0.4523112177848816,0.44556450843811035,-0.014121828600764275,0.4643228352069855,0.46501466631889343,-0.01217494998127222,0.4561418890953064,0.47222599387168884,-0.008270048536360264,0.44828855991363525,0.46891218423843384,-0.006158168893307447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.39340516924858093,0.4681921601295471,-1.3020159883581073e-07,0.3953236937522888,0.42080703377723694,-0.00039635514258407056,0.4108150005340576,0.38003915548324585,-0.0020619265269488096,0.42464762926101685,0.3494318425655365,-0.003954772371798754,0.42597442865371704,0.32260701060295105,-0.004912547301501036,0.43215206265449524,0.3694571256637573,-0.0029499537777155638,0.45641717314720154,0.38071703910827637,-0.006670735776424408,0.4520980417728424,0.395638108253479,-0.00884496234357357,0.4437311589717865,0.40058431029319763,-0.010266687721014023,0.43959182500839233,0.39133477210998535,-0.005770561285316944,0.46061742305755615,0.4081263244152069,-0.0055796061642467976,0.45385122299194336,0.42076748609542847,-0.004403850995004177,0.4452531337738037,0.4221493601799011,-0.0048687513917684555,0.4440080225467682,0.41757863759994507,-0.008796671405434608,0.46186041831970215,0.4333191514015198,-0.008495216257870197,0.45390695333480835,0.4422895908355713,-0.005002397578209639,0.444672167301178,0.4421052038669586,-0.004095590207725763,0.4460582733154297,0.4450550377368927,-0.012150838971138,0.4560166299343109,0.4589073657989502,-0.011164997704327106,0.4479178786277771,0.4653313457965851,-0.007760745473206043,0.43989402055740356,0.4636428952217102,-0.005815666634589434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.39364877343177795,0.4683617353439331,-1.0813003825660417e-07,0.39571622014045715,0.42119383811950684,-0.00041208998300135136,0.4101276993751526,0.3803177773952484,-0.002263057744130492,0.42336663603782654,0.34953027963638306,-0.004213009029626846,0.42538702487945557,0.3223899304866791,-0.0050656856037676334,0.43078193068504333,0.3671741187572479,-0.003293104935437441,0.45628947019577026,0.38169220089912415,-0.00706862099468708,0.4523431360721588,0.3961930572986603,-0.009129424579441547,0.444006085395813,0.4013068675994873,-0.010509154759347439,0.43883848190307617,0.39018404483795166,-0.005946595687419176,0.46068987250328064,0.40832018852233887,-0.006297812331467867,0.45446527004241943,0.42038437724113464,-0.0053421566262841225,0.44560250639915466,0.42166218161582947,-0.005770028568804264,0.4440029561519623,0.41716593503952026,-0.008744003251194954,0.46176162362098694,0.43381181359291077,-0.008735720068216324,0.4544907808303833,0.442410409450531,-0.00544924708083272,0.4454205334186554,0.4418080151081085,-0.00454936595633626,0.44729071855545044,0.44485509395599365,-0.011816883459687233,0.4569840729236603,0.45844119787216187,-0.011081475764513016,0.44915515184402466,0.46487635374069214,-0.007950173690915108,0.4413207173347473,0.463015615940094,-0.006080512888729572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3851014971733093,0.46506422758102417,-1.3022413725138904e-07,0.3864457309246063,0.417636901140213,-0.0009288635337725282,0.3992644250392914,0.3761565089225769,-0.0025702938437461853,0.41052302718162537,0.34463080763816833,-0.004443161655217409,0.4114123284816742,0.3182174265384674,-0.0053883446380496025,0.42125946283340454,0.36453989148139954,-0.0018696615006774664,0.44310876727104187,0.3788323700428009,-0.004971176851540804,0.4397732615470886,0.3944768011569977,-0.006944009102880955,0.4320845901966095,0.40033966302871704,-0.008349097333848476,0.42948469519615173,0.3848852515220642,-0.004193328786641359,0.4479139447212219,0.4060903787612915,-0.004151411820203066,0.44171759486198425,0.42033544182777405,-0.004009925294667482,0.43301212787628174,0.42205920815467834,-0.0049871704541146755,0.434938907623291,0.41017720103263855,-0.006697497330605984,0.45040902495384216,0.4301217496395111,-0.006837217602878809,0.4432162940502167,0.44125744700431824,-0.004607467912137508,0.4340387284755707,0.4420804977416992,-0.0041889348067343235,0.4379766881465912,0.43745309114456177,-0.00951923243701458,0.44597333669662476,0.45466944575309753,-0.009283851832151413,0.43855151534080505,0.46243423223495483,-0.006871767807751894,0.430604487657547,0.4614032208919525,-0.005277478136122227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.37960177659988403,0.46047741174697876,-1.0735230659975059e-07,0.37995460629463196,0.4144571125507355,-0.00015743993571959436,0.3909805119037628,0.37517639994621277,-0.0018038727575913072,0.4011547565460205,0.3447906970977783,-0.003895514877513051,0.40071624517440796,0.3198221027851105,-0.005382440984249115,0.41244304180145264,0.3620210289955139,-0.0020348867401480675,0.4337683320045471,0.3777637481689453,-0.005486018024384975,0.4330456256866455,0.3932659924030304,-0.008129846304655075,0.42734459042549133,0.4002174139022827,-0.010038490407168865,0.4210045039653778,0.381807804107666,-0.004780950956046581,0.43802616000175476,0.40440064668655396,-0.005153195466846228,0.4332408905029297,0.41778460144996643,-0.005814393516629934,0.4255704879760742,0.4199100136756897,-0.00740628968924284,0.42689990997314453,0.40690186619758606,-0.0075162723660469055,0.44047242403030396,0.42738956212997437,-0.007806533016264439,0.4340914487838745,0.43815749883651733,-0.005860356148332357,0.4260137975215912,0.43930110335350037,-0.00565539812669158,0.43077099323272705,0.43382710218429565,-0.010507243685424328,0.43807145953178406,0.4508056342601776,-0.010285833850502968,0.4312211275100708,0.45850831270217896,-0.007786956615746021,0.4240402579307556,0.45791903138160706,-0.006119993515312672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3789840340614319,0.4586186110973358,-1.087725536308426e-07,0.3769005835056305,0.41334229707717896,-0.0008241001632995903,0.3867521584033966,0.37501060962677,-0.002467032289132476,0.39695483446121216,0.3451724350452423,-0.004086111672222614,0.39589232206344604,0.3208693265914917,-0.004919525235891342,0.4079965353012085,0.3603060841560364,-0.003161217551678419,0.4296937882900238,0.37598395347595215,-0.005747833289206028,0.42770376801490784,0.39048632979393005,-0.007209685631096363,0.4202146828174591,0.3962027430534363,-0.008187430910766125,0.4174237549304962,0.38121795654296875,-0.005057633388787508,0.434687077999115,0.39917266368865967,-0.004879114683717489,0.4296599328517914,0.4112229347229004,-0.0046101887710392475,0.42101192474365234,0.4136965870857239,-0.005371410399675369,0.4238964021205902,0.4067957401275635,-0.006852293852716684,0.4377817213535309,0.42062193155288696,-0.006758319213986397,0.431753933429718,0.43035298585891724,-0.004345041234046221,0.42306411266326904,0.4321883022785187,-0.00368683272972703,0.42799028754234314,0.433510959148407,-0.008847168646752834,0.435964971780777,0.4448801875114441,-0.008707473054528236,0.42960748076438904,0.45207422971725464,-0.0060757542960345745,0.422160267829895,0.4522058367729187,-0.004158642143011093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
