frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.6654306054115295,0.6677255630493164,2.427145489036775e-07,0.6595163345336914,0.6407411098480225,-0.029937323182821274,0.6417860984802246,0.6358500123023987,-0.04580529034137726,0.6219435334205627,0.6415085196495056,-0.05731135234236717,0.6013810634613037,0.6430097818374634,-0.0676230862736702,0.5847098231315613,0.6478179693222046,-0.030847661197185516,0.5495595932006836,0.6397332549095154,-0.046050019562244415,0.5269760489463806,0.6405788660049438,-0.058115631341934204,0.5068725943565369,0.6451260447502136,-0.06631306558847427,0.5774227380752563,0.653769314289093,-0.023107171058654785,0.5389958024024963,0.6491514444351196,-0.038818128407001495,0.509922981262207,0.6517136096954346,-0.050031404942274094,0.48479163646698,0.6556822061538696,-0.05703968554735184,0.5763635635375977,0.6577357053756714,-0.01781150884926319,0.53912353515625,0.6510769724845886,-0.032640233635902405,0.5134276747703552,0.6511476635932922,-0.04118445888161659,0.49135395884513855,0.6517362594604492,-0.04554947838187218,0.579179584980011,0.6587383151054382,-0.014823022298514843,0.5513941645622253,0.6506063342094421,-0.026016606017947197,0.5310734510421753,0.6494221687316895,-0.030928947031497955,0.5136741399765015,0.6474584937095642,-0.0333377979695797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.6702773571014404,0.6688374876976013,2.1524898841107643e-07,0.646805465221405,0.658083438873291,-0.014365516602993011,0.616071879863739,0.660594642162323,-0.024353088811039925,0.5899407863616943,0.672286868095398,-0.032611604779958725,0.5649467706680298,0.6832430958747864,-0.040990471839904785,0.5826464891433716,0.6592504382133484,-0.022828128188848495,0.5432215929031372,0.6547040343284607,-0.03966112434864044,0.5152738094329834,0.6533144116401672,-0.05217796936631203,0.49289244413375854,0.6526582837104797,-0.060458872467279434,0.5842902660369873,0.6571003198623657,-0.023910459131002426,0.5433117151260376,0.6550621390342712,-0.03968186303973198,0.5131729245185852,0.6549162864685059,-0.050775669515132904,0.4873466491699219,0.6559877991676331,-0.05803152546286583,0.591917097568512,0.653095543384552,-0.02618633583188057,0.5547402501106262,0.6502285003662109,-0.04173348844051361,0.5308523774147034,0.6491028070449829,-0.05041544884443283,0.5110270380973816,0.649044394493103,-0.05541720241308212,0.604882001876831,0.6470087170600891,-0.02925473265349865,0.5841885209083557,0.645473301410675,-0.042868614196777344,0.5706211924552917,0.6443398594856262,-0.048273198306560516,0.5600977540016174,0.6429020762443542,-0.05095021426677704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.6709479093551636,0.6715841889381409,1.854801183753807e-07,0.653904378414154,0.6374814510345459,-0.006655950099229813,0.6327373385429382,0.6370104551315308,-0.014402637258172035,0.6167752146720886,0.639988124370575,-0.022770419716835022,0.5994797348976135,0.6429298520088196,-0.032052766531705856,0.5832498073577881,0.6632921695709229,-0.014578252099454403,0.5447442531585693,0.6559723019599915,-0.028926106169819832,0.5165572762489319,0.6544762253761292,-0.04052383452653885,0.4939762353897095,0.6549602150917053,-0.0488327257335186,0.5832623839378357,0.6634187698364258,-0.020265549421310425,0.5418775677680969,0.6607350707054138,-0.033596862107515335,0.5116658210754395,0.6607125401496887,-0.04430956766009331,0.4853024184703827,0.6617963910102844,-0.05218083783984184,0.589705765247345,0.6602381467819214,-0.0266733355820179,0.5505294799804688,0.6571917533874512,-0.039308905601501465,0.5244938135147095,0.6573068499565125,-0.04706102982163429,0.5016441941261292,0.6583536267280579,-0.05261233448982239,0.6014879941940308,0.6537495851516724,-0.03348613157868385,0.5789245963096619,0.6564004421234131,-0.045229848474264145,0.5626556277275085,0.660696268081665,-0.04946756362915039,0.5485472083091736,0.6635529398918152,-0.05203743651509285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6705549359321594,0.6634135842323303,2.699751462387212e-07,0.6645053029060364,0.6465328335762024,-0.03351719304919243,0.645667552947998,0.6488146781921387,-0.050454940646886826,0.6250616312026978,0.6519696116447449,-0.062082406133413315,0.6039177775382996,0.6555682420730591,-0.07250545173883438,0.5867473483085632,0.6655609607696533,-0.035942573100328445,0.5467206835746765,0.6656939387321472,-0.05184989422559738,0.5204987525939941,0.6651737689971924,-0.06499415636062622,0.4978548288345337,0.6663952469825745,-0.07399985194206238,0.581491231918335,0.6634646058082581,-0.025418231263756752,0.5404030084609985,0.6666840314865112,-0.04095696285367012,0.5108175873756409,0.6692212224006653,-0.053141236305236816,0.48529696464538574,0.6735094785690308,-0.06143772974610329,0.5816767811775208,0.658026397228241,-0.01729443110525608,0.5445184111595154,0.656499445438385,-0.03070037253201008,0.517750084400177,0.6579217314720154,-0.040518470108509064,0.4955761432647705,0.66109299659729,-0.04651697725057602,0.5851256251335144,0.650581419467926,-0.011883493512868881,0.5557518005371094,0.6459736824035645,-0.021860802546143532,0.5346132516860962,0.6479531526565552,-0.02817758172750473,0.5161141753196716,0.6498362421989441,-0.03225564584136009
5,0.6740700006484985,0.6734164953231812,2.4936750264714647e-07,0.6622602939605713,0.6500038504600525,-0.023289168253540993,0.6423718333244324,0.6531541347503662,-0.0369720384478569,0.6228802800178528,0.6585906744003296,-0.047879625111818314,0.6042401194572449,0.6620059609413147,-0.058002572506666183,0.5877428650856018,0.6741203665733337,-0.02434469200670719,0.5484854578971863,0.6732895970344543,-0.03943336755037308,0.5221655368804932,0.6745912432670593,-0.05179719999432564,0.5003215074539185,0.6774325966835022,-0.06001999229192734,0.5837849378585815,0.6766248345375061,-0.019892437383532524,0.5420513153076172,0.6790212392807007,-0.03485235944390297,0.512936532497406,0.6823304295539856,-0.045612484216690063,0.4878963232040405,0.685945451259613,-0.05241936445236206,0.584524929523468,0.67549729347229,-0.01758754998445511,0.5449733734130859,0.6735555529594421,-0.03042895533144474,0.5168653726577759,0.6734610199928284,-0.037499308586120605,0.49393025040626526,0.6732882857322693,-0.041352469474077225,0.5892218947410583,0.673103928565979,-0.017420556396245956,0.5591069459915161,0.6712615489959717,-0.026579391211271286,0.5371236801147461,0.6744809150695801,-0.03025507740676403,0.5184592008590698,0.6753466129302979,-0.03210936486721039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.6733052730560303,0.6732062101364136,2.414148241314251e-07,0.6618607044219971,0.6574675440788269,-0.024333829060196877,0.6424658298492432,0.6654816269874573,-0.0376586951315403,0.6223888993263245,0.6739718317985535,-0.04826132580637932,0.6044594049453735,0.6812872886657715,-0.05784863233566284,0.5871739387512207,0.6754458546638489,-0.02269631251692772,0.5488191246986389,0.681976854801178,-0.037612300366163254,0.5229070782661438,0.6870339512825012,-0.050021570175886154,0.5008885264396667,0.692681074142456,-0.05841194838285446,0.5826742649078369,0.6774573922157288,-0.018274808302521706,0.5419703722000122,0.684705376625061,-0.03394578397274017,0.51192307472229,0.6912713050842285,-0.0456729382276535,0.48521673679351807,0.6976277828216553,-0.05299695208668709,0.5818448066711426,0.6793704628944397,-0.01631690189242363,0.5431962609291077,0.6848627924919128,-0.030256561934947968,0.5160708427429199,0.6900213360786438,-0.038321543484926224,0.4937918782234192,0.6950241327285767,-0.042356524616479874,0.5843867063522339,0.6812887191772461,-0.01663328893482685,0.5536707639694214,0.683034360408783,-0.02692546881735325,0.5317100286483765,0.6881058812141418,-0.03147333115339279,0.5129319429397583,0.6914703845977783,-0.03362211957573891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.6741572618484497,0.6898972392082214,1.7553584541474265e-07,0.6573233604431152,0.6679230332374573,-0.012022621929645538,0.6351194381713867,0.6762098073959351,-0.02052617445588112,0.6159941554069519,0.6892051696777344,-0.029033709317445755,0.5987228751182556,0.6968788504600525,-0.037435438483953476,0.5890344381332397,0.6817688941955566,-0.012829364277422428,0.5505437850952148,0.6918598413467407,-0.026841269806027412,0.524607241153717,0.6995351910591125,-0.03812657669186592,0.5029571652412415,0.705924928188324,-0.045618828386068344,0.5864046812057495,0.6886688470840454,-0.01605374366044998,0.54259192943573,0.6998066306114197,-0.030441362410783768,0.5110362768173218,0.7081784009933472,-0.04163635894656181,0.4843127727508545,0.7147793769836426,-0.04877249151468277,0.5878738164901733,0.6963325142860413,-0.021064503118395805,0.546824038028717,0.7057231068611145,-0.033996742218732834,0.5191940665245056,0.711307942867279,-0.04218217730522156,0.497717022895813,0.7151315808296204,-0.0466228611767292,0.5932037830352783,0.7035253643989563,-0.027376897633075714,0.5616970062255859,0.7096365094184875,-0.03718084096908569,0.5394623279571533,0.7133724093437195,-0.0415830984711647,0.5216971635818481,0.7142459154129028,-0.04387667775154114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.673743724822998,0.7055803537368774,1.465711676473802e-07,0.6555261015892029,0.6797295808792114,-0.00915365107357502,0.6298510432243347,0.6861492395401001,-0.01501378882676363,0.6116911768913269,0.6999528408050537,-0.021249646320939064,0.5957905054092407,0.7091577053070068,-0.02775643765926361,0.5880500674247742,0.7005752921104431,-0.011173149570822716,0.5482656955718994,0.7162929773330688,-0.02384812757372856,0.5208225250244141,0.7242847681045532,-0.03395690768957138,0.4981829524040222,0.7313317060470581,-0.040690235793590546,0.5868252515792847,0.7086711525917053,-0.01549596432596445,0.5433927178382874,0.7246543765068054,-0.02837340719997883,0.5107084512710571,0.7328082323074341,-0.0391160286962986,0.4824772775173187,0.7388217449188232,-0.04613649100065231,0.5900776386260986,0.7157267332077026,-0.021249394863843918,0.5503826141357422,0.725943386554718,-0.03339339792728424,0.5225440263748169,0.7334632873535156,-0.042638227343559265,0.5001388788223267,0.7397235035896301,-0.047991156578063965,0.5972648859024048,0.7214131951332092,-0.02796250581741333,0.5670424103736877,0.7330273389816284,-0.0381084606051445,0.546039879322052,0.7386178970336914,-0.043291401118040085,0.5298132300376892,0.7408588528633118,-0.04610089212656021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.6686311960220337,0.7128196358680725,1.617697336087076e-07,0.6493533849716187,0.687519371509552,-0.008681771345436573,0.6238021850585938,0.6955980658531189,-0.014115524478256702,0.6048046946525574,0.7096186876296997,-0.019950220361351967,0.5888354182243347,0.7208025455474854,-0.025903286412358284,0.5817568898200989,0.7080312371253967,-0.009087816812098026,0.5429325103759766,0.7195231914520264,-0.021322309970855713,0.5164399743080139,0.7274400591850281,-0.03144082799553871,0.49521684646606445,0.7341537475585938,-0.03830306977033615,0.5815140008926392,0.7139574289321899,-0.013217690400779247,0.5397946238517761,0.7282378673553467,-0.025477200746536255,0.5079845786094666,0.7378011345863342,-0.03610522672533989,0.48090723156929016,0.7444958090782166,-0.0429619699716568,0.586247980594635,0.7175809741020203,-0.018799535930156708,0.5474470853805542,0.7296695709228516,-0.030192362144589424,0.5209361910820007,0.7360208630561829,-0.039200495928525925,0.4991568326950073,0.7402701377868652,-0.044799067080020905,0.5957355499267578,0.7191476225852966,-0.025348862633109093,0.5723533630371094,0.7259286642074585,-0.03500530868768692,0.5553840398788452,0.7307499647140503,-0.0399663969874382,0.5408709049224854,0.7329685688018799,-0.04282936453819275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.6651701927185059,0.7122887969017029,1.7024552789735026e-07,0.6457545757293701,0.6865853071212769,-0.011431780643761158,0.6206648349761963,0.695432186126709,-0.017330197617411613,0.6012879014015198,0.7118191719055176,-0.023104162886738777,0.5838711261749268,0.720921516418457,-0.028771284967660904,0.580362856388092,0.7070241570472717,-0.009258448146283627,0.5416519045829773,0.7172762155532837,-0.022212665528059006,0.5140820145606995,0.724737823009491,-0.03286053612828255,0.4915440082550049,0.7324185371398926,-0.03992319852113724,0.5786851048469543,0.7135372757911682,-0.01148573774844408,0.5378178954124451,0.7234241366386414,-0.02484072931110859,0.5063690543174744,0.7318952083587646,-0.03615756332874298,0.4791644811630249,0.7393138408660889,-0.043163448572158813,0.5808260440826416,0.718853771686554,-0.015546553768217564,0.542426347732544,0.7296366691589355,-0.028342366218566895,0.5148334503173828,0.7368417382240295,-0.03727077692747116,0.4925195574760437,0.7432633638381958,-0.04195764288306236,0.5867988467216492,0.7236918210983276,-0.020803818479180336,0.5588512420654297,0.7309916019439697,-0.031078705564141273,0.5374495983123779,0.7363031506538391,-0.03608401119709015,0.5195326805114746,0.7393931150436401,-0.038519978523254395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
