frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.35475412011146545,0.27706122398376465,-1.1240143038548922e-07,0.3803529143333435,0.27367302775382996,0.00014913981431163847,0.3973076045513153,0.2630208134651184,-0.002401323290541768,0.4112791419029236,0.2507755160331726,-0.006830959115177393,0.4117356538772583,0.2301502227783203,-0.009722110815346241,0.3877166211605072,0.19524599611759186,0.006941755767911673,0.4068477749824524,0.21264836192131042,-0.0029192669317126274,0.40086549520492554,0.235641747713089,-0.010756275616586208,0.39237180352211,0.23403385281562805,-0.015413357876241207,0.38281744718551636,0.18842262029647827,0.0020705803763121367,0.4059067368507385,0.20834103226661682,-0.006976684555411339,0.39852815866470337,0.23655101656913757,-0.0106514822691679,0.39010870456695557,0.23376516997814178,-0.011900413781404495,0.37813258171081543,0.18646079301834106,-0.0042592850513756275,0.4006870985031128,0.20991455018520355,-0.014055265113711357,0.3930456340312958,0.2359873652458191,-0.012870888225734234,0.3839178681373596,0.2309139519929886,-0.010186847299337387,0.3730497658252716,0.1896161288022995,-0.010737089440226555,0.3928641378879547,0.2120054066181183,-0.0163216982036829,0.387103408575058,0.23105871677398682,-0.01357534434646368,0.3778780698776245,0.22752445936203003,-0.010433783754706383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.35669469833374023,0.29232466220855713,-1.437199159681768e-07,0.3797711431980133,0.2955722212791443,-4.532317689154297e-05,0.3969523012638092,0.2819333076477051,-0.0013700650306418538,0.41187697649002075,0.26851385831832886,-0.004347821231931448,0.41166308522224426,0.25129756331443787,-0.0057495832443237305,0.3868550658226013,0.2136104702949524,0.008063968271017075,0.40593060851097107,0.23003236949443817,-0.0005596296396106482,0.39963629841804504,0.2539387047290802,-0.00716378353536129,0.3904561698436737,0.2550073564052582,-0.011208823882043362,0.38311928510665894,0.20763204991817474,0.003724527545273304,0.4060218632221222,0.22813184559345245,-0.004522280301898718,0.39856547117233276,0.2559754550457001,-0.007201266475021839,0.3899889886379242,0.25405263900756836,-0.00774840684607625,0.379390150308609,0.2061307579278946,-0.00220528244972229,0.4025292992591858,0.22978612780570984,-0.010971005074679852,0.39482542872428894,0.2552763819694519,-0.009485794231295586,0.3853297829627991,0.25196370482444763,-0.006871951278299093,0.3753521144390106,0.20975638926029205,-0.008437286131083965,0.3953744173049927,0.23337408900260925,-0.01343636866658926,0.38926735520362854,0.252519428730011,-0.011393727734684944,0.3801901340484619,0.25096479058265686,-0.008934673853218555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.35715800523757935,0.31340208649635315,-1.5009071319127543e-07,0.3765811324119568,0.3174683451652527,-0.0006479647126980126,0.3936154246330261,0.3044711649417877,-0.002362763276323676,0.40860676765441895,0.2917170524597168,-0.005387944635003805,0.4119967222213745,0.2729964852333069,-0.0068674031645059586,0.3869784474372864,0.2394120693206787,0.005903517361730337,0.406558632850647,0.25493842363357544,-0.0017953382339328527,0.399760365486145,0.27761146426200867,-0.007692763116210699,0.3901705741882324,0.2787172496318817,-0.01147916354238987,0.38383662700653076,0.23270335793495178,0.0021037913393229246,0.4060007631778717,0.2517794668674469,-0.004409588407725096,0.39867568016052246,0.27714967727661133,-0.006228520069271326,0.38988634943962097,0.2753044366836548,-0.006916084326803684,0.3801838755607605,0.23058730363845825,-0.0031656997743993998,0.40294408798217773,0.250733882188797,-0.010129163973033428,0.3954865634441376,0.27499300241470337,-0.008105308748781681,0.3856198787689209,0.2729257643222809,-0.005944356322288513,0.37602323293685913,0.23354505002498627,-0.008837325498461723,0.3958450257778168,0.25515174865722656,-0.013144061900675297,0.38982057571411133,0.2741667628288269,-0.011114603839814663,0.3802591562271118,0.2734495997428894,-0.009053296409547329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3559591770172119,0.33929330110549927,-1.3326177850103704e-07,0.37473827600479126,0.345294326543808,-0.0009541005128994584,0.39213892817497253,0.33133170008659363,-0.0024672269355505705,0.4054664373397827,0.31837403774261475,-0.005011744797229767,0.41036906838417053,0.30066344141960144,-0.006137792952358723,0.3836827874183655,0.26337647438049316,0.004385556560009718,0.403891921043396,0.2752205729484558,-0.002528600860387087,0.3994545340538025,0.2980975806713104,-0.008168661966919899,0.3905622065067291,0.30427104234695435,-0.011686117388308048,0.3806470036506653,0.25721320509910583,0.0011570242932066321,0.4038357734680176,0.27412480115890503,-0.004352301824837923,0.398590624332428,0.298775315284729,-0.00633775070309639,0.3899722397327423,0.3014732003211975,-0.007238917984068394,0.3778197169303894,0.25721052289009094,-0.003298883093520999,0.4023215174674988,0.2746264934539795,-0.009497759863734245,0.3965643346309662,0.29883313179016113,-0.007995416410267353,0.38760894536972046,0.30108213424682617,-0.006196985952556133,0.3748314380645752,0.26381027698516846,-0.008101779036223888,0.3960683047771454,0.2822141945362091,-0.012078235857188702,0.3911537826061249,0.30168065428733826,-0.010166044346988201,0.38253509998321533,0.30486375093460083,-0.008198047988116741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.35406309366226196,0.3660130202770233,-1.3838554480116727e-07,0.3735567629337311,0.37461090087890625,-0.0018486364278942347,0.39237284660339355,0.36336132884025574,-0.004176492337137461,0.4048900008201599,0.3503111004829407,-0.007147075608372688,0.40774011611938477,0.33233293890953064,-0.008955840952694416,0.3836946487426758,0.2909836173057556,0.0008058857638388872,0.40325385332107544,0.30465954542160034,-0.005919306538999081,0.39960020780563354,0.3285306394100189,-0.011233344674110413,0.3914847671985626,0.3385202884674072,-0.014469612389802933,0.37954092025756836,0.2846011519432068,-0.0019191817846149206,0.40217646956443787,0.3030661344528198,-0.0075014387257397175,0.3973841667175293,0.32786285877227783,-0.009761795401573181,0.38858693838119507,0.33459237217903137,-0.010837406851351261,0.3759521245956421,0.28587716817855835,-0.005544636864215136,0.3997296392917633,0.30574831366539,-0.011590399779379368,0.394673228263855,0.32914483547210693,-0.010513994842767715,0.38595959544181824,0.3341826796531677,-0.009051922708749771,0.3725009858608246,0.29432713985443115,-0.009496087208390236,0.3939454257488251,0.31325986981391907,-0.013326311483979225,0.3898391127586365,0.33351296186447144,-0.011524233967065811,0.3818728029727936,0.33987951278686523,-0.009641123935580254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.35006171464920044,0.3948976993560791,-1.294464482270996e-07,0.36989453434944153,0.4004053473472595,-0.0024666739627718925,0.3873355984687805,0.38715264201164246,-0.005213949363678694,0.3990103006362915,0.3761025667190552,-0.00844415184110403,0.40448564291000366,0.36064308881759644,-0.010340715758502483,0.3757936358451843,0.3172115385532379,-0.0014359017368406057,0.399474561214447,0.33510711789131165,-0.009050402790307999,0.3953701853752136,0.3584692180156708,-0.014607694931328297,0.3875536322593689,0.36761802434921265,-0.017883112654089928,0.3727344870567322,0.3150995075702667,-0.004092149902135134,0.39962688088417053,0.3341807723045349,-0.010960159823298454,0.39404788613319397,0.3567970395088196,-0.012756849639117718,0.38536158204078674,0.3651461899280548,-0.013074768707156181,0.3713940382003784,0.3207077085971832,-0.007696942426264286,0.3969530165195465,0.34077972173690796,-0.013832119293510914,0.3916303515434265,0.36170321702957153,-0.012169728055596352,0.38371652364730835,0.3683825731277466,-0.01013853121548891,0.3710785508155823,0.3334164321422577,-0.011801453307271004,0.39246344566345215,0.35087060928344727,-0.014967027120292187,0.38795965909957886,0.36894068121910095,-0.012950149364769459,0.3812294602394104,0.3758043944835663,-0.011012979783117771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3480197787284851,0.4212042987346649,-1.2995334941479086e-07,0.36339178681373596,0.4307325482368469,-0.005610261578112841,0.37986746430397034,0.4247846305370331,-0.009863687679171562,0.392974853515625,0.41374003887176514,-0.013824975118041039,0.40044185519218445,0.3996955454349518,-0.016445128247141838,0.37294214963912964,0.359327495098114,-0.005999878980219364,0.3957239091396332,0.37560325860977173,-0.01355207059532404,0.390792578458786,0.3984485864639282,-0.01859777234494686,0.3820953369140625,0.40752118825912476,-0.0213613323867321,0.3704635798931122,0.351997047662735,-0.00664788531139493,0.3950420618057251,0.3697861433029175,-0.013633123598992825,0.389339804649353,0.3918861746788025,-0.015470504760742188,0.38007816672325134,0.40052127838134766,-0.01565800979733467,0.37015649676322937,0.35199448466300964,-0.008143900893628597,0.39271485805511475,0.3708091974258423,-0.013987468555569649,0.38701802492141724,0.3919821083545685,-0.012090490199625492,0.37817713618278503,0.40083378553390503,-0.009686646983027458,0.3705487847328186,0.35796618461608887,-0.010287771932780743,0.3898181617259979,0.3717586398124695,-0.01317166443914175,0.3849220871925354,0.38954541087150574,-0.010778075084090233,0.3776037096977234,0.3979935646057129,-0.008228843100368977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3371453881263733,0.4801659882068634,-1.310269084342508e-07,0.36151614785194397,0.48131877183914185,-0.0006850320496596396,0.3778509199619293,0.46113279461860657,-0.003292568027973175,0.3890020251274109,0.4466959536075592,-0.007459211628884077,0.39724934101104736,0.43311646580696106,-0.009879997931420803,0.36826661229133606,0.3931008279323578,0.0013371212407946587,0.395700067281723,0.40679019689559937,-0.006964900065213442,0.3904600143432617,0.42853134870529175,-0.013156981207430363,0.38105064630508423,0.43619054555892944,-0.016573544591665268,0.3655034005641937,0.3952164351940155,-0.00288375117816031,0.39513662457466125,0.40919816493988037,-0.009991209954023361,0.3887978494167328,0.4298451542854309,-0.0122747253626585,0.3786633312702179,0.4368996024131775,-0.012974212877452374,0.36524370312690735,0.4060293138027191,-0.008119834586977959,0.39299115538597107,0.41900306940078735,-0.013758696615695953,0.38733258843421936,0.43915829062461853,-0.011193945072591305,0.3784942328929901,0.4469349980354309,-0.00877340603619814,0.3663164973258972,0.42370593547821045,-0.013841826468706131,0.38791826367378235,0.43433138728141785,-0.015807785093784332,0.3824253976345062,0.4515908360481262,-0.012132829055190086,0.3748793601989746,0.4604816436767578,-0.00933458935469389,0.36116835474967957,0.4219430983066559,-6.063951474288842e-08,0.37022534012794495,0.4280926585197449,-0.005568874068558216,0.3807997405529022,0.43113577365875244,-0.011378499679267406,0.3872748017311096,0.4387759566307068,-0.01641128771007061,0.38894838094711304,0.44431012868881226,-0.020935263484716415,0.3735291361808777,0.3988286256790161,-0.013999245129525661,0.39015090465545654,0.4228166937828064,-0.02102583460509777,0.38489586114883423,0.4367571771144867,-0.025229714810848236,0.3772438168525696,0.4418591856956482,-0.027995826676487923,0.3720375597476959,0.3893309235572815,-0.014167691580951214,0.3900071382522583,0.4110671281814575,-0.019457397982478142,0.3852294087409973,0.42128026485443115,-0.02047732286155224,0.37814781069755554,0.4222167134284973,-0.02163320779800415,0.3722139596939087,0.38634732365608215,-0.014329670928418636,0.38916075229644775,0.40551817417144775,-0.01785173825919628,0.38487792015075684,0.4161381721496582,-0.015737662091851234,0.3784625232219696,0.41638076305389404,-0.014744927175343037,0.3728328347206116,0.38795921206474304,-0.014949940145015717,0.3863386809825897,0.4044390022754669,-0.016248097643256187,0.38264477252960205,0.4163326919078827,-0.01354009285569191,0.37739020586013794,0.4188772737979889,-0.011949613690376282
9,0.33455023169517517,0.5128194689750671,-1.6509726208369102e-07,0.3577621281147003,0.5139591097831726,-0.0030160604510456324,0.3752482235431671,0.4956414997577667,-0.006842078175395727,0.38777968287467957,0.48150575160980225,-0.011235703714191914,0.3964783847332001,0.46666353940963745,-0.014259995892643929,0.3659597933292389,0.4249092936515808,-0.0032428845297545195,0.39320656657218933,0.44423216581344604,-0.011777068488299847,0.3878229558467865,0.4674018621444702,-0.01838282309472561,0.37820443511009216,0.47159695625305176,-0.022748272866010666,0.36422958970069885,0.42717695236206055,-0.0065161907114088535,0.39361709356307983,0.4483715295791626,-0.01386825367808342,0.3866245150566101,0.4701986014842987,-0.016530586406588554,0.3761344850063324,0.4728195071220398,-0.01794801838696003,0.36437341570854187,0.4382593035697937,-0.01058908924460411,0.3911685347557068,0.4578450918197632,-0.01683412864804268,0.3848457932472229,0.479012131690979,-0.014826983213424683,0.3754577934741974,0.48294997215270996,-0.013093397952616215,0.36537542939186096,0.45622217655181885,-0.015225766226649284,0.3855181336402893,0.4710894823074341,-0.018633123487234116,0.3795188069343567,0.48932766914367676,-0.015874255448579788,0.3717246651649475,0.49545422196388245,-0.013555951416492462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3340300917625427,0.5415711402893066,-1.3684578448192042e-07,0.35862380266189575,0.5423949360847473,-0.0011364829260855913,0.37582480907440186,0.5263735055923462,-0.004419543314725161,0.38856109976768494,0.5148577690124512,-0.008652173914015293,0.3966483771800995,0.5039975047111511,-0.01150673907250166,0.3643811047077179,0.4527744650840759,-0.0014106216840445995,0.3915092945098877,0.4710701107978821,-0.008951460011303425,0.38622426986694336,0.4907723367214203,-0.015087764710187912,0.3765568733215332,0.4937470555305481,-0.019424932077527046,0.36248019337654114,0.4565295875072479,-0.005572266411036253,0.39209508895874023,0.47551631927490234,-0.011433586478233337,0.38617345690727234,0.49522310495376587,-0.01346947718411684,0.3768351376056671,0.4964885413646698,-0.015088068321347237,0.36254724860191345,0.4693840742111206,-0.010434640571475029,0.39017218351364136,0.4864760637283325,-0.015583068132400513,0.38477128744125366,0.5062031745910645,-0.013553506694734097,0.3758648931980133,0.508355438709259,-0.012361223809421062,0.36381322145462036,0.489757776260376,-0.015717249363660812,0.38532495498657227,0.5019345283508301,-0.018371697515249252,0.38012558221817017,0.5191301107406616,-0.015600275248289108,0.37228572368621826,0.5241429209709167,-0.013754489831626415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
