frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6356614828109741,0.20682838559150696,-1.7081799796869745e-07,0.6126042008399963,0.18617525696754456,0.0010202423436567187,0.5986281037330627,0.16232001781463623,-0.0015316138742491603,0.5864402055740356,0.14533358812332153,-0.005242177750915289,0.5755835771560669,0.1346161812543869,-0.00838723685592413,0.6193163990974426,0.11144116520881653,-0.0022150890436023474,0.5890036225318909,0.10380150377750397,-0.008935258723795414,0.5874564051628113,0.12721651792526245,-0.013708642683923244,0.594486653804779,0.14096319675445557,-0.016014063730835915,0.6217406392097473,0.11515915393829346,-0.005509267095476389,0.5901569724082947,0.10782669484615326,-0.01117494236677885,0.5892264246940613,0.13142511248588562,-0.013372693210840225,0.5966498255729675,0.14439675211906433,-0.014355269260704517,0.6219422817230225,0.1255727857351303,-0.008807679638266563,0.5922039747238159,0.12029119580984116,-0.01383280660957098,0.5920470356941223,0.14198510348796844,-0.011519513092935085,0.6000391244888306,0.15433597564697266,-0.009172428399324417,0.6198743581771851,0.14059624075889587,-0.01197443064302206,0.5967591404914856,0.13698644936084747,-0.016174504533410072,0.5960683822631836,0.153618723154068,-0.013797556050121784,0.6029760837554932,0.16403666138648987,-0.010911132209002972
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6321802139282227,0.22927364706993103,-1.8400605483748222e-07,0.6242986917495728,0.2016584724187851,0.0032339708413928747,0.6130717992782593,0.17434652149677277,0.0019286659080535173,0.6022208333015442,0.16131196916103363,-0.001061385846696794,0.5937954187393188,0.1594836562871933,-0.00417517963796854,0.619717001914978,0.1422462910413742,0.0023104248102754354,0.592513918876648,0.13623298704624176,-0.0040364391170442104,0.5913060307502747,0.15597720444202423,-0.00956304557621479,0.5984949469566345,0.1693274825811386,-0.012374268844723701,0.6168316006660461,0.14715951681137085,-0.0018942472524940968,0.5913877487182617,0.14241793751716614,-0.0064819189719855785,0.5907904505729675,0.16090668737888336,-0.009148050099611282,0.5979808568954468,0.17243395745754242,-0.010538650676608086,0.6131570935249329,0.156512051820755,-0.006252654828131199,0.5901705622673035,0.150605708360672,-0.009039619006216526,0.5903013944625854,0.1681097000837326,-0.007690490689128637,0.5975579619407654,0.17704962193965912,-0.006688474677503109,0.6092972159385681,0.1683778166770935,-0.010491236113011837,0.5906675457954407,0.16205403208732605,-0.011807569302618504,0.5909062623977661,0.1762673258781433,-0.008840499445796013,0.5968782901763916,0.185682013630867,-0.006066155154258013
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6351234316825867,0.2827855348587036,-1.1771567187679466e-07,0.6278058886528015,0.2427816540002823,0.004442787729203701,0.6168684363365173,0.21410715579986572,0.0036281172651797533,0.6035069227218628,0.2023470401763916,0.0009623830555938184,0.5926159024238586,0.20230917632579803,-0.0016319564310833812,0.6205965876579285,0.1827235370874405,0.0036055140662938356,0.5927171111106873,0.17590273916721344,-0.0007250461494550109,0.5924767851829529,0.1942511945962906,-0.005024205893278122,0.6001056432723999,0.20611083507537842,-0.007253499235957861,0.6167478561401367,0.192019984126091,-0.00058256700867787,0.5904532074928284,0.18501392006874084,-0.0028251686599105597,0.5911314487457275,0.2010793387889862,-0.005092523992061615,0.5986413359642029,0.21120962500572205,-0.006735204253345728,0.6122103929519653,0.2061236947774887,-0.004620234947651625,0.5887273550033569,0.1992751657962799,-0.005229674279689789,0.5904906392097473,0.212684765458107,-0.003546551102772355,0.597955584526062,0.2206837236881256,-0.002828889060765505,0.60685795545578,0.22224900126457214,-0.008409506641328335,0.5882287621498108,0.2155379205942154,-0.008014779537916183,0.5908026099205017,0.22514839470386505,-0.004581049550324678,0.5978915095329285,0.23237688839435577,-0.0018416095990687609
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629138708114624,0.30483222007751465,-1.7950119968190847e-07,0.6067701578140259,0.27509260177612305,0.0018045514589175582,0.5927137136459351,0.24698406457901,2.024033892666921e-05,0.5854741930961609,0.22638732194900513,-0.002969896886497736,0.5816017389297485,0.2124013751745224,-0.0056684562005102634,0.6134809255599976,0.21223947405815125,0.0014333199942484498,0.5885111689567566,0.2037433385848999,-0.003688879543915391,0.5868521332740784,0.224497988820076,-0.008244253695011139,0.5926780700683594,0.23607639968395233,-0.010933170095086098,0.6169754266738892,0.21614056825637817,-0.0018714112229645252,0.5917829871177673,0.21109625697135925,-0.0060855005867779255,0.5899714231491089,0.23050850629806519,-0.00862132664769888,0.5957984328269958,0.24182966351509094,-0.010305946692824364,0.6178738474845886,0.22488300502300262,-0.005316409282386303,0.5940496325492859,0.22173868119716644,-0.00821260642260313,0.5926116108894348,0.2398913949728012,-0.0067407554015517235,0.5982214212417603,0.2504280209541321,-0.005820475518703461,0.6171594858169556,0.23621444404125214,-0.008683583699166775,0.5971249938011169,0.23584435880184174,-0.010380362160503864,0.5961142778396606,0.2512349784374237,-0.00781226996332407,0.6005342602729797,0.2605850100517273,-0.0053912801668047905
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6122298836708069,0.32889285683631897,-1.2683626948728488e-07,0.6199349164962769,0.30138689279556274,-0.001695740967988968,0.6200241446495056,0.2663081884384155,-0.0032480633817613125,0.6191399693489075,0.23661743104457855,-0.004746042191982269,0.620761513710022,0.2157348245382309,-0.006419941317290068,0.6073128581047058,0.24764539301395416,-0.0034602396190166473,0.5949839353561401,0.24636144936084747,-0.007713362108916044,0.5957717299461365,0.26046568155288696,-0.011707141064107418,0.6002489328384399,0.27104005217552185,-0.013936566188931465,0.5963516235351562,0.2537253797054291,-0.003978333435952663,0.5857223868370056,0.2637028992176056,-0.005541750695556402,0.5888809561729431,0.2772490978240967,-0.007522376719862223,0.5940713882446289,0.2843986749649048,-0.009325475431978703,0.5872263312339783,0.26587653160095215,-0.0044727628119289875,0.5788957476615906,0.27563968300819397,-0.005437272600829601,0.5831369161605835,0.2879513204097748,-0.004646728280931711,0.5883140563964844,0.2939918041229248,-0.004675506614148617,0.5792431831359863,0.2803492546081543,-0.0051170531660318375,0.5735271573066711,0.28756147623062134,-0.0051329717971384525,0.5775599479675293,0.2992285490036011,-0.002516207518056035,0.5817148685455322,0.30589476227760315,-0.0002800907823257148
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6143304705619812,0.5152557492256165,-1.736098198534819e-07,0.6129069328308105,0.46719250082969666,9.369319741381332e-05,0.6015238761901855,0.4234510362148285,-0.005918161012232304,0.5838878750801086,0.4034905433654785,-0.013254938647150993,0.5665798187255859,0.4028172492980957,-0.020490584895014763,0.6041535139083862,0.38539254665374756,-0.009673504158854485,0.5693235397338867,0.3699361979961395,-0.02340080589056015,0.5721287131309509,0.39941102266311646,-0.03273665904998779,0.582767903804779,0.4150815010070801,-0.037865184247493744,0.6003836393356323,0.40873512625694275,-0.015603541396558285,0.5637404322624207,0.4002003073692322,-0.025916580110788345,0.5700128078460693,0.423881471157074,-0.027762142941355705,0.5814891457557678,0.4352223873138428,-0.029009565711021423,0.5948926210403442,0.4372006058692932,-0.0218027513474226,0.5623917579650879,0.43301331996917725,-0.028269464150071144,0.5678500533103943,0.45305633544921875,-0.02343650348484516,0.578845739364624,0.4597439765930176,-0.020558755844831467,0.5888844728469849,0.4662584066390991,-0.028324296697974205,0.5636630058288574,0.464030921459198,-0.030764859169721603,0.5690088272094727,0.47721725702285767,-0.02531622163951397,0.5788982510566711,0.4815821945667267,-0.021186646074056625
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6121935844421387,0.5408904552459717,-1.629538388669971e-07,0.61280357837677,0.4920862317085266,0.0014979566913098097,0.5997328162193298,0.4514193832874298,-0.0018582480261102319,0.5814951062202454,0.4346907436847687,-0.006505834404379129,0.5661845803260803,0.4355047345161438,-0.010849358513951302,0.5991515517234802,0.42296102643013,-0.004547845106571913,0.5689132213592529,0.4040815830230713,-0.013364496640861034,0.5703935623168945,0.42377233505249023,-0.01877748966217041,0.5789056420326233,0.434945285320282,-0.021488089114427567,0.5934223532676697,0.44203734397888184,-0.009188603609800339,0.5613698363304138,0.4308382570743561,-0.015851862728595734,0.5654749274253845,0.4475545883178711,-0.016244826838374138,0.5751415491104126,0.454979807138443,-0.01632561907172203,0.5864807963371277,0.4660225510597229,-0.014003599062561989,0.5585435628890991,0.4600440263748169,-0.018596289679408073,0.5641712546348572,0.47258636355400085,-0.015389927662909031,0.574159562587738,0.47631001472473145,-0.013335938565433025,0.579821765422821,0.4910299777984619,-0.01885332725942135,0.5604833364486694,0.48768794536590576,-0.02145048975944519,0.5669633150100708,0.4970373809337616,-0.01836216449737549,0.576092541217804,0.5004234313964844,-0.015741484239697456
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610830545425415,0.550055980682373,-1.407746452741776e-07,0.6105968952178955,0.5010784268379211,0.001614011125639081,0.5968055129051208,0.46000126004219055,-0.0007095584878697991,0.578675389289856,0.4427061378955841,-0.004315414000302553,0.5642143487930298,0.44494056701660156,-0.007501672953367233,0.5949826240539551,0.43119505047798157,-0.0022703695576637983,0.564781129360199,0.4211520552635193,-0.010527675040066242,0.5671923756599426,0.4410553276538849,-0.015631821006536484,0.5762545466423035,0.4500208795070648,-0.0182170569896698,0.5896503329277039,0.45082026720046997,-0.006914425175637007,0.5580014586448669,0.4479713439941406,-0.01313080545514822,0.5630044937133789,0.4640483260154724,-0.013484232127666473,0.5730493068695068,0.4687667787075043,-0.01354727242141962,0.5832995772361755,0.4758453369140625,-0.011931569315493107,0.5563355684280396,0.477823406457901,-0.017063388600945473,0.5628060102462769,0.48995286226272583,-0.014112083241343498,0.5729423761367798,0.49149996042251587,-0.01196836493909359,0.5773203372955322,0.5023193955421448,-0.016973337158560753,0.5584113597869873,0.5038376450538635,-0.02005167491734028,0.5647425651550293,0.5134907960891724,-0.017255136743187904,0.5735868811607361,0.5155024528503418,-0.01472588162869215
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6095620393753052,0.5524301528930664,-1.345340905345438e-07,0.6073518991470337,0.5039788484573364,0.001631822087801993,0.5908589363098145,0.46184155344963074,-0.0005284356302581728,0.5715634822845459,0.44119590520858765,-0.003610317362472415,0.5569378137588501,0.4339087903499603,-0.006271422374993563,0.5902824997901917,0.436775803565979,-0.003964107949286699,0.5598922967910767,0.4325582683086395,-0.0120465736836195,0.5639974474906921,0.45180612802505493,-0.016790999099612236,0.5736293792724609,0.4586481750011444,-0.019035909324884415,0.5842547416687012,0.45981690287590027,-0.008353241719305515,0.5531523823738098,0.45704877376556396,-0.014496937394142151,0.5592336654663086,0.4721837341785431,-0.014311814680695534,0.5693884491920471,0.47754982113838196,-0.01397703867405653,0.5777921676635742,0.4865233600139618,-0.01289197988808155,0.5510945320129395,0.484609454870224,-0.018513794988393784,0.5590159296989441,0.496968150138855,-0.014813652262091637,0.5694278478622437,0.5008531212806702,-0.011890902183949947,0.5722426176071167,0.5137799382209778,-0.017291631549596786,0.5539209246635437,0.5095727443695068,-0.02123931609094143,0.5609686374664307,0.519190788269043,-0.0181695818901062,0.5698143243789673,0.5227301716804504,-0.015088395215570927
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6077483892440796,0.5478768944740295,-1.2482490774345933e-07,0.606207549571991,0.502411961555481,0.0009473035461269319,0.591498613357544,0.46128085255622864,-0.001483732252381742,0.5731369256973267,0.4421931505203247,-0.004534194711595774,0.5591201186180115,0.4408036172389984,-0.007221736013889313,0.5900986194610596,0.43707650899887085,-0.006086794193834066,0.5598192811012268,0.43196624517440796,-0.01395044568926096,0.5634308457374573,0.44946905970573425,-0.017909647896885872,0.5724472403526306,0.45454224944114685,-0.01968752220273018,0.5845500826835632,0.4594821631908417,-0.010128291323781013,0.5533860921859741,0.4564417600631714,-0.016586586833000183,0.5591305494308472,0.47142505645751953,-0.015983030200004578,0.5692592859268188,0.4754656255245209,-0.015104217454791069,0.5783708095550537,0.48598068952560425,-0.014232447370886803,0.551001250743866,0.48360759019851685,-0.01987520046532154,0.5581858158111572,0.4962441027164459,-0.01582092046737671,0.56834876537323,0.4990869164466858,-0.012515275739133358,0.5728945732116699,0.5131604075431824,-0.01824444904923439,0.5543565154075623,0.5106436014175415,-0.022073889151215553,0.5608239769935608,0.5195838212966919,-0.01904674805700779,0.5691981911659241,0.5217113494873047,-0.01603672467172146
