frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.3598809540271759,0.3238517940044403,-1.4885635835071298e-07,0.38726165890693665,0.31244349479675293,0.002362871775403619,0.4017432630062103,0.2913084626197815,0.0009614023729227483,0.41314497590065,0.27660903334617615,-0.0027853979263454676,0.4192647635936737,0.2585332691669464,-0.004804504569619894,0.3819033205509186,0.21390768885612488,0.008359446190297604,0.41072791814804077,0.22630086541175842,0.0009995908476412296,0.40593746304512024,0.25263431668281555,-0.005460278131067753,0.39588168263435364,0.2576601207256317,-0.009709087200462818,0.37712547183036804,0.21068637073040009,0.002638552337884903,0.41081351041793823,0.2255505919456482,-0.004189636558294296,0.40528324246406555,0.2552042305469513,-0.006957464851438999,0.39550572633743286,0.26038944721221924,-0.008190617896616459,0.3749871551990509,0.2144358605146408,-0.004171902313828468,0.40802285075187683,0.23035401105880737,-0.009846534579992294,0.4030402600765228,0.25730809569358826,-0.008053944446146488,0.3930734395980835,0.26096969842910767,-0.006222396623343229,0.37482789158821106,0.22545604407787323,-0.011219494976103306,0.4017481207847595,0.23777881264686584,-0.013393983244895935,0.3977549970149994,0.25765588879585266,-0.010387374088168144,0.3885672688484192,0.260715126991272,-0.008051927201449871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3607463240623474,0.301814466714859,-1.255259860499791e-07,0.3922591507434845,0.2916889190673828,0.005146984942257404,0.40829747915267944,0.27140045166015625,0.005997162312269211,0.42023152112960815,0.2542061507701874,0.0038516237400472164,0.4263654351234436,0.23516616225242615,0.003231831593438983,0.38943397998809814,0.1995190680027008,0.017480485141277313,0.4155840277671814,0.20541143417358398,0.012551448307931423,0.41062402725219727,0.23263630270957947,0.006492810323834419,0.4001017212867737,0.24074622988700867,0.0023906605783849955,0.38618725538253784,0.19297024607658386,0.01110095251351595,0.41666096448898315,0.20579873025417328,0.00730777345597744,0.41117918491363525,0.23516058921813965,0.004026623908430338,0.4012615978717804,0.2409486323595047,0.0023866158444434404,0.38472244143486023,0.19304394721984863,0.0034572940785437822,0.4150007367134094,0.20717155933380127,-0.0001163641209132038,0.4090312123298645,0.23455610871315002,0.0012337251100689173,0.39780375361442566,0.2392740547657013,0.002845086855813861,0.3848206400871277,0.19879788160324097,-0.004423579666763544,0.40930071473121643,0.2112458199262619,-0.004980734549462795,0.40443354845046997,0.23195716738700867,-0.002092215698212385,0.39424338936805725,0.2362084537744522,0.0002889744355343282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.364250123500824,0.29639604687690735,-1.1845394709553148e-07,0.39400991797447205,0.2868148386478424,0.0057948678731918335,0.4088860750198364,0.26965001225471497,0.006404658313840628,0.4203467071056366,0.2544432580471039,0.003715266240760684,0.4274502992630005,0.2351546585559845,0.002500093774870038,0.38949722051620483,0.19823992252349854,0.016734257340431213,0.41708749532699585,0.20292448997497559,0.01113786082714796,0.4128219485282898,0.22966410219669342,0.004737135488539934,0.40188583731651306,0.23851707577705383,0.0007266395259648561,0.3852543532848358,0.19244292378425598,0.010035395622253418,0.4174303114414215,0.20111553370952606,0.004801686853170395,0.4125226140022278,0.23196622729301453,0.0010619754903018475,0.4014076888561249,0.24076643586158752,-0.0005739975022152066,0.38391807675361633,0.19249658286571503,0.0022171451710164547,0.41604191064834595,0.20113299787044525,-0.0019134862814098597,0.41091012954711914,0.22960272431373596,-0.0003552390553522855,0.39937686920166016,0.2369137555360794,0.0016088312258943915,0.3846019208431244,0.19829991459846497,-0.005684316623955965,0.41094452142715454,0.20678934454917908,-0.00632450170814991,0.4064503312110901,0.22838416695594788,-0.002890457399189472,0.3961802124977112,0.234455868601799,-8.459574746666476e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3715335428714752,0.2781394124031067,-1.1286221024420229e-07,0.4007507264614105,0.27153173089027405,0.005925665143877268,0.4145054519176483,0.25401192903518677,0.006823736242949963,0.4250284433364868,0.23655496537685394,0.004200945142656565,0.4355408549308777,0.21880047023296356,0.0029289075173437595,0.3996433913707733,0.18360120058059692,0.018894584849476814,0.42367830872535706,0.18473201990127563,0.01396325696259737,0.4196971356868744,0.212332084774971,0.008089635521173477,0.4091874957084656,0.22352667152881622,0.00454371515661478,0.39608097076416016,0.17761275172233582,0.012327245436608791,0.4248138666152954,0.183858260512352,0.007823177613317966,0.42021608352661133,0.2160046398639679,0.004203255288302898,0.4091721177101135,0.22638003528118134,0.002932868432253599,0.3941662013530731,0.17577394843101501,0.0044952137395739555,0.42368078231811523,0.18370206654071808,-2.3975859221536666e-05,0.41807153820991516,0.21383686363697052,0.0011574621312320232,0.40605175495147705,0.22199198603630066,0.0034048359375447035,0.3930533528327942,0.17830824851989746,-0.003340374678373337,0.41778531670570374,0.1883198320865631,-0.004346015863120556,0.41342175006866455,0.21038195490837097,-0.0011824300745502114,0.4028494656085968,0.2170250415802002,0.0018249829299747944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.37883010506629944,0.25980931520462036,-8.598885159472047e-08,0.4088612198829651,0.25452619791030884,0.004459238611161709,0.4223628640174866,0.23962441086769104,0.004380156751722097,0.43353936076164246,0.22407032549381256,0.0008848106954246759,0.44532865285873413,0.20820829272270203,-0.0011190688237547874,0.4087478220462799,0.17049498856067657,0.01687808893620968,0.4317578077316284,0.17020735144615173,0.010854209773242474,0.42882564663887024,0.19807419180870056,0.004326768685132265,0.41877543926239014,0.21301677823066711,0.0007669459446333349,0.40485018491744995,0.16482388973236084,0.011121812276542187,0.4328556954860687,0.1692768931388855,0.005684722680598497,0.4292133152484894,0.2012302279472351,0.0017595556564629078,0.41811588406562805,0.21520012617111206,0.00046579152694903314,0.4025750160217285,0.16277793049812317,0.0039583174511790276,0.4318966865539551,0.16993241012096405,-0.001106027513742447,0.4270409345626831,0.1996031254529953,5.200717714615166e-05,0.4150690734386444,0.21168839931488037,0.002516839187592268,0.4008549749851227,0.16455531120300293,-0.003352103289216757,0.4254634976387024,0.1762295812368393,-0.004852202720940113,0.42180725932121277,0.19731327891349792,-0.0018483564490452409,0.41141825914382935,0.20604507625102997,0.0012726427521556616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3875159025192261,0.24816444516181946,-1.0325577193270874e-07,0.4142676293849945,0.24684596061706543,0.0021269393619149923,0.42971158027648926,0.23238223791122437,0.0013118076603859663,0.4415106773376465,0.21705424785614014,-0.0022820509038865566,0.4545450508594513,0.2021806538105011,-0.004452417138963938,0.4239143133163452,0.1630016267299652,0.014116153120994568,0.44309431314468384,0.16375190019607544,0.007294134236872196,0.4401642978191376,0.1922871470451355,0.0009151377016678452,0.43067467212677,0.20820599794387817,-0.0021614464931190014,0.4201379716396332,0.15580719709396362,0.009470769204199314,0.4439682364463806,0.16223934292793274,0.003969726152718067,0.4395168125629425,0.19528287649154663,0.0007509050192311406,0.42893359065055847,0.20896489918231964,0.0002078057877952233,0.4158000349998474,0.1526893973350525,0.0032141595147550106,0.4410349428653717,0.1638239324092865,-0.0031165743712335825,0.4355754256248474,0.19441764056682587,-0.0017726958030834794,0.4242204427719116,0.20621424913406372,0.001376054948195815,0.41031116247177124,0.1545516550540924,-0.0032281409949064255,0.4326673150062561,0.1670367419719696,-0.006114721763879061,0.4296143352985382,0.18984442949295044,-0.002929546870291233,0.4200317859649658,0.1990921050310135,0.0008394436445087194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.38789767026901245,0.247950941324234,-8.18557523984964e-08,0.41466063261032104,0.24734081327915192,0.0032607768662273884,0.429587185382843,0.23292386531829834,0.0021361294202506542,0.4418170154094696,0.219158336520195,-0.001898743212223053,0.45522207021713257,0.2059062123298645,-0.004548889584839344,0.41956740617752075,0.15769189596176147,0.013283572159707546,0.44144368171691895,0.15890352427959442,0.006802003365010023,0.44033175706863403,0.1888791024684906,0.0007980439113453031,0.43114063143730164,0.20554028451442719,-0.00203193468041718,0.41610094904899597,0.15088558197021484,0.008114244788885117,0.4433055818080902,0.15939578413963318,0.003040001029148698,0.4398265480995178,0.1941375434398651,4.254210125509417e-06,0.42882224917411804,0.20862853527069092,-0.0006648910348303616,0.4134281873703003,0.14943844079971313,0.0016142959939315915,0.4414605498313904,0.1631690412759781,-0.003908092621713877,0.43624547123908997,0.19430948793888092,-0.0027286920230835676,0.42455819249153137,0.20647671818733215,-5.98496881138999e-05,0.41058480739593506,0.15302768349647522,-0.004898677114397287,0.433822900056839,0.16691936552524567,-0.007149097975343466,0.4308675527572632,0.19049739837646484,-0.003961285576224327,0.4214077591896057,0.20048610866069794,-0.0004488482081796974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3929552435874939,0.24505610764026642,-1.1057255022706158e-07,0.4193304479122162,0.2470451295375824,0.001569340587593615,0.4358784556388855,0.23402802646160126,0.0010439286706969142,0.4486735463142395,0.21798735857009888,-0.002304996130988002,0.46244627237319946,0.20340196788311005,-0.0043061720207333565,0.432280033826828,0.16823549568653107,0.015336723998188972,0.4498729705810547,0.16557851433753967,0.008924892172217369,0.4479048550128937,0.1914384961128235,0.0029888281133025885,0.43839576840400696,0.20842894911766052,0.0005154802347533405,0.42884159088134766,0.1606004387140274,0.011138279922306538,0.45062047243118286,0.1628086268901825,0.00550184678286314,0.44694092869758606,0.1946602165699005,0.001648753066547215,0.4359956979751587,0.20994409918785095,0.0009831315837800503,0.42416027188301086,0.15544763207435608,0.0051890225149691105,0.44755515456199646,0.16271120309829712,-0.0018879239214584231,0.4429692327976227,0.19314217567443848,-0.0019136321498081088,0.4315151274204254,0.20712919533252716,0.0008641213062219322,0.41725608706474304,0.15391641855239868,-0.0008506942540407181,0.4379707872867584,0.16119113564491272,-0.004679459612816572,0.4369248151779175,0.18451303243637085,-0.0024028820917010307,0.42874589562416077,0.19735167920589447,0.001130701624788344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.39851677417755127,0.24944128096103668,-8.88963924694508e-08,0.4238227307796478,0.25283265113830566,-0.0009919684380292892,0.44087857007980347,0.2404237985610962,-0.002793456893414259,0.45324358344078064,0.22414787113666534,-0.006806677207350731,0.46681031584739685,0.20835080742835999,-0.009221870452165604,0.4398805797100067,0.17913979291915894,0.010289886966347694,0.4569360315799713,0.1706814169883728,0.002718796022236347,0.454626202583313,0.19831272959709167,-0.0028828452341258526,0.4447280168533325,0.21486611664295197,-0.004866472445428371,0.4363880455493927,0.17173652350902557,0.007211718708276749,0.45701050758361816,0.16910110414028168,0.00040443241596221924,0.45227769017219543,0.2022034376859665,-0.003236427903175354,0.4411962330341339,0.21560828387737274,-0.003735470585525036,0.43081599473953247,0.16522562503814697,0.0023127838503569365,0.45366406440734863,0.16696058213710785,-0.005969449412077665,0.4482349455356598,0.19868874549865723,-0.005399811547249556,0.436911016702652,0.21165212988853455,-0.002179852221161127,0.42230427265167236,0.16123956441879272,-0.0027517445851117373,0.4426226317882538,0.16597726941108704,-0.008176427334547043,0.4409796893596649,0.18937501311302185,-0.006060506217181683,0.4326624572277069,0.19998878240585327,-0.002526253229007125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.39771008491516113,0.2683827877044678,-1.0605025835275228e-07,0.4239133894443512,0.27094435691833496,-6.42228769720532e-05,0.44167861342430115,0.2577555179595947,-0.0018027294427156448,0.4544947147369385,0.24474981427192688,-0.005919286515563726,0.46664586663246155,0.2303793877363205,-0.008598990738391876,0.4424552619457245,0.193515807390213,0.009270907379686832,0.45989614725112915,0.19446927309036255,0.001802546437829733,0.45606493949890137,0.22308897972106934,-0.0041663129813969135,0.4462500512599945,0.2369736135005951,-0.006799567025154829,0.43787863850593567,0.18443864583969116,0.005239189602434635,0.45880213379859924,0.19074179232120514,-0.0011250842362642288,0.45348212122917175,0.22327807545661926,-0.004142442252486944,0.442821204662323,0.2370890974998474,-0.004493748303502798,0.43162068724632263,0.17818930745124817,-0.00040982672362588346,0.45389145612716675,0.1884511560201645,-0.007854700088500977,0.4475233256816864,0.21955496072769165,-0.0066062286496162415,0.43597275018692017,0.2325630486011505,-0.0034200737718492746,0.4232836365699768,0.1768982708454132,-0.0063521116971969604,0.4441388249397278,0.19046682119369507,-0.011253302916884422,0.4408153295516968,0.2146424949169159,-0.00863698311150074,0.431083619594574,0.22548091411590576,-0.004988400265574455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
