frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.4092409610748291,0.6057192087173462,1.2093101631194259e-08,0.44261589646339417,0.550451934337616,0.015967002138495445,0.4476541578769684,0.47726452350616455,0.01894402503967285,0.4557241201400757,0.4280093312263489,0.015513045713305473,0.46175047755241394,0.3875919282436371,0.012035029008984566,0.3891160786151886,0.42062893509864807,0.010613149963319302,0.39424872398376465,0.3420730531215668,0.0018718213541433215,0.4231894910335541,0.31045323610305786,-0.0021720179356634617,0.4467760920524597,0.30887290835380554,-0.0034725600853562355,0.38147100806236267,0.42808714509010315,-0.005542804952710867,0.4226458668708801,0.34328705072402954,-0.016856173053383827,0.4508344531059265,0.3750666677951813,-0.016524601727724075,0.4517221748828888,0.41219252347946167,-0.013370071537792683,0.3840886056423187,0.4423291087150574,-0.02146138995885849,0.42679697275161743,0.3642553389072418,-0.03205592930316925,0.4522474408149719,0.40195631980895996,-0.02395552583038807,0.45005643367767334,0.4406451880931854,-0.015787223353981972,0.3937973976135254,0.46404922008514404,-0.03657037764787674,0.4278782606124878,0.3958936333656311,-0.04268705099821091,0.44609999656677246,0.41831058263778687,-0.03408208116889,0.4437192976474762,0.4522474706172943,-0.026071755215525627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.41081729531288147,0.6225404143333435,-2.8262245876931047e-08,0.44813454151153564,0.5575292110443115,0.01438174769282341,0.4519968032836914,0.4865824580192566,0.01791354827582836,0.4577498435974121,0.4375041425228119,0.01423980575054884,0.46091222763061523,0.39813268184661865,0.01068232860416174,0.39939290285110474,0.4261191785335541,0.01803223229944706,0.4028080403804779,0.3464454412460327,0.00896542426198721,0.4311886727809906,0.31975898146629333,0.0019881012849509716,0.4509735703468323,0.3217121958732605,-0.0014142736326903105,0.3928261399269104,0.4319504499435425,0.003332451218739152,0.4221997559070587,0.34328949451446533,-0.006866860669106245,0.45187443494796753,0.365616112947464,-0.009617871604859829,0.4552522897720337,0.402172327041626,-0.008990144357085228,0.3949414789676666,0.44265204668045044,-0.012043394148349762,0.42934420704841614,0.3630620241165161,-0.02140134759247303,0.45634329319000244,0.39285188913345337,-0.01728101819753647,0.4573576748371124,0.4318629503250122,-0.011827416718006134,0.40335315465927124,0.4596824049949646,-0.026991810649633408,0.4323092997074127,0.393943190574646,-0.03121821954846382,0.4513869285583496,0.41089653968811035,-0.024978050962090492,0.4517746567726135,0.4442383646965027,-0.01903732307255268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.42113998532295227,0.6354649066925049,-2.5818903282015526e-07,0.4551796615123749,0.5732659101486206,0.016256723552942276,0.4574221074581146,0.5045017600059509,0.020158324390649796,0.4592375159263611,0.4557417035102844,0.01676792837679386,0.45872852206230164,0.4165785014629364,0.014763204380869865,0.4100037217140198,0.4403780698776245,0.017935318872332573,0.42310139536857605,0.3493092954158783,0.005903934594243765,0.4490559995174408,0.37828922271728516,-0.002262401394546032,0.45206376910209656,0.41824963688850403,-0.004974140785634518,0.40302035212516785,0.4440361261367798,0.002237665932625532,0.4292832016944885,0.34815913438796997,-0.006538214161992073,0.4549069404602051,0.3856064975261688,-0.008553613908588886,0.45218706130981445,0.4264256954193115,-0.008368690498173237,0.40296754240989685,0.4550911486148834,-0.014391710050404072,0.43540793657302856,0.36505240201950073,-0.02230602130293846,0.4579535722732544,0.4068206548690796,-0.016499396413564682,0.4554460942745209,0.4470083713531494,-0.010969663970172405,0.40911218523979187,0.4727633595466614,-0.030384141951799393,0.4391553997993469,0.4003296196460724,-0.03367257118225098,0.455782026052475,0.4284631907939911,-0.026048284024000168,0.45443108677864075,0.4645518660545349,-0.020047111436724663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4344621002674103,0.6679083108901978,-2.8400842211340205e-07,0.4660930037498474,0.6192913055419922,0.009819707833230495,0.46529650688171387,0.5517640113830566,0.010933024808764458,0.464462548494339,0.5035082101821899,0.006386656314134598,0.46538129448890686,0.46208518743515015,0.003723575035110116,0.42005041241645813,0.48512762784957886,0.00724368542432785,0.430514395236969,0.38630104064941406,-0.0045395903289318085,0.45819327235221863,0.41693711280822754,-0.012296703644096851,0.4599422514438629,0.4562782645225525,-0.0156471636146307,0.41250577569007874,0.4878174960613251,-0.00576061150059104,0.4299059212207794,0.3803766369819641,-0.013285822235047817,0.4584897756576538,0.4143236577510834,-0.0157306008040905,0.4560714662075043,0.45103132724761963,-0.01723191887140274,0.4120897650718689,0.4970909655094147,-0.019508568570017815,0.43360817432403564,0.39239832758903503,-0.02831311710178852,0.46191760897636414,0.4277392625808716,-0.023793036118149757,0.4617501497268677,0.4671050012111664,-0.01972503773868084,0.41815850138664246,0.5108504891395569,-0.032799605280160904,0.4430186450481415,0.4292365610599518,-0.03799090161919594,0.4639878571033478,0.452228307723999,-0.03135230392217636,0.46382805705070496,0.48991522192955017,-0.026510166004300117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.45117059350013733,0.7063127160072327,-3.2098898827825906e-07,0.478996217250824,0.6576212644577026,0.007728299591690302,0.47359758615493774,0.590135395526886,0.007788224145770073,0.4701414704322815,0.5462765693664551,0.0022974153980612755,0.4725625813007355,0.5095825791358948,-0.0014631891390308738,0.42882847785949707,0.5201867818832397,0.007273687049746513,0.4340517520904541,0.4273349642753601,-0.006347504910081625,0.46209967136383057,0.45615896582603455,-0.01707947626709938,0.4663848876953125,0.4972023665904999,-0.022563675418496132,0.4240579307079315,0.5242730379104614,-0.005268578417599201,0.4361298680305481,0.4246150851249695,-0.014026299118995667,0.4645879864692688,0.4589323103427887,-0.01880955696105957,0.4633828401565552,0.4991630017757416,-0.022046012803912163,0.42439544200897217,0.5341830253601074,-0.018958695232868195,0.43845582008361816,0.43466344475746155,-0.028509212657809258,0.4664503335952759,0.4669463634490967,-0.025840414687991142,0.46826833486557007,0.5078725814819336,-0.0230422280728817,0.43034982681274414,0.5481043457984924,-0.03250480815768242,0.44853514432907104,0.4689136743545532,-0.03923841565847397,0.47066730260849,0.48707708716392517,-0.03415192291140556,0.47381591796875,0.5229734182357788,-0.03012964315712452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.46608567237854004,0.7492581605911255,-2.893091846090101e-07,0.49380311369895935,0.700515627861023,0.005656809080392122,0.4883531630039215,0.6337801218032837,0.004092338494956493,0.48483553528785706,0.587519645690918,-0.002275587059557438,0.4830012321472168,0.5463466048240662,-0.006292398553341627,0.4372826814651489,0.5660374760627747,0.005319708492606878,0.44382715225219727,0.47372519969940186,-0.011030524969100952,0.4733102023601532,0.49663954973220825,-0.0238529983907938,0.4792467951774597,0.5377413630485535,-0.02987571805715561,0.43378618359565735,0.572763204574585,-0.00586395338177681,0.4466472566127777,0.4755217134952545,-0.016613371670246124,0.47545361518859863,0.5041260719299316,-0.021820226684212685,0.47658559679985046,0.5453503727912903,-0.0245516337454319,0.4381001591682434,0.585023045539856,-0.018382307142019272,0.45444902777671814,0.49450165033340454,-0.027888672426342964,0.4812777042388916,0.5224702954292297,-0.023646622896194458,0.48248934745788574,0.560153603553772,-0.01976137049496174,0.44875845313072205,0.5999469757080078,-0.031151937320828438,0.47182589769363403,0.5314677953720093,-0.03586823120713234,0.49085673689842224,0.5513547658920288,-0.029107246547937393,0.4914259910583496,0.5852924585342407,-0.02385016530752182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4806748032569885,0.793140709400177,-2.1855612430954352e-07,0.5072232484817505,0.747137725353241,0.00353395682759583,0.5059775114059448,0.6872304081916809,-0.0006542998598888516,0.5025264024734497,0.6463472843170166,-0.009209041483700275,0.49859169125556946,0.6121633648872375,-0.015622153878211975,0.4541625380516052,0.610464334487915,0.002805854892358184,0.4573884606361389,0.5270245671272278,-0.014165952801704407,0.4853809177875519,0.5377188324928284,-0.027732033282518387,0.49652713537216187,0.5726139545440674,-0.03442956134676933,0.4522863030433655,0.6171572208404541,-0.00783795677125454,0.4613611698150635,0.5312100648880005,-0.019654005765914917,0.48934897780418396,0.5500619411468506,-0.024964025244116783,0.4958510398864746,0.5874329209327698,-0.0278174988925457,0.4574867784976959,0.6301767826080322,-0.02011079341173172,0.47355425357818604,0.5530256628990173,-0.029938481748104095,0.49846261739730835,0.576542317867279,-0.02601999044418335,0.5028786063194275,0.6111878752708435,-0.022712359204888344,0.46977320313453674,0.6481173634529114,-0.032981764525175095,0.4951552748680115,0.5943478345870972,-0.03754251077771187,0.5116363763809204,0.6135683059692383,-0.03189673274755478,0.5131633281707764,0.6452188491821289,-0.027652254328131676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.4899410903453827,0.843186616897583,-1.4033626882792305e-07,0.5065374374389648,0.7988570928573608,0.006411552429199219,0.5042872428894043,0.7425596714019775,0.0013605596031993628,0.5007805824279785,0.7026972770690918,-0.008535615168511868,0.4980263411998749,0.6703118085861206,-0.01728716678917408,0.47203055024147034,0.6702297329902649,-0.002629433060064912,0.47044888138771057,0.5789892673492432,-0.020324401557445526,0.49734383821487427,0.572147786617279,-0.031127315014600754,0.5125979781150818,0.5977997183799744,-0.03468670696020126,0.4724041223526001,0.6765533685684204,-0.014479279518127441,0.4859970510005951,0.5837898850440979,-0.0268198661506176,0.5101448893547058,0.6006386280059814,-0.028152242302894592,0.5155951976776123,0.6349356770515442,-0.027008945122361183,0.4793565273284912,0.6902015209197998,-0.027246788144111633,0.5093709230422974,0.6267518401145935,-0.037048645317554474,0.5286330580711365,0.657834529876709,-0.03084547258913517,0.5290931463241577,0.6918699741363525,-0.02501438558101654,0.4927390515804291,0.7087964415550232,-0.04020429030060768,0.5220946073532104,0.6658278703689575,-0.042419467121362686,0.5354131460189819,0.6885564923286438,-0.034144479781389236,0.5342244505882263,0.7177674770355225,-0.027524325996637344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.49549704790115356,0.8856145143508911,-1.337976698323473e-07,0.5067678689956665,0.8242077231407166,0.010581527836620808,0.5056507587432861,0.754065215587616,0.00935528613626957,0.5095569491386414,0.7061427235603333,0.003544061677530408,0.5152562856674194,0.6757376194000244,-0.0016353769460693002,0.4827462136745453,0.7066150307655334,-0.0015257778577506542,0.48840904235839844,0.6183260083198547,-0.013951129280030727,0.5159875750541687,0.6055588722229004,-0.02116251178085804,0.5355741381645203,0.6263238191604614,-0.023309970274567604,0.4848116636276245,0.7171922922134399,-0.012690242379903793,0.5259979367256165,0.6512535214424133,-0.021828381344676018,0.5444669127464294,0.6791284084320068,-0.021753113716840744,0.5424668192863464,0.7133312225341797,-0.02052919566631317,0.49470624327659607,0.7351021766662598,-0.02355804294347763,0.5335075259208679,0.6842348575592041,-0.027608996257185936,0.5470343232154846,0.7108858823776245,-0.020751802250742912,0.5458235144615173,0.7379002571105957,-0.016272570937871933,0.5093082785606384,0.7563172578811646,-0.034294918179512024,0.5394020080566406,0.7221115231513977,-0.03149626776576042,0.5494483113288879,0.7416061758995056,-0.022073404863476753,0.5497967600822449,0.7641408443450928,-0.0154801020398736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4986698031425476,0.9023383259773254,-7.97320183210104e-08,0.5223674774169922,0.8355847597122192,0.014651551842689514,0.5223701000213623,0.7709761261940002,0.015116584487259388,0.5254105925559998,0.7206900119781494,0.010119639337062836,0.5308635830879211,0.683786153793335,0.0057944850996136665,0.4847050905227661,0.7186293601989746,0.002487143501639366,0.4931727647781372,0.6348989009857178,-0.008997670374810696,0.5214236378669739,0.6251007914543152,-0.014888609759509563,0.5409595370292664,0.642183780670166,-0.016627555713057518,0.48564502596855164,0.728549063205719,-0.010627309791743755,0.5318121314048767,0.6638184189796448,-0.02064909040927887,0.5492976903915405,0.6971181631088257,-0.01889299601316452,0.5447104573249817,0.7257036566734314,-0.01625794731080532,0.49567773938179016,0.74609375,-0.023274492472410202,0.5413854122161865,0.6936509013175964,-0.029203016310930252,0.5522567629814148,0.7269052267074585,-0.019927574321627617,0.5472394824028015,0.7524423599243164,-0.01320245023816824,0.5107146501541138,0.7686217427253723,-0.03527708724141121,0.5479364395141602,0.7288913130760193,-0.03341435641050339,0.5561200976371765,0.7503066062927246,-0.02224752865731716,0.5529738068580627,0.7703696489334106,-0.014184430241584778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
