frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.45581111311912537,0.5839636921882629,-1.5732732450146614e-08,0.45794105529785156,0.5437976121902466,0.0029770415276288986,0.4694415330886841,0.4982580244541168,-0.00022427155636250973,0.48674869537353516,0.4767962098121643,-0.005610903725028038,0.5037544369697571,0.47596731781959534,-0.011215301230549812,0.4659173786640167,0.46476003527641296,-0.007120756432414055,0.4790671169757843,0.4076917767524719,-0.012506350874900818,0.4857631325721741,0.37602803111076355,-0.014611386694014072,0.49053287506103516,0.3522779643535614,-0.016094952821731567,0.4723917841911316,0.4756053388118744,-0.0137800807133317,0.5081396102905273,0.4549560248851776,-0.022940248250961304,0.5143916010856628,0.477597177028656,-0.024464106187224388,0.5128222703933716,0.49041813611984253,-0.023791611194610596,0.482794851064682,0.4939517378807068,-0.019523967057466507,0.5157352089881897,0.4686576724052429,-0.027011431753635406,0.518787682056427,0.489531010389328,-0.02326177805662155,0.5151978731155396,0.5025312900543213,-0.019014915451407433,0.49454939365386963,0.5144641995429993,-0.025090087205171585,0.5173724889755249,0.4822121262550354,-0.027735132724046707,0.531459391117096,0.4660559892654419,-0.02403264492750168,0.5425193905830383,0.451287180185318,-0.020606286823749542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.45968377590179443,0.5947397947311401,-3.858916031163062e-08,0.4671156704425812,0.5485169887542725,0.009067242033779621,0.4834207594394684,0.5066496133804321,0.0103320786729455,0.5015687942504883,0.491299569606781,0.008165555074810982,0.5187629461288452,0.49211907386779785,0.005387329496443272,0.4841395318508148,0.47051969170570374,0.003694231156259775,0.500147819519043,0.4242289066314697,0.0018316409550607204,0.5072285532951355,0.3943505883216858,0.0015516134444624186,0.5120993852615356,0.37011775374412537,0.0009218581253662705,0.48984086513519287,0.4785061776638031,-0.005017898045480251,0.525924026966095,0.4758339524269104,-0.011270993389189243,0.5333033204078674,0.5014881491661072,-0.01362953707575798,0.5329487919807434,0.5155712962150574,-0.013991047628223896,0.49807435274124146,0.49682915210723877,-0.012522825039923191,0.5320681929588318,0.4895005524158478,-0.019251935184001923,0.5385397672653198,0.5124517679214478,-0.017868639901280403,0.5381503701210022,0.5256088376045227,-0.015310302376747131,0.5068802833557129,0.5190357565879822,-0.01919599622488022,0.5312867164611816,0.4948599934577942,-0.021641680970788002,0.5463004112243652,0.48390763998031616,-0.018651721999049187,0.5581517219543457,0.47299766540527344,-0.015790317207574844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4569545388221741,0.5879085063934326,-4.489893967729586e-08,0.47185537219047546,0.5537884831428528,0.01168576255440712,0.4894039034843445,0.5202504396438599,0.013943083584308624,0.5059983134269714,0.5064640045166016,0.01218427624553442,0.5212056636810303,0.5042905211448669,0.009883053600788116,0.48275938630104065,0.46812868118286133,0.007943804375827312,0.49846896529197693,0.4256017506122589,0.00662342319265008,0.506046712398529,0.39771291613578796,0.005946489050984383,0.5112759470939636,0.3748130798339844,0.005030633881688118,0.4860178232192993,0.4738101065158844,-0.0020451094023883343,0.5224289298057556,0.47115352749824524,-0.008131920360028744,0.5295520424842834,0.49978742003440857,-0.010479931719601154,0.5285434126853943,0.5185915231704712,-0.01076818909496069,0.49125802516937256,0.49000605940818787,-0.01092950627207756,0.5252776741981506,0.4833129644393921,-0.01677931845188141,0.5302505493164062,0.5094856023788452,-0.015060669742524624,0.5283328294754028,0.5269912481307983,-0.012459098361432552,0.49785614013671875,0.5090836882591248,-0.018905984237790108,0.5204511284828186,0.48270943760871887,-0.02170599438250065,0.5354331731796265,0.4708935618400574,-0.01970015838742256,0.546894907951355,0.46065133810043335,-0.01772286184132099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.45723956823349,0.5888022184371948,-3.864663256081258e-08,0.4706873297691345,0.5562997460365295,0.009161939844489098,0.488426148891449,0.5221259593963623,0.010706857778131962,0.5059959292411804,0.5083284378051758,0.0087461918592453,0.5222569704055786,0.5049824118614197,0.0064270286820828915,0.48246729373931885,0.4686088263988495,0.005983725655823946,0.4982448220252991,0.42558327317237854,0.004309934563934803,0.5061778426170349,0.39656808972358704,0.0035128602758049965,0.5117327570915222,0.3737303912639618,0.0026656431145966053,0.4860742390155792,0.4741499722003937,-0.002807295648381114,0.5214996337890625,0.46983879804611206,-0.009585307911038399,0.5286735892295837,0.49847060441970825,-0.0124821737408638,0.5278655290603638,0.5177420377731323,-0.012818621471524239,0.4919459819793701,0.49005478620529175,-0.010666375048458576,0.5262178182601929,0.48303359746932983,-0.01723833940923214,0.5313326120376587,0.5102845430374146,-0.016120759770274162,0.5296274423599243,0.5289824604988098,-0.013593715615570545,0.49935609102249146,0.5088299512863159,-0.017799539491534233,0.522162675857544,0.48056989908218384,-0.020679304376244545,0.5374345183372498,0.46684011816978455,-0.018920812755823135,0.5493752360343933,0.45600175857543945,-0.01706138253211975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.45155566930770874,0.584351658821106,1.5742746484193049e-07,0.4793834388256073,0.5441337823867798,0.007235939614474773,0.49012234807014465,0.5031008124351501,0.008735443465411663,0.4991987645626068,0.47944825887680054,0.006737585179507732,0.5028331279754639,0.4635066092014313,0.005518192891031504,0.4557149410247803,0.4543801248073578,0.012431139126420021,0.47894108295440674,0.41787195205688477,0.004969743546098471,0.4979894757270813,0.41071534156799316,-0.0017094213981181383,0.511265754699707,0.41343361139297485,-0.005137569736689329,0.4522244930267334,0.4584524929523468,0.0037598195485770702,0.4831502139568329,0.4213874936103821,-0.003499487182125449,0.502521276473999,0.41855886578559875,-0.0075991349294781685,0.5159424543380737,0.421834796667099,-0.009095468558371067,0.45467668771743774,0.4649413824081421,-0.006070401519536972,0.48320695757865906,0.4244931638240814,-0.011146548204123974,0.502826988697052,0.41319993138313293,-0.011875241063535213,0.5172857642173767,0.4093589782714844,-0.011194969527423382,0.461978018283844,0.473629891872406,-0.016127362847328186,0.4802914261817932,0.4357966482639313,-0.017658082768321037,0.4924968183040619,0.41735053062438965,-0.01638416200876236,0.501997172832489,0.40606269240379333,-0.014989012852311134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.4436284303665161,0.5756732225418091,-1.3721589198212314e-08,0.4671979248523712,0.5320948958396912,0.00478255283087492,0.47436848282814026,0.48931947350502014,0.0064453487284481525,0.4849421977996826,0.46098682284355164,0.004897361621260643,0.4950389564037323,0.4480094611644745,0.003942362032830715,0.43086469173431396,0.44984444975852966,0.011172320693731308,0.4580945372581482,0.4187029004096985,0.005379651207476854,0.47785431146621704,0.4217197299003601,0.0005610988009721041,0.4907890260219574,0.43385186791419983,-0.0015327087603509426,0.4274895191192627,0.4528379738330841,0.004355004522949457,0.46170398592948914,0.4232785701751709,-0.005838371813297272,0.47892260551452637,0.4430963099002838,-0.01161649264395237,0.4866524040699005,0.46467718482017517,-0.013043439015746117,0.4308086037635803,0.4591442346572876,-0.003280001226812601,0.46275338530540466,0.4249531030654907,-0.012813200242817402,0.4813067615032196,0.4374712109565735,-0.016090869903564453,0.49078884720802307,0.45302528142929077,-0.015380395576357841,0.43818768858909607,0.4661126136779785,-0.010729370638728142,0.45094355940818787,0.4218577742576599,-0.015479499474167824,0.4576391279697418,0.391831636428833,-0.017286155372858047,0.4630732536315918,0.36844560503959656,-0.017728950828313828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4435257911682129,0.5700337886810303,-5.3434828117815414e-08,0.466157466173172,0.531733512878418,0.005047492682933807,0.4723910391330719,0.4893333613872528,0.006021806038916111,0.4829416871070862,0.4627360701560974,0.003778875572606921,0.4933660328388214,0.44882458448410034,0.002128942171111703,0.42928555607795715,0.45073437690734863,0.009563849307596684,0.4583030641078949,0.4217316210269928,0.0029640328139066696,0.47658154368400574,0.4301814138889313,-0.003075100714340806,0.48730209469795227,0.4479939937591553,-0.005551555659621954,0.4261789917945862,0.45393478870391846,0.0028762363363057375,0.4584784507751465,0.42253339290618896,-0.004980233497917652,0.4760264456272125,0.4378052055835724,-0.009984275326132774,0.4856352210044861,0.45814815163612366,-0.011518856510519981,0.4296171963214874,0.46065714955329895,-0.004427942913025618,0.4624827206134796,0.4281570613384247,-0.01132316142320633,0.4769816994667053,0.4465367794036865,-0.011964777484536171,0.48304659128189087,0.46872106194496155,-0.009727826341986656,0.4375656843185425,0.46696266531944275,-0.011702294461429119,0.4501723349094391,0.42106160521507263,-0.014566347002983093,0.45704230666160583,0.39098870754241943,-0.01409410871565342,0.46348658204078674,0.3690217137336731,-0.012703320942819118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.43135353922843933,0.5573734045028687,-1.7716505595899434e-08,0.4505592882633209,0.5176254510879517,0.003590086940675974,0.4545154571533203,0.4786514937877655,0.004376035649329424,0.46308913826942444,0.4520159959793091,0.0025355680845677853,0.4723470211029053,0.4313412308692932,0.001485589542426169,0.4134327173233032,0.44345271587371826,0.007665496785193682,0.4402882754802704,0.40945786237716675,-0.00023991514171939343,0.45855674147605896,0.4102695882320404,-0.005974127445369959,0.47106191515922546,0.419727623462677,-0.007969396188855171,0.40985286235809326,0.4466666877269745,0.0021144268102943897,0.4387224018573761,0.4120786190032959,-0.008783362805843353,0.4541560709476471,0.434863418340683,-0.013009794056415558,0.461544930934906,0.45779943466186523,-0.012716019526124,0.4127633571624756,0.4529933035373688,-0.004230876453220844,0.44085678458213806,0.4182930588722229,-0.013979777693748474,0.45416292548179626,0.4408569037914276,-0.0137089304625988,0.45908528566360474,0.4637417793273926,-0.00965269934386015,0.4201204776763916,0.45960333943367004,-0.010477081872522831,0.43074437975883484,0.41364631056785583,-0.01573425717651844,0.43597540259361267,0.3840298354625702,-0.01593332551419735,0.43965956568717957,0.3606233596801758,-0.014235071837902069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.4271460771560669,0.5556057691574097,-7.244882738177694e-08,0.4458722174167633,0.5183271169662476,0.0034063756465911865,0.44946324825286865,0.4792483150959015,0.003549441695213318,0.4578763246536255,0.45221492648124695,0.001243313425220549,0.4670644998550415,0.4293024241924286,-0.00024059778661467135,0.4063882529735565,0.4443475902080536,0.005663830786943436,0.43348488211631775,0.41067183017730713,-0.0024813918862491846,0.45318078994750977,0.41680634021759033,-0.008353449404239655,0.4649192690849304,0.43114128708839417,-0.010324702598154545,0.40316376090049744,0.44703158736228943,0.0003138136526104063,0.43353766202926636,0.41452664136886597,-0.009412369690835476,0.44995877146720886,0.43824273347854614,-0.013112343847751617,0.45659151673316956,0.46135467290878296,-0.013001344166696072,0.40683630108833313,0.4535849094390869,-0.005685907788574696,0.4353558421134949,0.4208979308605194,-0.014701743610203266,0.4488181471824646,0.4448469579219818,-0.01385917142033577,0.4533534646034241,0.46833327412605286,-0.009737149812281132,0.41510558128356934,0.4608635902404785,-0.011536575853824615,0.4251661002635956,0.4152025580406189,-0.016479237005114555,0.43065589666366577,0.38537585735321045,-0.015943728387355804,0.43480026721954346,0.36185863614082336,-0.01375986821949482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4265579879283905,0.5562568306922913,-8.668268947076285e-08,0.44586753845214844,0.5191797018051147,0.00461278110742569,0.4490971863269806,0.4799223840236664,0.005342645104974508,0.45701053738594055,0.45357611775398254,0.003412812715396285,0.465849906206131,0.4325213134288788,0.002288344781845808,0.40506941080093384,0.4468050003051758,0.0071886335499584675,0.43342626094818115,0.41399455070495605,-9.20245292945765e-05,0.45212388038635254,0.4201544523239136,-0.005721806548535824,0.4635067582130432,0.4329642653465271,-0.007936050184071064,0.40225446224212646,0.44922080636024475,0.0008852102910168469,0.43389296531677246,0.4152679443359375,-0.008284774608910084,0.4495295584201813,0.43697184324264526,-0.011987166479229927,0.45601823925971985,0.45874613523483276,-0.011982793919742107,0.40635785460472107,0.45504331588745117,-0.005976018961519003,0.43668973445892334,0.41952043771743774,-0.014108888804912567,0.4509812593460083,0.43982112407684326,-0.013242385350167751,0.45626917481422424,0.4608767032623291,-0.009481719695031643,0.41531577706336975,0.46117544174194336,-0.01267921831458807,0.4258851706981659,0.4138336777687073,-0.017102180048823357,0.43121203780174255,0.3845100402832031,-0.016477227210998535,0.43568870425224304,0.36139851808547974,-0.014434662647545338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
