frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.38723334670066833,0.49874240159988403,-1.0306117559366612e-07,0.41544851660728455,0.4925341010093689,-0.0036820436362177134,0.4359979033470154,0.466989129781723,-0.0035322040785104036,0.4481942057609558,0.4396975636482239,-0.006092251744121313,0.4551968276500702,0.4099510908126831,-0.008163384161889553,0.4290742874145508,0.4166465401649475,0.011128832586109638,0.43646353483200073,0.3687475323677063,0.0069212098605930805,0.443286269903183,0.3469189405441284,0.00486102607101202,0.44768768548965454,0.33076855540275574,0.004848724231123924,0.4217083752155304,0.40838995575904846,0.00736446026712656,0.43645399808883667,0.3877542316913605,-0.009074653498828411,0.4377802312374115,0.4201878011226654,-0.017485903576016426,0.4340945780277252,0.44627851247787476,-0.017021242529153824,0.4133574366569519,0.4001115560531616,0.0020149557385593653,0.4293813109397888,0.3840169906616211,-0.015006188303232193,0.43102994561195374,0.4186888039112091,-0.01879774034023285,0.42821934819221497,0.4442072808742523,-0.01413481030613184,0.403584361076355,0.3916475772857666,-0.00351533992215991,0.41462674736976624,0.35413819551467896,-0.011240921914577484,0.42495405673980713,0.33323195576667786,-0.011787724681198597,0.43458348512649536,0.31618380546569824,-0.008892531506717205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3880266845226288,0.5082951188087463,-1.3555113298480137e-07,0.41763609647750854,0.5045127272605896,-0.002811235375702381,0.43726691603660583,0.48095378279685974,-0.0030853920616209507,0.4499625265598297,0.45334726572036743,-0.0062234969809651375,0.45676112174987793,0.4241331219673157,-0.008246389217674732,0.4337330162525177,0.43221592903137207,0.012506925500929356,0.44365039467811584,0.4097839891910553,0.0035427643451839685,0.44356462359428406,0.43337172269821167,-0.0026355371810495853,0.439802885055542,0.45440149307250977,-0.0035550668835639954,0.4258524477481842,0.42117708921432495,0.008908303454518318,0.43798625469207764,0.3982255458831787,-0.0047943503595888615,0.43765905499458313,0.43129289150238037,-0.013095513917505741,0.4323529601097107,0.4584794342517853,-0.013610320165753365,0.41686826944351196,0.4107939600944519,0.003110007382929325,0.4319610297679901,0.38969990611076355,-0.010679964907467365,0.43465951085090637,0.42408403754234314,-0.01473116222769022,0.43143850564956665,0.45229536294937134,-0.011397082358598709,0.4064003825187683,0.40204477310180664,-0.0029161309357732534,0.4199472963809967,0.3644247055053711,-0.008305437862873077,0.4309137165546417,0.34370702505111694,-0.008856160566210747,0.4403783082962036,0.3269294500350952,-0.006714451592415571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3890003263950348,0.5064045190811157,-8.369124770979397e-08,0.4158208668231964,0.5063501596450806,-0.0045303176157176495,0.43764883279800415,0.48465171456336975,-0.005449202843010426,0.4519190490245819,0.4583020806312561,-0.008515036664903164,0.4584890604019165,0.42831113934516907,-0.010306797921657562,0.43416357040405273,0.4327582120895386,0.008289394900202751,0.44438570737838745,0.40824344754219055,-0.0017491924809291959,0.44353777170181274,0.4347628653049469,-0.007974205538630486,0.4389358162879944,0.45765990018844604,-0.008689629845321178,0.42639851570129395,0.42202746868133545,0.005744577385485172,0.4399801194667816,0.39535436034202576,-0.008774328976869583,0.4397953748703003,0.42995068430900574,-0.016839364543557167,0.43361160159111023,0.45704910159111023,-0.017172886058688164,0.4168255925178528,0.4116630256175995,0.0010350736556574702,0.4322056174278259,0.387698233127594,-0.013507467694580555,0.4342202842235565,0.4254189729690552,-0.01722332090139389,0.42985954880714417,0.454210489988327,-0.013652903027832508,0.4051178991794586,0.40213173627853394,-0.003937132656574249,0.41794538497924805,0.3649308681488037,-0.01022131647914648,0.42971736192703247,0.34613168239593506,-0.011388782411813736,0.439944326877594,0.3303073048591614,-0.009694568812847137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.38699841499328613,0.5036430954933167,3.2752385692447206e-08,0.410435289144516,0.5098487734794617,-0.005562343634665012,0.4342690110206604,0.4887247681617737,-0.005673438310623169,0.4492338001728058,0.46189430356025696,-0.007392570376396179,0.4564323425292969,0.43138664960861206,-0.008671796880662441,0.4333686828613281,0.43468353152275085,0.00900225155055523,0.44204452633857727,0.400092214345932,0.005869947839528322,0.44810953736305237,0.38126134872436523,0.004174243658781052,0.45255687832832336,0.3647349178791046,0.00397466728463769,0.42504531145095825,0.4217221438884735,0.007037424482405186,0.44020816683769226,0.3999045491218567,-0.006771598476916552,0.4412335157394409,0.43155625462532043,-0.01449018158018589,0.436150461435318,0.4581390917301178,-0.014137339778244495,0.4152595102787018,0.41060835123062134,0.003669983008876443,0.43087834119796753,0.3901316523551941,-0.010581927374005318,0.43240997195243835,0.42512190341949463,-0.013969636522233486,0.4283042550086975,0.4526437520980835,-0.009950467385351658,0.4035220146179199,0.40072017908096313,1.3375808521232102e-05,0.4170447587966919,0.36364924907684326,-0.006616948172450066,0.42830097675323486,0.34507566690444946,-0.007756674662232399,0.43788671493530273,0.3297497034072876,-0.0058752307668328285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3825645446777344,0.4974392056465149,4.691101551657084e-08,0.4045882225036621,0.5082941055297852,-0.00831973273307085,0.43175214529037476,0.49043381214141846,-0.010057405568659306,0.44802993535995483,0.4626648724079132,-0.012464913539588451,0.4547201097011566,0.43126165866851807,-0.0145127447322011,0.433807373046875,0.4352448284626007,0.0009114759159274399,0.44810327887535095,0.4034651815891266,-0.00442805839702487,0.4603565037250519,0.3878130316734314,-0.006707676686346531,0.47178491950035095,0.37388771772384644,-0.007217148318886757,0.4246123731136322,0.4190802574157715,0.0001392929843859747,0.4418086111545563,0.40266919136047363,-0.015265177004039288,0.4390866756439209,0.4351569712162018,-0.02184954285621643,0.43251338601112366,0.46112731099128723,-0.020743215456604958,0.41387662291526794,0.4061795473098755,-0.001910403254441917,0.4302750527858734,0.3883838355541229,-0.01697617396712303,0.42854025959968567,0.4237230122089386,-0.01868453063070774,0.4230917692184448,0.4505336284637451,-0.01373282540589571,0.40113556385040283,0.39531582593917847,-0.004471647087484598,0.4163145124912262,0.3604922294616699,-0.011952081695199013,0.427384614944458,0.3418295085430145,-0.012761319987475872,0.4368085563182831,0.32479992508888245,-0.010642646811902523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3811531066894531,0.499148428440094,3.9339415280892354e-08,0.4057254195213318,0.5078608393669128,-0.007628197316080332,0.4320308566093445,0.4903572201728821,-0.00918611790984869,0.44804584980010986,0.46255069971084595,-0.011646311730146408,0.4556053578853607,0.4317283630371094,-0.013775147497653961,0.43332189321517944,0.4364830255508423,0.00198986753821373,0.4477175176143646,0.40377557277679443,-0.0036368449218571186,0.45981353521347046,0.3889510929584503,-0.006341611500829458,0.47136539220809937,0.3758861720561981,-0.007203989662230015,0.42417392134666443,0.4206134080886841,0.0006724424310959876,0.4413292407989502,0.40208083391189575,-0.015053030103445053,0.43895676732063293,0.4337884485721588,-0.02232067845761776,0.4322021007537842,0.45972156524658203,-0.02184913493692875,0.4134577214717865,0.40722495317459106,-0.0019380421144887805,0.4302099347114563,0.38744068145751953,-0.01730746403336525,0.4287797510623932,0.4227331578731537,-0.019698655232787132,0.4231855869293213,0.4501136839389801,-0.01531149446964264,0.4005626142024994,0.39528053998947144,-0.005011467263102531,0.41572004556655884,0.3592427670955658,-0.01253075897693634,0.4276290237903595,0.3410118520259857,-0.013731771148741245,0.43775656819343567,0.3245586156845093,-0.01211877353489399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.38088998198509216,0.4991382956504822,3.5259315467328634e-08,0.4059009253978729,0.5077181458473206,-0.007597758434712887,0.43192195892333984,0.49014657735824585,-0.00915608461946249,0.44793739914894104,0.4621056318283081,-0.011616320349276066,0.455534964799881,0.4313475489616394,-0.013747391290962696,0.4340604245662689,0.4368472695350647,0.0019524224335327744,0.44870424270629883,0.404153972864151,-0.003714190097525716,0.46065211296081543,0.3895014226436615,-0.006415838375687599,0.4721245765686035,0.37639522552490234,-0.007276346907019615,0.42485174536705017,0.42077162861824036,0.0006359291728585958,0.4416387975215912,0.4023049473762512,-0.015190782956779003,0.43898510932922363,0.4340852200984955,-0.022422781214118004,0.4321780502796173,0.45994338393211365,-0.02191505953669548,0.4139791429042816,0.40731289982795715,-0.001960050081834197,0.43040961027145386,0.3873533308506012,-0.01737535558640957,0.4285261929035187,0.42262595891952515,-0.019621621817350388,0.422757089138031,0.45010316371917725,-0.01513461209833622,0.4009208083152771,0.3953060507774353,-0.005025738384574652,0.4156096875667572,0.35928934812545776,-0.012556820176541805,0.4272773265838623,0.34136027097702026,-0.013648680411279202,0.43738824129104614,0.3252527117729187,-0.01194398570805788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3645856976509094,0.4857793152332306,-6.716052070032674e-08,0.38736823201179504,0.49739977717399597,-0.009301984682679176,0.41486820578575134,0.4843006432056427,-0.012549830600619316,0.43126341700553894,0.45938122272491455,-0.016546018421649933,0.43834108114242554,0.42895856499671936,-0.01951408013701439,0.4274885058403015,0.42544540762901306,-0.0020875867921859026,0.44173169136047363,0.39878663420677185,-0.011869065463542938,0.4452095925807953,0.402925968170166,-0.015940317884087563,0.44550883769989014,0.4137684106826782,-0.015924537554383278,0.41479071974754333,0.40640127658843994,-0.0030734369065612555,0.42937806248664856,0.39030560851097107,-0.019999848678708076,0.4188012182712555,0.4269220232963562,-0.02561827376484871,0.4092475175857544,0.4539099931716919,-0.02371659129858017,0.4001062512397766,0.39155253767967224,-0.005973662715405226,0.41270631551742554,0.37615957856178284,-0.023077238351106644,0.4047045409679413,0.4152948260307312,-0.024511396884918213,0.3975774347782135,0.44337084889411926,-0.019112281501293182,0.3834993541240692,0.37987497448921204,-0.009459462016820908,0.39741548895835876,0.3427860140800476,-0.01831098273396492,0.4074220657348633,0.3231770992279053,-0.019505221396684647,0.4176691770553589,0.30544206500053406,-0.017535949125885963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3473737835884094,0.47302791476249695,-1.1537131427985514e-07,0.37152308225631714,0.48492246866226196,-0.01002506073564291,0.3964669406414032,0.4736260771751404,-0.014965688809752464,0.4114874303340912,0.45415520668029785,-0.02090514451265335,0.4241141974925995,0.43560197949409485,-0.025349197909235954,0.4124985635280609,0.4039302170276642,-0.0025480398908257484,0.42791783809661865,0.38220643997192383,-0.016409656032919884,0.4239601194858551,0.3921501338481903,-0.024174347519874573,0.41484761238098145,0.4094104468822479,-0.025681113824248314,0.3974001109600067,0.38481250405311584,-0.0037853450048714876,0.40732696652412415,0.37198829650878906,-0.02288758009672165,0.39547839760780334,0.4106575548648834,-0.030200110748410225,0.38551658391952515,0.44076013565063477,-0.029331941157579422,0.3801918625831604,0.3716418147087097,-0.007456397172063589,0.3882509469985962,0.3612094223499298,-0.025364365428686142,0.3790234327316284,0.40264520049095154,-0.0271278265863657,0.3718683421611786,0.4332740902900696,-0.021843094378709793,0.3618311285972595,0.36433103680610657,-0.011920054443180561,0.3725627660751343,0.329522967338562,-0.020608320832252502,0.37933000922203064,0.30897730588912964,-0.021280283108353615,0.38716936111450195,0.2886022925376892,-0.01871456764638424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.32805076241493225,0.45872774720191956,-1.3048354219336034e-07,0.3512684106826782,0.46980878710746765,-0.01373029500246048,0.37516558170318604,0.4601261615753174,-0.02114826999604702,0.388313353061676,0.44009578227996826,-0.029178807511925697,0.4002022445201874,0.4191436171531677,-0.03526989743113518,0.39332500100135803,0.3823067843914032,-0.006830789614468813,0.4077426791191101,0.3566410541534424,-0.023972323164343834,0.40070241689682007,0.3738371729850769,-0.03355230391025543,0.3891378343105316,0.3970966339111328,-0.035336483269929886,0.37582454085350037,0.36322176456451416,-0.006977830082178116,0.38319435715675354,0.3502953052520752,-0.02847946062684059,0.3706476390361786,0.3926209509372711,-0.036709848791360855,0.36126720905303955,0.4236179292201996,-0.03587430343031883,0.3564941883087158,0.3510730564594269,-0.01003024447709322,0.3617768883705139,0.3409495949745178,-0.02995145507156849,0.3530040979385376,0.38503989577293396,-0.03219270333647728,0.3472146987915039,0.416301965713501,-0.02658657729625702,0.33663684129714966,0.3455125093460083,-0.01409864891320467,0.3460131883621216,0.3086816966533661,-0.023298319429159164,0.3514314293861389,0.2869614362716675,-0.023488806560635567,0.3584708869457245,0.26488977670669556,-0.020135454833507538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
