frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5892030000686646,0.5102543234825134,-2.1835117536284088e-07,0.5666217803955078,0.5027666687965393,-0.0036461474373936653,0.5474318265914917,0.4731132686138153,-0.006780288647860289,0.5367631912231445,0.44573140144348145,-0.011905351653695107,0.5388329029083252,0.42156997323036194,-0.015607084147632122,0.558257520198822,0.4186241924762726,0.0022807049099355936,0.5541514158248901,0.3735743761062622,-0.007733657956123352,0.549228310585022,0.3837581276893616,-0.012514928355813026,0.54792320728302,0.39928069710731506,-0.013483832590281963,0.5664457082748413,0.41468289494514465,-0.0003392018552403897,0.5563201308250427,0.3781624138355255,-0.014867641031742096,0.550093412399292,0.40703457593917847,-0.0195144172757864,0.5493931174278259,0.4324060380458832,-0.01802521012723446,0.5763282179832458,0.4122898578643799,-0.004572827834635973,0.563968300819397,0.3822479546070099,-0.017449907958507538,0.5567625761032104,0.41249287128448486,-0.01771109737455845,0.5549403429031372,0.4379422962665558,-0.012911555357277393,0.5873209834098816,0.412262886762619,-0.009217455983161926,0.581411600112915,0.37661275267601013,-0.015872448682785034,0.5733216404914856,0.35698235034942627,-0.016769185662269592,0.5658006072044373,0.3390173316001892,-0.014960849657654762
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5901874303817749,0.5125409960746765,-1.8357654596456996e-07,0.5664634704589844,0.5044108629226685,-0.0027770528104156256,0.5470138192176819,0.47486814856529236,-0.005571315065026283,0.5356356501579285,0.44672855734825134,-0.01024011429399252,0.538831353187561,0.42204636335372925,-0.013225010596215725,0.5580916404724121,0.42338627576828003,0.005751684308052063,0.5513139367103577,0.3876594603061676,-0.004082925617694855,0.545922577381134,0.40849098563194275,-0.009711208753287792,0.5448923707008362,0.43116310238838196,-0.01146154385060072,0.5664048790931702,0.41773924231529236,0.0028737043030560017,0.5568110942840576,0.3797779977321625,-0.010366186499595642,0.5504785180091858,0.40746361017227173,-0.015749776735901833,0.5501737594604492,0.43299925327301025,-0.01543293334543705,0.5764417052268982,0.41439247131347656,-0.0017086651641875505,0.5650777220726013,0.38119858503341675,-0.012930029071867466,0.557394802570343,0.4108430743217468,-0.013485562987625599,0.5552717447280884,0.4370037913322449,-0.009748137556016445,0.5872268676757812,0.41455426812171936,-0.006702334154397249,0.5818541049957275,0.37870532274246216,-0.012251407839357853,0.5737897157669067,0.35691967606544495,-0.013488843105733395,0.5658052563667297,0.33654847741127014,-0.012650655582547188
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589881956577301,0.5094382166862488,-1.5364147998297994e-07,0.5669538974761963,0.49951469898223877,-0.0027036615647375584,0.5480421781539917,0.4720314145088196,-0.005451231729239225,0.5362349152565002,0.44569131731987,-0.010194034315645695,0.5395231246948242,0.4195621907711029,-0.013312404975295067,0.5590506792068481,0.41964104771614075,0.0074455165304243565,0.5520836114883423,0.38615813851356506,-0.0026982142589986324,0.5465688109397888,0.40326422452926636,-0.009048008359968662,0.5454071760177612,0.424407422542572,-0.011070179753005505,0.5670713186264038,0.41426706314086914,0.004570741672068834,0.5575251579284668,0.3775865137577057,-0.0097963223233819,0.551215410232544,0.40476441383361816,-0.016461556777358055,0.5506603717803955,0.4321088194847107,-0.016328856348991394,0.5770605206489563,0.41073551774024963,-5.963816147414036e-05,0.5659340023994446,0.3796023726463318,-0.011932248249650002,0.5583897233009338,0.40864846110343933,-0.013308830559253693,0.5564910769462585,0.4356238842010498,-0.009436401538550854,0.5880262851715088,0.41045188903808594,-0.005102817434817553,0.5831636190414429,0.3741501569747925,-0.010752170346677303,0.5750194787979126,0.3521658778190613,-0.012098133563995361,0.5670075416564941,0.3333951532840729,-0.010884799063205719
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5905006527900696,0.508113443851471,-1.66359981790265e-07,0.567241370677948,0.5000543594360352,-0.0030258758924901485,0.5476713180541992,0.47235679626464844,-0.005734139587730169,0.5355267524719238,0.44509387016296387,-0.010374711826443672,0.5395542979240417,0.4194353222846985,-0.013309473171830177,0.5593063831329346,0.42097207903862,0.007542301435023546,0.5522941946983337,0.3873390555381775,-0.002392444759607315,0.5472987294197083,0.40648871660232544,-0.008602911606431007,0.5463106632232666,0.4286614656448364,-0.010583060793578625,0.5673440098762512,0.4145791232585907,0.00486314482986927,0.557543158531189,0.3776886463165283,-0.00906487088650465,0.5514894127845764,0.40501707792282104,-0.01571183279156685,0.5511456727981567,0.43185538053512573,-0.015729451552033424,0.5774739980697632,0.4101939797401428,0.000388245505746454,0.5659551024436951,0.3787909150123596,-0.011229203082621098,0.5586843490600586,0.40878355503082275,-0.012735793367028236,0.5571139454841614,0.43621137738227844,-0.009025683626532555,0.5886091589927673,0.40919187664985657,-0.004520073998719454,0.5830491185188293,0.37321630120277405,-0.009995497763156891,0.5746468305587769,0.351137638092041,-0.011468945071101189,0.5664826035499573,0.33199068903923035,-0.010458439588546753
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590124785900116,0.5072460770606995,-1.4080089272283658e-07,0.5672950148582458,0.49960893392562866,-0.002983253449201584,0.5479561686515808,0.4718904197216034,-0.00550870643928647,0.5357921719551086,0.4446967840194702,-0.009895231574773788,0.5396227836608887,0.4189927279949188,-0.012756496667861938,0.5596362948417664,0.4197506308555603,0.007300124038010836,0.5533466339111328,0.38540956377983093,-0.0019436180591583252,0.5481141805648804,0.39814090728759766,-0.0076222545467317104,0.5469719767570496,0.4152243733406067,-0.009419872425496578,0.5674803256988525,0.41372543573379517,0.004627877380698919,0.5575931668281555,0.3771689236164093,-0.009630391374230385,0.5513351559638977,0.40334683656692505,-0.016259174793958664,0.550918459892273,0.4301094710826874,-0.015979411080479622,0.5772777795791626,0.40941813588142395,0.00027228836552239954,0.565621554851532,0.3791861832141876,-0.01188784558326006,0.5581591129302979,0.40870004892349243,-0.01360937487334013,0.5565223693847656,0.4358780086040497,-0.009725497104227543,0.5881214737892151,0.4084705710411072,-0.004436855670064688,0.5826480388641357,0.3723936378955841,-0.010362518019974232,0.5743812322616577,0.3503938913345337,-0.011980949901044369,0.5663321018218994,0.3314591646194458,-0.010880351066589355
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5896923542022705,0.5069676637649536,-1.5708691591953539e-07,0.5670391321182251,0.4997248649597168,-0.0031675919890403748,0.5476256012916565,0.4719695448875427,-0.005852295085787773,0.5355172157287598,0.44481340050697327,-0.010365856811404228,0.5393460392951965,0.4196353256702423,-0.013208228163421154,0.5589556694030762,0.42033708095550537,0.007035486400127411,0.5522884726524353,0.3859842121601105,-0.0028283672872930765,0.5469549298286438,0.40307289361953735,-0.008813205175101757,0.5457130670547485,0.4241603910923004,-0.010563552379608154,0.5669358372688293,0.4142773747444153,0.004498464521020651,0.5573300123214722,0.37738990783691406,-0.009510617703199387,0.5510640144348145,0.4041461646556854,-0.015936803072690964,0.5506224632263184,0.4308710992336273,-0.01565617136657238,0.576883852481842,0.41005533933639526,0.00018722208915278316,0.5655452609062195,0.379025936126709,-0.011551985517144203,0.5581863522529602,0.4086238145828247,-0.012982809916138649,0.556599497795105,0.4356621205806732,-0.009085506200790405,0.5877410769462585,0.4089902937412262,-0.004539241548627615,0.5822834968566895,0.3726603388786316,-0.010050943121314049,0.5740347504615784,0.3505648076534271,-0.011439594440162182,0.5660758018493652,0.33149996399879456,-0.010282112285494804
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5892350077629089,0.5072618126869202,-1.2347639710696967e-07,0.5668933391571045,0.4999522566795349,-0.0032886338885873556,0.547808051109314,0.47160428762435913,-0.005895365960896015,0.5357245802879333,0.44457927346229553,-0.010254612192511559,0.5394461750984192,0.41951361298561096,-0.013206656090915203,0.559572696685791,0.4186273217201233,0.006263744086027145,0.5541414022445679,0.38239675760269165,-0.002583535620942712,0.549079418182373,0.3904583156108856,-0.007842726074159145,0.5480589866638184,0.4033295512199402,-0.009549307636916637,0.5673983097076416,0.41330426931381226,0.003742834785953164,0.5576580166816711,0.3766748011112213,-0.010731399990618229,0.5511324405670166,0.40296557545661926,-0.017139891162514687,0.5505911707878113,0.4298727810382843,-0.01660267822444439,0.5770180225372314,0.4095757305622101,-0.00035628664772957563,0.5654962062835693,0.3792462646961212,-0.012668219394981861,0.558036744594574,0.408652663230896,-0.014156852848827839,0.5564348101615906,0.43560945987701416,-0.010043073445558548,0.5877111554145813,0.4092239737510681,-0.004820182919502258,0.5822452902793884,0.3729446232318878,-0.010903719812631607,0.574049711227417,0.3510048985481262,-0.012453846633434296,0.5661332011222839,0.331956684589386,-0.011245240457355976
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5894845724105835,0.5070677399635315,-1.711959924932671e-07,0.5667866468429565,0.4999876916408539,-0.0028192659374326468,0.5472008585929871,0.4720116853713989,-0.005268219392746687,0.5354891419410706,0.44486096501350403,-0.0096524553373456,0.539040744304657,0.41948938369750977,-0.012309378944337368,0.5584905743598938,0.42028307914733887,0.007320605684071779,0.5518240928649902,0.38564199209213257,-0.002621628809720278,0.5466030836105347,0.40428829193115234,-0.008635351434350014,0.5454491972923279,0.426474928855896,-0.010370303876698017,0.5664962530136108,0.4142855703830719,0.004644521977752447,0.5570740103721619,0.37726980447769165,-0.009238723665475845,0.5508986115455627,0.40483558177948,-0.015560361556708813,0.5505478978157043,0.4317089915275574,-0.015268184244632721,0.5764520168304443,0.40996575355529785,0.00020576389215420932,0.5653149485588074,0.37824127078056335,-0.011217096820473671,0.5582136511802673,0.4078962504863739,-0.012330238707363605,0.5568988919258118,0.4348171353340149,-0.008343265391886234,0.5874173045158386,0.4086180627346039,-0.0046697743237018585,0.5820676684379578,0.37247177958488464,-0.009980029426515102,0.5738425254821777,0.35073500871658325,-0.0111728236079216,0.5660861134529114,0.331922709941864,-0.009900936856865883
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5895709991455078,0.507332980632782,-1.3840742951742868e-07,0.5670616030693054,0.5004432201385498,-0.003430292708799243,0.5476640462875366,0.47207269072532654,-0.006113993003964424,0.5355738401412964,0.4447881579399109,-0.010523776523768902,0.5393348932266235,0.41920891404151917,-0.013375284150242805,0.5591351985931396,0.4189692437648773,0.006424551364034414,0.5530880689620972,0.3840343952178955,-0.0028383575845509768,0.5480217337608337,0.39604997634887695,-0.008360727690160275,0.547036349773407,0.4120156168937683,-0.010121130384504795,0.5670942068099976,0.41340553760528564,0.003965012263506651,0.5573761463165283,0.3767467439174652,-0.010521930642426014,0.5513291954994202,0.40361809730529785,-0.01693917252123356,0.5510146617889404,0.4304301142692566,-0.016461428254842758,0.5768957734107971,0.4095609188079834,-0.00016817178402561694,0.5653077960014343,0.3789318799972534,-0.012435974553227425,0.558064877986908,0.40853744745254517,-0.013844378292560577,0.5564982295036316,0.43538859486579895,-0.00975830014795065,0.5877414345741272,0.409145712852478,-0.0046973987482488155,0.5822583436965942,0.3730495274066925,-0.01080180611461401,0.5741353034973145,0.3510233759880066,-0.012420512735843658,0.5661830306053162,0.3315647840499878,-0.011301152408123016
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589726448059082,0.5072670578956604,-1.434159173641092e-07,0.567160427570343,0.49973636865615845,-0.0033785102423280478,0.5475649237632751,0.4713709354400635,-0.006068299990147352,0.5353588461875916,0.4437561333179474,-0.010547595098614693,0.5396427512168884,0.4182320833206177,-0.01341596245765686,0.5592536330223083,0.4193975627422333,0.006851533893495798,0.5530006289482117,0.38419556617736816,-0.002562135923653841,0.5479307174682617,0.3971593379974365,-0.00817046407610178,0.5470675826072693,0.41390547156333923,-0.009913871064782143,0.5672208666801453,0.41351842880249023,0.004429209977388382,0.5575683116912842,0.3762909173965454,-0.00997683871537447,0.5515250563621521,0.4029504060745239,-0.016315557062625885,0.5512775778770447,0.42963626980781555,-0.015793953090906143,0.5770763158798218,0.4093931019306183,0.0002798708446789533,0.5655074119567871,0.377949595451355,-0.011811134405434132,0.5583966374397278,0.40764501690864563,-0.013044835068285465,0.5571110844612122,0.4347630739212036,-0.008856766857206821,0.5880813598632812,0.4086119532585144,-0.004297840874642134,0.5827003121376038,0.3726390600204468,-0.010157063603401184,0.5745456218719482,0.3507080078125,-0.011658605188131332,0.5667272210121155,0.3316136300563812,-0.010476743802428246
