frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.38047003746032715,0.44449561834335327,-2.950279665014932e-08,0.40409135818481445,0.4468596279621124,-0.006139380857348442,0.4253467619419098,0.4224693775177002,-0.007544860243797302,0.43844446539878845,0.39411821961402893,-0.010246769525110722,0.44173234701156616,0.36519455909729004,-0.012387782335281372,0.42453131079673767,0.3669573664665222,0.00547882542014122,0.4359839856624603,0.330111026763916,0.0028393222019076347,0.4417757987976074,0.3104568123817444,0.0017406606348231435,0.4453783631324768,0.2933022081851959,0.0013763703173026443,0.41392597556114197,0.35634079575538635,0.0033571189269423485,0.4245198369026184,0.328611820936203,-0.008707783184945583,0.42684289813041687,0.35477110743522644,-0.015068075619637966,0.42547696828842163,0.3790014684200287,-0.014979367144405842,0.4029507339000702,0.348493367433548,2.714284710236825e-05,0.4142559766769409,0.3199574649333954,-0.011375075206160545,0.42093583941459656,0.3492223918437958,-0.013645879924297333,0.4224756062030792,0.37634456157684326,-0.010787216946482658,0.3908640146255493,0.3429581820964813,-0.003920708782970905,0.4002714157104492,0.3078540861606598,-0.008933953009545803,0.4086414575576782,0.2868993878364563,-0.009916773065924644,0.4163255989551544,0.26878443360328674,-0.009132624603807926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3800545334815979,0.44524580240249634,3.4949358962421684e-08,0.40519851446151733,0.4447733759880066,-0.003763873828575015,0.42560169100761414,0.422152042388916,-0.003830638946965337,0.4380090832710266,0.39533305168151855,-0.0057960436679422855,0.441682904958725,0.3681415915489197,-0.007261678576469421,0.4237401783466339,0.3711664080619812,0.009530344977974892,0.4328819811344147,0.33635562658309937,0.007593835704028606,0.4386228322982788,0.3178299367427826,0.006016786675900221,0.4432137906551361,0.3009710907936096,0.005176368169486523,0.4147374927997589,0.36001282930374146,0.006757241208106279,0.42476320266723633,0.3315240144729614,-0.004585090093314648,0.4307659864425659,0.35110756754875183,-0.012327692471444607,0.4317858815193176,0.3712986409664154,-0.013560489751398563,0.40441906452178955,0.3506462275981903,0.002841394394636154,0.41555535793304443,0.3214912414550781,-0.008285537362098694,0.4228183329105377,0.34927427768707275,-0.012186202220618725,0.4242311418056488,0.3760875463485718,-0.010414594784379005,0.3927012085914612,0.3434261083602905,-0.0014461221871897578,0.40093550086021423,0.3077610433101654,-0.006287606433033943,0.40875008702278137,0.28693413734436035,-0.007967224344611168,0.41548916697502136,0.26981469988822937,-0.007677189540117979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.38197192549705505,0.4453755021095276,4.403413100817488e-08,0.40611356496810913,0.4481520652770996,-0.003617708571255207,0.42764362692832947,0.4225994944572449,-0.0030493459198623896,0.4398478865623474,0.39481475949287415,-0.004171487409621477,0.44377243518829346,0.3691349923610687,-0.004866925533860922,0.4250207543373108,0.37189173698425293,0.009595144540071487,0.4346129894256592,0.3400563895702362,0.008158333599567413,0.4409884810447693,0.3240177035331726,0.006859809160232544,0.44643455743789673,0.3101312220096588,0.006045115180313587,0.41592326760292053,0.361107736825943,0.0068243141286075115,0.42670390009880066,0.33142349123954773,-0.0038996089715510607,0.43178460001945496,0.35407260060310364,-0.011260252445936203,0.43184879422187805,0.37749049067497253,-0.012252473272383213,0.40577223896980286,0.3520714044570923,0.002938066143542528,0.41732969880104065,0.32310473918914795,-0.007783723063766956,0.42460954189300537,0.3520311713218689,-0.011336949653923512,0.42578232288360596,0.3792353570461273,-0.009467002935707569,0.39405032992362976,0.34559157490730286,-0.001337206456810236,0.4032928943634033,0.3081974387168884,-0.006301052402704954,0.41195976734161377,0.28667324781417847,-0.008115164935588837,0.41930171847343445,0.26948168873786926,-0.008063566870987415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.38505446910858154,0.44654062390327454,3.577451224145989e-08,0.40855786204338074,0.44987228512763977,-0.0036646192893385887,0.429882287979126,0.4241352677345276,-0.0027130930684506893,0.44112280011177063,0.39605873823165894,-0.003325823927298188,0.4460160434246063,0.37074974179267883,-0.003503739833831787,0.42658916115760803,0.3734574317932129,0.009991655126214027,0.43493208289146423,0.3435995876789093,0.008702846243977547,0.4403321146965027,0.32744669914245605,0.007422388065606356,0.4452192485332489,0.31250590085983276,0.006560921669006348,0.41758882999420166,0.3628605008125305,0.0072570908814668655,0.4286521375179291,0.3335269093513489,-0.003469314891844988,0.4333447217941284,0.3571605682373047,-0.010825575329363346,0.4330276548862457,0.38121122121810913,-0.01168783288449049,0.40774402022361755,0.3542007803916931,0.0033818958327174187,0.4194991886615753,0.32563379406929016,-0.007721752859652042,0.42661163210868835,0.3541634976863861,-0.011485074646770954,0.4279511272907257,0.38070106506347656,-0.009531214833259583,0.3964065611362457,0.34788718819618225,-0.0008375486941076815,0.4053109288215637,0.3093031048774719,-0.006150558590888977,0.4144688844680786,0.28875789046287537,-0.008035676553845406,0.4225688874721527,0.27315306663513184,-0.007871714420616627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3864259421825409,0.4465627074241638,4.135045372777313e-08,0.4096778631210327,0.4507375955581665,-0.003588999155908823,0.4309234023094177,0.42606648802757263,-0.002637887839227915,0.4424046277999878,0.3984276354312897,-0.0033369697630405426,0.44761598110198975,0.3729385733604431,-0.00360792875289917,0.42765891551971436,0.37453746795654297,0.01117501500993967,0.4352971017360687,0.34473735094070435,0.010259614326059818,0.44033750891685486,0.3281669020652771,0.009137745015323162,0.4446508586406708,0.31281423568725586,0.008444005623459816,0.41902074217796326,0.364017128944397,0.008442752994596958,0.4304567575454712,0.3348698616027832,-0.0019482180941849947,0.4350120425224304,0.3580753803253174,-0.009317741729319096,0.4343022108078003,0.3818420469760895,-0.010029356926679611,0.4095803201198578,0.35535749793052673,0.00452506635338068,0.4219169020652771,0.3280274271965027,-0.006636949256062508,0.4288474917411804,0.35603994131088257,-0.010559688322246075,0.42989078164100647,0.3819931745529175,-0.008440411649644375,0.3984885811805725,0.3489828109741211,0.0003178065817337483,0.40785807371139526,0.3108780086040497,-0.004976698197424412,0.41696757078170776,0.2905106544494629,-0.006696868687868118,0.4248940646648407,0.27523273229599,-0.006206209771335125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3877785801887512,0.4457859992980957,3.5019994015783595e-08,0.4109307527542114,0.45067235827445984,-0.003354666056111455,0.43195101618766785,0.4270682632923126,-0.0024315956979990005,0.4435124397277832,0.39964738488197327,-0.003182424232363701,0.4485165774822235,0.3739722669124603,-0.0035147129092365503,0.42880868911743164,0.37508565187454224,0.010500813834369183,0.4365233778953552,0.3434564471244812,0.009003689512610435,0.44160959124565125,0.32697734236717224,0.007579315919429064,0.4453562796115875,0.3134816884994507,0.006941921077668667,0.42050856351852417,0.3642444312572479,0.0077953096479177475,0.4322066605091095,0.33796241879463196,-0.002936174627393484,0.4367583394050598,0.3610527515411377,-0.010278148576617241,0.43598735332489014,0.3840850293636322,-0.01095954142510891,0.4111911952495575,0.3553866744041443,0.003921719267964363,0.4237045347690582,0.3297419846057892,-0.0073906718753278255,0.43039554357528687,0.3574937582015991,-0.011366909369826317,0.4312092661857605,0.38282856345176697,-0.009301094338297844,0.40023645758628845,0.34867942333221436,-0.0001909908460220322,0.4097643196582794,0.3103463649749756,-0.005590000655502081,0.4189077317714691,0.2900448441505432,-0.007295863702893257,0.4270710051059723,0.27491432428359985,-0.006738271564245224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.38933348655700684,0.4449748992919922,3.302133322335976e-08,0.412222295999527,0.4509243369102478,-0.0031782600563019514,0.4330005943775177,0.42756181955337524,-0.0022990130819380283,0.44487667083740234,0.4003322422504425,-0.0031235869973897934,0.4499247670173645,0.3747774064540863,-0.0035187446046620607,0.4304600954055786,0.375054270029068,0.010120484977960587,0.43766534328460693,0.34303829073905945,0.008249780163168907,0.4423651099205017,0.3264968991279602,0.006779327988624573,0.4448883831501007,0.31402504444122314,0.006303330883383751,0.42192649841308594,0.3641666769981384,0.007470997516065836,0.4334990680217743,0.3371402323246002,-0.0031715957447886467,0.43792086839675903,0.3604006767272949,-0.010018990375101566,0.4365803301334381,0.38262316584587097,-0.010350413620471954,0.41260087490081787,0.3555983603000641,0.0036109318025410175,0.4248223304748535,0.32946068048477173,-0.007790726609528065,0.4313768148422241,0.357791543006897,-0.011467390693724155,0.4316525459289551,0.3828001022338867,-0.009146615862846375,0.40173330903053284,0.3492424786090851,-0.00046335620572790504,0.4113141596317291,0.31159812211990356,-0.006277004256844521,0.42052409052848816,0.291786789894104,-0.008203486911952496,0.42855724692344666,0.27619969844818115,-0.0076945130713284016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.39118868112564087,0.44699257612228394,3.687485872205798e-08,0.41386327147483826,0.45190849900245667,-0.003622855292633176,0.4343588352203369,0.42811134457588196,-0.003184823552146554,0.4461289346218109,0.40132609009742737,-0.004439437296241522,0.45211461186408997,0.37620845437049866,-0.005335104651749134,0.43129947781562805,0.3750450909137726,0.009720433503389359,0.4383919835090637,0.3423042297363281,0.00731433043256402,0.443136602640152,0.32607126235961914,0.005508776288479567,0.4456501007080078,0.3138800859451294,0.004865751601755619,0.4228617548942566,0.36507517099380493,0.006973122246563435,0.4352521300315857,0.3373892307281494,-0.004208691418170929,0.43969860672950745,0.36122843623161316,-0.011431677266955376,0.43822282552719116,0.38373440504074097,-0.011971714906394482,0.41355544328689575,0.35712265968322754,0.0029515274800360203,0.4263351857662201,0.33141928911209106,-0.009138084016740322,0.4327414631843567,0.36070671677589417,-0.012959964573383331,0.4330311119556427,0.3858805000782013,-0.010548992082476616,0.40265458822250366,0.35127580165863037,-0.0012858972186222672,0.412455290555954,0.31304746866226196,-0.007409403100609779,0.4223390817642212,0.29347971081733704,-0.00928850844502449,0.4310092628002167,0.2780403196811676,-0.008712941780686378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.39228174090385437,0.45121318101882935,3.863974384898938e-08,0.4154277741909027,0.45383208990097046,-0.0036217111628502607,0.43548399209976196,0.4304279685020447,-0.0038011090364307165,0.44804537296295166,0.40543800592422485,-0.00592658668756485,0.4539644122123718,0.37951260805130005,-0.0076995170675218105,0.433620810508728,0.37781646847724915,0.01017545536160469,0.4398406744003296,0.34482696652412415,0.0076489876955747604,0.44412147998809814,0.3262830078601837,0.005853101145476103,0.44659531116485596,0.31212103366851807,0.005241491831839085,0.42521610856056213,0.3683384358882904,0.007140518166124821,0.4374229907989502,0.34213584661483765,-0.004567774478346109,0.441009521484375,0.3675917088985443,-0.011659922078251839,0.4395298659801483,0.3907428979873657,-0.011759687215089798,0.41596460342407227,0.3604620397090912,0.002801108406856656,0.42851579189300537,0.3358975648880005,-0.009482205845415592,0.43473270535469055,0.36527585983276367,-0.012676669284701347,0.435145765542984,0.3909611999988556,-0.009630484506487846,0.4051305949687958,0.35463443398475647,-0.0018092335667461157,0.4152032136917114,0.31696242094039917,-0.0075339809991419315,0.4255925118923187,0.29858288168907166,-0.008583140559494495,0.43489551544189453,0.28473860025405884,-0.0072951894253492355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.39349502325057983,0.4544292688369751,3.4359416645202145e-08,0.4163409173488617,0.4568702280521393,-0.004249271005392075,0.4370618462562561,0.4346463680267334,-0.004718367010354996,0.4503389596939087,0.410449355840683,-0.006930497009307146,0.45603033900260925,0.3842429518699646,-0.008783327415585518,0.43524885177612305,0.3822091817855835,0.00833740085363388,0.4416922628879547,0.34905609488487244,0.005347342696040869,0.4457886815071106,0.3297560214996338,0.0035482323728501797,0.4486161768436432,0.31406736373901367,0.0029082316905260086,0.4269506335258484,0.3723524510860443,0.005521426908671856,0.440729022026062,0.3472447693347931,-0.0070074512623250484,0.44320163130760193,0.3746912181377411,-0.013913952745497227,0.4409727156162262,0.39867374300956726,-0.013708244077861309,0.4176260530948639,0.3644063174724579,0.001433997880667448,0.43113183975219727,0.3401147425174713,-0.01155299972742796,0.43625596165657043,0.370002418756485,-0.014566458761692047,0.4361380338668823,0.3956206142902374,-0.011238809674978256,0.4066949486732483,0.35853034257888794,-0.002948711160570383,0.4175174832344055,0.3208457827568054,-0.009344284422695637,0.42822274565696716,0.30224838852882385,-0.01061530876904726,0.4378410875797272,0.2881458103656769,-0.009369203820824623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
