frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.44628822803497314,0.5810551047325134,-9.65579332046218e-08,0.4691922068595886,0.5672458410263062,-0.00016914532170630991,0.4836461842060089,0.5435616970062256,-0.004905528388917446,0.4962850511074066,0.5281397700309753,-0.011059344746172428,0.5045356750488281,0.5074324607849121,-0.01712653413414955,0.4609396457672119,0.4849253296852112,-0.008280904963612556,0.4759400188922882,0.44671106338500977,-0.015177465975284576,0.48391345143318176,0.42121243476867676,-0.019347552210092545,0.48938578367233276,0.40058398246765137,-0.02280588261783123,0.4576959013938904,0.4895422160625458,-0.01398246455937624,0.49277442693710327,0.483482301235199,-0.028566833585500717,0.49476397037506104,0.5150976777076721,-0.03341364860534668,0.48756104707717896,0.5325568914413452,-0.03424111008644104,0.45910897850990295,0.5028437972068787,-0.019248006865382195,0.4901377260684967,0.4901650846004486,-0.03317944332957268,0.49007654190063477,0.5208288431167603,-0.031699299812316895,0.4820965826511383,0.5367881655693054,-0.027706077322363853,0.46455779671669006,0.5187869668006897,-0.024267176166176796,0.4707382619380951,0.48894932866096497,-0.034863829612731934,0.4722229838371277,0.4715481996536255,-0.035518161952495575,0.47247353196144104,0.4525107443332672,-0.03412683680653572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.43668681383132935,0.5655902624130249,-2.0807344469631062e-07,0.4639101028442383,0.5393652319908142,0.011951572261750698,0.47828036546707153,0.5122886896133423,0.013711804524064064,0.4917275607585907,0.4954109191894531,0.011601307429373264,0.5016103982925415,0.4770372807979584,0.010247654281556606,0.4545213580131531,0.4575743079185486,0.007777127902954817,0.4825524091720581,0.43973979353904724,0.0004419516189955175,0.4871872663497925,0.4670955240726471,-0.004828748293220997,0.4821114242076874,0.49171730875968933,-0.00716271810233593,0.4525907039642334,0.46312665939331055,-0.002506553428247571,0.4887503981590271,0.4482492506504059,-0.012375702150166035,0.49084046483039856,0.483357310295105,-0.01731327921152115,0.4818727374076843,0.5018330216407776,-0.01904992386698723,0.45461931824684143,0.47486811876296997,-0.012395587749779224,0.48785316944122314,0.4509888291358948,-0.020958462730050087,0.4885312020778656,0.48251956701278687,-0.020554034039378166,0.4789827764034271,0.49838754534721375,-0.01844492182135582,0.45933425426483154,0.48690760135650635,-0.021156184375286102,0.4692874848842621,0.45063018798828125,-0.028307734057307243,0.4728524088859558,0.43020716309547424,-0.029851926490664482,0.4735659658908844,0.40728047490119934,-0.029914740473031998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4367174506187439,0.5633503198623657,-2.5053327590285335e-07,0.46086549758911133,0.5366557836532593,0.012038212269544601,0.47528812289237976,0.5088826417922974,0.01377082895487547,0.4890719950199127,0.4921632409095764,0.011467215605080128,0.49982380867004395,0.4768928587436676,0.010076811537146568,0.4538338780403137,0.4550013840198517,0.007982796058058739,0.4804535508155823,0.43704408407211304,0.0008810908766463399,0.48464223742485046,0.46373307704925537,-0.003436426166445017,0.48066452145576477,0.48864805698394775,-0.004993475042283535,0.4519987106323242,0.4605742394924164,-0.0022296824026852846,0.48733818531036377,0.45255613327026367,-0.01196535024791956,0.4877132773399353,0.48827409744262695,-0.015751656144857407,0.4790087044239044,0.5091069936752319,-0.016475286334753036,0.45408496260643005,0.472747802734375,-0.012202645651996136,0.4869577884674072,0.45489954948425293,-0.02090493030846119,0.4863095283508301,0.4857274889945984,-0.020460765808820724,0.47769391536712646,0.5028298497200012,-0.018069008365273476,0.46008068323135376,0.48560255765914917,-0.021123064681887627,0.4699825346469879,0.4498295485973358,-0.028321878984570503,0.47183364629745483,0.42803192138671875,-0.030324364081025124,0.471893846988678,0.40544357895851135,-0.030627019703388214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4357048273086548,0.5430601835250854,-2.215943055716707e-07,0.4618186354637146,0.5183916687965393,0.012636383064091206,0.47454217076301575,0.4922875761985779,0.014939269050955772,0.4874774217605591,0.47578728199005127,0.013239489868283272,0.49747949838638306,0.45689675211906433,0.012532459571957588,0.4503486454486847,0.4367698132991791,0.010573921725153923,0.4780406355857849,0.4204111099243164,0.004778439644724131,0.48251768946647644,0.44638583064079285,8.891804463928565e-05,0.47815078496932983,0.46814242005348206,-0.002063598483800888,0.4485491216182709,0.43949130177497864,0.0003151398559566587,0.4834482967853546,0.43094876408576965,-0.007467624731361866,0.48420631885528564,0.4651748836040497,-0.01194881834089756,0.47550949454307556,0.48380202054977417,-0.013781792484223843,0.4513278305530548,0.4495490789413452,-0.009561327286064625,0.4829044044017792,0.4282469153404236,-0.015698593109846115,0.48286810517311096,0.4557708501815796,-0.015206764452159405,0.47425583004951477,0.47022122144699097,-0.013679233379662037,0.45791035890579224,0.4599402844905853,-0.018443066626787186,0.46807849407196045,0.4241582155227661,-0.02330435812473297,0.47087186574935913,0.403638631105423,-0.023983294144272804,0.4714311361312866,0.382338285446167,-0.023835351690649986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.43439751863479614,0.5272704362869263,-2.1221592305664672e-07,0.46006739139556885,0.5054012537002563,0.007882404141128063,0.4733215570449829,0.48129570484161377,0.008391724899411201,0.48589375615119934,0.4641205370426178,0.0059263133443892,0.4953088164329529,0.44492173194885254,0.004671767819672823,0.4484941065311432,0.42340153455734253,0.006036874372512102,0.4766257405281067,0.409467875957489,-0.0007612044573761523,0.47994309663772583,0.43780064582824707,-0.006172389257699251,0.47413086891174316,0.4609423279762268,-0.0083268191665411,0.44590795040130615,0.42531317472457886,-0.0013908646069467068,0.48031309247016907,0.41762617230415344,-0.00911267101764679,0.4810709059238434,0.4499933123588562,-0.013658572919666767,0.4733039438724518,0.46749192476272583,-0.01534049492329359,0.44836533069610596,0.43405506014823914,-0.00862977933138609,0.4805261492729187,0.4170127809047699,-0.014695622026920319,0.48073846101760864,0.4431522786617279,-0.014356041327118874,0.47285836935043335,0.4584243595600128,-0.012373162433505058,0.4545200765132904,0.4433858394622803,-0.015262956731021404,0.4678700268268585,0.40801769495010376,-0.019206253811717033,0.47112372517585754,0.38558682799339294,-0.019140930846333504,0.47111067175865173,0.3644963502883911,-0.018062623217701912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.4330788850784302,0.5163930058479309,-2.167601564906363e-07,0.459320992231369,0.49536892771720886,0.0073170349933207035,0.4730457663536072,0.47102177143096924,0.008187719620764256,0.4851814806461334,0.4557293653488159,0.006137455347925425,0.49378451704978943,0.4384605288505554,0.005128372460603714,0.4481554627418518,0.4126078188419342,0.005860315635800362,0.47569119930267334,0.4011146128177643,-0.0015349906170740724,0.4799184203147888,0.4296603798866272,-0.006654537748545408,0.475116491317749,0.453812837600708,-0.008118848316371441,0.4453076124191284,0.4144842028617859,-0.001319295261055231,0.4809860289096832,0.41176387667655945,-0.010277493856847286,0.4808419942855835,0.44415539503097534,-0.014522772282361984,0.47277745604515076,0.4615676701068878,-0.015103457495570183,0.44757869839668274,0.42324450612068176,-0.008444997482001781,0.4814697504043579,0.41402560472488403,-0.016682179644703865,0.4806736409664154,0.4429546296596527,-0.016669685021042824,0.4722270965576172,0.4592568576335907,-0.01362424623221159,0.4534001350402832,0.43315500020980835,-0.014860478229820728,0.46602383255958557,0.398273766040802,-0.020293308421969414,0.47020581364631653,0.3739599287509918,-0.02051677741110325,0.47212234139442444,0.3512772023677826,-0.018823418766260147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.43370234966278076,0.5128263831138611,-2.1793883320242458e-07,0.45937201380729675,0.49556323885917664,0.004924664739519358,0.4738866984844208,0.4725215435028076,0.004761029500514269,0.4864766597747803,0.4559965133666992,0.0023289257660508156,0.49422603845596313,0.4363412857055664,0.0013552416348829865,0.4492416977882385,0.41549819707870483,0.0035218095872551203,0.47631651163101196,0.40336859226226807,-0.0044873678125441074,0.481224924325943,0.43159809708595276,-0.009681952185928822,0.47745731472969055,0.45730942487716675,-0.011149591766297817,0.4468551278114319,0.4158361256122589,-0.0024751494638621807,0.479827880859375,0.4101942479610443,-0.01222243718802929,0.4808618724346161,0.4440813958644867,-0.01618364080786705,0.4740542471408844,0.4645381271839142,-0.016610128805041313,0.4489925503730774,0.4228340685367584,-0.008670148439705372,0.4798246920108795,0.40619170665740967,-0.016959119588136673,0.4814583361148834,0.4335417151451111,-0.016192562878131866,0.47534307837486267,0.4507935345172882,-0.013054332695901394,0.45424824953079224,0.4311341345310211,-0.014446677640080452,0.4659929871559143,0.39573538303375244,-0.020014269277453423,0.4699327349662781,0.37150171399116516,-0.020262882113456726,0.471502423286438,0.34929364919662476,-0.018900932744145393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.4330233335494995,0.5098129510879517,-2.44567786467087e-07,0.4601742625236511,0.4884146451950073,0.011030946858227253,0.47335952520370483,0.4672431945800781,0.014111174270510674,0.48634082078933716,0.45035403966903687,0.013955256901681423,0.4935385286808014,0.43543386459350586,0.014581735245883465,0.4504142701625824,0.4128214716911316,0.009281422942876816,0.47722017765045166,0.4033351242542267,0.0038487063720822334,0.47933414578437805,0.4312470853328705,-0.0010915729217231274,0.47318464517593384,0.454378604888916,-0.0033156287390738726,0.44836917519569397,0.4130467474460602,0.0007834945572540164,0.4814889430999756,0.40459704399108887,-0.006135810166597366,0.48090118169784546,0.4380400776863098,-0.010702138766646385,0.47351935505867004,0.45508983731269836,-0.01264434214681387,0.45062631368637085,0.41942310333251953,-0.007136973086744547,0.482433021068573,0.4049947261810303,-0.011897042393684387,0.48015138506889343,0.433607280254364,-0.01036090962588787,0.4698878824710846,0.4489330053329468,-0.008031472563743591,0.4546489417552948,0.42773252725601196,-0.014273574575781822,0.46731436252593994,0.3902769088745117,-0.018503662198781967,0.4715840816497803,0.3669722378253937,-0.01840689219534397,0.4728541076183319,0.3436739444732666,-0.017396705225110054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.4315705895423889,0.5065804719924927,-2.585361471574288e-07,0.4590164124965668,0.4880346655845642,0.01010215189307928,0.47234219312667847,0.4668749272823334,0.013031371869146824,0.4857255816459656,0.44887858629226685,0.012910298071801662,0.4940226674079895,0.43327030539512634,0.013456156477332115,0.45241275429725647,0.41191354393959045,0.008661279454827309,0.4783950448036194,0.405703604221344,0.0032670320942997932,0.4799327850341797,0.43221578001976013,-0.0018445315072312951,0.47334760427474976,0.4541722536087036,-0.004232301376760006,0.450376033782959,0.4111478924751282,0.0008502236451022327,0.4822496771812439,0.40668928623199463,-0.005666077136993408,0.480899453163147,0.43944573402404785,-0.010361027903854847,0.473418653011322,0.45540082454681396,-0.01265883818268776,0.45199477672576904,0.4170038104057312,-0.006431075744330883,0.4830731153488159,0.40525323152542114,-0.011232435703277588,0.480520635843277,0.4327441155910492,-0.010088441893458366,0.47024908661842346,0.4475945830345154,-0.008118615485727787,0.45486387610435486,0.4250822067260742,-0.012971935793757439,0.4683862030506134,0.3872050940990448,-0.017574967816472054,0.4735828638076782,0.3637874126434326,-0.017933929339051247,0.4758281707763672,0.340587317943573,-0.01728247106075287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4310154616832733,0.5054762959480286,-2.46451037355655e-07,0.4581635892391205,0.48799458146095276,0.009308605454862118,0.47155657410621643,0.46841859817504883,0.012260852381587029,0.4850563108921051,0.45113182067871094,0.012353106401860714,0.49349290132522583,0.4357672333717346,0.013335767202079296,0.4523427188396454,0.41341081261634827,0.008956486359238625,0.4777299761772156,0.40576690435409546,0.003742244793102145,0.48010528087615967,0.43125003576278687,-0.0008762303041294217,0.47386646270751953,0.4536327123641968,-0.0026224174071103334,0.4510599374771118,0.41252148151397705,0.0018202182836830616,0.48200803995132446,0.40928730368614197,-0.0047026099637150764,0.4805190861225128,0.44175776839256287,-0.009219985455274582,0.47309544682502747,0.4571307897567749,-0.011167611926794052,0.4530038833618164,0.417632132768631,-0.004959271755069494,0.48240455985069275,0.40584465861320496,-0.009780490770936012,0.4800397455692291,0.43274596333503723,-0.008816231973469257,0.4703933000564575,0.44648605585098267,-0.006818895228207111,0.4560689628124237,0.4245401918888092,-0.01106977742165327,0.4697057008743286,0.38659176230430603,-0.015679441392421722,0.4754854142665863,0.3632717728614807,-0.016194183379411697,0.4784614145755768,0.33976101875305176,-0.015577482059597969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
