frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.40390098094940186,0.7549684047698975,1.7949382424831128e-07,0.3900742828845978,0.697686493396759,0.011298827826976776,0.3977147936820984,0.6411048769950867,0.011712602339684963,0.41611528396606445,0.6129331588745117,0.006979456637054682,0.43668147921562195,0.6068989634513855,0.0025504010263830423,0.39508265256881714,0.6054518818855286,0.009724722243845463,0.41716259717941284,0.5484207272529602,0.00303694442845881,0.4292164742946625,0.5210899710655212,-0.0013876818120479584,0.43610918521881104,0.5047389268875122,-0.003766867099329829,0.40910354256629944,0.5988733768463135,-0.0027555320411920547,0.42794352769851685,0.5238311290740967,-0.01039298065006733,0.4394438862800598,0.47556471824645996,-0.016208363696932793,0.4482114017009735,0.43713825941085815,-0.01928393356502056,0.42531663179397583,0.6096004247665405,-0.014478913508355618,0.4626644253730774,0.5711000561714172,-0.022859081625938416,0.46928369998931885,0.6026426553726196,-0.021336061879992485,0.46655023097991943,0.629187822341919,-0.017317164689302444,0.4445003569126129,0.6335656642913818,-0.02572491765022278,0.4741377830505371,0.6182752251625061,-0.03074733354151249,0.4783262312412262,0.6477797627449036,-0.02599877491593361,0.4759361147880554,0.6743936538696289,-0.02004586160182953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4125628173351288,0.7728102207183838,1.5137759135086526e-07,0.3978768289089203,0.7153960466384888,0.009739244356751442,0.39693334698677063,0.6627070307731628,0.007978527806699276,0.40561628341674805,0.6259616613388062,0.001364234951324761,0.41218745708465576,0.6078139543533325,-0.004406472202390432,0.40719807147979736,0.6126399636268616,0.00657239044085145,0.4365847706794739,0.5749236345291138,-0.003539732890203595,0.4521174728870392,0.5873415470123291,-0.010784811340272427,0.4573453366756439,0.5973315834999084,-0.013877023942768574,0.4232848882675171,0.6057889461517334,-0.0069165597669780254,0.4434742331504822,0.5291081070899963,-0.014586903154850006,0.45138728618621826,0.48103365302085876,-0.020671911537647247,0.45517662167549133,0.443122923374176,-0.023783328011631966,0.43972447514533997,0.6171597838401794,-0.020043451339006424,0.4726927876472473,0.5916131734848022,-0.029135754331946373,0.4769907593727112,0.6286872625350952,-0.028005355969071388,0.47213873267173767,0.6580736637115479,-0.023667186498641968,0.45881956815719604,0.6424536108970642,-0.03282390162348747,0.48506686091423035,0.6327989101409912,-0.03689013049006462,0.48712801933288574,0.6639375686645508,-0.02973305806517601,0.48297780752182007,0.6898985505104065,-0.021886618807911873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41715845465660095,0.7810133099555969,2.1758725665677048e-07,0.4023357033729553,0.7219889163970947,0.00962068885564804,0.4019123911857605,0.6722961664199829,0.0076046595349907875,0.4069039523601532,0.636314332485199,0.0011313186259940267,0.41016170382499695,0.6137680411338806,-0.0050722332671284676,0.41668501496315,0.6171653270721436,0.002638033824041486,0.4454527795314789,0.5683771967887878,-0.006512659136205912,0.45982789993286133,0.5453372001647949,-0.01166074350476265,0.4673297107219696,0.5256712436676025,-0.013927599415183067,0.43250927329063416,0.6134722232818604,-0.010197744704782963,0.4500267207622528,0.5350348353385925,-0.019194308668375015,0.4574072062969208,0.48551279306411743,-0.02364661730825901,0.46178966760635376,0.44548365473747253,-0.025225743651390076,0.44939249753952026,0.6270142197608948,-0.022234637290239334,0.4798586666584015,0.6056133508682251,-0.03040650114417076,0.48170965909957886,0.6391886472702026,-0.027202192693948746,0.47570377588272095,0.6632373929023743,-0.021934987977147102,0.4679125249385834,0.6530086994171143,-0.03409462422132492,0.48949211835861206,0.6511424779891968,-0.03628196567296982,0.48684272170066833,0.6796901822090149,-0.029177812859416008,0.47975119948387146,0.6997944712638855,-0.02193932794034481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4195484519004822,0.7863443493843079,1.604733341764586e-07,0.40482619404792786,0.7207534909248352,0.010002790950238705,0.4042479991912842,0.669984757900238,0.0067712957970798016,0.4128860533237457,0.6380998492240906,-0.0008267454104498029,0.4249495267868042,0.626338005065918,-0.008191663771867752,0.41825157403945923,0.6263055801391602,-0.001341155730187893,0.4474349915981293,0.5816465020179749,-0.010424843989312649,0.4604288637638092,0.5809794664382935,-0.0154108302667737,0.46602094173431396,0.5759238600730896,-0.017349768429994583,0.4362943172454834,0.6232945322990417,-0.01383083313703537,0.45480307936668396,0.5443114638328552,-0.020939743146300316,0.46159741282463074,0.4949793219566345,-0.0245379488915205,0.4649340510368347,0.4540407657623291,-0.02616104856133461,0.45499536395072937,0.6363985538482666,-0.025053802877664566,0.484102725982666,0.6184136271476746,-0.030245192348957062,0.4833329916000366,0.650651216506958,-0.02666771039366722,0.4753943681716919,0.6736798882484436,-0.022094793617725372,0.4736294746398926,0.661879301071167,-0.035992223769426346,0.4933837652206421,0.6604136824607849,-0.034445833414793015,0.48790669441223145,0.6873054504394531,-0.025388961657881737,0.4794766902923584,0.7055210471153259,-0.01748676225543022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.419733464717865,0.7835745811462402,1.1721050441337866e-07,0.4054957926273346,0.7174531817436218,0.013273056596517563,0.40517908334732056,0.6675620675086975,0.011432172730565071,0.41460496187210083,0.63841313123703,0.005193641874939203,0.42646607756614685,0.6283563375473022,0.00025783036835491657,0.4174053370952606,0.6263152956962585,-8.580508438171819e-05,0.44610515236854553,0.5916309356689453,-0.007275033742189407,0.45745527744293213,0.6109077334403992,-0.009038746356964111,0.4598527252674103,0.6242169737815857,-0.008421103470027447,0.43596479296684265,0.6214923858642578,-0.013245654292404652,0.4540999233722687,0.5416803359985352,-0.022095240652561188,0.4613422453403473,0.4934028387069702,-0.025391453877091408,0.4649709463119507,0.45571836829185486,-0.02624780870974064,0.4551767110824585,0.6350690722465515,-0.02433827891945839,0.48499196767807007,0.6136922836303711,-0.029384154826402664,0.48494887351989746,0.6450243592262268,-0.024391483515501022,0.47712305188179016,0.6683911085128784,-0.018542658537626266,0.4744091331958771,0.6632780432701111,-0.03469029441475868,0.49444088339805603,0.6615676283836365,-0.031718019396066666,0.48953741788864136,0.6874725818634033,-0.021156277507543564,0.48106950521469116,0.705955982208252,-0.012107562273740768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.4154483675956726,0.7846113443374634,1.3602536341750238e-07,0.40243977308273315,0.7179464101791382,0.01376301795244217,0.4063817858695984,0.6694430708885193,0.012673381716012955,0.41984862089157104,0.6413630247116089,0.0069564045406877995,0.43463748693466187,0.6324431896209717,0.0019457538146525621,0.4172808825969696,0.6260524392127991,0.002074785763397813,0.4479963183403015,0.5887140035629272,-0.0043492247350513935,0.46104103326797485,0.6016707420349121,-0.006265643052756786,0.46501895785331726,0.607964038848877,-0.005832425784319639,0.43592649698257446,0.6225729584693909,-0.011190637946128845,0.45611312985420227,0.5443662405014038,-0.018306344747543335,0.46354931592941284,0.4946775436401367,-0.02112686075270176,0.46701493859291077,0.4541507959365845,-0.021763434633612633,0.4547017514705658,0.6369284987449646,-0.0226315725594759,0.48545244336128235,0.6197541952133179,-0.026722220703959465,0.48535358905792236,0.6510534286499023,-0.022570103406906128,0.47742339968681335,0.6731076240539551,-0.01741316169500351,0.4729883074760437,0.6649079918861389,-0.033336713910102844,0.493280291557312,0.6647624373435974,-0.029499949887394905,0.48853975534439087,0.6914582848548889,-0.01933569274842739,0.4800393879413605,0.7103902101516724,-0.010766906663775444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.41161948442459106,0.7761039733886719,1.24855361605114e-07,0.3979818820953369,0.7110646367073059,0.013629183173179626,0.40288910269737244,0.6644197702407837,0.011942869983613491,0.4201470613479614,0.6399662494659424,0.005680563393980265,0.43875324726104736,0.6369614005088806,0.0005867336876690388,0.41305670142173767,0.6227230429649353,0.0008024757844395936,0.44338980317115784,0.5903418660163879,-0.006417696829885244,0.45469117164611816,0.6120989322662354,-0.00823190901428461,0.4562236964702606,0.6273918747901917,-0.007387056481093168,0.4321271479129791,0.6168087720870972,-0.012537162750959396,0.4537811875343323,0.5362762212753296,-0.020156119018793106,0.4628402292728424,0.48927491903305054,-0.02275243028998375,0.46764612197875977,0.4516686797142029,-0.0230636615306139,0.4518916606903076,0.6312592029571533,-0.023967724293470383,0.4838292598724365,0.6150658130645752,-0.027593128383159637,0.48334211111068726,0.6479277610778809,-0.02256740815937519,0.47519707679748535,0.670512855052948,-0.016921307891607285,0.47149658203125,0.6610114574432373,-0.03476677089929581,0.4918496608734131,0.6650905609130859,-0.030395032837986946,0.4865477383136749,0.6915815472602844,-0.019602349027991295,0.47826483845710754,0.7101026177406311,-0.010572385974228382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.39896249771118164,0.7730789184570312,2.534138161536248e-07,0.39265161752700806,0.7040227055549622,0.00912094209343195,0.4064103960990906,0.6539109945297241,0.0071855573914945126,0.43078410625457764,0.6372510194778442,0.00077650515595451,0.453229695558548,0.646453857421875,-0.005585364531725645,0.41476497054100037,0.6158540844917297,0.0024608937092125416,0.4462336599826813,0.5689278841018677,-0.005226165056228638,0.4636375308036804,0.5556840896606445,-0.009617655538022518,0.4746187627315521,0.5435534119606018,-0.011503053829073906,0.4312862753868103,0.6132749319076538,-0.009261622093617916,0.4530360698699951,0.5363254547119141,-0.01537980418652296,0.46303796768188477,0.4887535572052002,-0.01962324045598507,0.4690206050872803,0.4463478624820709,-0.02137801982462406,0.4483981430530548,0.6290460824966431,-0.02002541348338127,0.47985514998435974,0.6185494661331177,-0.024392640218138695,0.4770967960357666,0.6519104838371277,-0.02188468910753727,0.46754810214042664,0.6714859008789062,-0.017773937433958054,0.46511051058769226,0.6583415865898132,-0.030792957171797752,0.4845901131629944,0.6665560007095337,-0.029047256335616112,0.4791257381439209,0.6925662755966187,-0.021404119208455086,0.47065070271492004,0.7081871032714844,-0.014416541904211044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3840689957141876,0.760554850101471,2.3549819161416963e-07,0.3812962770462036,0.6854447722434998,0.00712592201307416,0.39888066053390503,0.6339492201805115,0.005818120203912258,0.4254792332649231,0.6226186752319336,0.0001472275034757331,0.44851043820381165,0.6320245265960693,-0.0049960012547671795,0.39717715978622437,0.59920734167099,0.00638370867818594,0.43345311284065247,0.5669794678688049,-0.0016518784686923027,0.45122307538986206,0.5677719712257385,-0.0075816321186721325,0.4617391526699066,0.5648615956306458,-0.010240450501441956,0.4160386025905609,0.597570538520813,-0.004417667165398598,0.4433220624923706,0.5320471525192261,-0.009220967069268227,0.4570372402667999,0.491649329662323,-0.014788506552577019,0.46623682975769043,0.45374566316604614,-0.01769712008535862,0.4357490539550781,0.6136307716369629,-0.01500213984400034,0.46733543276786804,0.6130682229995728,-0.021430160850286484,0.46441900730133057,0.6494247317314148,-0.02306377701461315,0.45473921298980713,0.6708475351333618,-0.021137919276952744,0.45502787828445435,0.6433881521224976,-0.0255291685461998,0.47333940863609314,0.6588168740272522,-0.026190511882305145,0.46847137808799744,0.6885319948196411,-0.020736582577228546,0.46123409271240234,0.7100518345832825,-0.014771788381040096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3634002208709717,0.7481638789176941,-8.827592523630301e-08,0.36321184039115906,0.6699726581573486,0.00884264800697565,0.37748056650161743,0.6130971908569336,0.007019742392003536,0.4022856652736664,0.5879708528518677,0.0010620943503454328,0.42680442333221436,0.584885835647583,-0.003367110388353467,0.37447577714920044,0.5673267841339111,0.005748748313635588,0.41469627618789673,0.527864933013916,-0.004357738420367241,0.4265689551830292,0.5619199275970459,-0.010896546766161919,0.42272627353668213,0.590520977973938,-0.01328103244304657,0.38927626609802246,0.5761565566062927,-0.004155471920967102,0.4327203333377838,0.5450667142868042,-0.007752851117402315,0.4389663636684418,0.5801674127578735,-0.008568065240979195,0.4306616187095642,0.6046299338340759,-0.008735046721994877,0.40532776713371277,0.5951290130615234,-0.01441310252994299,0.4436825215816498,0.5828673839569092,-0.014737512916326523,0.4436919689178467,0.6163842678070068,-0.010546732693910599,0.4331505000591278,0.6384121179580688,-0.00805320218205452,0.42081257700920105,0.622553288936615,-0.024935638532042503,0.44607821106910706,0.6276959180831909,-0.020375331863760948,0.4430244565010071,0.654044508934021,-0.01397071685642004,0.4340500831604004,0.6710047125816345,-0.009598416276276112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
