frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.39291152358055115,0.5890151858329773,1.9828692643386603e-07,0.38765227794647217,0.5457316040992737,0.0020888480357825756,0.39300572872161865,0.5115873217582703,0.0004732250527013093,0.4077242612838745,0.4935814440250397,-0.0027877469547092915,0.4216737151145935,0.4900186061859131,-0.005701088812202215,0.3888491988182068,0.48458391427993774,0.0013120353687554598,0.41415756940841675,0.45877858996391296,-0.0034334261436015368,0.42919161915779114,0.45068830251693726,-0.007012749556452036,0.4395838975906372,0.4436891973018646,-0.009222866967320442,0.3983135521411896,0.48766574263572693,-0.0028747471515089273,0.4221580922603607,0.4576009213924408,-0.006703157443553209,0.43548068404197693,0.4444381594657898,-0.00924746971577406,0.44376012682914734,0.4318789541721344,-0.01076667569577694,0.4085780382156372,0.49636319279670715,-0.00703163119032979,0.4300321042537689,0.4940522611141205,-0.009991664439439774,0.42777979373931885,0.5118233561515808,-0.008768623694777489,0.42123356461524963,0.5222195386886597,-0.006949892733246088,0.41933345794677734,0.5086941123008728,-0.011467194184660912,0.43372222781181335,0.511509895324707,-0.011032269336283207,0.43050700426101685,0.5267649292945862,-0.007553829345852137,0.4248725473880768,0.534559965133667,-0.004418286960572004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.39697185158729553,0.585411787033081,2.446488451823825e-07,0.3897247314453125,0.5436543226242065,0.001651606522500515,0.39526575803756714,0.5085768699645996,0.00010329408542020246,0.4097023904323578,0.4935309588909149,-0.002615405945107341,0.4226493835449219,0.4931100904941559,-0.005069575272500515,0.3929719030857086,0.485040545463562,-0.0008549459162168205,0.41813355684280396,0.4602801203727722,-0.004753861576318741,0.4332784414291382,0.4479920566082001,-0.007540114689618349,0.44436484575271606,0.4383423328399658,-0.009073900058865547,0.4032458961009979,0.4890434443950653,-0.00392180448397994,0.4266718924045563,0.4635748267173767,-0.0064769769087433815,0.43939971923828125,0.44735342264175415,-0.00832114927470684,0.4474342465400696,0.43228334188461304,-0.009410775266587734,0.4137698709964752,0.49816909432411194,-0.006741064600646496,0.43367132544517517,0.49598366022109985,-0.008514348417520523,0.4311372935771942,0.5114735960960388,-0.007488136179745197,0.4246522784233093,0.5212405323982239,-0.005780559033155441,0.4243355095386505,0.5108767747879028,-0.009736034087836742,0.4361572563648224,0.512884795665741,-0.008774194866418839,0.43322843313217163,0.5253515243530273,-0.00570479454472661,0.42776381969451904,0.532296895980835,-0.002698004711419344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.39911556243896484,0.5801284313201904,2.5574593109922716e-07,0.3918359875679016,0.5402876734733582,0.0013469834811985493,0.3967326581478119,0.5070232152938843,-0.0004355305281933397,0.41129693388938904,0.49232712388038635,-0.003312774235382676,0.42425811290740967,0.4920567274093628,-0.005908383522182703,0.39345481991767883,0.48458215594291687,-0.00184921408072114,0.418328195810318,0.4606730341911316,-0.006187270861119032,0.43330422043800354,0.4482136368751526,-0.009004107676446438,0.4441075325012207,0.4393959641456604,-0.010418111458420753,0.40405037999153137,0.4879719316959381,-0.004959224257618189,0.42669761180877686,0.4617977440357208,-0.008302763104438782,0.4398200809955597,0.44543522596359253,-0.010219443589448929,0.4482361674308777,0.4310764968395233,-0.011069264262914658,0.4150495231151581,0.49656403064727783,-0.0077994405291974545,0.4343271255493164,0.4951871633529663,-0.010364802554249763,0.4323347210884094,0.5108314156532288,-0.009142718277871609,0.4264063239097595,0.5207341909408569,-0.0069755325093865395,0.4259369969367981,0.5090053677558899,-0.010804306715726852,0.4378587007522583,0.5109230279922485,-0.01036567147821188,0.4354872703552246,0.5233315825462341,-0.007138080429285765,0.43066883087158203,0.5302678942680359,-0.0038078869692981243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3996780514717102,0.5771924257278442,2.562077554557618e-07,0.3925122022628784,0.538108229637146,0.0009935935959219933,0.39758944511413574,0.5051645040512085,-0.0011228409130126238,0.4128991961479187,0.49115148186683655,-0.004159681033343077,0.42594143748283386,0.49223992228507996,-0.00685878423973918,0.3941713571548462,0.48445603251457214,-0.0028939503245055676,0.4190112054347992,0.4602871239185333,-0.007456106133759022,0.4337180554866791,0.44913551211357117,-0.01039948035031557,0.444180428981781,0.44148823618888855,-0.012029370293021202,0.40488260984420776,0.48782357573509216,-0.006089525297284126,0.4271148145198822,0.4604719281196594,-0.009763767942786217,0.440451979637146,0.4447554349899292,-0.011771954596042633,0.4493041932582855,0.43124935030937195,-0.012704971246421337,0.4159468114376068,0.496643602848053,-0.008980859071016312,0.43589937686920166,0.49417880177497864,-0.011674660257995129,0.4340973198413849,0.5098422169685364,-0.010177070274949074,0.428307443857193,0.5198636651039124,-0.007911822758615017,0.42704978585243225,0.5097355842590332,-0.0120746660977602,0.43951717019081116,0.5110265612602234,-0.01193840242922306,0.4370623826980591,0.5234115123748779,-0.008636388927698135,0.432081401348114,0.5302563905715942,-0.005299052689224482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.40013444423675537,0.5768576860427856,2.4103280793497106e-07,0.39282047748565674,0.5381201505661011,0.0017282807966694236,0.39807257056236267,0.5046883821487427,0.000353922659996897,0.4131924510002136,0.4910050332546234,-0.002062662038952112,0.42601630091667175,0.4924536943435669,-0.004306328482925892,0.396026074886322,0.48361799120903015,-0.001423212350346148,0.4194912910461426,0.46067166328430176,-0.005144791211932898,0.433528870344162,0.4491690397262573,-0.0076890429481863976,0.443656325340271,0.4409831762313843,-0.009099690243601799,0.4069139063358307,0.4870010018348694,-0.004660133272409439,0.42842382192611694,0.4612733721733093,-0.007231680676341057,0.4409729838371277,0.44477665424346924,-0.008998018689453602,0.44911128282546997,0.43014681339263916,-0.00994002353399992,0.4177922010421753,0.4961225986480713,-0.007554162293672562,0.43632352352142334,0.4942033290863037,-0.009365111589431763,0.43379464745521545,0.5093788504600525,-0.008037183433771133,0.4276217818260193,0.5189454555511475,-0.006072432734072208,0.4283970892429352,0.5095540881156921,-0.010592554695904255,0.4397742450237274,0.511239230632782,-0.009973272681236267,0.43669694662094116,0.5235962271690369,-0.006799029186367989,0.4312525987625122,0.5303987860679626,-0.0036591829266399145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.39961615204811096,0.5772238969802856,2.457181551562826e-07,0.39276963472366333,0.538335919380188,0.0018228638218715787,0.3983796536922455,0.5055994987487793,0.0004389009263832122,0.4137232303619385,0.49250859022140503,-0.0021142205223441124,0.42636916041374207,0.49398231506347656,-0.004461825825273991,0.3960058093070984,0.48387694358825684,-0.0009494614787399769,0.41960760951042175,0.4605076313018799,-0.00486763846129179,0.43389227986335754,0.4486190974712372,-0.007664629723876715,0.4442167282104492,0.4398375451564789,-0.009294353425502777,0.40652647614479065,0.48732033371925354,-0.0043918476440012455,0.4276326298713684,0.46046650409698486,-0.007346538361161947,0.4404836893081665,0.4444078505039215,-0.009316200390458107,0.4490930736064911,0.43062907457351685,-0.010363509878516197,0.41731521487236023,0.49657493829727173,-0.007548920344561338,0.4358472526073456,0.4938628375530243,-0.009568621404469013,0.4334414005279541,0.5090402364730835,-0.00803497526794672,0.427414208650589,0.5184394717216492,-0.005940125323832035,0.42801153659820557,0.510124921798706,-0.010896274819970131,0.43954944610595703,0.5104874968528748,-0.010494079440832138,0.4365103840827942,0.5228147506713867,-0.007257021497935057,0.43130016326904297,0.5293061137199402,-0.0040637291967868805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3985692262649536,0.5772044062614441,2.437615478356747e-07,0.3918498456478119,0.5382794737815857,0.0022610658779740334,0.39741694927215576,0.5053116679191589,0.0010188734158873558,0.41258859634399414,0.491644024848938,-0.0013902150094509125,0.42529335618019104,0.4920186996459961,-0.003628877457231283,0.39441242814064026,0.4833131432533264,-0.0011472329497337341,0.4187506437301636,0.4600512385368347,-0.004859571345150471,0.43353337049484253,0.44833803176879883,-0.007523685228079557,0.4442293047904968,0.43957340717315674,-0.009078937582671642,0.40530166029930115,0.4871734380722046,-0.004663632716983557,0.4266432523727417,0.46025019884109497,-0.007264846935868263,0.4397057592868805,0.4440910518169403,-0.008937533013522625,0.4482910931110382,0.43002593517303467,-0.00992619153112173,0.41650840640068054,0.49681752920150757,-0.007789870724081993,0.4345974326133728,0.49254992604255676,-0.009297523647546768,0.43223318457603455,0.5072888135910034,-0.007336693815886974,0.42622846364974976,0.516862154006958,-0.005145333241671324,0.4274357557296753,0.5105445981025696,-0.011067679151892662,0.4384426176548004,0.5083991885185242,-0.010203703306615353,0.43551602959632874,0.5204458236694336,-0.0065515111200511456,0.43060141801834106,0.5272886753082275,-0.0031719075050204992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.39504843950271606,0.5752974152565002,2.6689443188843143e-07,0.3892636299133301,0.5363469123840332,0.0009801193373277783,0.39563289284706116,0.5030401349067688,-0.0011789697455242276,0.41131311655044556,0.48922744393348694,-0.004388899076730013,0.4242936670780182,0.48962271213531494,-0.007206234615296125,0.390472948551178,0.48077455163002014,-0.002033015014603734,0.4157807528972626,0.45710092782974243,-0.007173541001975536,0.4311232268810272,0.4449215531349182,-0.010858937166631222,0.44248440861701965,0.43598514795303345,-0.013088545762002468,0.4006681442260742,0.48492130637168884,-0.005584332626312971,0.4230200946331024,0.45740222930908203,-0.010055222548544407,0.4362843930721283,0.4419570863246918,-0.012766686268150806,0.4450133740901947,0.42772820591926575,-0.014234129339456558,0.411540687084198,0.49429887533187866,-0.008919753134250641,0.4318300485610962,0.49059897661209106,-0.012328516691923141,0.42954710125923157,0.5062358379364014,-0.010779659263789654,0.42310550808906555,0.5152549147605896,-0.008508016355335712,0.42246803641319275,0.507570207118988,-0.012509312480688095,0.43541011214256287,0.5068585872650146,-0.013151799328625202,0.43252477049827576,0.519504964351654,-0.00988441426306963,0.4269089698791504,0.5257917642593384,-0.006552514154464006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3905121684074402,0.5672450065612793,2.746921268226288e-07,0.38518384099006653,0.5292038321495056,0.0021691718138754368,0.3907344341278076,0.49546197056770325,0.00023179582785815,0.40545979142189026,0.4811030626296997,-0.003179848426952958,0.419460654258728,0.48075202107429504,-0.0061742765828967094,0.38578951358795166,0.4723835587501526,-0.0005397775676101446,0.41033250093460083,0.44597601890563965,-0.0056188348680734634,0.42489686608314514,0.4354715943336487,-0.00899721309542656,0.4351019263267517,0.42792510986328125,-0.010786879807710648,0.39439135789871216,0.4754091203212738,-0.00494198314845562,0.41790029406547546,0.4456949532032013,-0.009098478592932224,0.431516170501709,0.4310552477836609,-0.011223484762012959,0.4402499198913574,0.41707247495651245,-0.012078608386218548,0.4043149948120117,0.48368361592292786,-0.009158081375062466,0.4265846610069275,0.4798177182674408,-0.012263309210538864,0.42434898018836975,0.49773669242858887,-0.010211870074272156,0.41759639978408813,0.5077641010284424,-0.007492378819733858,0.41500169038772583,0.496125191450119,-0.013613011687994003,0.4305044114589691,0.49605312943458557,-0.013741839677095413,0.42764151096343994,0.5112289786338806,-0.009826898574829102,0.4216657876968384,0.5191640853881836,-0.006014292594045401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3838614821434021,0.5524202585220337,2.7372166755412763e-07,0.3781470060348511,0.5144054889678955,2.812383172567934e-06,0.3843681514263153,0.4796767830848694,-0.003080271650105715,0.40010398626327515,0.46453776955604553,-0.007088870741426945,0.413481742143631,0.4642449915409088,-0.010268219746649265,0.3771549165248871,0.458340585231781,-0.002293993253260851,0.4010981023311615,0.4323766827583313,-0.007877960801124573,0.413923054933548,0.42978110909461975,-0.011872746050357819,0.42184239625930786,0.42639878392219543,-0.014180186204612255,0.38616326451301575,0.4629845917224884,-0.00604092376306653,0.4099140763282776,0.4304519295692444,-0.010441502556204796,0.42406341433525085,0.4133325219154358,-0.013200088404119015,0.4337230324745178,0.39679762721061707,-0.014919883571565151,0.3964464068412781,0.4723256826400757,-0.009862625040113926,0.4198249578475952,0.465617835521698,-0.013381863944232464,0.4175577759742737,0.48187023401260376,-0.011983368545770645,0.4109039306640625,0.49164822697639465,-0.00993143580853939,0.40724632143974304,0.4849974811077118,-0.014075174927711487,0.42331740260124207,0.4819844663143158,-0.014585904777050018,0.4201816916465759,0.4966471493244171,-0.011053458787500858,0.4142138361930847,0.5047232508659363,-0.007812140509486198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
