frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.38285842537879944,0.7274056077003479,-1.0974925146456371e-07,0.3855360746383667,0.6781882643699646,0.009770621545612812,0.3876603841781616,0.6137074828147888,0.011336049996316433,0.40263253450393677,0.5745238661766052,0.009052174165844917,0.41922855377197266,0.5569071173667908,0.007626515347510576,0.34977471828460693,0.5738379955291748,0.015560152009129524,0.39258256554603577,0.5311816930770874,0.010046021081507206,0.4135953485965729,0.5586986541748047,0.0028212685137987137,0.4193698465824127,0.5895915031433105,-0.0012106028152629733,0.3590601086616516,0.5630913376808167,0.005132592283189297,0.3983379304409027,0.5067533254623413,0.002767931204289198,0.41499415040016174,0.5139261484146118,-0.003075460670515895,0.4192735552787781,0.5195338129997253,-0.006296537350863218,0.37636125087738037,0.5623543858528137,-0.005782888270914555,0.4095557928085327,0.48973163962364197,-0.008451403118669987,0.42372769117355347,0.46342775225639343,-0.014738062396645546,0.4275943338871002,0.4389652907848358,-0.019761163741350174,0.3988625705242157,0.5672008395195007,-0.015825267881155014,0.4253215789794922,0.5263062715530396,-0.013454851694405079,0.4347207546234131,0.5481283068656921,-0.008299506269395351,0.43883129954338074,0.5705224871635437,-0.005682870279997587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.39084526896476746,0.7354698181152344,-1.6805638836103753e-07,0.3811565041542053,0.680530309677124,0.018670598044991493,0.3839131295681,0.6154411435127258,0.021495351567864418,0.4016154706478119,0.5758221745491028,0.01920263096690178,0.4188815951347351,0.5592007637023926,0.016686782240867615,0.3562105894088745,0.5821089148521423,0.01962083764374256,0.39531341195106506,0.539081335067749,0.018584493547677994,0.4127020239830017,0.5641540288925171,0.013932175934314728,0.4176105260848999,0.5938248038291931,0.010795352049171925,0.368289977312088,0.5728036165237427,0.005241734441369772,0.4037518799304962,0.5179318189620972,0.006833786144852638,0.41820722818374634,0.5251239538192749,0.0015935853589326143,0.42221230268478394,0.534822404384613,-0.0020775925368070602,0.3873489797115326,0.5739374160766602,-0.00814094953238964,0.4161461889743805,0.49939948320388794,-0.008202300406992435,0.42916518449783325,0.4679883122444153,-0.015367597341537476,0.4324707090854645,0.44219836592674255,-0.022012263536453247,0.4110020101070404,0.5783228874206543,-0.019473746418952942,0.4357341527938843,0.5379296541213989,-0.015524347312748432,0.44345036149024963,0.5640169978141785,-0.009994723834097385,0.44576993584632874,0.592073917388916,-0.007844693958759308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3955164849758148,0.739808201789856,-2.232037417115862e-07,0.38579872250556946,0.6881384253501892,0.020556828007102013,0.39015108346939087,0.623136043548584,0.023902008309960365,0.4085918664932251,0.5838831663131714,0.02242729812860489,0.42652764916419983,0.5664964914321899,0.020267467945814133,0.3611273467540741,0.5877379179000854,0.018052788451313972,0.3989430367946625,0.5516298413276672,0.01858624815940857,0.4148133397102356,0.5769495368003845,0.015163428150117397,0.4183659851551056,0.6039966940879822,0.012333582155406475,0.3748015761375427,0.5776504278182983,0.0030965739861130714,0.41002899408340454,0.5287140607833862,0.005271709989756346,0.42362838983535767,0.5424363613128662,0.00012064414477208629,0.42668983340263367,0.5560917258262634,-0.003658582456409931,0.39563098549842834,0.5790106654167175,-0.010179469361901283,0.4229240119457245,0.5073851346969604,-0.010270125232636929,0.43437451124191284,0.4728740155696869,-0.018162617459893227,0.4361931383609772,0.44191229343414307,-0.02573944255709648,0.41998618841171265,0.5846530795097351,-0.020884068682789803,0.44384706020355225,0.548406720161438,-0.016644662246108055,0.45031553506851196,0.5747957229614258,-0.0107644097879529,0.4510781764984131,0.6007901430130005,-0.008816318586468697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3979479968547821,0.741958498954773,-2.0783956244940782e-07,0.38297635316848755,0.6956807971000671,0.01796473003923893,0.3849017322063446,0.6322925686836243,0.019816258922219276,0.4025798439979553,0.5926260352134705,0.017798226326704025,0.42096060514450073,0.5745018124580383,0.014601758681237698,0.36544233560562134,0.5912925004959106,0.011040722951292992,0.400521457195282,0.5601500868797302,0.009987268596887589,0.4130232036113739,0.5854827165603638,0.006382136605679989,0.41303420066833496,0.6121735572814941,0.0037286090664565563,0.38143110275268555,0.5814470052719116,-0.002528880024328828,0.4144648015499115,0.5339280962944031,-0.0022124263923615217,0.4252571761608124,0.5419889688491821,-0.0068818349391222,0.4259604811668396,0.5501171350479126,-0.010164041072130203,0.40252673625946045,0.5850759148597717,-0.014175829477608204,0.42918962240219116,0.5115651488304138,-0.017393115907907486,0.43872058391571045,0.4758560061454773,-0.024981241673231125,0.4393462836742401,0.4452195167541504,-0.03151572868227959,0.4252176284790039,0.5952160358428955,-0.02306564338505268,0.4479667544364929,0.5568671226501465,-0.021713320165872574,0.4536548852920532,0.581544816493988,-0.015810202807188034,0.45382004976272583,0.6066681146621704,-0.013090486638247967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3995231091976166,0.7448133230209351,2.7545675962414862e-08,0.38682734966278076,0.6995277404785156,0.012121663428843021,0.39303141832351685,0.6407070755958557,0.012081031687557697,0.41598016023635864,0.6049970388412476,0.009018788114190102,0.43588346242904663,0.5863466262817383,0.005398736800998449,0.37116196751594543,0.5976182818412781,0.006562803406268358,0.4041132926940918,0.5692302584648132,0.0032836757600307465,0.41631555557250977,0.5900065302848816,-0.0011448079021647573,0.4156199097633362,0.6117855906486511,-0.0039789932779967785,0.3877968192100525,0.5855996608734131,-0.00505529111251235,0.42086929082870483,0.5251049995422363,-0.005622026976197958,0.4322420656681061,0.49494126439094543,-0.009764165617525578,0.4360179007053375,0.46809470653533936,-0.013340695761144161,0.40756547451019287,0.5891907215118408,-0.015529029071331024,0.4351528286933899,0.5159288644790649,-0.020112302154302597,0.44395387172698975,0.4778665006160736,-0.026399824768304825,0.44540897011756897,0.443156361579895,-0.03166036307811737,0.43038439750671387,0.6022917032241821,-0.024166883900761604,0.4538601338863373,0.5696896314620972,-0.023460034281015396,0.45561832189559937,0.5952787399291992,-0.017179768532514572,0.4539420008659363,0.6182305216789246,-0.013871920295059681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.400354266166687,0.7499295473098755,2.502425786587992e-07,0.4189193546772003,0.7109209895133972,0.0013003939529880881,0.43247610330581665,0.6583641767501831,0.0006651876610703766,0.45098814368247986,0.6273483037948608,-0.00156182621140033,0.4645906984806061,0.6112393736839294,-0.0020166123285889626,0.40801993012428284,0.5974088907241821,0.0011975212255492806,0.4362637400627136,0.5565574169158936,-0.004634488839656115,0.4440993666648865,0.5783389210700989,-0.009463977068662643,0.4405101537704468,0.5981185436248779,-0.010728327557444572,0.40626052021980286,0.5868092775344849,-0.0025561498478055,0.43496859073638916,0.516157865524292,-0.007002400234341621,0.4446934163570404,0.46744221448898315,-0.009964588098227978,0.45015424489974976,0.42788270115852356,-0.010646238923072815,0.40754055976867676,0.5919754505157471,-0.00620350381359458,0.4349128305912018,0.5547260642051697,-0.010548104532063007,0.4393561780452728,0.5802233815193176,-0.007526223547756672,0.4378557801246643,0.6066316962242126,-0.0021100719459354877,0.41341766715049744,0.6081722378730774,-0.009994501248002052,0.4349817633628845,0.5837184190750122,-0.007788386195898056,0.43944627046585083,0.6038349866867065,0.0016486173262819648,0.44122806191444397,0.6252277493476868,0.010439933277666569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.40432941913604736,0.7584216594696045,1.0365283031887884e-07,0.3970853388309479,0.704482913017273,0.011408359743654728,0.4043329656124115,0.6506842970848083,0.010394123382866383,0.4279182255268097,0.6269724369049072,0.004491948522627354,0.45130568742752075,0.6218705177307129,-0.000673028058372438,0.3891144096851349,0.6057584285736084,0.00981349777430296,0.4203079342842102,0.5777938961982727,0.0030744620598852634,0.4311541020870209,0.5980309844017029,-0.0027941239532083273,0.42999354004859924,0.6157979965209961,-0.005665082950145006,0.40431320667266846,0.5946688652038574,-0.004355697892606258,0.4324544072151184,0.5244264602661133,-0.007878169417381287,0.44333451986312866,0.47710633277893066,-0.0111752450466156,0.44664573669433594,0.4370391070842743,-0.013077559880912304,0.42238134145736694,0.6014872193336487,-0.018346861004829407,0.44823238253593445,0.5356014966964722,-0.024114547297358513,0.452146053314209,0.5272611975669861,-0.02474129945039749,0.44702622294425964,0.5208536386489868,-0.02419220469892025,0.4461076259613037,0.624217689037323,-0.031595487147569656,0.47081318497657776,0.5920333862304688,-0.0330049954354763,0.47050201892852783,0.6208581328392029,-0.02482345886528492,0.4645366668701172,0.649000346660614,-0.018167812377214432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.40887731313705444,0.7631064653396606,1.2362174572899676e-07,0.3973866105079651,0.7090932726860046,0.010934448800981045,0.40271303057670593,0.6521535515785217,0.010273861698806286,0.4268155097961426,0.6246010661125183,0.004880138207226992,0.45091331005096436,0.6198095679283142,0.0006478649447672069,0.39524444937705994,0.6129097938537598,0.006985282525420189,0.42232754826545715,0.5842952132225037,-0.0007230893243104219,0.4320994019508362,0.6043264269828796,-0.006032796110957861,0.4304731488227844,0.6206502914428711,-0.00828896276652813,0.412453830242157,0.6020103693008423,-0.006069163326174021,0.4378511905670166,0.5309630632400513,-0.012867225334048271,0.44761794805526733,0.47985735535621643,-0.016902023926377296,0.4520578384399414,0.43573546409606934,-0.018897926434874535,0.43161100149154663,0.6088208556175232,-0.018552003428339958,0.4572474956512451,0.5661412477493286,-0.026098858565092087,0.45884811878204346,0.5955138802528381,-0.02337517961859703,0.45286741852760315,0.6204678416252136,-0.018832864239811897,0.45505860447883606,0.6319035291671753,-0.030513031408190727,0.47581344842910767,0.6076518893241882,-0.03184472396969795,0.47381237149238586,0.6388938426971436,-0.022634785622358322,0.46770405769348145,0.6660242080688477,-0.014487016014754772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.406760036945343,0.7643662095069885,1.2399040372201853e-07,0.396641343832016,0.7086724042892456,0.010088540613651276,0.4057333469390869,0.6540991067886353,0.007892356254160404,0.43274471163749695,0.628345787525177,0.0010893051512539387,0.45814281702041626,0.6238682866096497,-0.004471321124583483,0.3961506187915802,0.6110461354255676,0.007078211754560471,0.42450761795043945,0.5891895890235901,-0.00045594884431920946,0.4326151907444,0.6095770597457886,-0.006572618614882231,0.42975300550460815,0.6248066425323486,-0.009678118862211704,0.41284140944480896,0.6025649309158325,-0.006190823391079903,0.44035330414772034,0.5365638732910156,-0.011516445316374302,0.4504081606864929,0.48681461811065674,-0.015802396461367607,0.45490801334381104,0.4430205821990967,-0.01867319829761982,0.4316729009151459,0.6114364266395569,-0.018977783620357513,0.4588693678379059,0.5671082139015198,-0.02614147588610649,0.4610486924648285,0.5956377387046814,-0.02380535565316677,0.45520132780075073,0.6199568510055542,-0.019901640713214874,0.4544580280780792,0.6355941295623779,-0.03125549852848053,0.4764549732208252,0.6069414019584656,-0.03288445621728897,0.476338267326355,0.6368963718414307,-0.023483743891119957,0.471365362405777,0.6641172766685486,-0.015286337584257126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.40274134278297424,0.7606170177459717,1.2540573379737907e-07,0.3971395194530487,0.7079272866249084,0.010957261547446251,0.4093114137649536,0.6573476791381836,0.009810514748096466,0.4385664463043213,0.6355909705162048,0.004054046235978603,0.46526047587394714,0.6311467289924622,-0.0003868110361509025,0.3939283788204193,0.6076018810272217,0.010189107619225979,0.4233921468257904,0.5896012783050537,0.004570229444652796,0.4310109317302704,0.6084904074668884,-0.0007020030170679092,0.4287312626838684,0.6224960088729858,-0.0034931739792227745,0.41048571467399597,0.597947895526886,-0.0028798754792660475,0.43848559260368347,0.5365297794342041,-0.006738293915987015,0.4497700333595276,0.4893450438976288,-0.010415424592792988,0.4553225636482239,0.44799941778182983,-0.01298969704657793,0.4295234680175781,0.605862021446228,-0.015470921993255615,0.4570273458957672,0.5657384991645813,-0.021257612854242325,0.45907506346702576,0.5928101539611816,-0.01877564564347267,0.45273876190185547,0.6161744594573975,-0.014927567914128304,0.45217910408973694,0.6292781829833984,-0.027510125190019608,0.47496071457862854,0.6011670827865601,-0.02746596746146679,0.4743915796279907,0.6286654472351074,-0.01762903295457363,0.46883657574653625,0.6554352045059204,-0.009385811164975166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
