frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.4328112006187439,0.5678025484085083,-1.0705559105872453e-07,0.42819246649742126,0.5310736298561096,0.006694488693028688,0.43221625685691833,0.48960521817207336,0.0049957516603171825,0.4447583556175232,0.4649601876735687,0.0007705448660999537,0.4567626416683197,0.45364221930503845,-0.0030120667070150375,0.40834057331085205,0.4676744043827057,0.007442449685186148,0.43060731887817383,0.43281206488609314,0.0016918551409617066,0.44267958402633667,0.44735029339790344,-0.004071882460266352,0.4458255171775818,0.46340516209602356,-0.007743443828076124,0.4163276255130768,0.4618479609489441,-0.0008957165409810841,0.4360925853252411,0.4173320233821869,-0.007757635787129402,0.4474242329597473,0.43148040771484375,-0.01379311177879572,0.45071735978126526,0.4461687505245209,-0.015831053256988525,0.42950284481048584,0.4634428024291992,-0.009264061227440834,0.4447574019432068,0.4097623825073242,-0.015206781215965748,0.45510444045066833,0.3851838707923889,-0.02142937481403351,0.45733642578125,0.36175456643104553,-0.02543998695909977,0.4467957317829132,0.46809694170951843,-0.016549773514270782,0.46139147877693176,0.44291818141937256,-0.017375152558088303,0.46525877714157104,0.4565381407737732,-0.01471816748380661,0.4643268585205078,0.4686892032623291,-0.013514393009245396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4336332082748413,0.5683436393737793,-1.3512607210941496e-07,0.42278143763542175,0.5298718214035034,0.011754687875509262,0.4262731075286865,0.49021509289741516,0.010724153369665146,0.43989309668540955,0.4681089222431183,0.00681375153362751,0.45403406023979187,0.459624707698822,0.0022168310824781656,0.41129717230796814,0.47124797105789185,0.005626746919006109,0.4321255683898926,0.4376867711544037,0.0032991699408739805,0.44274207949638367,0.45345786213874817,0.000516800326295197,0.4448491632938385,0.4675487279891968,-0.0019463237840682268,0.4217729866504669,0.46434858441352844,-0.004176477435976267,0.439109742641449,0.42151856422424316,-0.008015859872102737,0.44862619042396545,0.43835005164146423,-0.01173517107963562,0.45146694779396057,0.456450879573822,-0.012992235831916332,0.43645399808883667,0.4664452373981476,-0.012792211025953293,0.44988831877708435,0.41377905011177063,-0.015460347756743431,0.45861756801605225,0.3879489600658417,-0.02019752934575081,0.4606213867664337,0.36513417959213257,-0.02427067421376705,0.4533959925174713,0.47076088190078735,-0.019647741690278053,0.4653974771499634,0.4502290189266205,-0.01745874620974064,0.4672480523586273,0.46466848254203796,-0.013545927591621876,0.4653143584728241,0.4768247604370117,-0.01233436819165945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4352884292602539,0.5736148357391357,-1.334377515149754e-07,0.4251486659049988,0.5351648330688477,0.011354382149875164,0.4283768832683563,0.4967998266220093,0.010618291795253754,0.44048330187797546,0.47630074620246887,0.007021568715572357,0.452900767326355,0.4699133336544037,0.002792804967612028,0.41482895612716675,0.4736783504486084,0.007411877624690533,0.4353475868701935,0.4411875605583191,0.005001205950975418,0.44499799609184265,0.45654329657554626,0.0022652815096080303,0.44639018177986145,0.4703483283519745,9.913914982462302e-05,0.4250190556049347,0.4671769440174103,-0.002333004493266344,0.44145750999450684,0.42559555172920227,-0.006578256841748953,0.4508097469806671,0.4440443217754364,-0.01015668734908104,0.4538326859474182,0.46284011006355286,-0.010730767622590065,0.43901923298835754,0.4708443582057953,-0.011157448403537273,0.45195648074150085,0.4189106225967407,-0.014893188141286373,0.45949214696884155,0.3921165466308594,-0.020260989665985107,0.4606763422489166,0.3677648901939392,-0.024225426837801933,0.4555319845676422,0.47740456461906433,-0.018178027123212814,0.4659866690635681,0.4570651650428772,-0.016930079087615013,0.4677526354789734,0.47192269563674927,-0.01320477481931448,0.46624863147735596,0.484598308801651,-0.011754964478313923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.436128169298172,0.5746275186538696,-1.3607713356122986e-07,0.4245626926422119,0.5346168875694275,0.013325485400855541,0.4279332756996155,0.4972456395626068,0.012870811857283115,0.4392244219779968,0.4780949056148529,0.009352738969027996,0.4517514109611511,0.4723924696445465,0.004776770249009132,0.4158892333507538,0.47326162457466125,0.00655473442748189,0.43673035502433777,0.44201603531837463,0.005182700697332621,0.4459998309612274,0.4591265320777893,0.0034450336825102568,0.4470081925392151,0.47275310754776,0.0018155472353100777,0.4268556535243988,0.46751782298088074,-0.0038939514197409153,0.4440690875053406,0.4275861084461212,-0.007181400433182716,0.4529745280742645,0.44646239280700684,-0.01010754145681858,0.4556594491004944,0.4653458893299103,-0.010488641448318958,0.4413512945175171,0.47287866473197937,-0.012927793897688389,0.4544394016265869,0.4211970269680023,-0.0160799752920866,0.4610290825366974,0.3931010961532593,-0.021684862673282623,0.4617103338241577,0.3681882917881012,-0.026117349043488503,0.4579586088657379,0.48071539402008057,-0.019774530082941055,0.4676341116428375,0.4622557461261749,-0.01782560534775257,0.4688448905944824,0.477981835603714,-0.01369156502187252,0.46733179688453674,0.4918580949306488,-0.012221930548548698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.4355364143848419,0.5761393308639526,-1.3316829949872044e-07,0.42462968826293945,0.5356298685073853,0.014089282602071762,0.4279935657978058,0.4995896518230438,0.013909371569752693,0.4386518895626068,0.4807824194431305,0.010570937767624855,0.4515989422798157,0.4734365940093994,0.006216052453964949,0.4168685972690582,0.4762701392173767,0.0068076965399086475,0.43826863169670105,0.446455180644989,0.005874174181371927,0.44788455963134766,0.46343904733657837,0.0048023397102952,0.4491996467113495,0.47622719407081604,0.003617859911173582,0.4277980327606201,0.47001588344573975,-0.004016574937850237,0.4454849660396576,0.4303659498691559,-0.00703375693410635,0.4548277258872986,0.4492400288581848,-0.009261286817491055,0.4578090012073517,0.467449426651001,-0.009048271924257278,0.4420483410358429,0.4755828082561493,-0.013322542421519756,0.4548104405403137,0.4249512553215027,-0.01612488366663456,0.46080195903778076,0.396109402179718,-0.021025432273745537,0.4607091546058655,0.3704710900783539,-0.025003498420119286,0.45860692858695984,0.48383966088294983,-0.02040056325495243,0.4685521721839905,0.4667733609676361,-0.017761167138814926,0.46914246678352356,0.48146677017211914,-0.012986352667212486,0.4666846692562103,0.4945142865180969,-0.011122405529022217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.43452638387680054,0.5756409168243408,-1.2267237536889297e-07,0.423688143491745,0.5356637239456177,0.012692483142018318,0.4262389838695526,0.49964675307273865,0.011976920999586582,0.43674811720848083,0.4809926748275757,0.008248626254498959,0.44958820939064026,0.47453615069389343,0.003624162171036005,0.41649049520492554,0.4755386710166931,0.006434045732021332,0.4382425844669342,0.44821542501449585,0.004771622829139233,0.44703084230422974,0.4639523923397064,0.0029263414908200502,0.4478759467601776,0.4757295548915863,0.001264255028218031,0.4273070693016052,0.4699687063694,-0.003996062092483044,0.4454594552516937,0.4331294000148773,-0.007806437090039253,0.45433592796325684,0.45164379477500916,-0.01051139272749424,0.4569360613822937,0.4690476357936859,-0.010472382418811321,0.4413885176181793,0.47586145997047424,-0.013125541619956493,0.454359233379364,0.42626824975013733,-0.016766734421253204,0.46029964089393616,0.39781299233436584,-0.02179075963795185,0.46011584997177124,0.3716462552547455,-0.02555842697620392,0.45769307017326355,0.4848542809486389,-0.020182274281978607,0.4680505096912384,0.4669412672519684,-0.018290646374225616,0.46844419836997986,0.48186686635017395,-0.013634929433465004,0.46575334668159485,0.49503791332244873,-0.011584030464291573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.43261420726776123,0.5743110179901123,-1.201855468480062e-07,0.42201265692710876,0.5370312333106995,0.012668282724916935,0.4243411421775818,0.5011313557624817,0.011982808820903301,0.43524646759033203,0.4813383221626282,0.008352434262633324,0.4485923647880554,0.47650766372680664,0.0037991481367498636,0.41346877813339233,0.47613489627838135,0.00632909731939435,0.43468841910362244,0.4487406611442566,0.004641118925064802,0.4438589811325073,0.46494635939598083,0.002318150131031871,0.44491082429885864,0.4787057340145111,0.0004085716500412673,0.42444100975990295,0.4710422456264496,-0.003888132283464074,0.44341155886650085,0.43401411175727844,-0.007323159370571375,0.45220181345939636,0.45099717378616333,-0.010539582930505276,0.4539998769760132,0.46722033619880676,-0.01116870902478695,0.438542902469635,0.47642001509666443,-0.012748796492815018,0.45300421118736267,0.42699071764945984,-0.016138145700097084,0.4596298635005951,0.39913493394851685,-0.021463440731167793,0.45962679386138916,0.37348926067352295,-0.025613533332943916,0.45465442538261414,0.4845524728298187,-0.019552724435925484,0.46618756651878357,0.46478062868118286,-0.017543628811836243,0.4668791592121124,0.4808253347873688,-0.013010055758059025,0.46421822905540466,0.4946231544017792,-0.011168322525918484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.4272172152996063,0.5711746215820312,-9.091227326507578e-08,0.4165329933166504,0.5366501808166504,0.008388527669012547,0.4177292287349701,0.49825817346572876,0.006818528752774,0.4268712103366852,0.4738061726093292,0.003036788897588849,0.43828877806663513,0.4635044038295746,-0.0007161914254538715,0.40638285875320435,0.47199583053588867,0.005351027939468622,0.4279465675354004,0.443054735660553,0.0017868924187496305,0.43657997250556946,0.4588794708251953,-0.001880608149804175,0.437461256980896,0.4740421772003174,-0.004285667557269335,0.4165339767932892,0.46778395771980286,-0.002890615025535226,0.435171902179718,0.4296399652957916,-0.007957450114190578,0.444067120552063,0.4455545246601105,-0.011963625438511372,0.44663509726524353,0.4614655077457428,-0.012807889841496944,0.43002045154571533,0.47201111912727356,-0.01043151319026947,0.4445073902606964,0.4256744682788849,-0.014038940891623497,0.4524258077144623,0.4022153913974762,-0.017879517748951912,0.45464888215065,0.3809603154659271,-0.020581766963005066,0.44533079862594604,0.47912415862083435,-0.016689352691173553,0.45633208751678467,0.45853954553604126,-0.01501372642815113,0.4586816132068634,0.47238826751708984,-0.01071497704833746,0.45851725339889526,0.4848453998565674,-0.008532191626727581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.4174659848213196,0.5643707513809204,-6.068835745054457e-08,0.41201266646385193,0.5320677757263184,0.0077939145267009735,0.4157543480396271,0.48974356055259705,0.0088855205103755,0.4281657636165619,0.4669250249862671,0.007522692903876305,0.4394187331199646,0.4579983651638031,0.006499161943793297,0.39643678069114685,0.4679984450340271,0.010014574974775314,0.41659194231033325,0.43554094433784485,0.006730028428137302,0.4270487427711487,0.45166224241256714,0.0026314961723983288,0.4298930764198303,0.4718397259712219,0.0006326871807686985,0.40412068367004395,0.46281248331069946,0.003020453965291381,0.4214777648448944,0.4251236915588379,0.0013995034387335181,0.4299588203430176,0.4361325204372406,-0.001863753772340715,0.4320990741252899,0.44885334372520447,-0.003034439170733094,0.4160473942756653,0.46494224667549133,-0.003978000488132238,0.43082648515701294,0.4185825288295746,-0.005391938611865044,0.44020092487335205,0.4057360291481018,-0.008585117757320404,0.4440712034702301,0.3962476849555969,-0.010809673927724361,0.43059593439102173,0.4713519513607025,-0.010152860544621944,0.44456762075424194,0.44761043787002563,-0.008643181063234806,0.450472354888916,0.4627792239189148,-0.005335378926247358,0.4536588191986084,0.47902822494506836,-0.0033493232913315296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.4076351821422577,0.5524538159370422,4.177577839215019e-09,0.40351343154907227,0.5145723819732666,0.007652640342712402,0.40748757123947144,0.46544668078422546,0.008217615075409412,0.4200640022754669,0.43924301862716675,0.006555296014994383,0.42953869700431824,0.44296255707740784,0.005434888880699873,0.3811687231063843,0.4520803987979889,0.01284500490874052,0.4021264612674713,0.4143693745136261,0.009950440376996994,0.41424059867858887,0.42618727684020996,0.005193023011088371,0.4179905354976654,0.4422999322414398,0.002545697148889303,0.38813790678977966,0.44922733306884766,0.006142031401395798,0.40670400857925415,0.4108898639678955,0.002580174244940281,0.41722458600997925,0.4206196069717407,-0.0032248327042907476,0.4203435480594635,0.43075695633888245,-0.0055918097496032715,0.39939552545547485,0.4521535634994507,-0.0005428229342214763,0.41340431571006775,0.40533626079559326,-0.0037517016753554344,0.4222085177898407,0.3780170679092407,-0.010624026879668236,0.4255397915840149,0.3544559180736542,-0.015060937032103539,0.4142991900444031,0.45536231994628906,-0.0060669309459626675,0.42738786339759827,0.42811107635498047,-0.003662657691165805,0.43357422947883606,0.44222697615623474,-0.000530014862306416,0.437197744846344,0.4566352069377899,0.0007607831503264606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
