frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.40407460927963257,0.6531069278717041,-6.31548147111971e-08,0.39852607250213623,0.6153528094291687,0.009742699563503265,0.40438899397850037,0.5728093385696411,0.009025387465953827,0.4217163324356079,0.5439478754997253,0.007158026099205017,0.4381275177001953,0.5315343737602234,0.005859324708580971,0.3808218538761139,0.5610291361808777,-0.0017693586414679885,0.4079197347164154,0.5195288062095642,-0.001994445687159896,0.4167591631412506,0.5390468239784241,0.00012859237904194742,0.4182784855365753,0.5536759495735168,0.0010351991513743997,0.3913382887840271,0.560764491558075,-0.009245532564818859,0.4139229655265808,0.5021483898162842,-0.01276763342320919,0.42131945490837097,0.5218743681907654,-0.012260567396879196,0.4226701855659485,0.5389242172241211,-0.010301794856786728,0.40424245595932007,0.5659443140029907,-0.015110054984688759,0.42290979623794556,0.5077898502349854,-0.015558439306914806,0.429558664560318,0.4922296404838562,-0.015565495006740093,0.4296005368232727,0.476676881313324,-0.016478944569826126,0.41846317052841187,0.5724109411239624,-0.019401822239160538,0.4291285574436188,0.542064905166626,-0.01569906808435917,0.42968645691871643,0.5453821420669556,-0.011600125581026077,0.42826780676841736,0.5442277789115906,-0.010289493016898632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4090692102909088,0.6530624032020569,-9.268404710383038e-08,0.4051048755645752,0.6102352738380432,0.013961877673864365,0.4115146994590759,0.5695536136627197,0.014019593596458435,0.42757752537727356,0.5440065860748291,0.011744354851543903,0.4437548518180847,0.5321104526519775,0.009277320466935635,0.387462317943573,0.5588641166687012,0.003010308602824807,0.4112367033958435,0.5185572504997253,0.004352369345724583,0.42084944248199463,0.5351005792617798,0.006858577486127615,0.4236583709716797,0.5477024912834167,0.007492101285606623,0.3967897593975067,0.558420717716217,-0.006887353025376797,0.4155736267566681,0.5022327303886414,-0.009430240839719772,0.42396408319473267,0.5195644497871399,-0.009476358070969582,0.42741233110427856,0.5353578329086304,-0.008357218466699123,0.4093758761882782,0.5643272399902344,-0.014853240922093391,0.4264267683029175,0.5077395439147949,-0.014406134374439716,0.43498650193214417,0.4851003885269165,-0.015064992010593414,0.43736743927001953,0.4641912281513214,-0.01689804345369339,0.4235018491744995,0.5710842609405518,-0.02090594358742237,0.4344048798084259,0.5418238043785095,-0.015435528941452503,0.4363671839237213,0.5450232028961182,-0.01020059548318386,0.43552321195602417,0.5451955199241638,-0.008649872615933418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41089627146720886,0.6540138721466064,-1.0184044896277555e-07,0.40864014625549316,0.6136530637741089,0.01235691923648119,0.4159182012081146,0.5712328553199768,0.01189127191901207,0.4322620630264282,0.5445727705955505,0.009440640918910503,0.44710084795951843,0.5326800346374512,0.006884333677589893,0.38928043842315674,0.5590134263038635,0.0025585878174751997,0.413756787776947,0.5185616612434387,0.0033870346378535032,0.4234825670719147,0.5364912748336792,0.005008632317185402,0.4254494309425354,0.5502878427505493,0.005034958478063345,0.3981461822986603,0.5576598644256592,-0.006791338790208101,0.4181593656539917,0.5010584592819214,-0.009626736864447594,0.42701783776283264,0.5213749408721924,-0.0100018959492445,0.42992281913757324,0.5399919152259827,-0.00894217099994421,0.4107207953929901,0.5627565979957581,-0.014487957581877708,0.42957061529159546,0.5059384703636169,-0.014511646702885628,0.43763604760169983,0.485603928565979,-0.015987878665328026,0.4384905993938446,0.4664463400840759,-0.01846063695847988,0.42535778880119324,0.5688055157661438,-0.020412670448422432,0.4379802346229553,0.5438936948776245,-0.016224894672632217,0.43865320086479187,0.553626537322998,-0.012094838544726372,0.4356788098812103,0.5587164759635925,-0.011294619180262089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.410102903842926,0.6560527682304382,-9.580598714364896e-08,0.40527597069740295,0.613874077796936,0.013990076258778572,0.4135560691356659,0.5734577178955078,0.013868154026567936,0.4306202530860901,0.5483903884887695,0.01156659983098507,0.4474765658378601,0.5357537269592285,0.009272032417356968,0.3877774477005005,0.5609463453292847,0.003917505033314228,0.412202388048172,0.5220912098884583,0.005653226748108864,0.4219096302986145,0.5402525663375854,0.00862822774797678,0.4246758222579956,0.5534713864326477,0.009619013406336308,0.39702552556991577,0.5596809387207031,-0.005963584408164024,0.4164300858974457,0.5024509429931641,-0.008828209713101387,0.4260729253292084,0.5203707218170166,-0.008444815874099731,0.43115997314453125,0.5368267893791199,-0.006647943984717131,0.4094008505344391,0.5650355219841003,-0.01400753203779459,0.42784255743026733,0.5079802870750427,-0.014291595667600632,0.43711212277412415,0.48356401920318604,-0.014855345711112022,0.4403626322746277,0.46147555112838745,-0.016237955540418625,0.424207866191864,0.5716640949249268,-0.02006768435239792,0.43582266569137573,0.5409482717514038,-0.015036371536552906,0.43760421872138977,0.5450350046157837,-0.00957523938268423,0.4362328052520752,0.5460475087165833,-0.007679625879973173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.40566521883010864,0.656008243560791,-9.300266867739992e-08,0.4021681249141693,0.6132934093475342,0.011987886391580105,0.40967291593551636,0.5690208673477173,0.011029353365302086,0.42635977268218994,0.5411492586135864,0.008286465890705585,0.4416680634021759,0.5282753705978394,0.005469263065606356,0.3846224248409271,0.5574117302894592,0.0016318849520757794,0.4080078601837158,0.5189421772956848,0.002289562951773405,0.41716885566711426,0.5380224585533142,0.0036414118949323893,0.41896501183509827,0.5532071590423584,0.0034359365236014128,0.3931270241737366,0.5562019944190979,-0.007761883549392223,0.41311803460121155,0.5004044771194458,-0.01068961527198553,0.4217827320098877,0.519466757774353,-0.011628390289843082,0.42424333095550537,0.5372967720031738,-0.011164152063429356,0.4051402509212494,0.5609878897666931,-0.01540056150406599,0.42513591051101685,0.5052818059921265,-0.015547093003988266,0.4335014522075653,0.48292776942253113,-0.017596818506717682,0.4349420666694641,0.462586373090744,-0.020583387464284897,0.41919374465942383,0.5664776563644409,-0.02125757373869419,0.4319285750389099,0.5430428385734558,-0.016847046092152596,0.4341973066329956,0.5538328289985657,-0.012536337599158287,0.4332084357738495,0.5603367686271667,-0.011711698956787586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.40531015396118164,0.6548460721969604,-8.559293718235494e-08,0.4041360020637512,0.6130095720291138,0.012747851200401783,0.4112408757209778,0.5711953639984131,0.012693469412624836,0.42685574293136597,0.5438647866249084,0.010549606755375862,0.44243401288986206,0.5296785235404968,0.0084609966725111,0.3840586245059967,0.5586904883384705,0.00342636089771986,0.40818583965301514,0.5195549130439758,0.004341549705713987,0.41813090443611145,0.536450207233429,0.006175263784825802,0.42117735743522644,0.5503324866294861,0.00643368111923337,0.39213937520980835,0.557600200176239,-0.006173628848046064,0.41275301575660706,0.49882203340530396,-0.00858508050441742,0.4218396246433258,0.5162297487258911,-0.008473863825201988,0.42533332109451294,0.5333601236343384,-0.007226487156003714,0.4038660228252411,0.5623390674591064,-0.014159816317260265,0.4241822063922882,0.5046110153198242,-0.013792742975056171,0.43283990025520325,0.48624464869499207,-0.014537323266267776,0.43461617827415466,0.4701385498046875,-0.016531171277165413,0.4179164469242096,0.5684956312179565,-0.020467864349484444,0.43243908882141113,0.5424705147743225,-0.01603916846215725,0.4350523352622986,0.5526067614555359,-0.011537321843206882,0.4341391324996948,0.558908998966217,-0.010384372435510159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3990805447101593,0.653903603553772,-4.760279281867952e-08,0.39621058106422424,0.6082437038421631,0.007166232448071241,0.4026377201080322,0.5648033618927002,0.004800610244274139,0.41789111495018005,0.5354863405227661,0.0008427275461144745,0.43272778391838074,0.5170308351516724,-0.0020317398011684418,0.3778328597545624,0.5514143705368042,0.0007093663443811238,0.4018186330795288,0.5053684115409851,-0.0019786860793828964,0.4117353558540344,0.5262123942375183,-0.0031164565589278936,0.41244959831237793,0.5453138947486877,-0.003914239816367626,0.3847583830356598,0.5495897531509399,-0.006705534178763628,0.40733110904693604,0.4919871389865875,-0.009300925768911839,0.4158509373664856,0.5133271813392639,-0.009353628382086754,0.41529226303100586,0.5320492386817932,-0.008381192572414875,0.3962705731391907,0.5524203181266785,-0.01330907829105854,0.41856610774993896,0.5037156343460083,-0.012163788080215454,0.4249076247215271,0.5001999735832214,-0.010240534320473671,0.4228861331939697,0.4941538870334625,-0.010247648693621159,0.40990161895751953,0.5579811930656433,-0.01929904893040657,0.4255545735359192,0.5353611707687378,-0.01396773848682642,0.4285374879837036,0.5510464310646057,-0.0077963718213140965,0.4270908236503601,0.561501145362854,-0.004979229066520929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.386976957321167,0.6413190364837646,-3.993513075783994e-08,0.3859352469444275,0.6000046133995056,0.007289298344403505,0.3929569721221924,0.5586802363395691,0.005051152780652046,0.40756919980049133,0.5273963212966919,0.000795000814832747,0.42034193873405457,0.5068604350090027,-0.002238744404166937,0.36506351828575134,0.5459179282188416,0.0009915274567902088,0.3875873386859894,0.4987586736679077,-0.003355231136083603,0.39924049377441406,0.5189495086669922,-0.005211864598095417,0.4008796215057373,0.5403907895088196,-0.005815856158733368,0.3707500696182251,0.543098509311676,-0.006642588414251804,0.3918417990207672,0.48191386461257935,-0.010353018529713154,0.4003099501132965,0.5021352171897888,-0.010520190931856632,0.3990005552768707,0.5222855806350708,-0.009601863101124763,0.3812618851661682,0.544549286365509,-0.013683070428669453,0.40396812558174133,0.494106650352478,-0.014899076893925667,0.41338837146759033,0.5025302767753601,-0.0124483872205019,0.413555383682251,0.5095934271812439,-0.011166977696120739,0.3940372169017792,0.5487284064292908,-0.020113781094551086,0.41170522570610046,0.5222043991088867,-0.017275122925639153,0.4170399606227875,0.5397525429725647,-0.012042823247611523,0.4169754683971405,0.5533488392829895,-0.009251357056200504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3749699592590332,0.629611611366272,2.834356749303879e-09,0.3715810775756836,0.588044285774231,0.004808713216334581,0.377054363489151,0.5461828112602234,0.001991821685805917,0.3915531039237976,0.5130358338356018,-0.0029644169844686985,0.40451425313949585,0.491203635931015,-0.006462642922997475,0.35039085149765015,0.5348767638206482,0.00143846042919904,0.36992165446281433,0.48381349444389343,-0.004659677390009165,0.38025131821632385,0.4991336464881897,-0.007457385770976543,0.38211482763290405,0.5179585814476013,-0.008117889985442162,0.35667091608047485,0.5334883332252502,-0.005281453020870686,0.37558713555336,0.4713435471057892,-0.01062675379216671,0.3839288055896759,0.48734790086746216,-0.011772055178880692,0.38373667001724243,0.5063953399658203,-0.011098973453044891,0.3671269118785858,0.5338543057441711,-0.011957287788391113,0.38863837718963623,0.4880555272102356,-0.015752358362078667,0.3979348838329315,0.5091390609741211,-0.013571728020906448,0.39876362681388855,0.5284837484359741,-0.010956654325127602,0.3799276649951935,0.5363948345184326,-0.018380057066679,0.3963242173194885,0.5104708671569824,-0.017617512494325638,0.4024919867515564,0.5285339951515198,-0.013557142578065395,0.4036847949028015,0.5435791611671448,-0.010524922981858253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.37452834844589233,0.6295086145401001,-4.349849191953581e-08,0.37278109788894653,0.5877802968025208,0.005483241286128759,0.37851810455322266,0.5439708828926086,0.002349434420466423,0.3928004503250122,0.5109604001045227,-0.0026892623864114285,0.4041096568107605,0.48868441581726074,-0.006430693902075291,0.35088878870010376,0.5349891185760498,0.0010336345294490457,0.37090975046157837,0.4829689860343933,-0.0045203231275081635,0.38177376985549927,0.4992138743400574,-0.007901245728135109,0.38523298501968384,0.5182892680168152,-0.009621693752706051,0.35649746656417847,0.5335081815719604,-0.006138799712061882,0.37459471821784973,0.46921849250793457,-0.011380958370864391,0.3842606544494629,0.4877936542034149,-0.013019215315580368,0.38618263602256775,0.50834059715271,-0.012860698625445366,0.3668690025806427,0.5339867472648621,-0.012987395748496056,0.38680362701416016,0.48123499751091003,-0.015258396975696087,0.3955981433391571,0.49151942133903503,-0.01340861152857542,0.3966405689716339,0.5020393133163452,-0.01228250376880169,0.3800503611564636,0.5360295176506042,-0.019502177834510803,0.39651843905448914,0.5095540285110474,-0.01766504906117916,0.40268245339393616,0.5279661417007446,-0.013088352978229523,0.4041411578655243,0.5430223345756531,-0.010535245761275291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
