frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5285342335700989,0.5289726257324219,-1.666276006062617e-07,0.5135797262191772,0.48967984318733215,0.0019192778272554278,0.513231635093689,0.4595731198787689,-0.0001648663164814934,0.5131804347038269,0.43689391016960144,-0.004259486682713032,0.514744758605957,0.4194955825805664,-0.008380194194614887,0.549259603023529,0.4363323152065277,0.003304949263110757,0.5329986214637756,0.3998663127422333,-0.0011187167838215828,0.5210984945297241,0.3814932405948639,-0.0046822261065244675,0.5126855373382568,0.36874186992645264,-0.0069788373075425625,0.5535362958908081,0.4388442933559418,-0.0007987375720404088,0.5311923027038574,0.4115622341632843,-0.007258629892021418,0.5227454304695129,0.4151078462600708,-0.01091291755437851,0.5197327136993408,0.41923001408576965,-0.01272449642419815,0.553329586982727,0.44195619225502014,-0.00509512796998024,0.5257670879364014,0.4233216941356659,-0.013331579975783825,0.5177389979362488,0.44573551416397095,-0.013969210907816887,0.5165415406227112,0.46592631936073303,-0.012504423968493938,0.548140287399292,0.4443998634815216,-0.009199385531246662,0.525578498840332,0.43042120337486267,-0.014489746652543545,0.5183996558189392,0.44840672612190247,-0.013457094319164753,0.5165669918060303,0.46688997745513916,-0.011389942839741707
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5238145589828491,0.5207614302635193,-2.093507447398224e-07,0.5095101594924927,0.4840441346168518,0.0015380199765786529,0.5095027089118958,0.458744078874588,-0.0008513293578289449,0.5085610747337341,0.4389123022556305,-0.004852093756198883,0.5087502002716064,0.4185711741447449,-0.008792480453848839,0.5467526912689209,0.4389770030975342,0.0027617798186838627,0.5299761295318604,0.4036989212036133,-0.0036915128584951162,0.5170568823814392,0.3840763568878174,-0.010052061639726162,0.5068175196647644,0.3716413676738739,-0.014186589047312737,0.549123227596283,0.44014057517051697,-0.0010442176135256886,0.5223323106765747,0.4175521433353424,-0.009729844518005848,0.5135995745658875,0.4368302524089813,-0.014121121726930141,0.5122668147087097,0.45416638255119324,-0.015727613121271133,0.5469165444374084,0.441110223531723,-0.005159889347851276,0.5187863111495972,0.42021408677101135,-0.01301795057952404,0.5136179327964783,0.4445998966693878,-0.012695633806288242,0.5148510932922363,0.4655960202217102,-0.010723447427153587,0.5410414338111877,0.44053763151168823,-0.009425155818462372,0.5185471773147583,0.4237600266933441,-0.015101260505616665,0.5129070281982422,0.4414748251438141,-0.014365220442414284,0.5123573541641235,0.4574850797653198,-0.01223616674542427
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520843505859375,0.5186842679977417,-2.0417495250057982e-07,0.5064535140991211,0.4847576320171356,0.0008806682308204472,0.5057199001312256,0.45825839042663574,-0.0015422767028212547,0.5046454668045044,0.43790900707244873,-0.005340688396245241,0.505782425403595,0.41937926411628723,-0.009030540473759174,0.5436216592788696,0.4392467737197876,0.0023396655451506376,0.5249878168106079,0.40526655316352844,-0.004243099596351385,0.5115804076194763,0.38595816493034363,-0.011032789014279842,0.5016357898712158,0.37271907925605774,-0.015552225522696972,0.5456326007843018,0.4395727515220642,-0.001266231993213296,0.5191330313682556,0.41727909445762634,-0.009452862665057182,0.5104769468307495,0.4357583224773407,-0.013731013983488083,0.5091782808303833,0.45209047198295593,-0.015414904803037643,0.5431082248687744,0.44025591015815735,-0.0052705020643770695,0.5152671933174133,0.4197979271411896,-0.013095508329570293,0.5103834867477417,0.44403231143951416,-0.01294864434748888,0.5121243596076965,0.4644860029220581,-0.011222259141504765,0.5369306206703186,0.4396710693836212,-0.00948517955839634,0.5147595405578613,0.42522183060646057,-0.015706947073340416,0.5093580484390259,0.44484812021255493,-0.01533143687993288,0.5094046592712402,0.46190014481544495,-0.013410387560725212
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5206434726715088,0.5156195759773254,-1.8488751152290206e-07,0.5056033134460449,0.48502928018569946,0.0001835957809817046,0.504061222076416,0.45953816175460815,-0.0024642501957714558,0.5023516416549683,0.43927744030952454,-0.006304188631474972,0.5032898783683777,0.4208792448043823,-0.010145335458219051,0.5404984951019287,0.4383580982685089,0.0009222214575856924,0.5223098397254944,0.4053080976009369,-0.00538950739428401,0.5093916058540344,0.3853178322315216,-0.01205372717231512,0.4996826648712158,0.37119269371032715,-0.01657961495220661,0.5422312021255493,0.4381224811077118,-0.0022913957946002483,0.5169695019721985,0.4172273874282837,-0.010388916358351707,0.5083786249160767,0.43230146169662476,-0.015030033886432648,0.5059837102890015,0.4457966983318329,-0.017062958329916,0.539757490158081,0.43835949897766113,-0.005788334179669619,0.5123425126075745,0.4195753335952759,-0.013868696056306362,0.5072551369667053,0.44462206959724426,-0.014269869774580002,0.5084912776947021,0.46611225605010986,-0.012854247353971004,0.5337609052658081,0.4373600482940674,-0.009468463249504566,0.5114890336990356,0.42426905035972595,-0.016143739223480225,0.5062862038612366,0.4438237249851227,-0.016110781580209732,0.5062363743782043,0.4615599811077118,-0.01439838856458664
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5190533399581909,0.5143223404884338,-1.4144727344955754e-07,0.505670428276062,0.48506680130958557,0.00020297677838243544,0.5038330554962158,0.4601353108882904,-0.0015839592088013887,0.5015968084335327,0.4390653073787689,-0.0045875185169279575,0.5019364356994629,0.4207956790924072,-0.007711039390414953,0.539287805557251,0.4391818046569824,0.002142019337043166,0.5199536681175232,0.4076938331127167,-0.003444132162258029,0.5071435570716858,0.3882575035095215,-0.009479801170527935,0.49804413318634033,0.3732273578643799,-0.013357232324779034,0.5407356023788452,0.43801409006118774,-0.0011563763255253434,0.5181174874305725,0.40669387578964233,-0.0064765894785523415,0.5061155557632446,0.3913796544075012,-0.011401190422475338,0.4995668828487396,0.377201646566391,-0.014644785784184933,0.538485586643219,0.43729469180107117,-0.00479005416855216,0.5112550258636475,0.4179707467556,-0.011764800176024437,0.5051727890968323,0.44193190336227417,-0.013426477089524269,0.5058923959732056,0.46279269456863403,-0.012982911430299282,0.5320068597793579,0.4355786442756653,-0.008614499121904373,0.5095618367195129,0.42447349429130554,-0.014796980656683445,0.5042747855186462,0.4426998198032379,-0.015178737230598927,0.5047428011894226,0.4600810706615448,-0.013922705315053463
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5191665887832642,0.5129771828651428,-1.4632112765866623e-07,0.505033552646637,0.4856374263763428,0.0006881144945509732,0.5031520128250122,0.4598389267921448,-0.0010672078933566809,0.5013077855110168,0.4382772445678711,-0.00420548627153039,0.5016906261444092,0.4206908941268921,-0.007447360083460808,0.5382841229438782,0.43818745017051697,0.003032669425010681,0.5189108848571777,0.4072091281414032,-0.002591378055512905,0.5061094164848328,0.3871087431907654,-0.008668684400618076,0.4968920052051544,0.37306520342826843,-0.012631985358893871,0.5401800274848938,0.43719637393951416,-0.0005712918355129659,0.5175726413726807,0.41052743792533875,-0.006835028529167175,0.507318377494812,0.40371233224868774,-0.011751790530979633,0.502091109752655,0.3981758952140808,-0.014485638588666916,0.538210391998291,0.43699488043785095,-0.00456652557477355,0.511245608329773,0.4171961545944214,-0.012370540760457516,0.5047829151153564,0.4413495659828186,-0.014038779772818089,0.5047706365585327,0.4638991057872772,-0.013293963856995106,0.5325852036476135,0.4358951449394226,-0.008680448867380619,0.5097794532775879,0.4241202473640442,-0.015369052067399025,0.5038452744483948,0.44199270009994507,-0.01596597395837307,0.5034103989601135,0.4597929120063782,-0.014731209725141525
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.519173264503479,0.5092973113059998,-1.6697408966592775e-07,0.5053269863128662,0.4829525947570801,0.00013354099064599723,0.5033595561981201,0.4578857421875,-0.0024826989974826574,0.501150906085968,0.43727460503578186,-0.0063148499466478825,0.501022219657898,0.4202824831008911,-0.01027065608650446,0.5386300683021545,0.4364328384399414,0.0008954528020694852,0.5189568996429443,0.4043952226638794,-0.00539079075679183,0.5058858394622803,0.3833155632019043,-0.011654451489448547,0.49653172492980957,0.3692534267902374,-0.01586773805320263,0.5403717160224915,0.43548357486724854,-0.0025111071299761534,0.5157193541526794,0.4127253592014313,-0.010506300255656242,0.5061418414115906,0.4225565195083618,-0.01501577626913786,0.5023584961891174,0.43278178572654724,-0.016937389969825745,0.5379334688186646,0.4353927969932556,-0.00626568216830492,0.5102672576904297,0.41596490144729614,-0.01487158052623272,0.5041141510009766,0.44116365909576416,-0.015616319142282009,0.5047699809074402,0.463898241519928,-0.014231226406991482,0.5321760177612305,0.4345720112323761,-0.010135943070054054,0.5095837116241455,0.42144984006881714,-0.01722153276205063,0.5037447810173035,0.4397645890712738,-0.017469722777605057,0.5036250352859497,0.4570903778076172,-0.01596064679324627
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5193644762039185,0.5074571967124939,-1.7997332690811163e-07,0.5054670572280884,0.48312675952911377,7.981156522873789e-05,0.5034257769584656,0.45721250772476196,-0.002318352460861206,0.5015217661857605,0.43605536222457886,-0.005904702469706535,0.5019058585166931,0.4179060161113739,-0.009471301920711994,0.5387710332870483,0.4351085126399994,0.0015129854436963797,0.5199469327926636,0.40307503938674927,-0.0050471266731619835,0.5068812370300293,0.3816390037536621,-0.011532805860042572,0.49718177318573,0.3677636981010437,-0.015796538442373276,0.540726900100708,0.4342501759529114,-0.001804259023629129,0.5156916379928589,0.4128129184246063,-0.010305521078407764,0.5062060356140137,0.42629408836364746,-0.014875460416078568,0.5029791593551636,0.44058045744895935,-0.016559548676013947,0.5385749340057373,0.4336147606372833,-0.005585005972534418,0.5109580755233765,0.4145103693008423,-0.014415943063795567,0.5043284893035889,0.43903449177742004,-0.015141245909035206,0.5048581957817078,0.4621098041534424,-0.013590105809271336,0.5332725644111633,0.4322074353694916,-0.009519578889012337,0.510492742061615,0.41897639632225037,-0.016685040667653084,0.5042086839675903,0.437499463558197,-0.017002349719405174,0.5039302110671997,0.45548540353775024,-0.01543534453958273
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5191893577575684,0.502263069152832,-1.2704749963177164e-07,0.5077781677246094,0.4772329032421112,0.00043292605550959706,0.506701648235321,0.45333313941955566,-0.0007968550198711455,0.5056295990943909,0.4332318603992462,-0.003520180005580187,0.5061951279640198,0.41522330045700073,-0.006351197604089975,0.5381990671157837,0.43263670802116394,0.003983400762081146,0.5229802131652832,0.4039149880409241,-0.002218389417976141,0.5111227631568909,0.38443416357040405,-0.008175579831004143,0.5018973350524902,0.3705836832523346,-0.01157047413289547,0.5412492752075195,0.43099838495254517,0.00028657345683313906,0.5233258605003357,0.39909425377845764,-0.004874621983617544,0.5100978016853333,0.3785627484321594,-0.009283713065087795,0.5014935731887817,0.3621176779270172,-0.01192750409245491,0.5414239764213562,0.4308442175388336,-0.004124450962990522,0.5162168145179749,0.4113609790802002,-0.011772974394261837,0.5077869892120361,0.4340885281562805,-0.013388166204094887,0.5064137578010559,0.45594489574432373,-0.012439725920557976,0.5381068587303162,0.4305879473686218,-0.008704878389835358,0.5167826414108276,0.4186399281024933,-0.01521794032305479,0.5106924772262573,0.43591830134391785,-0.01545035745948553,0.5104275345802307,0.4538086950778961,-0.013903669081628323
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5265390276908875,0.4956725239753723,-1.3932958609075285e-07,0.5140715837478638,0.4716588258743286,-0.0005421474343165755,0.5117318630218506,0.4472770392894745,-0.0023004424292594194,0.5108446478843689,0.4257585108280182,-0.005231199320405722,0.5134773254394531,0.406740665435791,-0.008176945149898529,0.5434154272079468,0.4279114305973053,0.0030787091236561537,0.5300962924957275,0.39757898449897766,-0.003567263949662447,0.5189904570579529,0.37769201397895813,-0.009589429013431072,0.5098451375961304,0.3643215000629425,-0.013006499037146568,0.5476592183113098,0.4252053201198578,2.693634814932011e-05,0.5292313098907471,0.39403319358825684,-0.005397050175815821,0.5158147811889648,0.3755180239677429,-0.009470272809267044,0.5079134106636047,0.36010921001434326,-0.011880357749760151,0.5486452579498291,0.4242488741874695,-0.003902801778167486,0.5252328515052795,0.4036444425582886,-0.011717220768332481,0.518002986907959,0.42681607604026794,-0.012881294824182987,0.5176786780357361,0.44864287972450256,-0.011803653091192245,0.5459962487220764,0.4231250584125519,-0.008061869069933891,0.5238609313964844,0.41137248277664185,-0.015106367878615856,0.5172321200370789,0.4302483797073364,-0.015522976405918598,0.5168973207473755,0.44884613156318665,-0.014078434556722641
