frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.37597349286079407,0.5754031538963318,6.273940300616232e-08,0.3685757517814636,0.5367138385772705,0.003938115667551756,0.37361058592796326,0.5024365186691284,0.003566748695448041,0.3901521563529968,0.4818783700466156,0.0015748735750094056,0.40483346581459045,0.4723016321659088,1.1230086784053128e-05,0.355331689119339,0.48189017176628113,0.004615591373294592,0.38026559352874756,0.45001929998397827,0.0036067310720682144,0.3957742750644684,0.44534945487976074,0.0027082127053290606,0.4054618775844574,0.4434729218482971,0.0016860940959304571,0.36437591910362244,0.47464194893836975,0.0004958743811585009,0.38643765449523926,0.4424305260181427,0.0021152093540877104,0.3980213701725006,0.4418359398841858,0.002407701453194022,0.4039660394191742,0.440714031457901,0.0014424514956772327,0.37672996520996094,0.47385933995246887,-0.0037139810156077147,0.3978727459907532,0.4462416172027588,-0.0027146548964083195,0.40847247838974,0.4480358958244324,-0.0027934059035032988,0.4139921963214874,0.4487360119819641,-0.00437763798981905,0.3915695250034332,0.47720736265182495,-0.007911975495517254,0.4048578441143036,0.46898990869522095,-0.006550466176122427,0.40695643424987793,0.48706698417663574,-0.004716196097433567,0.4070037007331848,0.50172358751297,-0.004138759337365627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.37970849871635437,0.5709415674209595,8.307417687092311e-08,0.36783453822135925,0.5342779755592346,0.004569478798657656,0.36909401416778564,0.5021241307258606,0.002933921990916133,0.38185539841651917,0.4821332097053528,-0.0007731429650448263,0.3947260081768036,0.47427549958229065,-0.0043191127479076385,0.3596875071525574,0.4841184616088867,0.002252527279779315,0.3822162449359894,0.4516012370586395,-0.0009948436636477709,0.3973022699356079,0.4432821571826935,-0.003347427351400256,0.40828150510787964,0.43942001461982727,-0.005258198361843824,0.36876189708709717,0.47713300585746765,-0.0032645927276462317,0.3867621421813965,0.445789098739624,-0.004962063394486904,0.3963129222393036,0.45352065563201904,-0.0047534070909023285,0.40029269456863403,0.4644237160682678,-0.004661516286432743,0.3810281455516815,0.4762265384197235,-0.008595915511250496,0.4000893831253052,0.45491665601730347,-0.010121331550180912,0.40693390369415283,0.4718422293663025,-0.007637446280568838,0.4076930582523346,0.48696368932724,-0.0060430290177464485,0.39575669169425964,0.4795340895652771,-0.013973318971693516,0.4093247652053833,0.47374796867370605,-0.01422185730189085,0.41148144006729126,0.49423325061798096,-0.011141643859446049,0.409797340631485,0.5122334361076355,-0.008698279038071632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.37987756729125977,0.5675969123840332,8.845493226772305e-09,0.36869195103645325,0.5348621010780334,0.0048352512530982494,0.37130680680274963,0.5007314682006836,0.0027883327566087246,0.3846098780632019,0.48030874133110046,-0.0007289726636372507,0.39746513962745667,0.4731045067310333,-0.003894026856869459,0.3591746389865875,0.4859468340873718,0.001968093914911151,0.3805960714817047,0.4569614827632904,-0.0006751251057721674,0.39289698004722595,0.45798259973526,-0.002814176958054304,0.4003739655017853,0.4631854295730591,-0.004720007069408894,0.3683982491493225,0.47800758481025696,-0.003769869450479746,0.38503584265708923,0.445480614900589,-0.005381424445658922,0.3939014673233032,0.456502228975296,-0.005807028152048588,0.39748382568359375,0.4707942605018616,-0.006007056217640638,0.38112103939056396,0.47597572207450867,-0.009323852136731148,0.3979945778846741,0.44404637813568115,-0.010698225349187851,0.40851014852523804,0.44631949067115784,-0.011141921393573284,0.4135100543498993,0.4511406123638153,-0.01226342935115099,0.39680591225624084,0.47847411036491394,-0.014592432416975498,0.4095557928085327,0.47376638650894165,-0.015444552525877953,0.4129886329174042,0.49285805225372314,-0.014474255032837391,0.41298961639404297,0.5098881125450134,-0.014196296222507954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.38125836849212646,0.569037675857544,-2.4322401870335852e-08,0.37051689624786377,0.5370440483093262,0.005757429637014866,0.3736806809902191,0.5007614493370056,0.004144299775362015,0.3873869776725769,0.4803846776485443,0.001125748734921217,0.4007127285003662,0.47357627749443054,-0.001553875394165516,0.3602336645126343,0.4851730763912201,0.00283310585655272,0.3814062178134918,0.45747795701026917,0.0009959856979548931,0.3915984630584717,0.46315377950668335,-0.0007708299672231078,0.3973303437232971,0.47185567021369934,-0.0025389159563928843,0.36954185366630554,0.4774959981441498,-0.003428436117246747,0.3864012360572815,0.44404950737953186,-0.004277657251805067,0.3939821720123291,0.4551894962787628,-0.004727561492472887,0.39711129665374756,0.4693625867366791,-0.005000957753509283,0.38272204995155334,0.4760718047618866,-0.009411478415131569,0.3996489942073822,0.44262564182281494,-0.009888003580272198,0.4102964401245117,0.439422607421875,-0.011054625734686852,0.41598132252693176,0.43890735507011414,-0.013008464127779007,0.39861610531806946,0.47902995347976685,-0.01493021845817566,0.410787969827652,0.4730604290962219,-0.014893986284732819,0.4145399332046509,0.49094322323799133,-0.013741017319262028,0.4150351583957672,0.5068174004554749,-0.013683143071830273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3812406361103058,0.5656503438949585,-1.0960183871588924e-08,0.3697163462638855,0.5344043970108032,0.0058629498817026615,0.3725438117980957,0.5000749230384827,0.004047539085149765,0.3853391706943512,0.4797742962837219,0.0006883141468279064,0.3981114327907562,0.4716865122318268,-0.0024403210263699293,0.3601192533969879,0.48394080996513367,0.0029753984417766333,0.38094550371170044,0.45478445291519165,0.0008797282935120165,0.3926924765110016,0.45729953050613403,-0.0009897429263219237,0.3997815251350403,0.4633435308933258,-0.0027403496205806732,0.3690526783466339,0.4760662615299225,-0.0032527733128517866,0.3855085074901581,0.4423913061618805,-0.004475800786167383,0.3941098749637604,0.45431700348854065,-0.004880804568529129,0.3979663550853729,0.469186395406723,-0.004930354189127684,0.3816435635089874,0.47443681955337524,-0.009229942224919796,0.39862096309661865,0.4392355978488922,-0.010159369558095932,0.4103332459926605,0.43573257327079773,-0.011299271136522293,0.41695544123649597,0.4359182119369507,-0.01307444367557764,0.3972320556640625,0.4771992862224579,-0.014725852757692337,0.4099745452404022,0.47080934047698975,-0.015210666693747044,0.41438257694244385,0.48871949315071106,-0.014284013770520687,0.41542208194732666,0.5054162740707397,-0.014218538999557495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3811455965042114,0.5667381286621094,1.5403905706534715e-08,0.3702905476093292,0.5344423055648804,0.00533159077167511,0.37305599451065063,0.5000469088554382,0.0035541823599487543,0.38621556758880615,0.4806068539619446,0.00013428826059680432,0.3994803726673126,0.473527193069458,-0.002965377178043127,0.36037203669548035,0.48360520601272583,0.0023306484799832106,0.38168108463287354,0.45147642493247986,-0.00015445869939867407,0.39457064867019653,0.45163634419441223,-0.002182157477363944,0.4030618369579315,0.45552122592926025,-0.003980823792517185,0.36962586641311646,0.47646668553352356,-0.0036723152734339237,0.3862587809562683,0.44202136993408203,-0.00488628912717104,0.394635409116745,0.4537329077720642,-0.005006793886423111,0.3979122042655945,0.4686298668384552,-0.005034350790083408,0.3824562430381775,0.47507357597351074,-0.0094289006665349,0.39927491545677185,0.44173476099967957,-0.010118241421878338,0.4094502329826355,0.44544726610183716,-0.009877767413854599,0.41422832012176514,0.452164888381958,-0.01054010447114706,0.3979944586753845,0.4778084456920624,-0.014925134368240833,0.41046226024627686,0.47012612223625183,-0.015085347928106785,0.4144458472728729,0.4885271489620209,-0.013487688265740871,0.414841890335083,0.5060653686523438,-0.012757036834955215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3791159987449646,0.5606401562690735,2.231959328469202e-08,0.3676167130470276,0.5286045074462891,0.005327203311026096,0.3696109652519226,0.4948483109474182,0.0035970057360827923,0.38234975934028625,0.473211407661438,0.00016826597857289016,0.3948431611061096,0.4641144871711731,-0.002843541791662574,0.3572947382926941,0.47929030656814575,0.0029046260751783848,0.37896913290023804,0.4482238292694092,0.00023953593336045742,0.39177781343460083,0.4484010338783264,-0.0018166977679356933,0.3997156620025635,0.4513903260231018,-0.003688011085614562,0.36596640944480896,0.47245359420776367,-0.0029887445271015167,0.38298118114471436,0.44002360105514526,-0.004989227745682001,0.3917079567909241,0.45151665806770325,-0.005390359554439783,0.39518246054649353,0.4644879698753357,-0.005506566260010004,0.3779200613498688,0.4708886742591858,-0.008736888878047466,0.39675524830818176,0.4380464553833008,-0.009973101317882538,0.4073212146759033,0.4389808475971222,-0.009750948287546635,0.4122585952281952,0.4410269856452942,-0.010459303855895996,0.3929271996021271,0.4729193150997162,-0.014241356402635574,0.40798047184944153,0.4647897183895111,-0.014293750748038292,0.41141176223754883,0.4825839102268219,-0.012698518112301826,0.4111535847187042,0.49724283814430237,-0.012117192149162292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3749730587005615,0.5504299402236938,7.060361895128153e-08,0.36384379863739014,0.5187773704528809,0.004857540596276522,0.36531001329421997,0.4854315519332886,0.003296315437182784,0.37750235199928284,0.4649287760257721,-1.284365680476185e-05,0.3897026479244232,0.4567497670650482,-0.00287162559106946,0.35338738560676575,0.46930116415023804,0.002976988675072789,0.3733586370944977,0.43744733929634094,-0.0003146911330986768,0.3861449956893921,0.44031500816345215,-0.002798784524202347,0.39360809326171875,0.44629162549972534,-0.004524432122707367,0.36200082302093506,0.46286091208457947,-0.0028176188934594393,0.37969908118247986,0.42851096391677856,-0.00356735079549253,0.39045003056526184,0.4316463768482208,-0.003307035891339183,0.3959626257419586,0.43642279505729675,-0.0034614463802427053,0.37345582246780396,0.4618532061576843,-0.008743662387132645,0.39243173599243164,0.42821767926216125,-0.009514875710010529,0.4037189781665802,0.4271281063556671,-0.009110591374337673,0.40955492854118347,0.4263027012348175,-0.009904314763844013,0.3881286680698395,0.46440744400024414,-0.014559099450707436,0.4033184051513672,0.4547406733036041,-0.014875193126499653,0.40723031759262085,0.4730176329612732,-0.01310891006141901,0.4074713885784149,0.4873778522014618,-0.012346344999969006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.371310293674469,0.5362462997436523,4.652734020282878e-08,0.359201580286026,0.5069167017936707,0.005895284935832024,0.35981449484825134,0.47229909896850586,0.004555006977170706,0.3715204894542694,0.4517709016799927,0.0014801934594288468,0.3841785192489624,0.44211524724960327,-0.0015050916699692607,0.34828367829322815,0.4560301601886749,0.0039967927150428295,0.36777985095977783,0.4252072870731354,0.0025551975704729557,0.3797707259654999,0.42787227034568787,0.00108607136644423,0.38695237040519714,0.4334203898906708,-0.00017272436525672674,0.3561924993991852,0.4479687511920929,-0.0017519841203466058,0.37287503480911255,0.4148741066455841,-0.001704529277049005,0.3823885917663574,0.4219602644443512,-0.001467588939704001,0.38736093044281006,0.43091297149658203,-0.001437739236280322,0.36760371923446655,0.4458046853542328,-0.007330632768571377,0.38638734817504883,0.4083559811115265,-0.007770130410790443,0.39832860231399536,0.4006101191043854,-0.008594213984906673,0.4056205451488495,0.3961079716682434,-0.010295392945408821,0.38184770941734314,0.4474605619907379,-0.012445652857422829,0.39770591259002686,0.4353659451007843,-0.012587068602442741,0.4036062955856323,0.45516306161880493,-0.010770014487206936,0.4062175750732422,0.4738306701183319,-0.010074558667838573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3709084093570709,0.5364965796470642,1.61024416023281e-09,0.3589191734790802,0.5063586831092834,0.006224797107279301,0.36032721400260925,0.4711582064628601,0.004405774641782045,0.37254682183265686,0.45063158869743347,0.0009959720773622394,0.38592851161956787,0.44237565994262695,-0.0024322126992046833,0.3479522168636322,0.45595023036003113,0.0037355031818151474,0.36749449372291565,0.4271242320537567,0.0022683206479996443,0.3800341784954071,0.4295673668384552,0.00045743383816443384,0.3883509635925293,0.4347093403339386,-0.0013448637910187244,0.35614514350891113,0.44773343205451965,-0.002749720122665167,0.3721427321434021,0.41394999623298645,-0.0037347956094890833,0.38231348991394043,0.42434921860694885,-0.0044334689155220985,0.3883207440376282,0.43738672137260437,-0.004666443448513746,0.3681005835533142,0.4455123245716095,-0.008942131884396076,0.38541755080223083,0.4086744487285614,-0.010106660425662994,0.39839160442352295,0.3983752727508545,-0.012111678719520569,0.40681761503219604,0.3928089439868927,-0.014528031460940838,0.38301602005958557,0.44651639461517334,-0.014551457017660141,0.3974669873714447,0.43799763917922974,-0.015532986260950565,0.4041985273361206,0.45747968554496765,-0.014673746190965176,0.40729987621307373,0.4764198660850525,-0.014662656001746655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
