frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.573772668838501,0.5040962100028992,1.474642186138908e-08,0.5888116359710693,0.48680782318115234,-0.008044789545238018,0.601010799407959,0.4485463798046112,-0.011886125430464745,0.5994345545768738,0.41469964385032654,-0.01608307473361492,0.5879724025726318,0.39400890469551086,-0.02023819275200367,0.5893766283988953,0.3975776433944702,-0.0063577997498214245,0.5886195302009583,0.3452107310295105,-0.012860656715929508,0.5869356393814087,0.31516966223716736,-0.015971558168530464,0.583720862865448,0.2889102101325989,-0.018078483641147614,0.5758023858070374,0.3990918695926666,-0.0075742630288004875,0.5795845985412598,0.3622139096260071,-0.020191514864563942,0.5854128003120422,0.3934231102466583,-0.02344765141606331,0.5866022706031799,0.4174306094646454,-0.022117409855127335,0.5622259974479675,0.4063315689563751,-0.009523442015051842,0.5654637217521667,0.37468379735946655,-0.022368816658854485,0.5735212564468384,0.4056134521961212,-0.02056545577943325,0.5753394961357117,0.4302096664905548,-0.015418117865920067,0.5475192666053772,0.4181864857673645,-0.012076644226908684,0.5446968078613281,0.38584446907043457,-0.020596297457814217,0.5532596111297607,0.3993265628814697,-0.018187370151281357,0.5582687258720398,0.4174213707447052,-0.01391986757516861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
