frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.35566389560699463,0.7288815379142761,-1.798957072196572e-07,0.36827218532562256,0.6315911412239075,-0.02982768416404724,0.4089706838130951,0.5411598086357117,-0.05017639696598053,0.448682576417923,0.48876437544822693,-0.060452356934547424,0.48727428913116455,0.48618584871292114,-0.0653899535536766,0.3883153200149536,0.627899169921875,-0.09030546993017197,0.48012739419937134,0.5949289202690125,-0.10565018653869629,0.45862165093421936,0.5831043124198914,-0.09314075857400894,0.429638534784317,0.595847487449646,-0.07992234826087952,0.4012937843799591,0.7098479866981506,-0.07769384980201721,0.49889522790908813,0.6530113220214844,-0.09834672510623932,0.47699758410453796,0.6335493326187134,-0.08445411175489426,0.4469427764415741,0.6449844241142273,-0.07060502469539642,0.41917046904563904,0.7643353939056396,-0.06258580088615417,0.5080645084381104,0.6978617906570435,-0.07525131851434708,0.4875689446926117,0.6808854341506958,-0.05683979019522667,0.4612894058227539,0.6922786831855774,-0.04187082126736641,0.4379105269908905,0.7949517369270325,-0.04814775288105011,0.49891167879104614,0.7327132821083069,-0.05711730942130089,0.48558807373046875,0.7180900573730469,-0.04854931682348251,0.4632648527622223,0.7304717302322388,-0.040637705475091934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.37253689765930176,0.7202280759811401,-2.2887653017278353e-07,0.3785690665245056,0.6253747940063477,-0.03145598992705345,0.40915197134017944,0.5368605852127075,-0.05449587479233742,0.44652092456817627,0.4867735505104065,-0.06779030710458755,0.48675301671028137,0.49596667289733887,-0.07596880197525024,0.3864400386810303,0.6350064873695374,-0.09469301253557205,0.47960007190704346,0.5985513925552368,-0.1130048856139183,0.46105682849884033,0.5889965295791626,-0.10256949067115784,0.43189045786857605,0.601138710975647,-0.0909213125705719,0.4019746780395508,0.717725932598114,-0.08274005353450775,0.4970293343067169,0.6489384174346924,-0.10566776245832443,0.47748416662216187,0.6369595527648926,-0.09287610650062561,0.4477097988128662,0.6500208973884583,-0.08049613982439041,0.42319247126579285,0.7713469862937927,-0.06843636184930801,0.5067936182022095,0.6936094164848328,-0.08494318276643753,0.4876386523246765,0.6830818057060242,-0.0661652684211731,0.46122562885284424,0.6938741207122803,-0.05069359391927719,0.4452820122241974,0.7979084253311157,-0.05493713915348053,0.5034074187278748,0.7287425994873047,-0.06611277163028717,0.48940354585647583,0.7198932766914368,-0.05643057823181152,0.4663039743900299,0.7323094010353088,-0.04796307161450386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.36200398206710815,0.7292860746383667,-3.08396579384862e-07,0.3708598017692566,0.6367113590240479,-0.03318978101015091,0.40091586112976074,0.5406660437583923,-0.058243971318006516,0.43454521894454956,0.482452929019928,-0.07268422842025757,0.4717046916484833,0.4940233528614044,-0.08244209736585617,0.3839420676231384,0.6421446800231934,-0.09991312772035599,0.47561269998550415,0.6064494252204895,-0.11887757480144501,0.4573502838611603,0.5929902195930481,-0.1104772612452507,0.42995864152908325,0.6047827005386353,-0.10090147703886032,0.4010569155216217,0.7262738347053528,-0.08596590906381607,0.4953477084636688,0.655792772769928,-0.10856372863054276,0.47432398796081543,0.6417386531829834,-0.0968380868434906,0.44454002380371094,0.6543481349945068,-0.08599913120269775,0.42347267270088196,0.7782857418060303,-0.06927431374788284,0.5082012414932251,0.698782205581665,-0.0846422091126442,0.48726415634155273,0.6882244944572449,-0.06757473945617676,0.4600786864757538,0.7001625895500183,-0.05427856743335724,0.44635915756225586,0.8007796406745911,-0.05328930541872978,0.5031129121780396,0.7274288535118103,-0.06560792028903961,0.4879038333892822,0.7192236185073853,-0.058724310249090195,0.4662194848060608,0.7334086298942566,-0.052357450127601624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3632161319255829,0.7296590209007263,-3.048927510462818e-07,0.36930572986602783,0.6385514140129089,-0.03367066755890846,0.3975716531276703,0.5450557470321655,-0.05594854801893234,0.4260771870613098,0.48005062341690063,-0.06694936752319336,0.4607185423374176,0.4633573591709137,-0.07297929376363754,0.3873330354690552,0.6463783979415894,-0.10009442269802094,0.4742756485939026,0.6116876006126404,-0.11618047207593918,0.45697855949401855,0.5918102860450745,-0.10462307184934616,0.4303206503391266,0.6042132377624512,-0.093087337911129,0.4059731066226959,0.7293827533721924,-0.08501462638378143,0.4965289235115051,0.6573024392127991,-0.10747873038053513,0.47637978196144104,0.6359921097755432,-0.0940014123916626,0.44843047857284546,0.6505287289619446,-0.0813078060746193,0.4282110929489136,0.7786235213279724,-0.0670497715473175,0.5067505836486816,0.6994397044181824,-0.08276012539863586,0.4865538775920868,0.6818392276763916,-0.06511024385690689,0.46256792545318604,0.6954808235168457,-0.05074668675661087,0.4494911730289459,0.7992783784866333,-0.04976225644350052,0.5018438696861267,0.7260546088218689,-0.06115259975194931,0.4876171946525574,0.7120781540870667,-0.05354318022727966,0.4681735634803772,0.7272623181343079,-0.04647333547472954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.37654346227645874,0.7196236252784729,-2.7868770757777384e-07,0.3764333426952362,0.6252852082252502,-0.035149142146110535,0.3976348340511322,0.5331099033355713,-0.05927548184990883,0.420272558927536,0.4651682376861572,-0.07226651906967163,0.4500959515571594,0.42503607273101807,-0.08041562885046005,0.3900873064994812,0.6403856873512268,-0.1039327085018158,0.4758552014827728,0.6042954325675964,-0.12050314992666245,0.46030810475349426,0.5839586853981018,-0.10868211090564728,0.4328041076660156,0.5954425930976868,-0.09662770479917526,0.408767431974411,0.723867654800415,-0.08860040456056595,0.49737513065338135,0.6533290147781372,-0.11081961542367935,0.4789174497127533,0.6309757828712463,-0.0970456525683403,0.45156869292259216,0.6444008350372314,-0.08470182120800018,0.4313602149486542,0.7732751965522766,-0.07026076316833496,0.5082060694694519,0.6949718594551086,-0.08674119412899017,0.48856085538864136,0.6777865886688232,-0.06921800225973129,0.4652627408504486,0.6921099424362183,-0.05537540465593338,0.4534693658351898,0.7956083416938782,-0.05262818932533264,0.5048497915267944,0.7238561511039734,-0.06537313014268875,0.49017488956451416,0.7117166519165039,-0.0574907548725605,0.4698382019996643,0.7276369333267212,-0.050274189561605453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3600110411643982,0.7327938079833984,-3.239134400701005e-07,0.3653225898742676,0.6325306296348572,-0.031031517311930656,0.3911355435848236,0.5376685857772827,-0.05607936903834343,0.41433578729629517,0.46715521812438965,-0.07143931090831757,0.4431183934211731,0.4216208755970001,-0.08211975544691086,0.386894553899765,0.6449482440948486,-0.10090821981430054,0.4782434403896332,0.6000861525535583,-0.12036028504371643,0.45641660690307617,0.5885007381439209,-0.11100990325212479,0.42647475004196167,0.6033989191055298,-0.10017810016870499,0.4047468602657318,0.7263014316558838,-0.08875438570976257,0.5001576542854309,0.6509054899215698,-0.11392179131507874,0.47558850049972534,0.6359134316444397,-0.10133696347475052,0.44735273718833923,0.6531228423118591,-0.08891031891107559,0.4260443150997162,0.7760906219482422,-0.07340960204601288,0.5060634016990662,0.6931140422821045,-0.08951973915100098,0.48301565647125244,0.6803757548332214,-0.07060881704092026,0.4611465036869049,0.6966727375984192,-0.05587168037891388,0.4470336437225342,0.7988964319229126,-0.058648716658353806,0.5005915760993958,0.7262082695960999,-0.06837240606546402,0.4842035472393036,0.7149075865745544,-0.057551849633455276,0.4652493894100189,0.7313872575759888,-0.04849531129002571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.36752694845199585,0.7347608804702759,-2.6203889547105064e-07,0.37108713388442993,0.6381153464317322,-0.028514999896287918,0.3912043273448944,0.5445924997329712,-0.051997844129800797,0.40890175104141235,0.4718559980392456,-0.06674809753894806,0.43532678484916687,0.42312872409820557,-0.07676336914300919,0.38953274488449097,0.6472415328025818,-0.09391800314188004,0.47941774129867554,0.6028167605400085,-0.11360394209623337,0.46050357818603516,0.5891442894935608,-0.10519355535507202,0.4324043095111847,0.6044423580169678,-0.09450806677341461,0.4077649414539337,0.7312321066856384,-0.08335762470960617,0.5037790536880493,0.6573954820632935,-0.10966255515813828,0.482134610414505,0.6395658254623413,-0.09799972921609879,0.45321857929229736,0.6523826718330383,-0.08495280146598816,0.4279991388320923,0.7811676859855652,-0.069839246571064,0.5084378123283386,0.7006430625915527,-0.0871710479259491,0.4881042242050171,0.6854996085166931,-0.0676494687795639,0.46542465686798096,0.6967852115631104,-0.05084403604269028,0.44681644439697266,0.8026484251022339,-0.05676504224538803,0.502579391002655,0.7316410541534424,-0.06503300368785858,0.4892159700393677,0.7183368802070618,-0.051890529692173004,0.4691981375217438,0.7308317422866821,-0.04063630849123001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.36573392152786255,0.723853349685669,-2.825671003847674e-07,0.37148258090019226,0.6322939395904541,-0.028024429455399513,0.39140787720680237,0.5373905897140503,-0.05088730528950691,0.4090367555618286,0.4672248363494873,-0.064605213701725,0.439472496509552,0.4514821171760559,-0.07328420877456665,0.38942739367485046,0.644874095916748,-0.09489069133996964,0.47936615347862244,0.6072659492492676,-0.11321108788251877,0.4620550274848938,0.5868861675262451,-0.10262645035982132,0.43390095233917236,0.6010779738426208,-0.09064369648694992,0.40757450461387634,0.7303661704063416,-0.08361753821372986,0.5037041902542114,0.658784806728363,-0.10970938205718994,0.48236215114593506,0.6353828310966492,-0.09672100096940994,0.45358285307884216,0.6494659185409546,-0.08243352174758911,0.4284820556640625,0.781049370765686,-0.0690847709774971,0.5083395838737488,0.7005568742752075,-0.08631224930286407,0.48806893825531006,0.6817713379859924,-0.06625237315893173,0.46551331877708435,0.6942967772483826,-0.048864610493183136,0.44763538241386414,0.8019744753837585,-0.05477409437298775,0.5033190846443176,0.7308318018913269,-0.06337132304906845,0.4896140992641449,0.7153950929641724,-0.050308261066675186,0.4694611132144928,0.729590892791748,-0.038719575852155685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3455878794193268,0.7324017286300659,-3.784957698371727e-07,0.35950416326522827,0.6379028558731079,-0.029712386429309845,0.391041100025177,0.5438162088394165,-0.05292907729744911,0.41959598660469055,0.47984951734542847,-0.0657534971833229,0.4522680342197418,0.4817756414413452,-0.07296250760555267,0.38698145747184753,0.6456477642059326,-0.10020814836025238,0.47976917028427124,0.6101071834564209,-0.11943002790212631,0.45879286527633667,0.592124342918396,-0.10729887336492538,0.4276636242866516,0.6071012616157532,-0.09395892918109894,0.40404778718948364,0.7314348816871643,-0.08656013756990433,0.49898260831832886,0.6602717638015747,-0.11374958604574203,0.4720187783241272,0.6398864388465881,-0.09871294349431992,0.44173911213874817,0.6583077311515808,-0.08271583169698715,0.4246837794780731,0.7841440439224243,-0.06968861818313599,0.5063678026199341,0.7032467126846313,-0.08924620598554611,0.48141929507255554,0.6866616010665894,-0.06941840797662735,0.4568752944469452,0.7030929327011108,-0.05167873203754425,0.443808376789093,0.8081774115562439,-0.05277039855718613,0.49915197491645813,0.735261082649231,-0.06528253853321075,0.48232701420783997,0.7231547832489014,-0.05495600774884224,0.4617585241794586,0.7406970858573914,-0.04447522014379501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.34647658467292786,0.7444641590118408,-2.674302379546134e-07,0.35872894525527954,0.6514299511909485,-0.030267002061009407,0.3870216906070709,0.5517967939376831,-0.05522874370217323,0.4170723557472229,0.48494744300842285,-0.06945540755987167,0.4547472596168518,0.49374639987945557,-0.07885095477104187,0.3842863440513611,0.6471384763717651,-0.10664591193199158,0.47801631689071655,0.6140892505645752,-0.12818187475204468,0.4703396260738373,0.5957107543945312,-0.11703921854496002,0.44566985964775085,0.6093218326568604,-0.10384227335453033,0.40205833315849304,0.7317785620689392,-0.09267445653676987,0.500421404838562,0.661728024482727,-0.1201600506901741,0.4811607003211975,0.6371654868125916,-0.10393106937408447,0.4514939486980438,0.6518835425376892,-0.08691814541816711,0.4232221245765686,0.7854169011116028,-0.07525822520256042,0.5090752243995667,0.7023302316665649,-0.09497866034507751,0.4885324537754059,0.6814625859260559,-0.07431309670209885,0.4636614918708801,0.6958521604537964,-0.05569164454936981,0.4432440400123596,0.8110010623931885,-0.05764784663915634,0.5025447607040405,0.7335622310638428,-0.07102318853139877,0.4905940592288971,0.7165166735649109,-0.06044742092490196,0.46934497356414795,0.732336699962616,-0.04925267770886421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
