frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.37247827649116516,0.787905752658844,-1.5643550455024524e-07,0.37431231141090393,0.734857976436615,-0.011533507145941257,0.37467992305755615,0.6759929656982422,-0.018645547330379486,0.37231531739234924,0.6321285963058472,-0.023963598534464836,0.3645029366016388,0.5962004661560059,-0.027766425162553787,0.36307501792907715,0.7039451599121094,-0.024889636784791946,0.40596631169319153,0.6806529760360718,-0.03702201694250107,0.4029650092124939,0.6990846991539001,-0.041443660855293274,0.38884660601615906,0.7069486975669861,-0.044304799288511276,0.3671354651451111,0.7391688227653503,-0.025298243388533592,0.4127340316772461,0.709506630897522,-0.034754857420921326,0.4050271511077881,0.724787175655365,-0.033746663480997086,0.39176058769226074,0.7336863279342651,-0.035364627838134766,0.37474530935287476,0.7694498300552368,-0.02659100666642189,0.4158540368080139,0.7384793758392334,-0.033956799656152725,0.40786731243133545,0.7512310743331909,-0.02868744172155857,0.39663994312286377,0.7586168050765991,-0.026973724365234375,0.383669376373291,0.7923208475112915,-0.0291470717638731,0.41476643085479736,0.7688156366348267,-0.03314981237053871,0.4086567759513855,0.7767179012298584,-0.030327187851071358,0.396946519613266,0.7849510312080383,-0.02992992103099823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.364092618227005,0.7616474032402039,-8.132573725561087e-08,0.363645076751709,0.6997554302215576,-0.006973932031542063,0.36619335412979126,0.638687789440155,-0.012919127941131592,0.36518949270248413,0.592617928981781,-0.018235081806778908,0.35736554861068726,0.5543534159660339,-0.021977907046675682,0.3569115996360779,0.6493709683418274,-0.020768772810697556,0.4009217917919159,0.620894193649292,-0.03337147459387779,0.3957412838935852,0.6414662003517151,-0.037971194833517075,0.3810347020626068,0.6507241129875183,-0.04039876163005829,0.36193516850471497,0.6850058436393738,-0.0234223660081625,0.4096648693084717,0.6512209177017212,-0.032771628350019455,0.40051066875457764,0.6681997179985046,-0.03085026703774929,0.387163907289505,0.6769632697105408,-0.03138028085231781,0.37024420499801636,0.716185450553894,-0.026788730174303055,0.4140394926071167,0.681907594203949,-0.033384621143341064,0.4039672911167145,0.6965780258178711,-0.026600180193781853,0.3922103941440582,0.7058954834938049,-0.023530304431915283,0.37977316975593567,0.7419654726982117,-0.031040001660585403,0.41238778829574585,0.7112576365470886,-0.033249419182538986,0.4035889506340027,0.7203744649887085,-0.028606604784727097,0.3912222683429718,0.7305843830108643,-0.02659658156335354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.36183515191078186,0.7245873212814331,-1.0281616624752132e-07,0.3614686131477356,0.6645002961158752,-0.00619810214266181,0.3649353086948395,0.5988439321517944,-0.01209551002830267,0.3637985289096832,0.5506125092506409,-0.017384519800543785,0.35474732518196106,0.5145983695983887,-0.021171221509575844,0.3573901653289795,0.6115655303001404,-0.020866362378001213,0.3992718756198883,0.5871325731277466,-0.034012336283922195,0.3935897648334503,0.6065030097961426,-0.03900378942489624,0.3794192373752594,0.6166179776191711,-0.04143202677369118,0.3614443838596344,0.647976815700531,-0.024054842069745064,0.40808507800102234,0.6156436800956726,-0.03308994323015213,0.3985587954521179,0.6313837766647339,-0.030799880623817444,0.3848018944263458,0.6407092809677124,-0.030911872163414955,0.3689064383506775,0.680152952671051,-0.027918538078665733,0.4117202162742615,0.6472001671791077,-0.03432222455739975,0.4012955129146576,0.6595550179481506,-0.027531160041689873,0.3889758884906769,0.6680012345314026,-0.024407634511590004,0.3776561915874481,0.7071860432624817,-0.032494090497493744,0.4090079367160797,0.6766474843025208,-0.03428294137120247,0.4004269242286682,0.6840362548828125,-0.029211103916168213,0.38835763931274414,0.6926385760307312,-0.02699165791273117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3604733943939209,0.7069721221923828,-1.2814797401006217e-07,0.36085423827171326,0.6457584500312805,-0.0063151828944683075,0.36470362544059753,0.5791608095169067,-0.012407977133989334,0.3633391559123993,0.5286343097686768,-0.01795092411339283,0.3536151349544525,0.4914573132991791,-0.021754037588834763,0.35528069734573364,0.5865705609321594,-0.01941462978720665,0.396523654460907,0.5638236403465271,-0.03236763924360275,0.39115869998931885,0.5825960040092468,-0.03733579069375992,0.37799569964408875,0.5898672342300415,-0.03992662578821182,0.35950589179992676,0.6203160285949707,-0.022444607689976692,0.40610232949256897,0.5925692915916443,-0.03141059726476669,0.39762741327285767,0.6098087430000305,-0.02929285354912281,0.38588979840278625,0.617895245552063,-0.02943689189851284,0.3675900399684906,0.6520036458969116,-0.02623329870402813,0.4107031226158142,0.6224836111068726,-0.03281794860959053,0.40048739314079285,0.6357653141021729,-0.026460273191332817,0.3888173997402191,0.6437576413154602,-0.023483173921704292,0.37762153148651123,0.679078221321106,-0.03075786679983139,0.41000545024871826,0.6515501737594604,-0.03255230933427811,0.40146493911743164,0.6592286825180054,-0.027926160022616386,0.3895208537578583,0.6670682430267334,-0.025915728881955147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.36024147272109985,0.7051585912704468,-1.6411854630860034e-07,0.3612096309661865,0.6428348422050476,-0.006351909134536982,0.36510321497917175,0.5751636028289795,-0.012361356057226658,0.36424019932746887,0.5243101119995117,-0.01781584694981575,0.3536262810230255,0.4897266924381256,-0.02160385437309742,0.35484999418258667,0.5848543047904968,-0.019001513719558716,0.39666786789894104,0.5643121600151062,-0.03236110508441925,0.39216458797454834,0.5841104388237,-0.03811929002404213,0.3794402778148651,0.5931491255760193,-0.0412411093711853,0.3593515157699585,0.6192371249198914,-0.022175611928105354,0.40638333559036255,0.5920125842094421,-0.03155546635389328,0.3979765772819519,0.6090585589408875,-0.03006109595298767,0.3852291405200958,0.6177107095718384,-0.0306471548974514,0.3671734631061554,0.6510552763938904,-0.026107098907232285,0.41081881523132324,0.6207165718078613,-0.03356817737221718,0.4009665846824646,0.6338648200035095,-0.027777886018157005,0.3888827860355377,0.6414740085601807,-0.024985233321785927,0.37627536058425903,0.6788259148597717,-0.03070983476936817,0.40970733761787415,0.6492496132850647,-0.033045582473278046,0.4018331468105316,0.6580391526222229,-0.028310859575867653,0.3899763822555542,0.6665967702865601,-0.026177722960710526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3609274923801422,0.6889171004295349,-1.4300366046882118e-07,0.3613758087158203,0.6258946061134338,-0.006458161864429712,0.3645830452442169,0.5588101148605347,-0.01255410723388195,0.3626985251903534,0.5087213516235352,-0.01804068684577942,0.351349800825119,0.4752045273780823,-0.021819183602929115,0.35423460602760315,0.5697197914123535,-0.019683176651597023,0.3954394459724426,0.5473375916481018,-0.03264298662543297,0.39126262068748474,0.5657551288604736,-0.03766648843884468,0.378878116607666,0.5734241604804993,-0.04031890258193016,0.35872793197631836,0.6041401624679565,-0.02270250767469406,0.4053514301776886,0.5765940546989441,-0.032004475593566895,0.39665740728378296,0.593277096748352,-0.03027172200381756,0.3844272196292877,0.6023683547973633,-0.030594898387789726,0.36682966351509094,0.6364230513572693,-0.02638566493988037,0.4101399779319763,0.6058487892150879,-0.03391075134277344,0.399740070104599,0.6193853616714478,-0.028039079159498215,0.3882528245449066,0.6282675862312317,-0.025034591555595398,0.3764863610267639,0.6641733050346375,-0.030744321644306183,0.4091353118419647,0.6352274417877197,-0.03340001404285431,0.4004382789134979,0.6442826986312866,-0.028840407729148865,0.38863006234169006,0.6542162299156189,-0.02667616866528988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.362374484539032,0.6789378523826599,-1.499631849810612e-07,0.3620215952396393,0.6154299974441528,-0.005478432402014732,0.3648777902126312,0.5494382381439209,-0.01146233081817627,0.36338382959365845,0.5000826716423035,-0.017210183665156364,0.3523860573768616,0.46616193652153015,-0.021430855616927147,0.35407590866088867,0.5580735802650452,-0.019054338335990906,0.3958953320980072,0.5368462204933167,-0.03246655687689781,0.3926122188568115,0.5556511878967285,-0.03824824467301369,0.380815327167511,0.5645061731338501,-0.04140929877758026,0.35764989256858826,0.5919854044914246,-0.022888273000717163,0.4046424329280853,0.5637460947036743,-0.032746754586696625,0.39630064368247986,0.5802331566810608,-0.03138907998800278,0.384012907743454,0.5898351073265076,-0.03188205882906914,0.364753782749176,0.6244276165962219,-0.02736220322549343,0.4083578288555145,0.5937643647193909,-0.03532557934522629,0.39869430661201477,0.6073517799377441,-0.02956739068031311,0.38778313994407654,0.6157093048095703,-0.02645552158355713,0.3734053671360016,0.6535367965698242,-0.032483261078596115,0.40742576122283936,0.6221712827682495,-0.03511150926351547,0.3990815579891205,0.6307201981544495,-0.030368288978934288,0.38731977343559265,0.6408876180648804,-0.02807474136352539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3621037006378174,0.6713043451309204,-1.536114240252573e-07,0.3618980646133423,0.6080161333084106,-0.005668333265930414,0.36424997448921204,0.5420182347297668,-0.011387835256755352,0.3625589907169342,0.4922085106372833,-0.016888411715626717,0.35108765959739685,0.4593031406402588,-0.02103135734796524,0.35318970680236816,0.549441397190094,-0.017833678051829338,0.3947609066963196,0.5277765989303589,-0.03091747686266899,0.3921188414096832,0.5471926331520081,-0.03698306530714035,0.3802415728569031,0.5565976500511169,-0.04059039428830147,0.35703086853027344,0.582646906375885,-0.021629570052027702,0.40341171622276306,0.5549980998039246,-0.030862955376505852,0.39549553394317627,0.571759819984436,-0.029956556856632233,0.38297608494758606,0.5804945826530457,-0.03109058551490307,0.36432135105133057,0.6147401928901672,-0.02615870162844658,0.40717533230781555,0.5837582349777222,-0.034010134637355804,0.397703617811203,0.5980185866355896,-0.028862101957201958,0.3865433633327484,0.6059837341308594,-0.02636372484266758,0.3729676902294159,0.6435137987136841,-0.03136170655488968,0.40547293424606323,0.6131529211997986,-0.03468584269285202,0.39751186966896057,0.6221732497215271,-0.03062763251364231,0.3858560621738434,0.6318086385726929,-0.028772547841072083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3643374741077423,0.665382981300354,-1.5028081179480068e-07,0.3639591634273529,0.6031835079193115,-0.006174588575959206,0.3656061291694641,0.5381597876548767,-0.011796295642852783,0.3633379638195038,0.4890857934951782,-0.017147362232208252,0.351719468832016,0.4563027024269104,-0.021077601239085197,0.35312318801879883,0.5449621081352234,-0.016771957278251648,0.3943042457103729,0.5238995552062988,-0.02955232560634613,0.39144134521484375,0.5427660942077637,-0.03573934733867645,0.3800468444824219,0.5517066717147827,-0.03952030465006828,0.3573843836784363,0.5775126814842224,-0.02018076367676258,0.403685986995697,0.5490025877952576,-0.029221070930361748,0.3958759307861328,0.565194845199585,-0.028563987463712692,0.38377654552459717,0.5745164752006531,-0.02986329235136509,0.36493155360221863,0.6087016463279724,-0.024471735581755638,0.40762704610824585,0.5781092643737793,-0.03192414343357086,0.39833149313926697,0.5916377902030945,-0.027131587266921997,0.38743308186531067,0.5994347333908081,-0.02498772367835045,0.3737104833126068,0.6364302039146423,-0.029560253024101257,0.4064745604991913,0.6068707704544067,-0.03248009458184242,0.39871945977211,0.6154176592826843,-0.028760423883795738,0.38721877336502075,0.6245055198669434,-0.0273020900785923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3637680411338806,0.6656746864318848,-1.6381996204017923e-07,0.3636710047721863,0.6030479073524475,-0.005474465899169445,0.36558228731155396,0.5383787751197815,-0.011016554199159145,0.3628235161304474,0.49002599716186523,-0.01640906184911728,0.3513447046279907,0.456851601600647,-0.020500613376498222,0.353628933429718,0.5440884828567505,-0.016812240704894066,0.39558738470077515,0.5244554877281189,-0.02953013963997364,0.3925134241580963,0.5442655086517334,-0.035760484635829926,0.3806224465370178,0.5524900555610657,-0.039743512868881226,0.3579031527042389,0.5774438381195068,-0.020683005452156067,0.4036290943622589,0.5509268641471863,-0.02952592819929123,0.3962671756744385,0.5675494074821472,-0.02902400679886341,0.3845975995063782,0.5748688578605652,-0.03071337193250656,0.3653193414211273,0.6092728972434998,-0.025342855602502823,0.40695658326148987,0.5809569954872131,-0.032860688865184784,0.3978067636489868,0.5946381688117981,-0.028555182740092278,0.3869069218635559,0.6010152101516724,-0.026907414197921753,0.3738254904747009,0.6370495557785034,-0.030684785917401314,0.4054211378097534,0.6095969676971436,-0.03379756584763527,0.39811909198760986,0.6170288920402527,-0.030542708933353424,0.3873828649520874,0.6241117715835571,-0.029477320611476898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
