frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.4206989109516144,0.5885182619094849,7.538345414559444e-08,0.41557130217552185,0.547232449054718,0.007062798365950584,0.41898828744888306,0.5105420351028442,0.004807645455002785,0.4277080297470093,0.4906705617904663,-0.0005041159456595778,0.4358409345149994,0.4855026304721832,-0.004822591319680214,0.41972729563713074,0.48153722286224365,0.00014659653243143111,0.43800830841064453,0.45295101404190063,-0.008550367318093777,0.44666245579719543,0.46623608469963074,-0.013160883449018002,0.44800907373428345,0.4814144968986511,-0.01427558995783329,0.4312436282634735,0.4799448847770691,-0.009083067998290062,0.44548794627189636,0.4243668019771576,-0.016102908179163933,0.4543130397796631,0.39421337842941284,-0.019423456862568855,0.45921000838279724,0.3714558482170105,-0.020640207454562187,0.4439024329185486,0.4901648163795471,-0.017812684178352356,0.4663635790348053,0.4600454866886139,-0.024427693337202072,0.46930259466171265,0.48231369256973267,-0.02161509357392788,0.4653032124042511,0.5001660585403442,-0.017186259850859642,0.4579422175884247,0.5094264149665833,-0.026110319420695305,0.4762802720069885,0.49167123436927795,-0.02731703221797943,0.4767535924911499,0.5072610974311829,-0.02056668885052204,0.47286781668663025,0.5206822156906128,-0.014126023277640343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.42177531123161316,0.5929230451583862,9.399753508887443e-08,0.41818052530288696,0.5460115075111389,0.007142903748899698,0.42375448346138,0.510062575340271,0.0046831457875669,0.4364464581012726,0.49520593881607056,-0.0010259583359584212,0.4495963454246521,0.4962925612926483,-0.005738754291087389,0.42217329144477844,0.481334388256073,0.000769693695474416,0.44347819685935974,0.455360472202301,-0.006661092862486839,0.4536019265651703,0.4677210748195648,-0.010721870698034763,0.4560651183128357,0.4807831943035126,-0.011958939023315907,0.4338814616203308,0.480294406414032,-0.00855761207640171,0.44926825165748596,0.4266267418861389,-0.014999359846115112,0.45789921283721924,0.3948230445384979,-0.018649810925126076,0.46200236678123474,0.37086382508277893,-0.020415784791111946,0.44676515460014343,0.4918489456176758,-0.017242858186364174,0.4687528610229492,0.46165692806243896,-0.023022687062621117,0.4733365476131439,0.48185858130455017,-0.020721785724163055,0.4705812633037567,0.49907901883125305,-0.016924526542425156,0.4609895348548889,0.5127162337303162,-0.025519292801618576,0.4783078730106354,0.49271032214164734,-0.02557266131043434,0.4794522225856781,0.5072291493415833,-0.018598446622490883,0.47646278142929077,0.5214071869850159,-0.012309791520237923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.42236328125,0.5943458080291748,8.710126309097177e-08,0.41890808939933777,0.5459728837013245,0.00795323122292757,0.42388102412223816,0.5100950002670288,0.005431207362562418,0.4350493848323822,0.4955574572086334,-0.0005002663237974048,0.4466085731983185,0.49608632922172546,-0.005604545120149851,0.42426684498786926,0.4818861782550812,0.0005377971101552248,0.4441782236099243,0.4546079635620117,-0.0067241801880300045,0.45387107133865356,0.46726566553115845,-0.010821456089615822,0.45664697885513306,0.48059529066085815,-0.01226390153169632,0.43589311838150024,0.48116981983184814,-0.00922351237386465,0.4500992000102997,0.4265304207801819,-0.01542293094098568,0.45816054940223694,0.39496707916259766,-0.01918923854827881,0.4618988633155823,0.37082141637802124,-0.02129041776061058,0.44861555099487305,0.49310022592544556,-0.018122749403119087,0.4699500799179077,0.46411576867103577,-0.02320765145123005,0.47292056679725647,0.484896719455719,-0.020459841936826706,0.4688173234462738,0.501946747303009,-0.01672886684536934,0.4624412953853607,0.5145472288131714,-0.026585804298520088,0.47894543409347534,0.4955500662326813,-0.026067601516842842,0.47925716638565063,0.5107638835906982,-0.018627017736434937,0.47561725974082947,0.5254071950912476,-0.012187786400318146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4223639667034149,0.5935569405555725,7.707828331149358e-08,0.4190751612186432,0.5469772815704346,0.008014067076146603,0.4241638779640198,0.5123062133789062,0.00597202917560935,0.4361121654510498,0.4982062578201294,0.0005257020238786936,0.4489598572254181,0.49833786487579346,-0.004075892735272646,0.4238712787628174,0.4833095669746399,0.0012706138659268618,0.44392675161361694,0.45711231231689453,-0.005384064745157957,0.4533355236053467,0.47032925486564636,-0.00889165885746479,0.4554750621318817,0.4837764799594879,-0.009904149919748306,0.43567466735839844,0.4812602698802948,-0.008218887262046337,0.450102835893631,0.42560917139053345,-0.013714570552110672,0.45811957120895386,0.3941522240638733,-0.01699678599834442,0.4616098999977112,0.3700118958950043,-0.018746308982372284,0.44843265414237976,0.49206966161727905,-0.016928840428590775,0.47038134932518005,0.465434193611145,-0.02169954404234886,0.47416961193084717,0.48679476976394653,-0.019580179825425148,0.47050705552101135,0.503636360168457,-0.016332250088453293,0.4620394706726074,0.512570321559906,-0.025167414918541908,0.4791257083415985,0.49750736355781555,-0.024533811956644058,0.4794587790966034,0.5130943059921265,-0.017700355499982834,0.47566965222358704,0.5275462865829468,-0.011772546917200089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.42209652066230774,0.5944947600364685,7.596246831553799e-08,0.4186553657054901,0.5485665798187256,0.007961330004036427,0.42402076721191406,0.5143835544586182,0.0056625367142260075,0.4359469711780548,0.5002961158752441,-0.00013231096090748906,0.44814202189445496,0.5000855922698975,-0.005017589777708054,0.42384132742881775,0.4833226501941681,0.00173066311981529,0.4437650740146637,0.4578078091144562,-0.0052126129157841206,0.45330947637557983,0.4716927111148834,-0.009172823280096054,0.45548081398010254,0.4852849543094635,-0.010466733947396278,0.4351772367954254,0.4813162386417389,-0.007962516508996487,0.4495569169521332,0.42660802602767944,-0.013645557686686516,0.45764610171318054,0.39520373940467834,-0.01708371751010418,0.4613666236400604,0.3707503378391266,-0.01899341307580471,0.44749921560287476,0.4923206865787506,-0.01697550155222416,0.46953198313713074,0.46543246507644653,-0.021770665422081947,0.4728448688983917,0.48742884397506714,-0.019332878291606903,0.4689110219478607,0.5043254494667053,-0.015917330980300903,0.46092742681503296,0.5132565498352051,-0.025579921901226044,0.4782983660697937,0.4977079927921295,-0.02484111487865448,0.47812986373901367,0.5139197707176208,-0.017727283760905266,0.4739980399608612,0.5285782217979431,-0.011654880829155445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.4204418659210205,0.5944564938545227,7.527881251689905e-08,0.41716116666793823,0.55012446641922,0.007203707471489906,0.4232802391052246,0.5166776776313782,0.0046766940504312515,0.4372500777244568,0.504182755947113,-0.0012749439338222146,0.4515002369880676,0.504852294921875,-0.006167709361761808,0.4218152165412903,0.48403164744377136,0.0018200705526396632,0.4412025213241577,0.46052229404449463,-0.005645447410643101,0.45020636916160583,0.4754157066345215,-0.010134558193385601,0.4515402615070343,0.4890463054180145,-0.011717516928911209,0.43322524428367615,0.4816378951072693,-0.007675585802644491,0.4478303790092468,0.4279842972755432,-0.013934027403593063,0.45582661032676697,0.39636915922164917,-0.017769642174243927,0.4596971869468689,0.37098926305770874,-0.01987837441265583,0.44562649726867676,0.49225419759750366,-0.016669861972332,0.4679236114025116,0.4653271436691284,-0.022052055224776268,0.47014865279197693,0.487615168094635,-0.019634036347270012,0.46558505296707153,0.5039129853248596,-0.0160638727247715,0.45934391021728516,0.5130282640457153,-0.02535839192569256,0.47716715931892395,0.4977319538593292,-0.024770747870206833,0.47676631808280945,0.5142109990119934,-0.017628058791160583,0.4727536141872406,0.5283035039901733,-0.01153313834220171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.4175454378128052,0.5933780670166016,6.537960928199027e-08,0.41249263286590576,0.5501457452774048,0.007748377043753862,0.4151563048362732,0.514775812625885,0.005748462863266468,0.42014625668525696,0.4903967082500458,0.0005087886820547283,0.4236384928226471,0.4766533672809601,-0.003894624998793006,0.41897931694984436,0.48320475220680237,0.0015444511082023382,0.4330243468284607,0.4567101001739502,-0.006372528616338968,0.43999749422073364,0.4676011800765991,-0.01116926595568657,0.44081801176071167,0.47834712266921997,-0.012826330959796906,0.4300824999809265,0.4813363254070282,-0.007873513735830784,0.44378766417503357,0.4274106025695801,-0.014217051677405834,0.4519689977169037,0.398268461227417,-0.01770062930881977,0.4569326639175415,0.3754669725894928,-0.01961592584848404,0.44212400913238525,0.49165594577789307,-0.016698863357305527,0.46427488327026367,0.4642810821533203,-0.022203197702765465,0.46563291549682617,0.4866701364517212,-0.018932528793811798,0.46097999811172485,0.5036324262619019,-0.014967270195484161,0.45514023303985596,0.5117299556732178,-0.025186115875840187,0.47281646728515625,0.4981738030910492,-0.025398900732398033,0.47172096371650696,0.5151546001434326,-0.0184857789427042,0.46728527545928955,0.5290253162384033,-0.012468057684600353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41264548897743225,0.5943078994750977,6.911643879448093e-08,0.40518730878829956,0.5460785031318665,0.0064835683442652225,0.40786096453666687,0.5091785788536072,0.0046194083988666534,0.41829052567481995,0.48995596170425415,-0.000355671247234568,0.430081307888031,0.48759129643440247,-0.004694363567978144,0.40697023272514343,0.4862481355667114,0.001986944582313299,0.42181113362312317,0.454150527715683,-0.005396983120590448,0.43013492226600647,0.4597029685974121,-0.010002996772527695,0.4326604902744293,0.4679669737815857,-0.01173811499029398,0.4200375974178314,0.4836919605731964,-0.00647781090810895,0.4332062005996704,0.4307612180709839,-0.010898849926888943,0.44145655632019043,0.4047172963619232,-0.01354261301457882,0.44607239961624146,0.3849334716796875,-0.015251729637384415,0.43394964933395386,0.4924296736717224,-0.014665617607533932,0.4547942578792572,0.460027277469635,-0.019001148641109467,0.45725300908088684,0.4815361499786377,-0.01662377640604973,0.4534832239151001,0.4995760917663574,-0.013693195767700672,0.4489539861679077,0.5100462436676025,-0.022692088037729263,0.4651773273944855,0.49583959579467773,-0.022845350205898285,0.4640902280807495,0.5113754272460938,-0.01739237643778324,0.45987236499786377,0.5251919627189636,-0.012631437741219997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.4029761850833893,0.602634608745575,9.782834098359672e-08,0.39550265669822693,0.5559271574020386,0.005927759222686291,0.39976128935813904,0.5173694491386414,0.003504652762785554,0.4151582717895508,0.49904459714889526,-0.0020479694940149784,0.43048545718193054,0.4984036087989807,-0.006377675104886293,0.39392897486686707,0.49526235461235046,0.0016247550956904888,0.4137214720249176,0.46379634737968445,-0.007049296982586384,0.42312997579574585,0.4756743311882019,-0.012535978108644485,0.4245260953903198,0.4905107617378235,-0.014491744339466095,0.40689408779144287,0.4918302595615387,-0.007254498079419136,0.42010805010795593,0.4338398575782776,-0.01322239264845848,0.42672979831695557,0.40096884965896606,-0.01735060103237629,0.42911553382873535,0.37507733702659607,-0.019847437739372253,0.42112475633621216,0.49949032068252563,-0.015932241454720497,0.4428461194038391,0.4654381275177002,-0.020944178104400635,0.44534194469451904,0.48607054352760315,-0.018310530111193657,0.4404779374599457,0.5024229884147644,-0.014668627642095089,0.4368206560611725,0.515426516532898,-0.02451714314520359,0.4533068537712097,0.4948555529117584,-0.023917408660054207,0.4533189535140991,0.5113192796707153,-0.01690078154206276,0.449329674243927,0.5245893001556396,-0.01089940220117569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3907158672809601,0.6242495179176331,8.813091767478909e-08,0.3810504376888275,0.5782061815261841,0.003957733511924744,0.3839043974876404,0.5337156653404236,0.0011458825320005417,0.39926496148109436,0.5080570578575134,-0.004408427979797125,0.4147665500640869,0.5020546317100525,-0.008734302595257759,0.377748966217041,0.5111913681030273,0.0002640918828547001,0.39717817306518555,0.4749244749546051,-0.01030589360743761,0.40760159492492676,0.48531097173690796,-0.01728668622672558,0.4108961224555969,0.4996125400066376,-0.019677074626088142,0.3900081515312195,0.5105684995651245,-0.007737727370113134,0.4007340371608734,0.45063602924346924,-0.015208283439278603,0.405819833278656,0.4132978916168213,-0.020076438784599304,0.40734392404556274,0.3824337124824524,-0.02278781123459339,0.4047800600528717,0.5182066559791565,-0.015919679775834084,0.4255278706550598,0.48052188754081726,-0.023005681112408638,0.42831939458847046,0.49818316102027893,-0.021648386493325233,0.4239935874938965,0.5146346688270569,-0.01823318749666214,0.42127567529678345,0.531961977481842,-0.024084322154521942,0.4373535215854645,0.5020228624343872,-0.024382879957556725,0.4379100799560547,0.5171535611152649,-0.017615288496017456,0.4347294867038727,0.5310766696929932,-0.011544790118932724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
