frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.3665754199028015,0.7967811226844788,1.3241778162864648e-07,0.35844576358795166,0.7272073030471802,0.016903340816497803,0.3660780191421509,0.6707035303115845,0.017065878957509995,0.3864179849624634,0.6436008214950562,0.011163989081978798,0.4069231152534485,0.6343921422958374,0.0072440714575350285,0.3630889058113098,0.6386743187904358,0.008916710503399372,0.3921321928501129,0.5833463668823242,-0.001717961858958006,0.4063278138637543,0.5956252217292786,-0.007500405889004469,0.41111475229263306,0.6134946346282959,-0.009280216880142689,0.37764108180999756,0.6340029835700989,-0.0064985016360878944,0.39580464363098145,0.5462868213653564,-0.020039843395352364,0.4072246849536896,0.4949038624763489,-0.02743959054350853,0.414366215467453,0.45516616106033325,-0.03111027553677559,0.3939635753631592,0.6465218663215637,-0.020277628675103188,0.4299561679363251,0.5897482633590698,-0.028925437480211258,0.4363599121570587,0.619246244430542,-0.02162920869886875,0.4312465190887451,0.6430104970932007,-0.013095728121697903,0.4130048453807831,0.67242830991745,-0.03315085172653198,0.4434344172477722,0.6304900646209717,-0.03190521150827408,0.44765686988830566,0.6520548462867737,-0.01918557658791542,0.443115234375,0.6715891361236572,-0.008099721744656563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3767862319946289,0.7854474186897278,2.1218559709268447e-07,0.3688490092754364,0.714329719543457,0.01611614041030407,0.3777792155742645,0.6590420603752136,0.017076242715120316,0.39744842052459717,0.6319526433944702,0.012011069804430008,0.41812771558761597,0.624049186706543,0.0067578875459730625,0.3781431019306183,0.6256183981895447,0.01235734112560749,0.40274786949157715,0.5690601468086243,0.00753479078412056,0.4179684519767761,0.5389233231544495,0.004673573654145002,0.4275185465812683,0.5154638290405273,0.003793730167672038,0.3911546468734741,0.6209330558776855,-0.002029807073995471,0.4078504741191864,0.5389002561569214,-0.0062440307810902596,0.41716325283050537,0.49138522148132324,-0.008021053858101368,0.4219551980495453,0.4527667760848999,-0.008298511616885662,0.40772294998168945,0.6331571936607361,-0.015357770025730133,0.44019344449043274,0.5873359441757202,-0.01953911781311035,0.4440825283527374,0.6154436469078064,-0.01529952883720398,0.4375510513782501,0.6379821300506592,-0.009895261377096176,0.42625248432159424,0.6587366461753845,-0.02782377228140831,0.45385321974754333,0.6227083802223206,-0.025365343317389488,0.4550408720970154,0.6450391411781311,-0.015662433579564095,0.44912517070770264,0.6661771535873413,-0.007378981914371252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.384926974773407,0.7813574075698853,8.261255857178185e-08,0.37680283188819885,0.7123408317565918,0.017315667122602463,0.3840092718601227,0.6620955467224121,0.01914638839662075,0.4022523760795593,0.6381291747093201,0.014925900846719742,0.42275840044021606,0.6333799362182617,0.011136358603835106,0.38272398710250854,0.6265736818313599,0.013197696767747402,0.41051819920539856,0.5824838876724243,0.009975327178835869,0.42680174112319946,0.5904033184051514,0.008522391319274902,0.43430545926094055,0.600778341293335,0.008828019723296165,0.39830437302589417,0.6198339462280273,-0.0012450013309717178,0.4169358015060425,0.5386495590209961,-0.0017932069022208452,0.42940187454223633,0.50178062915802,-0.001812096918001771,0.4370875060558319,0.47641897201538086,-0.0018461436266079545,0.4159150719642639,0.6303468346595764,-0.014708944596350193,0.4489854574203491,0.5853777527809143,-0.015895666554570198,0.45678967237472534,0.6151164174079895,-0.012163001112639904,0.45370161533355713,0.6408621072769165,-0.008344409987330437,0.43544042110443115,0.6546533107757568,-0.027163174003362656,0.4625391662120819,0.6230782270431519,-0.023004425689578056,0.46633008122444153,0.6455973982810974,-0.013501336798071861,0.4628389775753021,0.6683865189552307,-0.006064595654606819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3890615999698639,0.7793135643005371,6.586530787444644e-08,0.38082340359687805,0.7175549864768982,0.01995307207107544,0.38847213983535767,0.6663340330123901,0.02429196797311306,0.4031851887702942,0.6415649652481079,0.022413918748497963,0.4173201322555542,0.6358370780944824,0.02089722827076912,0.39453426003456116,0.6258668303489685,0.014540583826601505,0.4253155589103699,0.5871415138244629,0.010904772207140923,0.44054731726646423,0.6020524501800537,0.009240543469786644,0.4455108940601349,0.615567147731781,0.00981815904378891,0.4109773337841034,0.6201202869415283,-0.0003710982564371079,0.4324578046798706,0.5427369475364685,-0.0039010527543723583,0.4421747624874115,0.5001637935638428,-0.005324299912899733,0.44647547602653503,0.46810099482536316,-0.005289040040224791,0.4287818372249603,0.6329702734947205,-0.013798084110021591,0.463269978761673,0.597777783870697,-0.015735981985926628,0.46872323751449585,0.6263668537139893,-0.011157585307955742,0.4637017846107483,0.6486618518829346,-0.00579465739428997,0.44695034623146057,0.6607104539871216,-0.02608083188533783,0.47243499755859375,0.6360936164855957,-0.020497433841228485,0.47349798679351807,0.6571417450904846,-0.009455391205847263,0.4697188436985016,0.6797434091567993,-0.0005846808198839426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.39554643630981445,0.783961296081543,5.6694286598713006e-08,0.38521018624305725,0.7195992469787598,0.015499341301620007,0.3924896717071533,0.6692312955856323,0.016903085634112358,0.41080084443092346,0.6463372707366943,0.013156602159142494,0.4290633797645569,0.6460584402084351,0.01006398070603609,0.40008705854415894,0.6298415660858154,0.007607546169310808,0.4268946647644043,0.5944206118583679,0.002779631409794092,0.4385087788105011,0.6117563247680664,0.00033306964905932546,0.4410816729068756,0.6265814900398254,0.00015368346066679806,0.41909199953079224,0.6263100504875183,-0.005479315295815468,0.4383390247821808,0.5496541261672974,-0.010911300778388977,0.4477407932281494,0.5034939646720886,-0.014097686856985092,0.45229572057724,0.4674544632434845,-0.015517286956310272,0.43799230456352234,0.6406153440475464,-0.016938405111432076,0.4697774350643158,0.6106041073799133,-0.02029154822230339,0.4729185998439789,0.6387782692909241,-0.01621004194021225,0.46650436520576477,0.6609312295913696,-0.011064209043979645,0.45630165934562683,0.6685096025466919,-0.02749072015285492,0.4784865975379944,0.6435818076133728,-0.02310633845627308,0.478156179189682,0.664021909236908,-0.01206111814826727,0.4732784628868103,0.68602055311203,-0.0029314386192709208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.3984491229057312,0.782821536064148,7.343984265162362e-08,0.38749951124191284,0.7178300619125366,0.0196337029337883,0.39329108595848083,0.6710598468780518,0.022056538611650467,0.409968763589859,0.6485419273376465,0.018923994153738022,0.4286472201347351,0.644506573677063,0.016800707206130028,0.4007423520088196,0.6317240595817566,0.009488297626376152,0.4285775423049927,0.5998423099517822,0.00678088515996933,0.44010645151138306,0.6176871657371521,0.007790473289787769,0.4427717626094818,0.6333956122398376,0.010238001123070717,0.4196099638938904,0.6266766786575317,-0.004844100214540958,0.43947523832321167,0.5471986532211304,-0.011566614732146263,0.4490450322628021,0.4998238980770111,-0.013248966075479984,0.4538467824459076,0.46368667483329773,-0.012645303271710873,0.4390535056591034,0.6413303017616272,-0.016743212938308716,0.4707331359386444,0.6104462742805481,-0.02013690397143364,0.47512078285217285,0.638515055179596,-0.014169864356517792,0.4698609411716461,0.6605143547058105,-0.007063685916364193,0.45777925848960876,0.6706875562667847,-0.027182726189494133,0.48163819313049316,0.6458283066749573,-0.020675482228398323,0.4819587767124176,0.6666139960289001,-0.007406172342598438,0.4773041009902954,0.6888495087623596,0.003498237580060959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3961784243583679,0.7799344658851624,6.519100281821011e-08,0.38581758737564087,0.7157113552093506,0.0176969263702631,0.39158788323402405,0.6680157780647278,0.01941106840968132,0.4055826663970947,0.6419536471366882,0.015892749652266502,0.42042073607444763,0.6318786144256592,0.013522597961127758,0.40002891421318054,0.6250632405281067,0.008468403480947018,0.42807281017303467,0.6011711359024048,0.004359689075499773,0.439307302236557,0.6219941973686218,0.004191390238702297,0.44018709659576416,0.6383689045906067,0.006087305024266243,0.41875287890434265,0.6214092969894409,-0.005819531157612801,0.440105140209198,0.5468080043792725,-0.01323844026774168,0.44897231459617615,0.49954503774642944,-0.015658138319849968,0.45245328545570374,0.4616391658782959,-0.015527090057730675,0.4380188286304474,0.6363338828086853,-0.018029673025012016,0.4702876806259155,0.609604001045227,-0.022709565237164497,0.47271114587783813,0.6398847103118896,-0.017047328874468803,0.46594446897506714,0.6616160869598389,-0.009902378544211388,0.45672982931137085,0.666426420211792,-0.02896452322602272,0.48008298873901367,0.6450852751731873,-0.023075537756085396,0.4786509871482849,0.6669745445251465,-0.009768110699951649,0.4732324779033661,0.6890326142311096,0.0012419115519151092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3939093053340912,0.7743721008300781,5.4433730412029036e-08,0.38332802057266235,0.712534487247467,0.0174543634057045,0.38700348138809204,0.6651639938354492,0.019107360392808914,0.39563918113708496,0.6368831992149353,0.015876183286309242,0.40534645318984985,0.6214057803153992,0.013426019810140133,0.39857590198516846,0.6199503540992737,0.006929444614797831,0.42644891142845154,0.5917312502861023,0.0038683810271322727,0.43736737966537476,0.6124740242958069,0.0038365782238543034,0.43909016251564026,0.6287610530853271,0.0055432687513530254,0.4162791967391968,0.6171200275421143,-0.006919247563928366,0.43813207745552063,0.5409846305847168,-0.010681276209652424,0.44809621572494507,0.49933791160583496,-0.011180631816387177,0.45301705598831177,0.4672542214393616,-0.010499980300664902,0.43422845005989075,0.6322517395019531,-0.01879226043820381,0.4676125645637512,0.6030565500259399,-0.02098890393972397,0.4718570113182068,0.6310928463935852,-0.015801312401890755,0.46597030758857727,0.6531350016593933,-0.010073602199554443,0.45138439536094666,0.6619113683700562,-0.02940591610968113,0.47423839569091797,0.6402191519737244,-0.02347993105649948,0.47518762946128845,0.6576818823814392,-0.011523276567459106,0.4713403284549713,0.6771112084388733,-0.0019203012343496084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.38463059067726135,0.7704776525497437,7.482459807306441e-08,0.3749404847621918,0.7048289775848389,0.015356667339801788,0.37813714146614075,0.653101921081543,0.016434235498309135,0.38711515069007874,0.6243872046470642,0.012800713069736958,0.3981929421424866,0.6152205467224121,0.00991266779601574,0.3852792978286743,0.6141244173049927,0.0064284964464604855,0.4139355421066284,0.5817853212356567,0.001286039943806827,0.42751118540763855,0.5984148979187012,-0.0011922441190108657,0.43131014704704285,0.6140128970146179,-0.0011797314509749413,0.40377575159072876,0.6112242341041565,-0.006609098520129919,0.4258278012275696,0.5366376042366028,-0.009708371013402939,0.4387844204902649,0.49863559007644653,-0.010867786593735218,0.446108341217041,0.47073739767074585,-0.011345477774739265,0.42353254556655884,0.6255622506141663,-0.01811031438410282,0.4548773765563965,0.5911327004432678,-0.01911790482699871,0.45997247099876404,0.6154863834381104,-0.014249137602746487,0.45439612865448,0.6376344561576843,-0.009695515036582947,0.4425751268863678,0.6544274687767029,-0.028792157769203186,0.46494245529174805,0.6342310309410095,-0.023231882601976395,0.4660872519016266,0.6515516638755798,-0.012429384514689445,0.461903840303421,0.6714164018630981,-0.003973315004259348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3696131110191345,0.7690445184707642,1.510609166643917e-07,0.3575456142425537,0.6977866888046265,0.013166068121790886,0.36042553186416626,0.6438084840774536,0.01150693092495203,0.37535858154296875,0.6167247891426086,0.005299820564687252,0.39440634846687317,0.6118849515914917,0.0006448524654842913,0.3638654053211212,0.6039221882820129,0.0027307122945785522,0.39395323395729065,0.5684478282928467,-0.006805745884776115,0.40554091334342957,0.589056134223938,-0.011609336361289024,0.40597423911094666,0.608250081539154,-0.012468446977436543,0.3833705484867096,0.5994144678115845,-0.01139973197132349,0.4051418602466583,0.5131065249443054,-0.019523311406373978,0.4167168140411377,0.4638999104499817,-0.023213950917124748,0.4228779673576355,0.4238913357257843,-0.024574963375926018,0.40435126423835754,0.6145500540733337,-0.02396818809211254,0.43612977862358093,0.5754871964454651,-0.029275644570589066,0.43903931975364685,0.6050369143486023,-0.023361168801784515,0.4310975968837738,0.6284165978431702,-0.01652144081890583,0.4253869652748108,0.6467709541320801,-0.03586523234844208,0.4503723978996277,0.6211287379264832,-0.031952280551195145,0.4503548741340637,0.6445170044898987,-0.018506862223148346,0.4440467059612274,0.6656568646430969,-0.007230376359075308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
