frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5993367433547974,0.4336460530757904,4.1588300803141465e-08,0.598053514957428,0.3860258162021637,0.0035181199200451374,0.5834621787071228,0.3537573516368866,0.002282143337652087,0.5646792650222778,0.3493208587169647,-0.0003087753430008888,0.5512391328811646,0.3598806858062744,-0.0036342726089060307,0.5810993313789368,0.3347623944282532,-0.0032272571697831154,0.5519412159919739,0.3177903890609741,-0.008780433796346188,0.5361003279685974,0.311354398727417,-0.012144382111728191,0.5229333639144897,0.3051893711090088,-0.013936763629317284,0.5704126358032227,0.3461727499961853,-0.00824068859219551,0.5430859923362732,0.3088812530040741,-0.012241079472005367,0.530504584312439,0.29610544443130493,-0.013051582500338554,0.5219240188598633,0.28792405128479004,-0.01290960144251585,0.5615773797035217,0.36476680636405945,-0.01264091208577156,0.537104606628418,0.36230921745300293,-0.01592155545949936,0.5426424145698547,0.37946823239326477,-0.013776696287095547,0.5518038868904114,0.38699233531951904,-0.0111113665625453,0.5533117651939392,0.3891928493976593,-0.016939830034971237,0.538718581199646,0.3921542465686798,-0.017257006838917732,0.5450739860534668,0.40354666113853455,-0.012866741977632046,0.5531648993492126,0.4064195156097412,-0.00910884141921997
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5978552103042603,0.4330936074256897,8.998460998554947e-08,0.5976202487945557,0.38416963815689087,0.0028145734686404467,0.5843830704689026,0.3543773889541626,0.0025581999216228724,0.566170334815979,0.3486807942390442,0.0006950205424800515,0.5520960092544556,0.3556295335292816,-0.0016232397174462676,0.5791051983833313,0.33330267667770386,0.001409080345183611,0.5533796548843384,0.31894946098327637,-0.002578738611191511,0.5378603935241699,0.31251394748687744,-0.0052931541576981544,0.524616003036499,0.3060689866542816,-0.0069429934956133366,0.5684300661087036,0.34379082918167114,-0.0026631499640643597,0.5437105298042297,0.31525251269340515,-0.00560165336355567,0.5307604074478149,0.3018331825733185,-0.0065016970038414,0.5212016701698303,0.28995591402053833,-0.006779400631785393,0.5592684745788574,0.3616129159927368,-0.006637910846620798,0.5378890633583069,0.3614027798175812,-0.010258689522743225,0.5427967309951782,0.3775741457939148,-0.009051460772752762,0.5513395071029663,0.3851962089538574,-0.007017689291387796,0.5505585670471191,0.38492071628570557,-0.010646291077136993,0.5392132997512817,0.39110809564590454,-0.012539636343717575,0.544959306716919,0.4020530879497528,-0.010041912086308002,0.5524441003799438,0.40557822585105896,-0.007394458632916212
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5984451174736023,0.42932212352752686,9.566961978180188e-08,0.597309410572052,0.381363183259964,0.003466252237558365,0.5833746194839478,0.3524352014064789,0.0030588051304221153,0.5657165050506592,0.34954261779785156,0.0009328201413154602,0.5520858764648438,0.35797062516212463,-0.0016631544567644596,0.5808400511741638,0.3317831754684448,0.00129339296836406,0.555485188961029,0.31949383020401,-0.002910730428993702,0.5404293537139893,0.315591424703598,-0.005761259235441685,0.5282420516014099,0.3117942810058594,-0.007363541517406702,0.5698460936546326,0.34165701270103455,-0.003350603161379695,0.5444721579551697,0.3118918836116791,-0.006402519531548023,0.530678927898407,0.2988035976886749,-0.007108994759619236,0.5205796360969543,0.28790831565856934,-0.007137564942240715,0.5607015490531921,0.3591853082180023,-0.007833365350961685,0.5368536114692688,0.35920149087905884,-0.01118428073823452,0.5415937304496765,0.37540748715400696,-0.009554714895784855,0.550145149230957,0.3824191391468048,-0.007273813243955374,0.5522414445877075,0.3831575810909271,-0.012307892553508282,0.5389602184295654,0.38940295577049255,-0.01380702294409275,0.5446816086769104,0.3997209370136261,-0.010853894986212254,0.5522118210792542,0.4023563265800476,-0.007981491275131702
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5981062650680542,0.4265195429325104,7.938943014096367e-08,0.5969820022583008,0.3788135349750519,0.003998619969934225,0.5830956101417542,0.35037535429000854,0.003766338573768735,0.5653998851776123,0.3480518162250519,0.001654113526456058,0.5516307950019836,0.356211394071579,-0.0010037521133199334,0.5809103846549988,0.3303859829902649,0.0019330655923113227,0.5566487312316895,0.31888577342033386,-0.00227707764133811,0.5423787832260132,0.31676775217056274,-0.005245749838650227,0.5311666131019592,0.3144043982028961,-0.006933884229511023,0.5696876645088196,0.3395191431045532,-0.002908021444454789,0.5447497367858887,0.31128913164138794,-0.005897495895624161,0.5308384299278259,0.2995203137397766,-0.006750712636858225,0.5207208395004272,0.28959640860557556,-0.006985258311033249,0.560437023639679,0.3566100299358368,-0.0075677912682294846,0.5364471077919006,0.35665422677993774,-0.010958515107631683,0.5406964421272278,0.3734298646450043,-0.009557838551700115,0.5490210652351379,0.3810325562953949,-0.007542909123003483,0.551986813545227,0.3803091049194336,-0.012147761881351471,0.5386301875114441,0.38833701610565186,-0.013930977322161198,0.5439983010292053,0.39882391691207886,-0.011372293345630169,0.5513772964477539,0.4015520513057709,-0.00880442839115858
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5972729325294495,0.4244398772716522,7.819568992317727e-08,0.5965225696563721,0.37806496024131775,0.004031763877719641,0.582844614982605,0.3504447042942047,0.003944785334169865,0.5652621984481812,0.34757646918296814,0.0020629793871194124,0.5517594218254089,0.3553982079029083,-0.000352964096236974,0.5804569721221924,0.3299485146999359,0.0016623837873339653,0.5558622479438782,0.3185361623764038,-0.0024132519029080868,0.5416010618209839,0.3167283833026886,-0.005242778453975916,0.5306689739227295,0.3149392902851105,-0.006782853975892067,0.5692381858825684,0.33938390016555786,-0.0030240758787840605,0.543741762638092,0.31180810928344727,-0.005695869214832783,0.5297494530677795,0.2998872399330139,-0.006455497816205025,0.5197221636772156,0.28991541266441345,-0.006658970378339291,0.560001015663147,0.3564949333667755,-0.007467356976121664,0.5368423461914062,0.357998251914978,-0.01045402605086565,0.5408222079277039,0.37395933270454407,-0.009093343280255795,0.5488157272338867,0.38133764266967773,-0.007198603358119726,0.55159991979599,0.37995898723602295,-0.011831369251012802,0.5393288135528564,0.38905245065689087,-0.013279197737574577,0.5446782112121582,0.3994119465351105,-0.010718361474573612,0.5519381165504456,0.4022462069988251,-0.00819490011781454
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5974177122116089,0.42433619499206543,9.099031927917167e-08,0.5961406826972961,0.3775847852230072,0.003142349421977997,0.5816960334777832,0.3498798608779907,0.002869707765057683,0.5639773011207581,0.3476046621799469,0.001008024555630982,0.5504075288772583,0.35639598965644836,-0.0013067316031083465,0.5786295533180237,0.3299992084503174,0.0014487410662695765,0.5528393387794495,0.3179924190044403,-0.0025919261388480663,0.537024974822998,0.31319332122802734,-0.005352512933313847,0.5244585871696472,0.3087899684906006,-0.006994141731411219,0.5677129030227661,0.3406729996204376,-0.002850916935130954,0.5420150756835938,0.31477293372154236,-0.005870366934686899,0.5289784073829651,0.3031400144100189,-0.006783482618629932,0.5199426412582397,0.2929149568080902,-0.006940982770174742,0.5589243769645691,0.35832545161247253,-0.006996553391218185,0.5365047454833984,0.36147943139076233,-0.010577199049293995,0.5409485101699829,0.37734952569007874,-0.009377337992191315,0.5492280125617981,0.384304016828537,-0.007354680448770523,0.5510579943656921,0.38183078169822693,-0.011126606725156307,0.5391822457313538,0.3916879892349243,-0.013107050210237503,0.5450182557106018,0.4026142954826355,-0.010684432461857796,0.5527714490890503,0.4053196907043457,-0.008074826560914516
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5980467200279236,0.42784979939460754,9.761491526205646e-08,0.5957463383674622,0.38017481565475464,0.002504041651263833,0.5804998278617859,0.3523775041103363,0.0018403343856334686,0.5632471442222595,0.352638304233551,-0.00047448769328184426,0.5498859882354736,0.36342841386795044,-0.0032210173085331917,0.5787361264228821,0.3338458240032196,0.0015342272818088531,0.5547510385513306,0.3239644169807434,-0.003393619554117322,0.540231466293335,0.32144951820373535,-0.006868159398436546,0.5283470749855042,0.31866124272346497,-0.008919518440961838,0.5681160688400269,0.34338778257369995,-0.0029111180920153856,0.5433592200279236,0.31668639183044434,-0.007138965651392937,0.5293763875961304,0.30487245321273804,-0.008815180510282516,0.5189935564994812,0.29446274042129517,-0.009327108971774578,0.5593428015708923,0.3608083724975586,-0.007384883239865303,0.5356529355049133,0.3636661767959595,-0.012572386302053928,0.5401813983917236,0.3814072906970978,-0.01202299166470766,0.5486246943473816,0.3888944983482361,-0.010022786445915699,0.5512094497680664,0.3848063051700592,-0.011823920533061028,0.5385681390762329,0.3960914611816406,-0.015088317915797234,0.5442008972167969,0.40772387385368347,-0.013125063851475716,0.5519452095031738,0.4103277325630188,-0.010640734806656837
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598905086517334,0.43480488657951355,1.1087849571822517e-07,0.5954063534736633,0.38722455501556396,0.0025568010751158,0.5793500542640686,0.36013859510421753,0.0016369052464142442,0.561916172504425,0.3620148301124573,-0.0009288016008213162,0.5488685369491577,0.373663991689682,-0.0038814134895801544,0.5757806301116943,0.34114792943000793,0.0008896138169802725,0.5506101250648499,0.32993048429489136,-0.003881325013935566,0.5351681113243103,0.3258976340293884,-0.007395008113235235,0.5223209261894226,0.32190558314323425,-0.009612008929252625,0.5657860040664673,0.3524167239665985,-0.0036543114110827446,0.5423264503479004,0.3254588544368744,-0.007729371078312397,0.5288089513778687,0.31253859400749207,-0.0095839137211442,0.5187146663665771,0.30120623111724854,-0.010325971990823746,0.5578513741493225,0.37086695432662964,-0.008098672144114971,0.5348339676856995,0.3732449412345886,-0.012466639280319214,0.5398092269897461,0.3903563916683197,-0.01131164375692606,0.548509418964386,0.39704254269599915,-0.009129383601248264,0.5510326027870178,0.3952849805355072,-0.01256868988275528,0.537835419178009,0.4043327569961548,-0.014943413436412811,0.5439568161964417,0.41505035758018494,-0.012100807391107082,0.5520732998847961,0.41691142320632935,-0.00909186527132988
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6009597182273865,0.44824761152267456,-3.748664667568846e-08,0.5949450135231018,0.3994918465614319,0.0018351423786953092,0.5765151977539062,0.3721734881401062,0.0002455441281199455,0.5582600831985474,0.37712007761001587,-0.0024307463318109512,0.5468781590461731,0.3939538598060608,-0.005846393760293722,0.5698404312133789,0.3565477132797241,-0.0027741289231926203,0.5434790849685669,0.34613126516342163,-0.007126046344637871,0.5278425812721252,0.3401675224304199,-0.009868625551462173,0.515380322933197,0.3325079381465912,-0.012491999194025993,0.5617287158966064,0.37148094177246094,-0.006667927838861942,0.5375037789344788,0.37894466519355774,-0.012408878654241562,0.5438058376312256,0.3942011594772339,-0.012105203233659267,0.5527310371398926,0.3976731598377228,-0.011193681508302689,0.5555299520492554,0.3933253288269043,-0.010290069505572319,0.5347738862037659,0.4019932448863983,-0.01461209636181593,0.5419570207595825,0.41391313076019287,-0.011339055374264717,0.5508274435997009,0.41402608156204224,-0.00875931791961193,0.5507382154464722,0.4179827868938446,-0.013939457945525646,0.5383561253547668,0.4271872639656067,-0.016320886090397835,0.545754611492157,0.4344771206378937,-0.013292298652231693,0.5532985329627991,0.4338485300540924,-0.010560263879597187
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6015395522117615,0.46918395161628723,-1.641853053513387e-08,0.5942615270614624,0.4218365252017975,0.00188823149073869,0.5746992826461792,0.39640146493911743,0.0010815043933689594,0.5563002824783325,0.4062119722366333,-0.0005850236630067229,0.5466682314872742,0.42765703797340393,-0.003072103951126337,0.5656108260154724,0.3850317895412445,-0.003300878219306469,0.5397220849990845,0.3739316761493683,-0.00662644300609827,0.5238761901855469,0.3677610754966736,-0.008038833737373352,0.5110958218574524,0.3609563112258911,-0.009679590351879597,0.5582830905914307,0.4031251072883606,-0.006676285527646542,0.5342779159545898,0.41517478227615356,-0.011417053639888763,0.5414344668388367,0.4285901188850403,-0.010324292816221714,0.5503180027008057,0.430156409740448,-0.008890128694474697,0.5535508990287781,0.42663538455963135,-0.0096210278570652,0.5353578925132751,0.4420677721500397,-0.013118396513164043,0.5438509583473206,0.4491340219974518,-0.009994778782129288,0.5523043274879456,0.4455578625202179,-0.007556553464382887,0.5505788326263428,0.4516465365886688,-0.012490351684391499,0.5407039523124695,0.46117666363716125,-0.013830363750457764,0.549019455909729,0.46594205498695374,-0.010601826012134552,0.5561400055885315,0.4639107882976532,-0.007847413420677185
