frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5463841557502747,0.5666192770004272,-2.0957604363047722e-07,0.5255951881408691,0.5372114181518555,0.0019609120208770037,0.5213046669960022,0.5086857676506042,-0.001097357366234064,0.5186025500297546,0.4829994738101959,-0.006084855180233717,0.5172839164733887,0.46174418926239014,-0.010975394397974014,0.5608000159263611,0.46468624472618103,0.003066116012632847,0.5411667823791504,0.42347466945648193,-0.0019624666310846806,0.5305855870246887,0.40293484926223755,-0.006690622307360172,0.523062527179718,0.3873257339000702,-0.010551302693784237,0.5642451643943787,0.4620303809642792,-0.0013176146894693375,0.5338062644004822,0.44248899817466736,-0.010217144154012203,0.5293031334877014,0.4671458303928375,-0.014011263847351074,0.5324608087539673,0.487723171710968,-0.015292471274733543,0.560478925704956,0.4620828628540039,-0.005864887963980436,0.5278394222259521,0.44776710867881775,-0.014334021136164665,0.5239918231964111,0.47747039794921875,-0.013508315198123455,0.5281811952590942,0.4998319149017334,-0.011442919261753559,0.5514137744903564,0.4623801112174988,-0.01045755110681057,0.5258340239524841,0.4535727798938751,-0.016849683597683907,0.5221142172813416,0.4787346422672272,-0.016275541856884956,0.5247499346733093,0.49798548221588135,-0.014395778998732567
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5461648106575012,0.5659294724464417,-7.138478963497619e-08,0.5315746068954468,0.5392209887504578,0.000591110554523766,0.5274616479873657,0.5139138698577881,-0.0020116150844842196,0.5224080681800842,0.49150922894477844,-0.006587570067495108,0.5186871886253357,0.47147518396377563,-0.011094354093074799,0.5625399947166443,0.4749670922756195,0.005262487102299929,0.5411977171897888,0.4384620785713196,0.0005349187413230538,0.528712272644043,0.41664162278175354,-0.004269377328455448,0.5208895206451416,0.3994024097919464,-0.0075866710394620895,0.5632392764091492,0.46921321749687195,0.001149307587184012,0.5404493808746338,0.43468648195266724,-0.004012940917164087,0.5306665301322937,0.41932404041290283,-0.008341114968061447,0.5254086852073669,0.4051790237426758,-0.011012147180736065,0.558850884437561,0.46683603525161743,-0.003640171606093645,0.5282291173934937,0.45327049493789673,-0.011804386042058468,0.5232717394828796,0.4844686985015869,-0.014973683282732964,0.5253113508224487,0.5087834000587463,-0.015082934871315956,0.5496308207511902,0.46387365460395813,-0.008513208478689194,0.525531530380249,0.4573788344860077,-0.0158818569034338,0.521402895450592,0.4804958701133728,-0.017764674499630928,0.5232205986976624,0.5000185370445251,-0.017409823834896088
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5452680587768555,0.5679470896720886,-9.179611026866041e-08,0.5362310409545898,0.5426191687583923,0.0002711995330173522,0.5358067750930786,0.5176722407341003,-0.0014606766635552049,0.5348223447799683,0.4942617416381836,-0.0048863631673157215,0.5334803462028503,0.4746638834476471,-0.008312961086630821,0.5634462237358093,0.48478981852531433,0.0035164770670235157,0.5426192879676819,0.4495447874069214,-0.0024827171582728624,0.5292730331420898,0.4274042844772339,-0.007790137082338333,0.51983642578125,0.4111400544643402,-0.010957477614283562,0.563920259475708,0.47887399792671204,-0.0002799278881866485,0.5416174530982971,0.441630482673645,-0.0060118818655610085,0.5291212201118469,0.4207780659198761,-0.010539316572248936,0.5202118158340454,0.4037832021713257,-0.013171604834496975,0.5600053668022156,0.47644853591918945,-0.004680105019360781,0.5288981199264526,0.46211355924606323,-0.013189947232604027,0.5239512324333191,0.4921931028366089,-0.01583997718989849,0.5253111124038696,0.5174195766448975,-0.015358585864305496,0.5515404343605042,0.47456586360931396,-0.009216135367751122,0.526790201663971,0.46551597118377686,-0.01665329933166504,0.5222734212875366,0.4875108599662781,-0.01773817650973797,0.5233655571937561,0.5080900192260742,-0.01668109931051731
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5467002391815186,0.5816686153411865,-1.1471422567410627e-07,0.5291328430175781,0.5592873096466064,-0.0019564656540751457,0.5243866443634033,0.5338101983070374,-0.005269644316285849,0.5217211842536926,0.5093666315078735,-0.00979558378458023,0.5220188498497009,0.48787620663642883,-0.013900808058679104,0.5626027584075928,0.4971514940261841,0.0008998635457828641,0.5439578890800476,0.4617599844932556,-0.0052417549304664135,0.5323454141616821,0.4376413822174072,-0.010917874053120613,0.5239199995994568,0.4192478358745575,-0.014778581447899342,0.5658954381942749,0.4936980903148651,-0.002279503270983696,0.5449305772781372,0.4628928601741791,-0.009577900171279907,0.5344125628471375,0.44889718294143677,-0.014369720593094826,0.5281258225440979,0.43641701340675354,-0.016892477869987488,0.5643669962882996,0.4928278625011444,-0.0061766961589455605,0.533334493637085,0.47322046756744385,-0.01609094999730587,0.5271865725517273,0.5019016861915588,-0.017907533794641495,0.5281631350517273,0.5273532271385193,-0.01657974161207676,0.5574588179588318,0.4915139377117157,-0.010363446548581123,0.5322821736335754,0.47600582242012024,-0.018371116369962692,0.5259175896644592,0.4954591691493988,-0.018805289641022682,0.5258464813232422,0.5150825381278992,-0.017135821282863617
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5505359768867493,0.596229612827301,-7.47482147289702e-08,0.5338654518127441,0.5734713673591614,0.0011243080953136086,0.5281042456626892,0.542050302028656,0.0007037901086732745,0.5246810913085938,0.5172653794288635,-0.0017611441435292363,0.5263611078262329,0.49648237228393555,-0.003827806795015931,0.5656936764717102,0.5087665915489197,0.007643616292625666,0.5510466694831848,0.47789666056632996,0.003870443906635046,0.5419754385948181,0.4566258192062378,-0.00040839932626113296,0.5353297591209412,0.4394662082195282,-0.003575935959815979,0.5693386793136597,0.5055027604103088,0.002384921070188284,0.5517948865890503,0.46578848361968994,-0.0021354493219405413,0.5394595861434937,0.439195841550827,-0.006553384475409985,0.5301297307014465,0.4175417721271515,-0.0091107077896595,0.5692528486251831,0.5050627589225769,-0.0035877879709005356,0.5384891033172607,0.48455458879470825,-0.011899387463927269,0.5325546860694885,0.5140553712844849,-0.013087261468172073,0.5335509181022644,0.5387631058692932,-0.011459571309387684,0.5637494921684265,0.5070883631706238,-0.009841261431574821,0.5386624932289124,0.49489933252334595,-0.017591102048754692,0.5338119864463806,0.517624020576477,-0.017756860703229904,0.5350852012634277,0.5388737320899963,-0.015862006694078445
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5510262250900269,0.599713921546936,-6.005701891353965e-08,0.5318464040756226,0.572644054889679,0.0005395758780650795,0.5268718600273132,0.5415488481521606,-0.0004627089947462082,0.5250493884086609,0.5180981159210205,-0.0036963734310120344,0.5285332798957825,0.4986856281757355,-0.0065325116738677025,0.5635704398155212,0.5056518316268921,0.00797700323164463,0.5488475561141968,0.4753272235393524,0.0033352256286889315,0.5396034121513367,0.45519697666168213,-0.0013030960690230131,0.5335128903388977,0.43833670020103455,-0.004558243788778782,0.5682623982429504,0.5032798051834106,0.0025554418098181486,0.5513551831245422,0.46313831210136414,-0.0036580022424459457,0.5393162369728088,0.43719539046287537,-0.008676023222506046,0.5307416915893555,0.4169784188270569,-0.011217663064599037,0.5690667629241943,0.5040578842163086,-0.0038028915878385305,0.5394004583358765,0.4835667610168457,-0.013771556317806244,0.533174455165863,0.5148025751113892,-0.014746434986591339,0.5345919728279114,0.5401151180267334,-0.012405971065163612,0.5644118785858154,0.5072137117385864,-0.010469214990735054,0.5395547151565552,0.4933894872665405,-0.01888507977128029,0.5347883105278015,0.5171429514884949,-0.018604008480906487,0.5363303422927856,0.5383810997009277,-0.01612844131886959
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5593672394752502,0.6151562333106995,-5.992772855734074e-08,0.541566789150238,0.5873792767524719,-0.0017006959533318877,0.5354330539703369,0.5539311766624451,-0.003608228173106909,0.5321664214134216,0.5289945006370544,-0.0075275953859090805,0.5370407104492188,0.5096563696861267,-0.010659555904567242,0.5726112127304077,0.5195285081863403,0.006248439196497202,0.5632805824279785,0.48883408308029175,0.00019718651310540736,0.5554817318916321,0.46654555201530457,-0.005157930310815573,0.5490116477012634,0.44726863503456116,-0.008945119567215443,0.5779794454574585,0.5190341472625732,0.0014911200851202011,0.5640557408332825,0.4766603410243988,-0.006378233898431063,0.552942156791687,0.44759130477905273,-0.012348541058599949,0.5446425080299377,0.4240720570087433,-0.015563078224658966,0.580148458480835,0.5221341848373413,-0.004423324950039387,0.5509355664253235,0.49988746643066406,-0.01540337223559618,0.5450393557548523,0.5283733010292053,-0.016340477392077446,0.5468194484710693,0.5509911179542542,-0.013815023936331272,0.5766551494598389,0.5281533598899841,-0.010885180905461311,0.5520855188369751,0.5116856694221497,-0.019573228433728218,0.5471552610397339,0.5343913435935974,-0.019102204591035843,0.5493002533912659,0.5546166896820068,-0.016545545309782028
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5703623294830322,0.6373534202575684,-3.0900448422244153e-08,0.5543166399002075,0.606720507144928,-0.003273495938628912,0.548816978931427,0.5658976435661316,-0.006223913282155991,0.5469053387641907,0.535620391368866,-0.011018813587725163,0.5551683306694031,0.5241490602493286,-0.014823446050286293,0.5864071846008301,0.533870279788971,0.004045767709612846,0.5797037482261658,0.4982759654521942,-0.0033945939503610134,0.5734993815422058,0.4702332317829132,-0.009190614335238934,0.5675950646400452,0.44727587699890137,-0.013578889891505241,0.5930243730545044,0.5371851325035095,-0.0006589294061996043,0.5827925205230713,0.494809091091156,-0.010494254529476166,0.5727925300598145,0.4684545695781708,-0.016367416828870773,0.5661814212799072,0.4471711814403534,-0.01917259953916073,0.595940887928009,0.5450255274772644,-0.006718935910612345,0.5705478191375732,0.5176013112068176,-0.018732311204075813,0.5626498460769653,0.5453228950500488,-0.017681309953331947,0.5637736916542053,0.5679001808166504,-0.013526629656553268,0.5942384600639343,0.5564064979553223,-0.013625077903270721,0.5716603994369507,0.5370245575904846,-0.022635458037257195,0.5644059777259827,0.5598058104515076,-0.021135855466127396,0.5651401877403259,0.5807361006736755,-0.017690733075141907
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.582792341709137,0.6685909032821655,-1.913756335625294e-07,0.5693100094795227,0.6286641359329224,-0.0034542158246040344,0.5674124956130981,0.5856294631958008,-0.007022058125585318,0.5693892240524292,0.5534758567810059,-0.012186970561742783,0.5817579627037048,0.5467042326927185,-0.016611432656645775,0.6098760962486267,0.5602343678474426,0.0023244558833539486,0.6062630414962769,0.5212153792381287,-0.00616570096462965,0.6004035472869873,0.4915735721588135,-0.012717039324343204,0.5953060984611511,0.46592429280281067,-0.018193792551755905,0.6179435849189758,0.5688422918319702,-0.0023550542537122965,0.5975621938705444,0.5382294058799744,-0.016544928774237633,0.5879830121994019,0.5654340386390686,-0.020617656409740448,0.5897988080978394,0.5866208076477051,-0.020150352269411087,0.620384931564331,0.5808533430099487,-0.008343813940882683,0.5952449440956116,0.5530679225921631,-0.022180652245879173,0.5859501361846924,0.5808565616607666,-0.018596986308693886,0.5890339612960815,0.6008275151252747,-0.012558897957205772,0.6173612475395203,0.5968785285949707,-0.015154675580561161,0.5964061617851257,0.5721163153648376,-0.02450704202055931,0.5872291922569275,0.5924863219261169,-0.02138216234743595,0.5879246592521667,0.6114256978034973,-0.016558974981307983
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5952978134155273,0.7099053859710693,-2.6998113966669735e-08,0.5880342125892639,0.6636510491371155,-0.004974639508873224,0.5914215445518494,0.615166425704956,-0.008649361319839954,0.5976642370223999,0.5830579996109009,-0.013842488639056683,0.6106443405151367,0.5923206806182861,-0.017969196662306786,0.6232339143753052,0.6043975353240967,0.0034806770272552967,0.6256120800971985,0.5717318654060364,-0.005107841454446316,0.625004768371582,0.5553290843963623,-0.010879911482334137,0.6268353462219238,0.5391414165496826,-0.015126902610063553,0.6320359110832214,0.6172438859939575,-0.001207453664392233,0.6380465030670166,0.5793043375015259,-0.014597870409488678,0.6320925951004028,0.5641579627990723,-0.021446986123919487,0.6305427551269531,0.5511564016342163,-0.022985925897955894,0.6360772252082825,0.635169506072998,-0.007390076760202646,0.6248473525047302,0.6058204174041748,-0.021914470940828323,0.6124143004417419,0.6257528066635132,-0.02127382718026638,0.6122165322303772,0.6411373615264893,-0.01615629531443119,0.6355462670326233,0.655784010887146,-0.014266453683376312,0.6211583018302917,0.6309383511543274,-0.02349793165922165,0.6089617013931274,0.6499341130256653,-0.020853346213698387,0.606437087059021,0.6679446697235107,-0.01618669554591179
