frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.4165531396865845,0.5198696255683899,3.25477493845483e-08,0.4073801636695862,0.4749540686607361,0.0035067633725702763,0.41062989830970764,0.43798521161079407,0.0019294124795123935,0.4253256618976593,0.41549837589263916,-0.0008087903261184692,0.4385110139846802,0.41138744354248047,-0.0022254111245274544,0.4111219346523285,0.415885329246521,-0.0023417435586452484,0.4297245740890503,0.3808616101741791,-0.006524350494146347,0.43224862217903137,0.3957691788673401,-0.008207793347537518,0.4280596971511841,0.4086950421333313,-0.007657971233129501,0.42653971910476685,0.42450159788131714,-0.006577996537089348,0.44329291582107544,0.381359338760376,-0.007169206161051989,0.4515732228755951,0.36011308431625366,-0.00737972604110837,0.45582231879234314,0.34075310826301575,-0.007742696907371283,0.4413294792175293,0.43882328271865845,-0.01023140549659729,0.4541548192501068,0.4166029691696167,-0.009794180281460285,0.45212236046791077,0.4294437766075134,-0.006125668529421091,0.44650349020957947,0.4415976107120514,-0.003073872532695532,0.45387953519821167,0.45724573731422424,-0.01376364752650261,0.4623344838619232,0.43594080209732056,-0.00939814280718565,0.45849207043647766,0.44646984338760376,-0.0016082613728940487,0.45406076312065125,0.45799487829208374,0.004308921750634909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.4156520366668701,0.5200193524360657,7.724428030542185e-08,0.4061945378780365,0.47422826290130615,0.0022731288336217403,0.41144829988479614,0.4375988841056824,-0.0001524548715678975,0.4277978241443634,0.41635391116142273,-0.003261892357841134,0.4429800808429718,0.413260817527771,-0.0050269062630832195,0.4107106626033783,0.4165491461753845,-0.004741910845041275,0.42883169651031494,0.3801475465297699,-0.007941029965877533,0.43156367540359497,0.39626747369766235,-0.00895558949559927,0.42835986614227295,0.41154682636260986,-0.008204587735235691,0.4265419840812683,0.42482835054397583,-0.00814463384449482,0.44314441084861755,0.3823188245296478,-0.007058815564960241,0.4514927566051483,0.35976359248161316,-0.007152386009693146,0.45590290427207947,0.339406818151474,-0.008132139220833778,0.44178226590156555,0.4391733407974243,-0.010746687650680542,0.45382705330848694,0.4172685146331787,-0.008391352370381355,0.45182767510414124,0.42989179491996765,-0.004672786686569452,0.44673284888267517,0.44265469908714294,-0.0024927365593612194,0.45541879534721375,0.45721492171287537,-0.013309655711054802,0.4621562659740448,0.4362621605396271,-0.008010701276361942,0.45864591002464294,0.4475431740283966,-0.00013713577936869115,0.4552302658557892,0.4596189856529236,0.0053502460941672325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.41571101546287537,0.5209611654281616,7.154956449539895e-08,0.4058426320552826,0.4752419888973236,0.0024210119154304266,0.4115966260433197,0.4378754496574402,0.0002616678539197892,0.42838189005851746,0.41599005460739136,-0.0024946124758571386,0.4434834420681,0.4108724892139435,-0.0038094641640782356,0.4108443260192871,0.4169553518295288,-0.004499219357967377,0.42893022298812866,0.37997591495513916,-0.007404292933642864,0.43145322799682617,0.3957342207431793,-0.008134565316140652,0.42823126912117004,0.41089358925819397,-0.007187826558947563,0.4268454313278198,0.42515888810157776,-0.007760211825370789,0.4433131217956543,0.3823842704296112,-0.006171058863401413,0.4515024423599243,0.3595762848854065,-0.005992735270410776,0.4559750258922577,0.33909085392951965,-0.006890362594276667,0.442104697227478,0.43938830494880676,-0.010224859230220318,0.45396462082862854,0.41664421558380127,-0.007461425382643938,0.45177149772644043,0.42910435795783997,-0.0036187823861837387,0.44678133726119995,0.44205376505851746,-0.001487905508838594,0.4556674659252167,0.45716458559036255,-0.012642920948565006,0.46181684732437134,0.43571484088897705,-0.007149647921323776,0.458251029253006,0.44662052392959595,0.0006364512955769897,0.45514538884162903,0.4584970772266388,0.005990160629153252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.4154582917690277,0.5228620767593384,6.254084894408152e-08,0.4053414762020111,0.47728297114372253,0.0022335948888212442,0.4106648564338684,0.43969476222991943,9.443543967790902e-05,0.4269033670425415,0.4172385036945343,-0.002565485890954733,0.4417537748813629,0.41201353073120117,-0.003804601263254881,0.41032639145851135,0.418963760137558,-0.005303014535456896,0.42805737257003784,0.38082391023635864,-0.008371932432055473,0.43072351813316345,0.39663487672805786,-0.008901865221560001,0.42772480845451355,0.41232216358184814,-0.007728365249931812,0.426665723323822,0.4269000291824341,-0.008400632068514824,0.44280314445495605,0.38320615887641907,-0.0071036964654922485,0.4506312608718872,0.36031919717788696,-0.006909142713993788,0.4547528326511383,0.33982136845588684,-0.007661525625735521,0.4422270357608795,0.4407898485660553,-0.010644928552210331,0.45301809906959534,0.4172753691673279,-0.008253699168562889,0.4508255422115326,0.4290993809700012,-0.004613678902387619,0.44614270329475403,0.4415625333786011,-0.002486789831891656,0.4558323919773102,0.45824718475341797,-0.01279369369149208,0.4610436260700226,0.43682122230529785,-0.007517055608332157,0.45744866132736206,0.4472770690917969,0.00010739020217442885,0.454607218503952,0.4589596688747406,0.0054372763261199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.41538745164871216,0.5253021717071533,5.603446595614514e-08,0.4047839045524597,0.4795559346675873,0.002311852527782321,0.40949714183807373,0.44211992621421814,0.0001374202111037448,0.42519450187683105,0.42050880193710327,-0.0026610433124005795,0.43958696722984314,0.41582077741622925,-0.004114993382245302,0.40955111384391785,0.42144230008125305,-0.005886896979063749,0.4269719421863556,0.3823949992656708,-0.009168071672320366,0.4297897517681122,0.3977256417274475,-0.009580464102327824,0.42702800035476685,0.4136483371257782,-0.00826385896652937,0.4260100722312927,0.42960479855537415,-0.009026055224239826,0.44159048795700073,0.3855825662612915,-0.00803359318524599,0.4489985704421997,0.36259812116622925,-0.0078268488869071,0.45276153087615967,0.3427732586860657,-0.008554462343454361,0.4415915608406067,0.44332462549209595,-0.011274723336100578,0.45179206132888794,0.4181220531463623,-0.009162895381450653,0.44963550567626953,0.4293200969696045,-0.005660784896463156,0.44505104422569275,0.44190534949302673,-0.0036104044411331415,0.4549834132194519,0.46036335825920105,-0.013391738757491112,0.4597492516040802,0.43765294551849365,-0.008368881419301033,0.4562292993068695,0.4472726583480835,-0.0009411412174813449,0.4534093141555786,0.4589580297470093,0.004283747635781765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.41441890597343445,0.5304145216941833,5.04182366967143e-08,0.40361282229423523,0.48534220457077026,0.0022804008331149817,0.4078913927078247,0.447282612323761,-1.3179043889977038e-05,0.4229534864425659,0.42519906163215637,-0.0029628565534949303,0.43670690059661865,0.4202490448951721,-0.004623296670615673,0.409373015165329,0.42620545625686646,-0.0062798610888421535,0.42507731914520264,0.38534626364707947,-0.01001571025699377,0.42730551958084106,0.40124356746673584,-0.010891392827033997,0.4249148666858673,0.41798844933509827,-0.009784795343875885,0.4259752333164215,0.4353790879249573,-0.009354626759886742,0.4402486979961395,0.3896719813346863,-0.008817300200462341,0.4470856189727783,0.3652835488319397,-0.008869445882737637,0.45097866654396057,0.3449781537055969,-0.009701353497803211,0.4414614737033844,0.44940653443336487,-0.011505461297929287,0.45018038153648376,0.4215533137321472,-0.009730770252645016,0.4473133683204651,0.4316423833370209,-0.006138552445918322,0.4427899420261383,0.4445318281650543,-0.003877424169331789,0.4544847905635834,0.4664289653301239,-0.013498039916157722,0.45820140838623047,0.44030871987342834,-0.00870517361909151,0.45444318652153015,0.449298620223999,-0.0010750327492132783,0.4518647789955139,0.46163156628608704,0.004414182621985674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.41298365592956543,0.5377151966094971,4.706355127837014e-08,0.40167146921157837,0.4922892451286316,0.0018224935047328472,0.4055570363998413,0.4534844756126404,-0.0005075817462056875,0.42115771770477295,0.43192797899246216,-0.003577370662242174,0.4354877471923828,0.42916634678840637,-0.005423779133707285,0.4080931544303894,0.43303993344306946,-0.006038868334144354,0.423045814037323,0.39203909039497375,-0.010148519650101662,0.4250970482826233,0.4071217477321625,-0.011331622488796711,0.42264389991760254,0.42292332649230957,-0.010389499366283417,0.4248523414134979,0.4421357810497284,-0.00911482609808445,0.43846991658210754,0.3951273262500763,-0.008817034773528576,0.44500279426574707,0.37012287974357605,-0.00889261532574892,0.4486684501171112,0.34932681918144226,-0.009615583345293999,0.44018086791038513,0.4558844566345215,-0.011466840282082558,0.44830042123794556,0.42657795548439026,-0.010500102303922176,0.4453928768634796,0.43703970313072205,-0.007492737378925085,0.44093647599220276,0.450366348028183,-0.005284211598336697,0.45277589559555054,0.47245585918426514,-0.013669941574335098,0.4556713402271271,0.44556930661201477,-0.00958959199488163,0.4519587457180023,0.4541989862918854,-0.002465456258505583,0.4494003653526306,0.4667464792728424,0.0028592320159077644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.41276684403419495,0.5474036335945129,4.31684519242026e-08,0.40029701590538025,0.5032901763916016,0.0017845826223492622,0.40339526534080505,0.46343398094177246,-0.0007359542651101947,0.41843074560165405,0.4410324990749359,-0.004086029250174761,0.4326319098472595,0.43906766176223755,-0.006317480932921171,0.406574010848999,0.4443286955356598,-0.006905337795615196,0.4202969968318939,0.4001660645008087,-0.012195290997624397,0.4223368465900421,0.41534557938575745,-0.014185769483447075,0.4208027422428131,0.43293634057044983,-0.01347265113145113,0.4233793318271637,0.4540348947048187,-0.010031240060925484,0.4361880123615265,0.4036479890346527,-0.010596550069749355,0.4423593282699585,0.37689271569252014,-0.01091768778860569,0.44640806317329407,0.3556482195854187,-0.011625670827925205,0.43876582384109497,0.4676581621170044,-0.012473786249756813,0.44585463404655457,0.4353663921356201,-0.012023049406707287,0.44273900985717773,0.4446873068809509,-0.008956962265074253,0.4388405382633209,0.45812925696372986,-0.006495098117738962,0.4513043463230133,0.48325231671333313,-0.01477138977497816,0.4533608853816986,0.45356857776641846,-0.010560677386820316,0.4496942460536957,0.46160805225372314,-0.00312236649915576,0.44770681858062744,0.47438478469848633,0.0024481851141899824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.41057875752449036,0.5604717135429382,3.7528934626607224e-08,0.39768192172050476,0.5173880457878113,0.0015929307555779815,0.4006292521953583,0.47736892104148865,-0.0011779355118051171,0.4161490499973297,0.4546046257019043,-0.004652898758649826,0.4306301474571228,0.4509318768978119,-0.006945443339645863,0.4047544598579407,0.46051356196403503,-0.008711345493793488,0.4177076518535614,0.4111281931400299,-0.01506341714411974,0.41958099603652954,0.42727163434028625,-0.017377030104398727,0.4181065559387207,0.4465847313404083,-0.01657141000032425,0.4218510687351227,0.4701245427131653,-0.011770064942538738,0.43422436714172363,0.4146896004676819,-0.013097730465233326,0.43982797861099243,0.38730090856552124,-0.013258884660899639,0.44337141513824463,0.3655194044113159,-0.013656014576554298,0.43725311756134033,0.4833550751209259,-0.014103460125625134,0.44381850957870483,0.4459443688392639,-0.014104243367910385,0.44051945209503174,0.45491543412208557,-0.010245561599731445,0.4367780089378357,0.4682110548019409,-0.007062358781695366,0.4496349096298218,0.49857407808303833,-0.01628306321799755,0.45131415128707886,0.4644869565963745,-0.01226810272783041,0.4472932517528534,0.47165030241012573,-0.004146965220570564,0.4451791048049927,0.4844590127468109,0.0020518042147159576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.40921854972839355,0.5795460939407349,2.8085345604722534e-08,0.3943749964237213,0.5367658138275146,-5.9806177887367085e-05,0.3969212770462036,0.4969351291656494,-0.0035934888292104006,0.41379714012145996,0.4747960567474365,-0.007577819749712944,0.42885902523994446,0.469020277261734,-0.01016008947044611,0.4031199514865875,0.4841977059841156,-0.010597503744065762,0.41453346610069275,0.43025434017181396,-0.018007993698120117,0.415139764547348,0.4455912113189697,-0.020682981237769127,0.4138771593570709,0.46569788455963135,-0.019882183521986008,0.42101868987083435,0.49282220005989075,-0.013032631017267704,0.4321659505367279,0.4350307583808899,-0.015791259706020355,0.4371473789215088,0.4054313600063324,-0.01629897952079773,0.44100847840309143,0.3823433220386505,-0.016697559505701065,0.4364134669303894,0.5053665637969971,-0.014929183758795261,0.4412574768066406,0.4647524058818817,-0.016696717590093613,0.43593457341194153,0.47421810030937195,-0.012893985956907272,0.43148696422576904,0.4887358844280243,-0.009224767796695232,0.4487345814704895,0.5199885964393616,-0.016725823283195496,0.449086993932724,0.4838966429233551,-0.014188755303621292,0.44406136870384216,0.4905385971069336,-0.006296124774962664,0.44155773520469666,0.5042821764945984,8.11144636827521e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
