frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.3976685404777527,0.6804086565971375,-1.9276144769264647e-07,0.38096293807029724,0.6238839030265808,0.01953859254717827,0.3838924169540405,0.5744303464889526,0.021484537050127983,0.39896464347839355,0.5477477312088013,0.019816815853118896,0.418290913105011,0.5440705418586731,0.017270205542445183,0.3711036145687103,0.5472647547721863,0.006629182491451502,0.40445592999458313,0.5075830221176147,0.008640347048640251,0.4159284830093384,0.5310210585594177,0.011549077928066254,0.4168229401111603,0.5468286871910095,0.013286413624882698,0.3895081579685211,0.54787278175354,-0.005210862495005131,0.41838300228118896,0.49824246764183044,-0.006309631746262312,0.42624005675315857,0.5210391879081726,-0.005410098936408758,0.42632484436035156,0.5408363342285156,-0.003189351176843047,0.40953654050827026,0.5596767663955688,-0.014681539498269558,0.43181905150413513,0.4935377538204193,-0.014254933223128319,0.4423890709877014,0.4557419419288635,-0.01645437441766262,0.44643643498420715,0.42185384035110474,-0.01913238689303398,0.4294295012950897,0.5743128061294556,-0.021197158843278885,0.4387456774711609,0.5293974280357361,-0.013058974407613277,0.4379294216632843,0.5274348258972168,-0.004929602146148682,0.43590348958969116,0.5267287492752075,-0.0015844376757740974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3969126045703888,0.6787850856781006,-1.7376775929278665e-07,0.3804266154766083,0.6223382353782654,0.02091311104595661,0.3853156566619873,0.571990430355072,0.023752862587571144,0.39976516366004944,0.5452733635902405,0.02289615385234356,0.4164426922798157,0.5412208437919617,0.021109266206622124,0.3732316195964813,0.5434122085571289,0.010276357643306255,0.4030589759349823,0.5115129351615906,0.014293110929429531,0.41374045610427856,0.5321186184883118,0.017302190884947777,0.4149691164493561,0.5492255687713623,0.018552739173173904,0.3889445662498474,0.5404307842254639,-0.0023181820288300514,0.41570189595222473,0.4995783865451813,-0.0007508929120376706,0.4251071512699127,0.5162626504898071,-0.0012671839212998748,0.42685171961784363,0.5338994860649109,-0.0010608070297166705,0.4079636335372925,0.5507382154464722,-0.012210359796881676,0.4306311011314392,0.494089812040329,-0.011317318305373192,0.4425092339515686,0.4588240385055542,-0.01485652569681406,0.4472823739051819,0.4290362596511841,-0.018440892919898033,0.4279523193836212,0.565837025642395,-0.018977832049131393,0.4384447932243347,0.525372326374054,-0.012043253518640995,0.441275417804718,0.52760910987854,-0.004633688367903233,0.44027650356292725,0.5332208275794983,-0.0014579609269276261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3969922363758087,0.6756653785705566,-1.8698135306749464e-07,0.3796902298927307,0.6220853328704834,0.02164446748793125,0.38421618938446045,0.5722430944442749,0.024716181680560112,0.39798352122306824,0.5437942147254944,0.02417573146522045,0.41490957140922546,0.5378726720809937,0.02264394238591194,0.3718480169773102,0.5445182919502258,0.009133384563028812,0.4014049470424652,0.5115563273429871,0.013539510779082775,0.4120588004589081,0.5324087738990784,0.01707116886973381,0.41296815872192383,0.5502738356590271,0.018766289576888084,0.38762304186820984,0.5404986143112183,-0.0034401090815663338,0.41485413908958435,0.4990234971046448,-0.0013151642633602023,0.42448481917381287,0.5156828761100769,-0.0012044946197420359,0.4255451560020447,0.533410906791687,-0.0007446811068803072,0.40701228380203247,0.5495100617408752,-0.01308047492057085,0.4300508499145508,0.4926556348800659,-0.011744449846446514,0.44179272651672363,0.4588618278503418,-0.015184142626821995,0.4460928440093994,0.42999768257141113,-0.01897190883755684,0.4273364245891571,0.562981367111206,-0.01942378841340542,0.4382699728012085,0.5244753360748291,-0.011557350866496563,0.44001635909080505,0.5328084826469421,-0.0035378895699977875,0.4378466010093689,0.5440260171890259,-0.0002693830756470561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.3954562246799469,0.6763957142829895,-1.7853794531674794e-07,0.3778676390647888,0.6218962669372559,0.021582381799817085,0.38212355971336365,0.5714948773384094,0.02469768561422825,0.3954084515571594,0.5425792336463928,0.02419530600309372,0.4118218719959259,0.5352315306663513,0.02283083088696003,0.3702999949455261,0.5432650446891785,0.010090900585055351,0.40017908811569214,0.5098375082015991,0.014280368573963642,0.41062504053115845,0.5307295322418213,0.01747942715883255,0.41157037019729614,0.5485112071037292,0.01898093894124031,0.3857296407222748,0.5402446389198303,-0.002562912181019783,0.4131547212600708,0.4983506500720978,-0.0011879103258252144,0.4228978157043457,0.5150167942047119,-0.0016389185329899192,0.42448344826698303,0.5329836010932922,-0.0012455659452825785,0.40477392077445984,0.5501044392585754,-0.01233859732747078,0.42836129665374756,0.4924413561820984,-0.01159572508186102,0.44048961997032166,0.45778128504753113,-0.015095197595655918,0.4454033374786377,0.4289143681526184,-0.018544921651482582,0.4250749945640564,0.5644867420196533,-0.018813036382198334,0.4359263479709625,0.5241038799285889,-0.011499646119773388,0.43860650062561035,0.5291831493377686,-0.0036699913907796144,0.4375970959663391,0.5376967787742615,-0.00022935698507353663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.39420488476753235,0.6773970127105713,-1.950216272916805e-07,0.37624624371528625,0.6236990094184875,0.022523213177919388,0.37986499071121216,0.5732153058052063,0.026048213243484497,0.39261144399642944,0.5437334179878235,0.02601771056652069,0.408683717250824,0.5369937419891357,0.025054683908820152,0.3686470687389374,0.5435411334037781,0.010013328865170479,0.39844220876693726,0.5115218162536621,0.014807451516389847,0.40880492329597473,0.5323329567909241,0.018389472737908363,0.4093213379383087,0.5495418906211853,0.020063741132616997,0.3841801881790161,0.5404312610626221,-0.002865780144929886,0.4113959074020386,0.49915891885757446,-0.000990562024526298,0.4209156632423401,0.5167093873023987,-0.0009434191742911935,0.4220264256000519,0.5352934002876282,-0.00029918848304077983,0.40338099002838135,0.5503479242324829,-0.012669804506003857,0.4275699853897095,0.49209487438201904,-0.01181819662451744,0.43929407000541687,0.45733341574668884,-0.015309249050915241,0.44359612464904785,0.4281603693962097,-0.0188284944742918,0.42384445667266846,0.5649768114089966,-0.01896398887038231,0.43451815843582153,0.5250211954116821,-0.011251620948314667,0.43606966733932495,0.5340358018875122,-0.0028836075216531754,0.434180349111557,0.5461774468421936,0.0008176960400305688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.39222651720046997,0.6778172254562378,-2.1269011085678358e-07,0.3742830753326416,0.6254949569702148,0.02330026775598526,0.3780095875263214,0.5756148099899292,0.0271945558488369,0.3908631503582001,0.5463990569114685,0.027355199679732323,0.4064319133758545,0.5390465259552002,0.026424044743180275,0.3670279383659363,0.5442230105400085,0.010841473005712032,0.3962382674217224,0.5128764510154724,0.015601159073412418,0.40659093856811523,0.5337952971458435,0.018792949616909027,0.4067133665084839,0.5510609745979309,0.02022988349199295,0.3826102316379547,0.5402900576591492,-0.0022392135579138994,0.4094012677669525,0.500644326210022,0.0003104925563093275,0.4187839925289154,0.5182182788848877,0.00032868600101210177,0.4194975197315216,0.5368642210960388,0.0006250350852496922,0.40184280276298523,0.5497462749481201,-0.012216291390359402,0.42557287216186523,0.4915381669998169,-0.011237175203859806,0.437366783618927,0.4569641351699829,-0.015123379416763783,0.4417223334312439,0.4282527565956116,-0.019117971882224083,0.42222824692726135,0.563723087310791,-0.018572935834527016,0.4324723780155182,0.5248513221740723,-0.010993474163115025,0.43344900012016296,0.535673975944519,-0.0028263276908546686,0.4312133193016052,0.5494868755340576,0.0006074730772525072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3900586664676666,0.6769564151763916,-1.890553704697595e-07,0.3725702464580536,0.6230087280273438,0.02273213490843773,0.37713080644607544,0.5719301700592041,0.025895722210407257,0.3917289674282074,0.543007493019104,0.025281161069869995,0.4087671637535095,0.5353208780288696,0.023589441552758217,0.36406266689300537,0.5437524318695068,0.010411440394818783,0.3939289152622223,0.5112592577934265,0.014853554777801037,0.4043307304382324,0.5324268341064453,0.01771583780646324,0.4044010639190674,0.5492135882377625,0.018781332299113274,0.3792820870876312,0.5391469597816467,-0.0028784857131540775,0.4070676565170288,0.4973469078540802,-0.0007444978691637516,0.4168991148471832,0.5145594477653503,-0.0011098873801529408,0.417842298746109,0.5324894189834595,-0.0010645213769748807,0.398384690284729,0.5480823516845703,-0.013139154762029648,0.4231135845184326,0.4892061948776245,-0.012132540345191956,0.4352585971355438,0.4550490379333496,-0.016171162948012352,0.4395924210548401,0.42592471837997437,-0.020416956394910812,0.41899001598358154,0.5614339113235474,-0.019891316071152687,0.4305918216705322,0.523274838924408,-0.012165924534201622,0.4314825236797333,0.5357024669647217,-0.003959500230848789,0.4289540648460388,0.5503088235855103,-0.0006412052316591144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.38664793968200684,0.673031747341156,-1.725613429925943e-07,0.3727787435054779,0.6224961876869202,0.018929222598671913,0.37809374928474426,0.5698166489601135,0.021435270085930824,0.3939940333366394,0.5423559546470642,0.0199759341776371,0.41073188185691833,0.5340138673782349,0.017716610804200172,0.3629117012023926,0.5438995957374573,0.012716041877865791,0.39192837476730347,0.5033445358276367,0.013583360239863396,0.4030110538005829,0.5290257930755615,0.011997831985354424,0.4037002623081207,0.551343560218811,0.01049814373254776,0.37705695629119873,0.5385054349899292,0.0005610327352769673,0.4035836160182953,0.4908880293369293,0.0007673195796087384,0.4139954447746277,0.5090816617012024,-0.0029930640012025833,0.4151427149772644,0.5274460911750793,-0.004904402885586023,0.3954159915447235,0.5445114374160767,-0.00951115507632494,0.4165857136249542,0.48460620641708374,-0.008704728446900845,0.43035057187080383,0.4546588063240051,-0.013911805115640163,0.43609362840652466,0.4287590980529785,-0.01882821135222912,0.4152399003505707,0.5532578229904175,-0.016945378854870796,0.42702168226242065,0.5182362794876099,-0.010230102576315403,0.4312704801559448,0.5323035717010498,-0.00340076326392591,0.4318636357784271,0.5476128458976746,-0.0007014789152890444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.379468709230423,0.6685190796852112,-1.1413809630766991e-07,0.36481449007987976,0.6220319271087646,0.014276894740760326,0.3658481538295746,0.5704523921012878,0.016885366290807724,0.3760944604873657,0.5407515168190002,0.015602869912981987,0.3892500400543213,0.5260912775993347,0.013662873767316341,0.3544893264770508,0.542365312576294,0.012991403229534626,0.38391926884651184,0.5025461912155151,0.011458438821136951,0.3971107304096222,0.5221883654594421,0.00919389072805643,0.3999907672405243,0.5447137355804443,0.00805787555873394,0.3677525520324707,0.5353466868400574,0.002529125427827239,0.3914968967437744,0.48771998286247253,0.0020457736682146788,0.4016054570674896,0.4995083808898926,-0.0008564286399632692,0.4031415283679962,0.5132598280906677,-0.0019574654288589954,0.38542693853378296,0.538550078868866,-0.007074467372149229,0.4045755863189697,0.4749752879142761,-0.0078231580555439,0.41739189624786377,0.4582332968711853,-0.010672161355614662,0.42231863737106323,0.44332337379455566,-0.013165058568120003,0.4049901068210602,0.5484526753425598,-0.014986763708293438,0.41922274231910706,0.5126471519470215,-0.012812328524887562,0.42511114478111267,0.531215488910675,-0.007694537285715342,0.42628318071365356,0.5499184131622314,-0.004611211363226175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.37089747190475464,0.6614226698875427,-1.035082775047158e-07,0.3606936037540436,0.6144329309463501,0.012424619868397713,0.36141616106033325,0.5643365383148193,0.014826384373009205,0.3717060089111328,0.5355777144432068,0.012982971966266632,0.38499629497528076,0.5221964716911316,0.011391913518309593,0.3453705608844757,0.5383935570716858,0.015865683555603027,0.37058132886886597,0.49507659673690796,0.012755297124385834,0.38516315817832947,0.5118464231491089,0.00893663801252842,0.38979655504226685,0.5356030464172363,0.007033575791865587,0.35589879751205444,0.5304185748100281,0.005601618904620409,0.377010703086853,0.4818490147590637,0.005228592082858086,0.38918545842170715,0.4913960099220276,0.0023939544335007668,0.39279893040657043,0.5053954720497131,0.0009227550472132862,0.37189093232154846,0.5314729809761047,-0.004719870164990425,0.38870304822921753,0.47014060616493225,-0.0054124873131513596,0.40213078260421753,0.4568774700164795,-0.007710747420787811,0.40762758255004883,0.44800716638565063,-0.009832385927438736,0.3913164436817169,0.5388317704200745,-0.014003957621753216,0.406138151884079,0.5015175342559814,-0.01219912525266409,0.4141247868537903,0.5139529705047607,-0.0077250804752111435,0.4173652231693268,0.5294598340988159,-0.005097805522382259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
