frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5664849877357483,0.6614002585411072,-2.7202707997275866e-07,0.5930295586585999,0.6014124155044556,0.012227008119225502,0.5977592468261719,0.5242272615432739,0.013340091332793236,0.5746250152587891,0.4691237509250641,0.012941024266183376,0.5498611927032471,0.4508330225944519,0.010410443879663944,0.6197951436042786,0.4853894114494324,-0.002018391154706478,0.5781433582305908,0.4121328294277191,-0.003547775326296687,0.5563759207725525,0.437330961227417,-0.004113948903977871,0.550672173500061,0.4638610780239105,-0.004584574140608311,0.5968599319458008,0.48173820972442627,-0.011976254172623158,0.5651479959487915,0.3902202248573303,-0.018222013488411903,0.5528615117073059,0.40288078784942627,-0.01984647661447525,0.5543246865272522,0.4189317226409912,-0.018126118928194046,0.5698321461677551,0.4886143207550049,-0.019668614491820335,0.546621561050415,0.3817548155784607,-0.0286592785269022,0.5330647230148315,0.3341883718967438,-0.034224119037389755,0.5314645767211914,0.2921793460845947,-0.03694981336593628,0.5403598546981812,0.5028331875801086,-0.02403566613793373,0.5229698419570923,0.4219810664653778,-0.02785692922770977,0.5179552435874939,0.44327691197395325,-0.02072112448513508,0.5203805565834045,0.4693297743797302,-0.015282770618796349
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5575753450393677,0.6684004068374634,-2.033124957279142e-07,0.5854550004005432,0.601787805557251,0.012959383428096771,0.5887677073478699,0.5247834324836731,0.014876792207360268,0.5678712725639343,0.47290152311325073,0.0141517985612154,0.5422236323356628,0.45515260100364685,0.011215057224035263,0.607884407043457,0.486507385969162,0.005146913230419159,0.572609007358551,0.4097510576248169,0.004231518134474754,0.5519270300865173,0.427109956741333,0.003522481769323349,0.5467857718467712,0.4523284435272217,0.0029260534793138504,0.5871325731277466,0.48074033856391907,-0.005358602851629257,0.5536314845085144,0.39887920022010803,-0.0070637306198477745,0.5357100367546082,0.4009491503238678,-0.008632784709334373,0.5327985286712646,0.40852585434913635,-0.008749091997742653,0.5620847344398499,0.48741668462753296,-0.014195909723639488,0.5352694988250732,0.3889913260936737,-0.01963975466787815,0.5199519395828247,0.3462194800376892,-0.024043763056397438,0.5173313021659851,0.3086806535720825,-0.02721577137708664,0.5340613722801208,0.5038610696792603,-0.020339680835604668,0.5172150135040283,0.4300426244735718,-0.02402658760547638,0.51124107837677,0.45257312059402466,-0.017826803028583527,0.5128258466720581,0.47847387194633484,-0.012864716351032257
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551956832408905,0.6740498542785645,-2.0510941567408736e-07,0.5787049531936646,0.6083173155784607,0.012969417497515678,0.5803895592689514,0.5287601351737976,0.016011783853173256,0.5573158264160156,0.4791887700557709,0.0163335632532835,0.5315659046173096,0.46574196219444275,0.014708995819091797,0.5965628623962402,0.49157384037971497,0.008745879866182804,0.5607464909553528,0.41927075386047363,0.00657804636284709,0.5414574146270752,0.44157564640045166,0.0037612984888255596,0.5365009307861328,0.46916937828063965,0.002285515423864126,0.5757365822792053,0.48669180274009705,-0.0013262388529255986,0.5438909530639648,0.4073852598667145,-0.004095008131116629,0.5271874070167542,0.4106576442718506,-0.006974382791668177,0.522625744342804,0.4171278476715088,-0.006978007964789867,0.5517393946647644,0.4922132194042206,-0.010129924863576889,0.5251272320747375,0.4014298617839813,-0.015012024901807308,0.5108261108398438,0.35774362087249756,-0.01993299461901188,0.5071544051170349,0.31823331117630005,-0.02261071279644966,0.5255506634712219,0.5067456960678101,-0.01654844544827938,0.5090211629867554,0.4358851909637451,-0.017606057226657867,0.5046358704566956,0.4567715525627136,-0.010561712086200714,0.505690336227417,0.48213762044906616,-0.004868841730058193
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5485066175460815,0.6758520007133484,-2.1685337969756802e-07,0.5766337513923645,0.6115973591804504,0.012931074015796185,0.578201413154602,0.5380558967590332,0.014279047958552837,0.5548343062400818,0.49084141850471497,0.013055579736828804,0.5286309719085693,0.4812778830528259,0.009568160399794579,0.5951168537139893,0.49675682187080383,0.0073279342614114285,0.5609356164932251,0.43738728761672974,0.005145758390426636,0.5449119806289673,0.46256011724472046,0.002620090963318944,0.5428183078765869,0.4881208837032318,0.0009379994007758796,0.572803795337677,0.49139925837516785,-0.003996152896434069,0.5455392599105835,0.415359228849411,-0.010868809185922146,0.5332303643226624,0.4469589293003082,-0.013900930061936378,0.5341365337371826,0.4813714623451233,-0.011821658350527287,0.5465659499168396,0.4995284080505371,-0.014048204757273197,0.5220822691917419,0.4067744016647339,-0.021745311096310616,0.5080302953720093,0.36452627182006836,-0.028247717767953873,0.5065433382987976,0.32857367396354675,-0.031239710748195648,0.5181781649589539,0.5174687504768372,-0.02128811925649643,0.5019421577453613,0.4471750259399414,-0.02269010990858078,0.4990527033805847,0.46603792905807495,-0.01636926457285881,0.5030859112739563,0.4892745912075043,-0.011730602011084557
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5462794303894043,0.6770419478416443,-1.799844113747895e-07,0.5758514404296875,0.6108598709106445,0.013838759623467922,0.5765677094459534,0.5385555624961853,0.015430433675646782,0.5544912815093994,0.49421125650405884,0.01435557659715414,0.5278762578964233,0.48655539751052856,0.010932235978543758,0.5930138230323792,0.498294472694397,0.007928494364023209,0.5619993805885315,0.4423893094062805,0.00675548380240798,0.5474002957344055,0.4684251546859741,0.00497741624712944,0.546052873134613,0.49331843852996826,0.0036905123852193356,0.5685359239578247,0.49064454436302185,-0.0035556473303586245,0.5444145798683167,0.41610369086265564,-0.0092079546302557,0.5329198837280273,0.45082026720046997,-0.011333131231367588,0.5344049334526062,0.48810482025146484,-0.008742216974496841,0.540062665939331,0.49917134642601013,-0.013656343333423138,0.517566442489624,0.4064319133758545,-0.020682062953710556,0.5044262409210205,0.36462414264678955,-0.02746686153113842,0.5034995675086975,0.3287851810455322,-0.030804449692368507,0.5107498168945312,0.5187816023826599,-0.020702330395579338,0.49756190180778503,0.4480287432670593,-0.02098158746957779,0.4955393671989441,0.46635574102401733,-0.014323278330266476,0.49988213181495667,0.48840317130088806,-0.009814160875976086
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5462822914123535,0.6772362589836121,-2.2660827880827128e-07,0.5745808482170105,0.6127732992172241,0.01468961127102375,0.5769599676132202,0.5399417877197266,0.017021872103214264,0.556422233581543,0.49138954281806946,0.017184410244226456,0.5311912894248962,0.478915274143219,0.015035422518849373,0.59160315990448,0.4968780279159546,0.005571444518864155,0.5570095777511597,0.43917274475097656,0.004623523913323879,0.5403987169265747,0.4656033217906952,0.003129719290882349,0.536347508430481,0.4923250675201416,0.0021482964511960745,0.5673725605010986,0.49142691493034363,-0.005546999629586935,0.5403860211372375,0.4165150225162506,-0.010051406919956207,0.5293406248092651,0.4467027187347412,-0.011733788065612316,0.529958188533783,0.4764004051685333,-0.009533559903502464,0.53947913646698,0.5006837844848633,-0.014924876391887665,0.5159393548965454,0.4070473313331604,-0.02205400913953781,0.5036866068840027,0.36177659034729004,-0.02925393357872963,0.5019350051879883,0.3207395374774933,-0.033130623400211334,0.5109594464302063,0.5197852253913879,-0.020946962758898735,0.4971712827682495,0.4471905827522278,-0.021923314779996872,0.49635249376296997,0.4637546241283417,-0.015450617298483849,0.49974876642227173,0.48280730843544006,-0.011001859791576862
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5456908345222473,0.675754189491272,-2.407539909654588e-07,0.5733887553215027,0.6100354194641113,0.0142719941213727,0.5761551260948181,0.5389171242713928,0.015903012827038765,0.5564875602722168,0.4911133944988251,0.015531877987086773,0.5316275954246521,0.47984808683395386,0.012743713334202766,0.5916175842285156,0.494190514087677,0.0029849144630134106,0.5554933547973633,0.4361416697502136,0.00105957908090204,0.5380060076713562,0.46434539556503296,-0.0007284561870619655,0.5335028767585754,0.4930464029312134,-0.0015736869536340237,0.5680063962936401,0.4894234836101532,-0.008187555707991123,0.53941810131073,0.4136522114276886,-0.01444099098443985,0.5281097888946533,0.4467886686325073,-0.0166215468198061,0.5293014645576477,0.4791138470172882,-0.014127571135759354,0.5402448177337646,0.4996238350868225,-0.01744689978659153,0.5160819888114929,0.40317511558532715,-0.02644655853509903,0.5045079588890076,0.35655155777931213,-0.03460478410124779,0.5044504404067993,0.3146590292453766,-0.038545623421669006,0.5117559432983398,0.5197837352752686,-0.023109881207346916,0.4969167709350586,0.4445093870162964,-0.025078779086470604,0.4961239993572235,0.4623767137527466,-0.01840728148818016,0.5001634359359741,0.484060138463974,-0.013517674058675766
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5465719699859619,0.6730524897575378,-2.1176241205012047e-07,0.5736112594604492,0.6076143383979797,0.017127564176917076,0.5756456851959229,0.5362740755081177,0.02054743282496929,0.5556362867355347,0.48935994505882263,0.02137603983283043,0.5309380292892456,0.478471040725708,0.019566191360354424,0.5902108550071716,0.49405235052108765,0.0037633266765624285,0.5555757880210876,0.43170544505119324,0.004442386329174042,0.5396395325660706,0.4608578383922577,0.005336175672709942,0.5365830063819885,0.4926786422729492,0.006018874701112509,0.5680838227272034,0.4904574751853943,-0.007876657880842686,0.5374093055725098,0.41141074895858765,-0.010137777775526047,0.5242011547088623,0.423249214887619,-0.010763974860310555,0.5231462121009827,0.43597477674484253,-0.009300841949880123,0.5414683222770691,0.5000903010368347,-0.017052706331014633,0.5159136652946472,0.40397176146507263,-0.022848032414913177,0.503919243812561,0.355756551027298,-0.029009319841861725,0.5022925138473511,0.31219005584716797,-0.03292100504040718,0.5136935114860535,0.518470048904419,-0.02260938473045826,0.49881044030189514,0.44354069232940674,-0.02341345325112343,0.4978354573249817,0.4602528512477875,-0.01648539863526821,0.502014696598053,0.4815572500228882,-0.011755495332181454
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5468448996543884,0.6715011596679688,-1.859094709288911e-07,0.5737854838371277,0.6066811084747314,0.01728321984410286,0.5759674310684204,0.5355721116065979,0.02114560455083847,0.5566983222961426,0.48845982551574707,0.022221174091100693,0.5326201319694519,0.47793981432914734,0.020704349502921104,0.5904894471168518,0.49490922689437866,0.004528237506747246,0.5569649338722229,0.4342765808105469,0.005029064603149891,0.5414126515388489,0.46247926354408264,0.00575236463919282,0.5389509797096252,0.49446508288383484,0.00632460368797183,0.5684225559234619,0.4905967712402344,-0.007386920973658562,0.5382801294326782,0.40998154878616333,-0.008940168656408787,0.5243896842002869,0.41135403513908386,-0.009168174117803574,0.5230307579040527,0.4142153859138489,-0.008030541241168976,0.5420980453491211,0.49982568621635437,-0.01695721596479416,0.5168215036392212,0.4027908146381378,-0.02290727011859417,0.5044572949409485,0.3562561869621277,-0.02803785167634487,0.5028001070022583,0.3136443495750427,-0.03123987279832363,0.5143451690673828,0.5190091133117676,-0.023034593090415,0.49967923760414124,0.44296228885650635,-0.02455880679190159,0.49856436252593994,0.46051979064941406,-0.017362525686621666,0.503146767616272,0.48284637928009033,-0.012192932888865471
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5478859543800354,0.6731576919555664,-2.369629896747938e-07,0.574465811252594,0.6069723963737488,0.017644871026277542,0.5760518312454224,0.5358014702796936,0.021293887868523598,0.5554466247558594,0.4895780086517334,0.02215242013335228,0.5307452082633972,0.4795474410057068,0.02018919587135315,0.591900110244751,0.4934012293815613,0.006131360772997141,0.556598961353302,0.43424224853515625,0.005572448018938303,0.5407772064208984,0.4619803726673126,0.004544933792203665,0.5381612181663513,0.4925401210784912,0.004023549612611532,0.5699328184127808,0.489364892244339,-0.00617204699665308,0.5397384166717529,0.41211050748825073,-0.009203452616930008,0.5268733501434326,0.4301653504371643,-0.010831547901034355,0.5269415378570557,0.44956156611442566,-0.00963611900806427,0.543620765209198,0.49887144565582275,-0.016300173476338387,0.5181881189346313,0.401611864566803,-0.022796325385570526,0.5059671998023987,0.355927973985672,-0.029743285849690437,0.505358099937439,0.31473055481910706,-0.033912543207407,0.5158786177635193,0.5175947546958923,-0.022818822413682938,0.5004941821098328,0.4424712061882019,-0.02423584647476673,0.49921610951423645,0.4606965184211731,-0.017796607688069344,0.5035099983215332,0.4830200672149658,-0.013316918164491653
