frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5914427042007446,0.5019561648368835,-1.2010177385946008e-07,0.594724178314209,0.4487122595310211,0.008937878534197807,0.5804588794708252,0.4127618968486786,0.010209469124674797,0.5618920922279358,0.40954968333244324,0.009992270730435848,0.5459555387496948,0.42625805735588074,0.008686594665050507,0.5785766243934631,0.3888189196586609,0.002655307063832879,0.5556154847145081,0.3668392598628998,0.002990713343024254,0.5544553399085999,0.38557541370391846,0.0039428831078112125,0.5581274628639221,0.3979693055152893,0.004366294946521521,0.5656296014785767,0.4063129425048828,-0.004054177086800337,0.5410495400428772,0.38123461604118347,-0.0058568003587424755,0.5440178513526917,0.4023994505405426,-0.00496892211958766,0.55144864320755,0.4152034819126129,-0.0026021096855401993,0.5531454086303711,0.42915773391723633,-0.009844191372394562,0.5301406979560852,0.39894458651542664,-0.011427505873143673,0.5180974006652832,0.37743139266967773,-0.014486442320048809,0.5090774893760681,0.3541216552257538,-0.016944637522101402,0.5429137349128723,0.4526329040527344,-0.014004523865878582,0.5357317328453064,0.43114784359931946,-0.011455460451543331,0.5406757593154907,0.4329060912132263,-0.007517402060329914,0.5443742275238037,0.4333334267139435,-0.005807726178318262
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5890580415725708,0.4935157299041748,-7.241003885383179e-08,0.5945509076118469,0.4444807767868042,0.00667901337146759,0.581239640712738,0.4087027311325073,0.008352670818567276,0.5620517730712891,0.39893996715545654,0.0092991404235363,0.5467287302017212,0.408034086227417,0.009617706760764122,0.5793144106864929,0.3840883672237396,0.0022037746384739876,0.5565339922904968,0.3630121052265167,0.003581198863685131,0.5551607608795166,0.3813241124153137,0.005340051371604204,0.5595080852508545,0.39352312684059143,0.006337373051792383,0.5657627582550049,0.39899179339408875,-0.002623204607516527,0.5424187779426575,0.37510591745376587,-0.0027593059930950403,0.543691873550415,0.3933097720146179,-0.0015167887322604656,0.5505297183990479,0.40468087792396545,0.0009449371136724949,0.5530756711959839,0.41993603110313416,-0.0067029083147645,0.5306006073951721,0.39310628175735474,-0.0075457715429365635,0.5179458260536194,0.37551528215408325,-0.011312456801533699,0.509258508682251,0.35590630769729614,-0.014381556771695614,0.542468249797821,0.4427909553050995,-0.009315834380686283,0.5357723832130432,0.4271315038204193,-0.008707557804882526,0.5414031147956848,0.4309457540512085,-0.007114836480468512,0.5461655855178833,0.4335058033466339,-0.006582339759916067
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5894916653633118,0.4825054109096527,-4.7767123589892435e-08,0.5951958894729614,0.4336436986923218,0.0059111821465194225,0.5803403258323669,0.3980204164981842,0.007242028601467609,0.5588122010231018,0.3908642530441284,0.008150912821292877,0.5430005788803101,0.4017212390899658,0.008791391737759113,0.580832302570343,0.3736628592014313,0.001415563514456153,0.557978093624115,0.3534577190876007,0.002581157023087144,0.5561378598213196,0.371457040309906,0.004397684242576361,0.5596622228622437,0.3822910487651825,0.005238163284957409,0.5667805671691895,0.3888263702392578,-0.003126679453998804,0.542472779750824,0.3646860420703888,-0.004085910972207785,0.5435854196548462,0.3842809796333313,-0.0027417526580393314,0.5503643751144409,0.3980371952056885,-0.0001334927073912695,0.5535438060760498,0.4093588590621948,-0.006983318366110325,0.530532956123352,0.3828514516353607,-0.00836247019469738,0.5180203318595886,0.3674592077732086,-0.011259710416197777,0.5096021890640259,0.3513072431087494,-0.013408557511866093,0.5423725247383118,0.43213358521461487,-0.009479501284658909,0.5360386371612549,0.4124172031879425,-0.00917188823223114,0.5401082634925842,0.4095606803894043,-0.007944084703922272,0.5430157780647278,0.4056839644908905,-0.007592946290969849
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5918381214141846,0.4723404049873352,-5.187926177541158e-08,0.5964533090591431,0.424066424369812,0.006652521435171366,0.5819116234779358,0.38866955041885376,0.008516545407474041,0.5611210465431213,0.3816729485988617,0.009716213680803776,0.5460145473480225,0.393003910779953,0.010315591469407082,0.5808022022247314,0.3623451590538025,0.0035002664662897587,0.5579010248184204,0.3466132879257202,0.0051390971057116985,0.5569278597831726,0.36473846435546875,0.00676325336098671,0.5610870122909546,0.37498021125793457,0.007527571637183428,0.5672643184661865,0.3783389627933502,-0.0013224855065345764,0.5432016253471375,0.3578011989593506,-0.001326139084994793,0.5447911620140076,0.3780675232410431,-6.767865124857053e-05,0.5517890453338623,0.3912668824195862,0.002444649115204811,0.554889440536499,0.400592178106308,-0.005474158097058535,0.5312321782112122,0.37706440687179565,-0.006386079825460911,0.5186556577682495,0.3622952997684479,-0.009788064286112785,0.5103899240493774,0.34560391306877136,-0.012325309216976166,0.5444366931915283,0.4255606532096863,-0.008216124959290028,0.5360613465309143,0.41163697838783264,-0.007393525913357735,0.5413658022880554,0.4164561331272125,-0.005623705219477415,0.5462786555290222,0.4192722737789154,-0.004838917870074511
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5917810201644897,0.4610494077205658,-6.006199981811733e-08,0.5971848964691162,0.41466301679611206,0.005112120416015387,0.5820926427841187,0.3788357973098755,0.00641457038000226,0.5593962669372559,0.3709546625614166,0.007520411629229784,0.5446352958679199,0.3834007978439331,0.008218503557145596,0.5831112861633301,0.3501068949699402,0.0024582487531006336,0.5583848357200623,0.3355754017829895,0.0038119801320135593,0.5578311085700989,0.3555772006511688,0.005203313659876585,0.562544584274292,0.3657439053058624,0.0058104488998651505,0.5695574879646301,0.3660390079021454,-0.0015728241996839643,0.5434491634368896,0.34583979845046997,-0.0019538505002856255,0.5449111461639404,0.3672305941581726,-0.0007106980192475021,0.551948070526123,0.3795526325702667,0.0019020189065486193,0.5567712187767029,0.3879287540912628,-0.004993401933461428,0.531788170337677,0.3664850890636444,-0.006386709865182638,0.518815279006958,0.35452672839164734,-0.009176747873425484,0.5103925466537476,0.3383706510066986,-0.011107505299150944,0.5458906888961792,0.41236770153045654,-0.007146686315536499,0.5355647206306458,0.39890822768211365,-0.006750285625457764,0.5407581329345703,0.40714964270591736,-0.004446752835065126,0.5458412766456604,0.4117761254310608,-0.003089860314503312
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.593833863735199,0.4489499628543854,-5.693898685876775e-08,0.5987441539764404,0.402179479598999,0.005829002242535353,0.583017885684967,0.3671489655971527,0.007050656247884035,0.5603817105293274,0.36096975207328796,0.00792387593537569,0.5451065897941589,0.3732597231864929,0.008417319506406784,0.583935022354126,0.33902329206466675,0.0022006419021636248,0.5592171549797058,0.32588380575180054,0.003219424746930599,0.5581002831459045,0.3460080027580261,0.0044675543904304504,0.562433660030365,0.3559941351413727,0.004940211772918701,0.5709345936775208,0.35488900542259216,-0.0023186339531093836,0.5442150831222534,0.33616840839385986,-0.0028025570791214705,0.5450734496116638,0.35759106278419495,-0.0013491952558979392,0.5520065426826477,0.37031999230384827,0.001239691860973835,0.5587287545204163,0.37688952684402466,-0.006180843338370323,0.5326248407363892,0.356899231672287,-0.007668089587241411,0.5194482207298279,0.3456262946128845,-0.010208453051745892,0.5112724900245667,0.33020666241645813,-0.012056856416165829,0.5481366515159607,0.4020712673664093,-0.008728422224521637,0.5374510288238525,0.39069366455078125,-0.00850786454975605,0.5421620607376099,0.39757269620895386,-0.006507533136755228,0.5470796227455139,0.3998246192932129,-0.005421378184109926
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5966380834579468,0.43877261877059937,-6.868155111305896e-08,0.600536048412323,0.39289379119873047,0.006669343449175358,0.5857983231544495,0.357476145029068,0.008064181543886662,0.5642457604408264,0.351851224899292,0.008947229944169521,0.5497328639030457,0.3645686209201813,0.009340967983007431,0.5858024954795837,0.32852089405059814,0.0029268914368003607,0.5601699352264404,0.31572234630584717,0.003895445726811886,0.5586857199668884,0.33597490191459656,0.005098189692944288,0.5633328557014465,0.3460894227027893,0.0056284149177372456,0.5732698440551758,0.34380048513412476,-0.0020858633797615767,0.5458008050918579,0.32584643363952637,-0.0024998835287988186,0.5464757680892944,0.3470524251461029,-0.0011835794430226088,0.5533995628356934,0.3588079512119293,0.0013437352608889341,0.5615363121032715,0.36545121669769287,-0.006360370200127363,0.5344565510749817,0.34563589096069336,-0.007906381972134113,0.5209500789642334,0.33547160029411316,-0.010547824203968048,0.5126804113388062,0.3197845220565796,-0.012457533739507198,0.5515283346176147,0.3908948600292206,-0.00922346580773592,0.5391920804977417,0.3810991048812866,-0.009043276309967041,0.5439867377281189,0.3914392292499542,-0.006715049501508474,0.549404501914978,0.396168977022171,-0.005310573149472475
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6017819046974182,0.43086493015289307,-8.423008779345764e-08,0.6050108671188354,0.38415661454200745,0.00699338736012578,0.5890486836433411,0.3482905328273773,0.008218000642955303,0.5666103959083557,0.34082746505737305,0.008892896585166454,0.5524321794509888,0.35204046964645386,0.009115450084209442,0.590401291847229,0.31902429461479187,0.0026779277250170708,0.5634254813194275,0.3053808808326721,0.003042758908122778,0.5619286894798279,0.3263300955295563,0.004003406502306461,0.5666754245758057,0.33698606491088867,0.00450372276827693,0.5788134336471558,0.3349660038948059,-0.0025628504808992147,0.5497584342956543,0.31695523858070374,-0.004029036033898592,0.5500329732894897,0.33833715319633484,-0.0029499782249331474,0.5563888549804688,0.3487645387649536,-0.00036723329685628414,0.5674112439155579,0.3567769527435303,-0.0069913724437355995,0.5394974946975708,0.3373188078403473,-0.009127434343099594,0.5255078673362732,0.3264441192150116,-0.011323007754981518,0.5169105529785156,0.30902963876724243,-0.012822716496884823,0.5571424961090088,0.38238251209259033,-0.009938467293977737,0.5424001216888428,0.37463319301605225,-0.00944935716688633,0.5472159385681152,0.3863074481487274,-0.006243099924176931,0.5533632636070251,0.39062196016311646,-0.004250776022672653
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6083003878593445,0.4271789491176605,-9.380227794508755e-08,0.6119266152381897,0.37987008690834045,0.006480374373495579,0.5953909158706665,0.3425620496273041,0.0077507891692221165,0.5722131133079529,0.3330829441547394,0.008447414264082909,0.5574648976325989,0.343537300825119,0.008670373819768429,0.5960718989372253,0.31312471628189087,0.002788199344649911,0.5678723454475403,0.30058038234710693,0.003061463125050068,0.5667186975479126,0.3232095539569855,0.0037140115164220333,0.5717663168907166,0.3345825672149658,0.004008939955383539,0.5840060114860535,0.32982462644577026,-0.002343066968023777,0.5541982054710388,0.31116631627082825,-0.004252817016094923,0.5546877980232239,0.3335793912410736,-0.0036715224850922823,0.5614429116249084,0.34540486335754395,-0.0012030109064653516,0.5721375942230225,0.3526131510734558,-0.006737354211509228,0.5433482527732849,0.3311721384525299,-0.009008616209030151,0.5290815830230713,0.3200678527355194,-0.01162287313491106,0.5204603672027588,0.3028639853000641,-0.013257425278425217,0.5615530014038086,0.3788754343986511,-0.009705066680908203,0.5466353893280029,0.36978718638420105,-0.008913231082260609,0.5513318777084351,0.3803883194923401,-0.005797101184725761,0.5574888586997986,0.38437318801879883,-0.0038908720016479492
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6152029037475586,0.42719191312789917,-1.0212152545818753e-07,0.6193090081214905,0.38004201650619507,0.005891820881515741,0.6034553050994873,0.34342849254608154,0.006868218071758747,0.5801804661750793,0.33397719264030457,0.007221074774861336,0.5651203989982605,0.3441397547721863,0.007062420714646578,0.6046520471572876,0.31389451026916504,0.0018585018115118146,0.5765101909637451,0.2957056164741516,0.001655850443057716,0.5747140645980835,0.3190968930721283,0.0022411656100302935,0.5798385739326477,0.3318280279636383,0.0025321035645902157,0.5918893814086914,0.33051782846450806,-0.003207666100934148,0.5626789331436157,0.30742108821868896,-0.005455228500068188,0.5631486773490906,0.3302028477191925,-0.0049871401861310005,0.5701828598976135,0.34345653653144836,-0.002520261099562049,0.5795173645019531,0.35282665491104126,-0.00761600723490119,0.5509657263755798,0.32778581976890564,-0.01023490633815527,0.5372239947319031,0.3180388808250427,-0.012774384580552578,0.5287203788757324,0.3032341003417969,-0.014222445897758007,0.5687264204025269,0.3785284161567688,-0.01067325472831726,0.5544570684432983,0.3647707402706146,-0.010839865542948246,0.5596137046813965,0.3743148446083069,-0.008085467852652073,0.5655070543289185,0.3792153596878052,-0.0062218899838626385
