frame_idx,left_x0,left_y0,left_z0,left_x1,left_y1,left_z1,left_x2,left_y2,left_z2,left_x3,left_y3,left_z3,left_x4,left_y4,left_z4,left_x5,left_y5,left_z5,left_x6,left_y6,left_z6,left_x7,left_y7,left_z7,left_x8,left_y8,left_z8,left_x9,left_y9,left_z9,left_x10,left_y10,left_z10,left_x11,left_y11,left_z11,left_x12,left_y12,left_z12,left_x13,left_y13,left_z13,left_x14,left_y14,left_z14,left_x15,left_y15,left_z15,left_x16,left_y16,left_z16,left_x17,left_y17,left_z17,left_x18,left_y18,left_z18,left_x19,left_y19,left_z19,left_x20,left_y20,left_z20,right_x0,right_y0,right_z0,right_x1,right_y1,right_z1,right_x2,right_y2,right_z2,right_x3,right_y3,right_z3,right_x4,right_y4,right_z4,right_x5,right_y5,right_z5,right_x6,right_y6,right_z6,right_x7,right_y7,right_z7,right_x8,right_y8,right_z8,right_x9,right_y9,right_z9,right_x10,right_y10,right_z10,right_x11,right_y11,right_z11,right_x12,right_y12,right_z12,right_x13,right_y13,right_z13,right_x14,right_y14,right_z14,right_x15,right_y15,right_z15,right_x16,right_y16,right_z16,right_x17,right_y17,right_z17,right_x18,right_y18,right_z18,right_x19,right_y19,right_z19,right_x20,right_y20,right_z20
1,0.3889484703540802,0.5542726516723633,-3.381077817721234e-08,0.3772730827331543,0.5161596536636353,0.004979302175343037,0.37870821356773376,0.4763776957988739,0.003905193880200386,0.3922487497329712,0.4533250331878662,0.0016706737224012613,0.40686237812042236,0.44479382038116455,-0.00013428616512101144,0.36317750811576843,0.46251097321510315,0.0013466356322169304,0.3871861398220062,0.42710641026496887,0.0002826940908562392,0.39952316880226135,0.4334438741207123,0.000574501056689769,0.4070492386817932,0.4389760494232178,0.00021345815912354738,0.37317168712615967,0.45739513635635376,-0.0037081188056617975,0.3931933343410492,0.41278645396232605,-0.006001457571983337,0.4006396532058716,0.42340508103370667,-0.0064196502789855,0.4042876064777374,0.4338459372520447,-0.005912052467465401,0.3862989842891693,0.4576243758201599,-0.008293712511658669,0.40537360310554504,0.4165811538696289,-0.00991580169647932,0.4169244170188904,0.4062603712081909,-0.011777265928685665,0.42408043146133423,0.39547351002693176,-0.013865234330296516,0.40190279483795166,0.46096715331077576,-0.012176219373941422,0.4144825041294098,0.44680094718933105,-0.011507421731948853,0.4178015887737274,0.4643830358982086,-0.009502559900283813,0.4191909730434418,0.4775943160057068,-0.008936764672398567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3931736946105957,0.5514267683029175,-5.839501326931895e-08,0.38278910517692566,0.5167396068572998,0.006841345690190792,0.38476184010505676,0.47777149081230164,0.006069485563784838,0.3973594605922699,0.45511433482170105,0.0037220960948616266,0.41000068187713623,0.4483412206172943,0.0015828781761229038,0.3701592981815338,0.46369215846061707,0.0032951622270047665,0.3901382386684418,0.43072572350502014,0.002638560952618718,0.4012787938117981,0.43770164251327515,0.002056657802313566,0.40682390332221985,0.4457564055919647,0.0010397102450951934,0.3793696463108063,0.45869895815849304,-0.0030083111487329006,0.3957638442516327,0.41911739110946655,-0.004088927526026964,0.40436533093452454,0.4307374656200409,-0.005170137155801058,0.4082649052143097,0.4440518319606781,-0.0054047913290560246,0.3926455080509186,0.45899727940559387,-0.008673541247844696,0.4082638919353485,0.41993626952171326,-0.008627352304756641,0.4198303818702698,0.4082690477371216,-0.01046049315482378,0.42645660042762756,0.398409903049469,-0.012760110199451447,0.40836623311042786,0.4621564745903015,-0.013593562878668308,0.4191386103630066,0.44764581322669983,-0.011113051325082779,0.4227392375469208,0.46258214116096497,-0.008493887260556221,0.42372047901153564,0.47542813420295715,-0.007827230729162693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.3966396749019623,0.5519238114356995,-6.687887577072615e-08,0.3858592212200165,0.5175825357437134,0.008016549982130527,0.3872050940990448,0.4801368713378906,0.007855112664401531,0.39858609437942505,0.4596264064311981,0.006010773591697216,0.4103570878505707,0.4551233649253845,0.0042109075002372265,0.374531090259552,0.4642218053340912,0.00436736736446619,0.3934636414051056,0.4338867962360382,0.004949626512825489,0.4032033681869507,0.4448361396789551,0.005250636022537947,0.40734878182411194,0.45683926343917847,0.004932668525725603,0.3842523396015167,0.4591066837310791,-0.002247059717774391,0.39991191029548645,0.42173561453819275,-0.001641109469346702,0.40707793831825256,0.43308642506599426,-0.002113844035193324,0.4097135663032532,0.4459252953529358,-0.00216997554525733,0.3975770175457001,0.4605565369129181,-0.007998283952474594,0.4133227467536926,0.4229697287082672,-0.0070337457582354546,0.4231739938259125,0.4108927845954895,-0.008946474641561508,0.4282636344432831,0.40107452869415283,-0.01143720094114542,0.4124525189399719,0.46563300490379333,-0.0127981286495924,0.4234040677547455,0.44973689317703247,-0.010194993577897549,0.42730921506881714,0.4654516279697418,-0.0072168754413723946,0.42827463150024414,0.47979736328125,-0.006199081428349018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.39610975980758667,0.5535717606544495,-4.568994782516711e-08,0.38574445247650146,0.5193635821342468,0.008354476653039455,0.38720160722732544,0.48256489634513855,0.008419458754360676,0.3980299234390259,0.46134063601493835,0.006845743395388126,0.4095991849899292,0.4566335082054138,0.005290557164698839,0.3741072416305542,0.4678850471973419,0.0036038877442479134,0.39315715432167053,0.43759745359420776,0.0034357407130301,0.403826504945755,0.446880578994751,0.0035731992684304714,0.4092015326023102,0.4580591022968292,0.003359668655321002,0.38419440388679504,0.462736040353775,-0.003328352700918913,0.39965683221817017,0.4221780300140381,-0.003323705168440938,0.4082099497318268,0.4314914047718048,-0.003159823128953576,0.41246241331100464,0.4428374767303467,-0.0026150615885853767,0.39758753776550293,0.46404799818992615,-0.00942958239465952,0.4128125309944153,0.42469489574432373,-0.009314840659499168,0.42351341247558594,0.4134334921836853,-0.01041498128324747,0.4294758141040802,0.4049534797668457,-0.01201194804161787,0.4127511978149414,0.46926307678222656,-0.014548328705132008,0.4233594536781311,0.45061954855918884,-0.012507501058280468,0.4276058077812195,0.4647434651851654,-0.009216392412781715,0.42883288860321045,0.4778198003768921,-0.007753625977784395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.3963174819946289,0.5524770021438599,-6.314267153584296e-08,0.3856052756309509,0.5189110636711121,0.008395385928452015,0.3870350122451782,0.4832509458065033,0.007896363735198975,0.3979153633117676,0.46241456270217896,0.00584326172247529,0.40978798270225525,0.45737093687057495,0.0037061243783682585,0.37369686365127563,0.46788033843040466,0.0021364600397646427,0.39310258626937866,0.43853580951690674,0.001938102301210165,0.4029885232448578,0.44932055473327637,0.0022692473139613867,0.4074702262878418,0.4617663323879242,0.002112005138769746,0.3842758536338806,0.46256208419799805,-0.004875021521002054,0.39931538701057434,0.4217612147331238,-0.005549166351556778,0.4074626863002777,0.4333654046058655,-0.005662961397320032,0.4114897847175598,0.4474342167377472,-0.005146777257323265,0.39811861515045166,0.46366360783576965,-0.01087577361613512,0.4123101830482483,0.42369523644447327,-0.011165952309966087,0.4232867956161499,0.41238102316856384,-0.012683739885687828,0.42969322204589844,0.40447843074798584,-0.01455780304968357,0.41336438059806824,0.46833914518356323,-0.015771573409438133,0.42308419942855835,0.4507567882537842,-0.014110325835645199,0.42734143137931824,0.4650251567363739,-0.011189921759068966,0.42878448963165283,0.4783751964569092,-0.010017458349466324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.39531221985816956,0.5555151104927063,-8.159320685763305e-08,0.3851892650127411,0.5209900140762329,0.00933484174311161,0.38757383823394775,0.4843722879886627,0.00921730138361454,0.3992978036403656,0.4651776850223541,0.007452653720974922,0.41150715947151184,0.4623579978942871,0.005546782165765762,0.37363386154174805,0.46821174025535583,0.0033275301102548838,0.3926509916782379,0.43911564350128174,0.004053344950079918,0.40187546610832214,0.4522523283958435,0.004862064961344004,0.40545856952667236,0.46494099497795105,0.004805092699825764,0.38413718342781067,0.46319660544395447,-0.0039255041629076,0.3991122841835022,0.4236774742603302,-0.004431733395904303,0.4062083661556244,0.43753793835639954,-0.004745347425341606,0.4091470241546631,0.4524914622306824,-0.004247633274644613,0.39778339862823486,0.46490874886512756,-0.01000317931175232,0.41319403052330017,0.42567265033721924,-0.009820695966482162,0.423613578081131,0.4117201268672943,-0.011660292744636536,0.42927247285842896,0.4006580412387848,-0.013783887028694153,0.4126676321029663,0.4697752892971039,-0.014822750352323055,0.42255499958992004,0.4525415003299713,-0.012093931436538696,0.4260823726654053,0.4667152166366577,-0.008707111701369286,0.42670968174934387,0.4795873761177063,-0.007430373225361109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.3931156098842621,0.5591802597045898,-6.119329043485777e-08,0.3831005394458771,0.523149847984314,0.008305640891194344,0.38550424575805664,0.4866899251937866,0.007656758651137352,0.3974648714065552,0.46670499444007874,0.005489279516041279,0.40978536009788513,0.4632140100002289,0.003445219248533249,0.3708040714263916,0.469894677400589,0.0026010414585471153,0.39099204540252686,0.43899303674697876,0.002605075715109706,0.4002607464790344,0.4517814517021179,0.002992633730173111,0.40367621183395386,0.4639279842376709,0.0027247541584074497,0.38129132986068726,0.4655030071735382,-0.0043587577529251575,0.39742788672447205,0.4240592122077942,-0.0055532436817884445,0.4048795998096466,0.4386283755302429,-0.005834623705595732,0.4078648090362549,0.4534948468208313,-0.005085974466055632,0.39486029744148254,0.4676877558231354,-0.01027931459248066,0.4107232689857483,0.4270991384983063,-0.010234114713966846,0.4208870828151703,0.41505321860313416,-0.01131040696054697,0.42623206973075867,0.40494710206985474,-0.012782083824276924,0.4101220667362213,0.4732288420200348,-0.015117069706320763,0.4205370545387268,0.45528167486190796,-0.01232699491083622,0.4239729046821594,0.4689578413963318,-0.008590413257479668,0.42466291785240173,0.4803703725337982,-0.0069137332029640675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.3876396119594574,0.5660828948020935,-6.953507636353606e-08,0.3792486786842346,0.5270307064056396,0.008926628157496452,0.3828181028366089,0.48855388164520264,0.008961505256593227,0.39669269323349,0.46835723519325256,0.00741194561123848,0.41164839267730713,0.4658597707748413,0.005872355308383703,0.3679521381855011,0.47193095088005066,0.0030318431090563536,0.38934147357940674,0.44062909483909607,0.004135685041546822,0.3980652391910553,0.4536585509777069,0.005494471173733473,0.40155452489852905,0.4651959538459778,0.005554531700909138,0.3790713846683502,0.46863070130348206,-0.003969371784478426,0.39501702785491943,0.42729294300079346,-0.0041513810865581036,0.4019932150840759,0.44155144691467285,-0.003930554259568453,0.40551090240478516,0.45644843578338623,-0.0032226350158452988,0.39326971769332886,0.47138145565986633,-0.009805635549128056,0.4086875021457672,0.4304808974266052,-0.008847990073263645,0.41931554675102234,0.4207802414894104,-0.009788797236979008,0.4255455732345581,0.4133908450603485,-0.011439505964517593,0.40870749950408936,0.4773830771446228,-0.014535200782120228,0.4176833927631378,0.459542453289032,-0.011243227869272232,0.42079588770866394,0.4733043611049652,-0.00782080926001072,0.42160138487815857,0.4844214916229248,-0.006542116403579712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.3845081627368927,0.5726199746131897,-7.824889536323099e-08,0.3750934600830078,0.5326736569404602,0.008383039385080338,0.3789082467556,0.49469834566116333,0.008323851972818375,0.39309266209602356,0.4750696122646332,0.006754342466592789,0.4079750180244446,0.47136858105659485,0.005277128890156746,0.36587828397750854,0.4780626893043518,0.0022569859866052866,0.3866720199584961,0.4453851580619812,0.0031214517075568438,0.39407452940940857,0.4588088393211365,0.004639965482056141,0.39675378799438477,0.47047677636146545,0.004946085624396801,0.3770601153373718,0.47611698508262634,-0.004341436550021172,0.3933331072330475,0.43415752053260803,-0.004808071069419384,0.39883509278297424,0.4482310116291046,-0.004678563214838505,0.4010222256183624,0.4630676209926605,-0.003958801738917828,0.3910905420780182,0.4799863398075104,-0.009810008108615875,0.4071616232395172,0.43905019760131836,-0.008847876451909542,0.416549950838089,0.4295065999031067,-0.009815123863518238,0.42166733741760254,0.421895831823349,-0.011490131728351116,0.406328946352005,0.48726823925971985,-0.014187012799084187,0.4148266017436981,0.4693658649921417,-0.010611072182655334,0.4161136746406555,0.4833957254886627,-0.007069683633744717,0.4155904948711395,0.49437692761421204,-0.005754910409450531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.3846361041069031,0.5720252990722656,-6.893375115168965e-08,0.3745555579662323,0.5320534706115723,0.00883492175489664,0.3772185444831848,0.49599459767341614,0.009035903960466385,0.390679270029068,0.47543615102767944,0.007845989428460598,0.4055079519748688,0.4717663824558258,0.006856544408947229,0.3649905323982239,0.47907933592796326,0.0011029557790607214,0.3845660984516144,0.44558700919151306,0.0027930408250540495,0.39308181405067444,0.4578927159309387,0.00550417834892869,0.39679861068725586,0.4695689380168915,0.00660579651594162,0.3776739835739136,0.4770944118499756,-0.0053340969607234,0.3932706415653229,0.43374383449554443,-0.004623184911906719,0.3995271623134613,0.4490678012371063,-0.0032971487380564213,0.40237098932266235,0.4650011658668518,-0.00212946068495512,0.3926101624965668,0.48119455575942993,-0.010367069393396378,0.4073794484138489,0.4408577084541321,-0.008107969537377357,0.4170996844768524,0.4367868900299072,-0.007518666796386242,0.42258018255233765,0.4352111220359802,-0.00845941249281168,0.40745583176612854,0.4891604781150818,-0.01431463472545147,0.4145250618457794,0.4684993624687195,-0.00997880194336176,0.41645413637161255,0.4803566038608551,-0.005784365814179182,0.41665956377983093,0.48986735939979553,-0.004045076668262482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
